검색어,후보제목,후보링크,후보언론사,매칭과거일자,매칭과거제목,매칭과거링크,중복판정이유,공유주체,공유사건태그,종합점수,제목점수,토큰점수,본문점수
카카오,카카오 오늘 창사 첫 파업…노조 600명 판교 행진한다,https://news.google.com/rss/articles/CBMiYEFVX3lxTFBxMkI0NHp6QWhick5NYTUybnR0WTIxc3hmVVNaXzRiMVJQcVBOTDJMME9QMnJCLWtrbXNXMHVrbjBFM1pZczZYdmJwVlY2UEVFY1l5cVprRFV6YXZyYVFHa9IBYEFVX3lxTFBxMkI0NHp6QWhick5NYTUybnR0WTIxc3hmVVNaXzRiMVJQcVBOTDJMME9QMnJCLWtrbXNXMHVrbjBFM1pZczZYdmJwVlY2UEVFY1l5cVprRFV6YXZyYVFHaw?oc=5,연합뉴스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,카카오 오늘 창사 첫 파업…노조 600명 판교 행진,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE5teXlrMkFxRkJmd2huMmVuQ3NMZ1UzbGJpVHQ1RHVmYzh0OFRRSDhjS0huZ08tZzdIRDZJblFHZ25tei1SV2FZQUw3eFBSZ3N2empwUnVUb1JyT3ZiLTZrWmRsbHRrMlk?oc=5,연합뉴스TV,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"'카톡 멈추나' 카카오, 창사 첫 파업…판교 일대서 행진",https://news.google.com/rss/articles/CBMiYkFVX3lxTE53VmhqbGJhT2RueDFFWTN1S25GMlpTMzUxQVA3aEFlMk5DMzBiU2dBb1cxdklDWXpqUkNMYW9nNks3MTBnZmNlUnJfLXByRVdpdVIxNHo2Q2xRdEptaUl0M3hn?oc=5,이코노미스트,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"카카오, 오늘 오전 10시부터 창사이래 첫 파업…노조 600명 판교 행진",https://news.google.com/rss/articles/CBMiT0FVX3lxTE1JMHp1TFFwV2xzaFB5RDZqTFlpQ2dXX3VUUVBGTXhWM3lFN2ZyMG1weDlxUVJGbW56VTY2dDZSa1M3UktZMlJVbnIyYW5BX2c?oc=5,v.daum.net,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"복지서비스 확인부터 신청까지, 카카오톡에서 한 번에",https://news.google.com/rss/articles/CBMiakFVX3lxTFA2enBxX3dNRUZwbDBHSjhYelFpZk91UUZaSUV0bDA2bTZ3X0loLTNVVWZibmVkVzNXR1A5UzV3aUNQRjJ2Z3dwQ0FYOXEyUE9PdnNNZGNXNG02T29wOF9hZFhaZEhvN1A4U3c?oc=5,대한민국 정책브리핑,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"카카오 노조, 오늘 창사 이래 첫 파업…600명 판교 행진",https://news.google.com/rss/articles/CBMiWkFVX3lxTE1fcmdZQmw1bEVxVm5JRGhhYWZDaFFmcVBramI0SVJDeW5taURLWlJRYnBFcmNNUHRQVVloWUx0Y2FSWDlWUUdzY2xJTHNhZEt0RlZRaXR5N3BVd9IBX0FVX3lxTE94dm8wcXRlSkxfNFJtUi1KbTFOZlBLa1d0c094ZHgtUkgtOGJHT0p3UVA1ekJETy1sVHFsVzlJSjRUSExDaWw3WW1wNWJoM2ZQM1VIZ0tJUi1wdGRGeVkw?oc=5,경향신문,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,카카오 창사 첫 파업… 재외동포 “모국과의 소통 끊길까” 불안,https://news.google.com/rss/articles/CBMiTkFVX3lxTFBPTE9oa0ZyR3JQeGhCNGRrWDJlbTVwUDZ1QU14NExkdHlHWTJYWGZDWk0wZU5saDJ3T1NPcXYxQUFud0ZBdnVGMUVacktDUQ?oc=5,Haninpost,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"카카오, 결국 창사 후 첫 파업…판교 일대서 행진한다",https://news.google.com/rss/articles/CBMiUEFVX3lxTE5oMkpyWk5iRVJIaThqY3NOdVVyOG1JV0k3WHp1Z2x4blFXNGVYUVBQQ2d4T0htcXZjMk5HdEJSUWhrSnhzRmZKck1kVnplZ21S?oc=5,문화일보,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"“내 카카오톡은 문제 없을까?”...카카오 오늘 창사 이래 첫 파업, 부분 파업이라 이용자 불편은 없을 듯",https://news.google.com/rss/articles/CBMiWkFVX3lxTE9fZjVzUjQxcEZhWVRoY24wNmFLWXAtbS1pMXd3blNqclhVUlBtWXd6LTJDcVY2Y2NTVjVTNHV5SmVEeWlFTnJXN1o4cnNNQW1vNmZYWS1XZ0JJZw?oc=5,경북매일,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"‘성과급 대립’ 카카오, 결국 첫 파업…IT 업계 보상 갈등 번질까 ‘초긴장’",https://news.google.com/rss/articles/CBMiakFVX3lxTFBMSTEwd0RURkNTTUhqUXpGRElzank4Rm9sMHlhVTZiUjZJT1V0MjBWZXNRWHJuaDQycnFVRmhnY1ZGcTFKTXh6dEVYdWNsTUE5enpGUmFsVHhuU19LZ2g4cDl5OExKbVl1RkHSAW5BVV95cUxQUjNMb1dja3J2d21wOTVWZWFvNXVGX2MxV0EwRlN1ZWpCUnFSSE9YaEhsMVJuV2R2aXBma1NILVc5RE9wWVluUHdDNE5sMUF1Y0kzVTBPSEZaY0JJbFNlNk1MSXJ5UWxvQ0VQMkRCQQ?oc=5,뉴시안,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
