id,원카테고리,JSON카테고리,검색어,기사제목,기사제목_정규화,언론사,정규언론사,게시일,본문요약,링크,수집채널,랭킹점수,중요도점수,사건태그,사건단계,주요주체,랭킹감점사유,정책규제의무,강제검토,강제검토사유,자사홍보성,이슈패밀리,코드힌트,오늘성점수,오늘성사유,기사유형,v26이벤트키,v26진행단계,v27_industry_ok,v27_industry_reason,v27_industry_score,랭킹원점수,편집신호,스토리버킷,전역사건키,전역사건기본키,Gemini카테고리,Gemini내부카테고리,Gemini이슈패밀리,Gemini이슈그룹,Gemini관련성,Gemini중요도,Gemini대외협력중요도,Gemini관련도,GeminiPR성,Gemini제외,Gemini판단사유,Gemini라벨소스,Gemini자사티어,Gemini정부티어,Gemini경쟁사티어,Gemini경쟁사범위,Gemini정책영향경로,Gemini경쟁시사점,Gemini중복그룹,Gemini이슈유형,v27_event_key,v26_2_profile_reason,v26가드레일사유
286,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,"‘첫 파업’ 카카오 3%대 하락…“서비스 타격은 제한적” [오늘, 이 종목]",첫 파업 카카오 3 대 하락 서비스 타격은 제한적 오늘 이 종목,매일경제,매일경제,"Wed, 10 Jun 2026 04:45:09 GMT","‘첫 파업’ 카카오 3%대 하락…“서비스 타격은 제한적” [오늘, 이 종목] 매일경제",https://news.google.com/rss/articles/CBMiT0FVX3lxTE1lSWpvdF9OMDRNcmsxcUg3UVllQkFPd2RIbDFNa2dHRUZ6MVlvNmJURkIxRjBSVHdlS2dPZUVaYkg1cHZEaXdmMnlmblplUXc?oc=5,google_rss_카카오 매각 when:2d,133.4,116.3,"labor_dispute,labor_negotiation,platform_obligation",labor_general,카카오,,,Y,must_review:self_strict:labor_strike:labor_negotiation,,,direct_self_risk,32.0,published_yesterday+today_date_action,direct_risk,global_incident:labor_ir:kakao:strike_negotiation,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,133.4,"labor_negotiation,platform_obligation",self:labor_strike,global_incident:labor_ir:kakao:strike_negotiation:general,global_incident:labor_ir:kakao:strike_negotiation,자사_및_계열사_이슈,SELF_DIRECT_RISK,노조 파업,카카오 노조 임단협/파업 및 내부 갈등,카카오 노조의 파업으로 인해 서비스 운영 및 경영진의 의사결정에 직접적인 영향을 미칠 수 있음.,1,1,1,,,카카오의 첫 파업으로 직접적인 사내 이슈임.,gemini,DIRECT_RISK,,,other,,,카카오 노조 임단협/파업 및 내부 갈등,노조 파업,,,
8,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,"카카오 오늘 첫 파업...노조 ""참여 인원 1000명 돌파""",카카오 오늘 첫 파업 노조 참여 인원 1000명 돌파,조선일보,조선일보,"Wed, 10 Jun 2026 02:51:40 GMT","카카오 오늘 첫 파업...노조 ""참여 인원 1000명 돌파"" 조선일보",https://news.google.com/rss/articles/CBMigwFBVV95cUxPRTl1WmZoR1NBMGNPQ0xjbjZZbzJQNnJrTGs5V0d6VG5xYlUzWFpBcnd2VnZNT3k2bGRsbVhRZ2VlaXFBT3N4dmFKX0lKTG9YQmx4UEV6cWZRdGZIOXBzRzd6SUlGVUZHWmRnbkpJN3NqY193LTU3LTVrVXRsQjZEVVMyUQ?oc=5,google_rss_카카오 when:2d,133.4,100.3,"labor_dispute,labor_negotiation",labor_general,카카오,,,Y,must_review:self_strict:labor_strike:labor_negotiation,,,direct_self_risk,32.0,published_yesterday+today_date_action,direct_risk,global_incident:labor_ir:kakao:strike_negotiation,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,133.4,labor_negotiation,self:labor_strike,global_incident:labor_ir:kakao:strike_negotiation:conflict_escalation,global_incident:labor_ir:kakao:strike_negotiation,자사_및_계열사_이슈,SELF_DIRECT_RISK,노조 파업,카카오 노조 임단협/파업 및 내부 갈등,카카오 노조의 파업으로 인해 서비스 운영 및 경영진의 의사결정에 직접적인 영향을 미칠 수 있음.,1,1,1,,,카카오의 첫 파업으로 직접적인 사내 이슈임.,gemini,DIRECT_RISK,,,other,,,카카오 노조 임단협/파업 및 내부 갈등,노조 파업,,,
824,정부/국회,정부_국회,과학기술정보통신부,"개보위, 오늘 쿠팡 ‘개인정보 유출’ 사태 심의한다···역대 최대 과징금 관측도",개보위 오늘 쿠팡 개인정보 유출 사태 심의한다 역대 최대 과징금 관측도,v.daum.net,v.daum.net,"Tue, 09 Jun 2026 21:08:02 GMT","개보위, 오늘 쿠팡 ‘개인정보 유출’ 사태 심의한다···역대 최대 과징금 관측도 v.daum.net",https://news.google.com/rss/articles/CBMiVEFVX3lxTE51VnpnNkl0d3phSnlTTll5ZlBENUFjc0RMQ29mdEMyRjBMRW4yQXQyb2hIR3dNNWtfUGVDTzcxOFQ2MjJyeExPRmo5Q0lCOXBENjh1cA?oc=5,google_rss_과학기술정보통신부 해킹 when:2d,132.8,150.0,"antitrust_platform,legal_regulatory_enforcement,phishing_security,privacy_security_reliability",antitrust_general,쿠팡,,Y,,,,government:platform_obligation,platform_operator_obligation,32.0,published_yesterday+today_date_action,official_action,v27:platform_enforcement:coupang:privacy_data_violation,penalty_or_sanction,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,132.8,"legal_regulatory_enforcement,privacy_security_reliability",government:platform_obligation,global_incident:platform_enforcement:coupang:privacy_data_violation:sanction_penalty,global_incident:platform_enforcement:coupang:privacy_data_violation,정부_국회,GOV_PLATFORM_REGULATION,개인정보 유출 제재,쿠팡 개인정보 유출 제재,"쿠팡의 대규모 개인정보 유출 및 제재는 카카오를 포함한 타 플랫폼 사업자에게도 경각심을 줄 수 있으며, 개인정보 보호 규제 강화 가능성을 시사함.",1,1,1,,,쿠팡의 개인정보 유출 제재는 플랫폼 사업자 전반의 개인정보 보호 강화 동인이 될 수 있음.,gemini,DIRECT_RISK,GOV_REGULATORY_ENFORCEMENT,COMP_DOMESTIC_DIRECT_RISK,domestic,"개인정보 보호 강화 정책 및 규제 강화로 이어질 수 있어, 카카오의 개인정보 관리 및 보안 시스템 전반에 대한 점검과 대비가 필요함.","쿠팡의 대규모 과징금 부과는 경쟁사에게도 상당한 부담이 될 수 있으며, 향후 개인정보 보호 관련 경쟁 환경에 영향을 줄 수 있음.",쿠팡 개인정보 유출 제재,개인정보 유출 제재,platform_enforcement:coupang:privacy_data_violation,,
831,정부/국회,정부_국회,과학기술정보통신부,"개보위, 오늘 쿠팡 '개인정보 유출' 사태 심의한다···역대 최대 과징금 관측도",개보위 오늘 쿠팡 개인정보 유출 사태 심의한다 역대 최대 과징금 관측도,네이트,네이트,"Tue, 09 Jun 2026 21:06:00 GMT","개보위, 오늘 쿠팡 '개인정보 유출' 사태 심의한다···역대 최대 과징금 관측도 네이트",https://news.google.com/rss/articles/CBMibkFVX3lxTE5BUXJkRmRZN0dlVUs3cXBwcWFRMkdoNEx1U21jWjRxaVpRc0N0Z1NmN0tKRlFNLWNVSmwxVUdUZ1R3R1ltcTdDMVJ5OWhTd0R6RTNXUExxRU1LVDZnMEJ5M1N3aVNqZHJBN3hMYzJn?oc=5,google_rss_과학기술정보통신부 개인정보 when:2d,132.8,150.0,"antitrust_platform,legal_regulatory_enforcement,phishing_security,privacy_security_reliability",antitrust_general,쿠팡,,Y,,,,government:platform_obligation,platform_operator_obligation,32.0,published_yesterday+today_date_action,official_action,v27:platform_enforcement:coupang:privacy_data_violation,penalty_or_sanction,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,132.8,"legal_regulatory_enforcement,privacy_security_reliability",government:platform_obligation,global_incident:platform_enforcement:coupang:privacy_data_violation:sanction_penalty,global_incident:platform_enforcement:coupang:privacy_data_violation,정부_국회,GOV_PLATFORM_REGULATION,개인정보 유출 제재,쿠팡 개인정보 유출 제재,"쿠팡의 대규모 개인정보 유출 및 제재는 카카오를 포함한 타 플랫폼 사업자에게도 경각심을 줄 수 있으며, 개인정보 보호 규제 강화 가능성을 시사함.",1,1,1,,,쿠팡의 개인정보 유출 제재는 플랫폼 사업자 전반의 개인정보 보호 강화 동인이 될 수 있음.,gemini,,GOV_REGULATORY_ENFORCEMENT,COMP_DOMESTIC_DIRECT_RISK,domestic,"개인정보 보호 강화 정책 및 규제 강화로 이어질 수 있어, 카카오의 개인정보 관리 및 보안 시스템 전반에 대한 점검과 대비가 필요함.","쿠팡의 대규모 과징금 부과는 경쟁사에게도 상당한 부담이 될 수 있으며, 향후 개인정보 보호 관련 경쟁 환경에 영향을 줄 수 있음.",쿠팡 개인정보 유출 제재,개인정보 유출 제재,platform_enforcement:coupang:privacy_data_violation,,
150,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,카카오 오늘 창사 첫 파업…노조 600명 판교 행진,카카오 오늘 창사 첫 파업 노조 600명 판교 행진,연합뉴스,연합뉴스,"Wed, 10 Jun 2026 00:04:43 GMT",카카오 오늘 창사 첫 파업…노조 600명 판교 행진 연합뉴스,https://news.google.com/rss/articles/CBMiYEFVX3lxTE9VMzJKOVMxMGw3NmpqXzJIRVJvX3dlWkwyd21JZV9sOTZpMUJKNFE5TTVGUHFNMU9lOHlyMmhHYTZBVkpBaEZndUIxTy00MzZma2JVNnplaE5faDFxc2FwWdIBYEFVX3lxTE9VMzJKOVMxMGw3NmpqXzJIRVJvX3dlWkwyd21JZV9sOTZpMUJKNFE5TTVGUHFNMU9lOHlyMmhHYTZBVkpBaEZndUIxTy00MzZma2JVNnplaE5faDFxc2FwWQ?oc=5,google_rss_카카오 노조 when:2d,131.4,100.3,"labor_dispute,labor_negotiation",labor_general,카카오,,,Y,must_review:self_strict:labor_strike:labor_negotiation,,,direct_self_risk,32.0,published_yesterday+today_date_action,direct_risk,global_incident:labor_ir:kakao:strike_negotiation,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,131.4,labor_negotiation,self:labor_strike,global_incident:labor_ir:kakao:strike_negotiation:conflict_escalation,global_incident:labor_ir:kakao:strike_negotiation,자사_및_계열사_이슈,SELF_DIRECT_RISK,노조 파업,카카오 노조 임단협/파업 및 내부 갈등,카카오 노조의 파업으로 인해 서비스 운영 및 경영진의 의사결정에 직접적인 영향을 미칠 수 있음.,1,1,1,,,카카오의 첫 파업으로 직접적인 사내 이슈임.,gemini,DIRECT_RISK,,,other,,,카카오 노조 임단협/파업 및 내부 갈등,노조 파업,,,
26,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,"카카오 노조, 판교 집결…창사 첫 파업 강행",카카오 노조 판교 집결 창사 첫 파업 강행,이데일리,이데일리,"Wed, 10 Jun 2026 22:38:36 GMT","카카오 노조, 판교 집결…창사 첫 파업 강행 이데일리",https://news.google.com/rss/articles/CBMigAFBVV95cUxOcU5QNHpVTXhteG9GMU5lbXlfM1RyMHhsdmtfbHZoWlVJbTF5LWRkeTkxZUhpRm9tR3VvM0tEVWg5SGFzazFMOXRuckx5YWJjdVFOdWFWSnE1SUI1OTN5bTV6RUJjTEZnckdnYkVIdHpJTnpsNjlWOENQSEZLOE9BcQ?oc=5,google_rss_카카오 when:2d,130.8,89.5,"labor_dispute,labor_negotiation",labor_general,카카오,,,Y,must_review:self_strict:labor_strike:labor_negotiation,,,direct_self_risk,24.0,published_today,direct_risk,global_incident:labor_ir:kakao:strike_negotiation,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,130.8,labor_negotiation,self:labor_strike,global_incident:labor_ir:kakao:strike_negotiation:conflict_escalation,global_incident:labor_ir:kakao:strike_negotiation,자사_및_계열사_이슈,SELF_DIRECT_RISK,노조 파업,카카오 노조 임단협/파업 및 내부 갈등,카카오 노조의 파업으로 인해 서비스 운영 및 경영진의 의사결정에 직접적인 영향을 미칠 수 있음.,1,1,1,,,카카오의 첫 파업으로 직접적인 사내 이슈임.,gemini,DIRECT_RISK,,,other,,,카카오 노조 임단협/파업 및 내부 갈등,노조 파업,,,
23,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,“임원 보상은 커지는데 직원은?”…카카오 첫 파업에 외신도 주목,임원 보상은 커지는데 직원은 카카오 첫 파업에 외신도 주목,서울경제,서울경제,"Wed, 10 Jun 2026 23:57:08 GMT",“임원 보상은 커지는데 직원은?”…카카오 첫 파업에 외신도 주목 서울경제,https://news.google.com/rss/articles/CBMiZkFVX3lxTE56MGtmc1V4VWlKS2M5WFBIX0FaaUhxQnBsV1ZiSGQ2RGVHMkRaRnZOYlowdXlqZklxUG5iallWbzZCNUZ4WGVDWWprM2FHQ0phOERDR21VZkVHRFJEcFBRczFCWnJmQdIBU0FVX3lxTFBIV1Y1ek5DYnljZFVZakl0QmhJb2hwYXFMb0dLZ19nREtqNFVIcVNtVUZCYk1EajN4bmVKWUZKcHBzUTBYaUtJQVQxeDVvd25yMHhr?oc=5,google_rss_카카오 when:2d,130.8,86.5,"labor_dispute,labor_negotiation",labor_general,카카오,,,Y,must_review:self_strict:labor_compensation:labor_negotiation,,,direct_self_risk,24.0,published_today,direct_risk,global_incident:labor_ir:kakao:strike_negotiation,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,130.8,labor_negotiation,self:labor_compensation,global_incident:labor_ir:kakao:strike_negotiation:general,global_incident:labor_ir:kakao:strike_negotiation,자사_및_계열사_이슈,SELF_DIRECT_RISK,노조 파업,카카오 노조 임단협/파업 및 내부 갈등,카카오 노조의 파업으로 인해 서비스 운영 및 경영진의 의사결정에 직접적인 영향을 미칠 수 있음.,1,1,1,,,카카오의 첫 파업으로 직접적인 사내 이슈임.,gemini,DIRECT_RISK,,,other,,,카카오 노조 임단협/파업 및 내부 갈등,노조 파업,,,
807,정부/국회,정부_국회,과학기술정보통신부,"개인정보위, 오늘 쿠팡 정보유출 제재안 심의…역대 최대 과징금 때릴까",개인정보위 오늘 쿠팡 정보유출 제재안 심의 역대 최대 과징금 때릴까,네이트,네이트,"Tue, 09 Jun 2026 22:52:00 GMT","개인정보위, 오늘 쿠팡 정보유출 제재안 심의…역대 최대 과징금 때릴까 네이트",https://news.google.com/rss/articles/CBMiYEFVX3lxTE5ETTdjMWVKUHR3eUgxdk1WOXp1Z3JPMGRySXRnUl8wSk1sZFBjSFVnLVhNY2dLTEkyTWZ4eUVWcFNfZXBZSzRQejlDdmFxNVhZeFQwNlhXc1RnRlJZRDc2Qw?oc=5,google_rss_과학기술정보통신부 과징금 when:2d,129.8,133.0,"antitrust_platform,legal_regulatory_enforcement,privacy_security_reliability",antitrust_general,쿠팡,,Y,,,,government:platform_obligation,platform_operator_obligation,32.0,published_yesterday+today_date_action,official_action,v27:platform_enforcement:coupang:privacy_data_violation,penalty_or_sanction,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,129.8,"legal_regulatory_enforcement,privacy_security_reliability",government:platform_obligation,global_incident:platform_enforcement:coupang:privacy_data_violation:sanction_penalty,global_incident:platform_enforcement:coupang:privacy_data_violation,정부_국회,GOV_PLATFORM_REGULATION,개인정보 유출 제재,쿠팡 개인정보 유출 제재,"쿠팡의 대규모 개인정보 유출 및 제재는 카카오를 포함한 타 플랫폼 사업자에게도 경각심을 줄 수 있으며, 개인정보 보호 규제 강화 가능성을 시사함.",1,1,1,,,쿠팡의 개인정보 유출 제재는 플랫폼 사업자 전반의 개인정보 보호 강화 동인이 될 수 있음.,gemini,,GOV_REGULATORY_ENFORCEMENT,COMP_DOMESTIC_DIRECT_RISK,domestic,"개인정보 보호 강화 정책 및 규제 강화로 이어질 수 있어, 카카오의 개인정보 관리 및 보안 시스템 전반에 대한 점검과 대비가 필요함.","쿠팡의 대규모 과징금 부과는 경쟁사에게도 상당한 부담이 될 수 있으며, 향후 개인정보 보호 관련 경쟁 환경에 영향을 줄 수 있음.",쿠팡 개인정보 유출 제재,개인정보 유출 제재,platform_enforcement:coupang:privacy_data_violation,,
799,정부/국회,정부_국회,과학기술정보통신부,"개인정보위, 오늘 쿠팡 정보유출 제재안 심의…역대 최대 과징금 때릴까",개인정보위 오늘 쿠팡 정보유출 제재안 심의 역대 최대 과징금 때릴까,경향신문,경향신문,"Tue, 09 Jun 2026 22:51:00 GMT","개인정보위, 오늘 쿠팡 정보유출 제재안 심의…역대 최대 과징금 때릴까 경향신문",https://news.google.com/rss/articles/CBMiWkFVX3lxTE1Pa0M2bm5JM09ibkJWOE9UczFhSWdab3l2R3dER0ozVTM5MHVkTUVRMklCOFV1dWR3U3V5Y2N5LVBWWjlhcEx1ZVduUGdvTDRQSGVkZ2pYN29iZ9IBX0FVX3lxTE9Xa1lmSUFDRGFiZnkzVktYN3Fkb28wVjBQRlVIajhPbmlaTXZKTDNQT3NGWmVZTU5PMlpGSEhVVVREUllQWGdWbkpnZWdBN19kTkU2SUdRdjNSRk5ybFlV?oc=5,google_rss_과학기술정보통신부 과징금 when:2d,129.8,133.0,"antitrust_platform,legal_regulatory_enforcement,privacy_security_reliability",antitrust_general,쿠팡,,Y,,,,government:platform_obligation,platform_operator_obligation,32.0,published_yesterday+today_date_action,official_action,v27:platform_enforcement:coupang:privacy_data_violation,penalty_or_sanction,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,129.8,"legal_regulatory_enforcement,privacy_security_reliability",government:platform_obligation,global_incident:platform_enforcement:coupang:privacy_data_violation:sanction_penalty,global_incident:platform_enforcement:coupang:privacy_data_violation,정부_국회,GOV_PLATFORM_REGULATION,개인정보 유출 제재,쿠팡 개인정보 유출 제재,"쿠팡의 대규모 개인정보 유출 및 제재는 카카오를 포함한 타 플랫폼 사업자에게도 경각심을 줄 수 있으며, 개인정보 보호 규제 강화 가능성을 시사함.",1,1,1,,,쿠팡의 개인정보 유출 제재는 플랫폼 사업자 전반의 개인정보 보호 강화 동인이 될 수 있음.,gemini,,GOV_REGULATORY_ENFORCEMENT,COMP_DOMESTIC_DIRECT_RISK,domestic,"개인정보 보호 강화 정책 및 규제 강화로 이어질 수 있어, 카카오의 개인정보 관리 및 보안 시스템 전반에 대한 점검과 대비가 필요함.","쿠팡의 대규모 과징금 부과는 경쟁사에게도 상당한 부담이 될 수 있으며, 향후 개인정보 보호 관련 경쟁 환경에 영향을 줄 수 있음.",쿠팡 개인정보 유출 제재,개인정보 유출 제재,platform_enforcement:coupang:privacy_data_violation,,
254,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,"카카오, 오늘 창사 첫 부분파업…5개 법인 노조 판교 집결",카카오 오늘 창사 첫 부분파업 5개 법인 노조 판교 집결,마이데일리,마이데일리,"Tue, 09 Jun 2026 23:40:56 GMT","카카오, 오늘 창사 첫 부분파업…5개 법인 노조 판교 집결 마이데일리",https://news.google.com/rss/articles/CBMiYEFVX3lxTE4xTG5SLVBZVzBLVzVRT1BReGVBUlJVc2RDdElac0ctRHhWZVpyYUdtRjhia1pOU3JZMTF4ZUNmamE5eTlndjhwVlZGRWZYRDVsWWFoRFZCMnFrdm5GaGZTTw?oc=5,google_rss_카카오 조정 when:2d,129.4,100.3,"labor_dispute,labor_negotiation",labor_general,카카오,,,Y,must_review:self_strict:labor_strike:labor_negotiation,,,direct_self_risk,32.0,published_yesterday+today_date_action,direct_risk,global_incident:labor_ir:kakao:strike_negotiation,action_started,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,129.4,labor_negotiation,self:labor_strike,global_incident:labor_ir:kakao:strike_negotiation:conflict_escalation,global_incident:labor_ir:kakao:strike_negotiation,자사_및_계열사_이슈,SELF_DIRECT_RISK,노조 파업,카카오 노조 임단협/파업 및 내부 갈등,카카오 노조의 파업으로 인해 서비스 운영 및 경영진의 의사결정에 직접적인 영향을 미칠 수 있음.,1,1,1,,,카카오의 첫 파업으로 직접적인 사내 이슈임.,gemini,DIRECT_RISK,,,other,,,카카오 노조 임단협/파업 및 내부 갈등,노조 파업,,,
