id,원카테고리,JSON카테고리,검색어,기사제목,기사제목_정규화,언론사,정규언론사,게시일,본문요약,링크,수집채널,랭킹점수,중요도점수,사건태그,사건단계,주요주체,랭킹감점사유,정책규제의무,강제검토,강제검토사유,자사홍보성,이슈패밀리,코드힌트,오늘성점수,오늘성사유,기사유형,v26이벤트키,v26진행단계,v27_event_key,v27_industry_ok,v27_industry_reason,v27_industry_score,v32_competitor_basis,v32_competitor_portfolio,v32_actor_group,랭킹원점수,편집신호,스토리버킷,전역사건키,전역사건기본키,Gemini카테고리,Gemini내부카테고리,Gemini이슈패밀리,Gemini이슈그룹,Gemini관련성,Gemini중요도,Gemini대외협력중요도,Gemini관련도,GeminiPR성,Gemini제외,Gemini판단사유,Gemini라벨소스,Gemini자사티어,Gemini정부티어,Gemini경쟁사티어,Gemini경쟁사범위,Gemini정책영향경로,Gemini경쟁시사점,Gemini중복그룹,Gemini이슈유형,v26_2_profile_reason,v26가드레일사유,v32_weak_non_digital_gov
3214,경쟁사/해외이슈,경쟁사_해외이슈,구글,쿠팡 개인정보 유출 6246억 역대급 철퇴...SKT 3배·메타 7배 과징금에 형평성 논란 예고,쿠팡 개인정보 유출 6246억 역대급 철퇴 skt 3배 메타 7배 과징금에 형평성 논란 예고,테크M,테크M,"Thu, 11 Jun 2026 03:53:03 GMT",쿠팡 개인정보 유출 6246억 역대급 철퇴...SKT 3배·메타 7배 과징금에 형평성 논란 예고 테크M,https://news.google.com/rss/articles/CBMiakFVX3lxTE1yQzBXQmVtYmZ6TkViazRSX0VqWlo5ZmMzNTNtaElycnZHTEl1c09odTIzZjFLLVdlZmpYam9ZSE0zNzk2cVZROUF0X3ZyMkw1UlM5dkNiRFZ5aXg1cVQyTk5uWGVyTWRNTGfSAWpBVV95cUxNckMwV0JlbWJmek5FYms0Ul9FalpaOWZjMzUzbWhJcnJ2R0xJdXNPaHUyM2YxSy1XZWZqWGpvWUhNMzc5NnFWUTlBdF92cjJMNVJTOXZDYkRWeWl4NXFUMk5Oblhlck1kTUxn?oc=5,google_rss_구글 과징금 when:2d,436.5,96.0,"antitrust_platform,legal_regulatory_enforcement,phishing_security,privacy_security_reliability",antitrust_general,"SKT,메타,쿠팡",brand_not_in_title,Y,,,,competitor:platform_obligation,platform_operator_obligation,14.0,published_yesterday,official_action,v27:platform_enforcement:coupang:privacy_data_violation,penalty_or_sanction,platform_enforcement:coupang:privacy_data_violation,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,coupang_competitor_enforcement_or_risk,Y,coupang,436.5,"legal_regulatory_enforcement,privacy_security_reliability",competitor:platform_obligation,global_incident:platform_enforcement:coupang:privacy_data_violation:sanction_penalty,global_incident:platform_enforcement:coupang:privacy_data_violation,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,개인정보 유출,쿠팡 개인정보 유출 과징금,카카오도 유사한 개인정보 유출 사고 발생 시 유사한 수준의 제재를 받을 수 있음을 시사.,2,1,1,,,"쿠팡의 개인정보 유출 및 과징금 부과 관련 뉴스로, 카카오의 개인정보 관리 및 보안 정책에 대한 시사점을 제공.",gemini,,,COMP_DOMESTIC_DIRECT_RISK,domestic,,"쿠팡의 대규모 과징금은 플랫폼 사업자의 개인정보 보호에 대한 규제 강화 추세를 보여주며, 카카오의 개인정보 관리 및 보안 강화 필요성을 강조.",쿠팡 개인정보 유출 과징금,개인정보 유출,,,
3250,경쟁사/해외이슈,경쟁사_해외이슈,구글,'SKT의 4.6배' 거액 때린 개인정보위 [쿠팡 역대급 과징금],skt의 4 6배 거액 때린 개인정보위 쿠팡 역대급 과징금,파이낸셜뉴스,파이낸셜뉴스,"Thu, 11 Jun 2026 09:47:30 GMT",'SKT의 4.6배' 거액 때린 개인정보위 [쿠팡 역대급 과징금] 파이낸셜뉴스,https://news.google.com/rss/articles/CBMiWkFVX3lxTE9pOHdEb3MxTDNTT2Q2UG5BOTRDWDBvQ1RmX1hWNk02T0t1TEJNOHVxZGU5ZVA2ZWM4azh5eG1maTR2VDczYmQ0c3NqV09Ya3pZdl9FTW5TMHNCd9IBXkFVX3lxTFBuQVFTV21EaE4tbUZfMk5pLWhrSXRxRlhlMDlNc1h4cDJkSndNNlJheXdRWF9hbTU4TEIwNXRwcUZZYm16cDBuWHNNNktRelBuZElUek5hclF6WnpOeUE?oc=5,google_rss_구글 site:fnnews.com when:2d,436.5,79.0,"antitrust_platform,legal_regulatory_enforcement",antitrust_general,"SKT,쿠팡",brand_not_in_title,Y,,,,competitor:platform_obligation,platform_operator_obligation,14.0,published_yesterday,official_action,v27:platform_enforcement:coupang:privacy_data_violation,penalty_or_sanction,platform_enforcement:coupang:privacy_data_violation,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,coupang_competitor_enforcement_or_risk,Y,coupang,436.5,legal_regulatory_enforcement,competitor:platform_obligation,global_incident:platform_enforcement:coupang:privacy_data_violation:sanction_penalty,global_incident:platform_enforcement:coupang:privacy_data_violation,경쟁사_해외이슈,GOV_PLATFORM_REGULATION,개인정보 유출,쿠팡 개인정보 유출 과징금,카카오의 개인정보 관리 및 보안에 대한 감독 강화 가능성을 시사.,2,1,1,,,"쿠팡의 개인정보 유출로 인한 대규모 과징금 부과 소식으로, 카카오의 유사 사고 발생 시 제재 강도를 예측하는 데 참고.",gemini,,GOV_DIRECT_PLATFORM_OBLIGATION,COMP_DOMESTIC_DIRECT_RISK,domestic,카카오 또는 주요 플랫폼 사업자에게 직접 의무·차단·보고·준수 부담이 생김,"쿠팡에 부과된 과징금 규모는 플랫폼 사업자의 개인정보 유출에 대한 정부의 강력한 제재 의지를 보여주며, 향후 카카오의 개인정보 보호 시스템 점검 및 강화의 필요성을 부각.",쿠팡 개인정보 유출 과징금,개인정보 유출,,,
2391,경쟁사/해외이슈,경쟁사_해외이슈,SKT,"SKT, 엔비디아 이어 앤트로픽도 ‘맞손’…“AI 인프라·데이터·보안, ‘날개’ 달았다”",skt 엔비디아 이어 앤트로픽도 맞손 ai 인프라 데이터 보안 날개 달았다,CEO스코어데일리,CEO스코어데일리,"Thu, 11 Jun 2026 22:00:00 GMT","SKT, 엔비디아 이어 앤트로픽도 ‘맞손’…“AI 인프라·데이터·보안, ‘날개’ 달았다” CEO스코어데일리",https://news.google.com/rss/articles/CBMiaEFVX3lxTE4zLWFBR204UV9xTlU1LTA0U2dVUDJOS2U5NFpmTlVxX3NjRzd2b2c3dzcyQzM1UVJDWUg0V3RSNjFmNlV6NDB4LURtWkF1OHhxb2txUWdoWFdBZWIzN3BpTC1XMm45M01l?oc=5,google_rss_SKT when:2d,367.0,25.0,"ai_infrastructure_security,phishing_security,privacy_security_reliability",security_general,"SKT,앤트로픽",,,,,,,general,24.0,published_today,direct_risk,global_incident:ai_security_policy:skt:anthropic_glasswing_security,general,,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,telco,367.0,"privacy_security_reliability,ai_infrastructure_security",competitor:security_reliability,global_incident:ai_security_policy:skt:anthropic_glasswing_security:general,global_incident:ai_security_policy:skt:anthropic_glasswing_security,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,AI 전략,국가 AI 인프라/AIDC/GPU 정책,SKT의 앤트로픽과의 협력은 카카오의 AI 기술 파트너십 전략에 대한 시사점을 제공.,2,1,1,,,SKT의 앤트로픽 협력 소식은 카카오의 AI 기술 파트너십 전략 수립에 참고.,gemini,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,"SKT가 앤트로픽과 협력하여 AI 인프라, 데이터, 보안 역량을 강화하는 것은 국내 AI 생태계에서 SKT의 경쟁력 확보 전략을 보여주며, 카카오 또한 글로벌 AI 기업과의 파트너십 강화 필요성을 시사.",국가 AI 인프라/AIDC/GPU 정책,AI 전략,,,
861,정부/국회,정부_국회,방송미디어통신위원회,"네이버·카카오·구글, 불법촬영 영상·사진 모두 차단해야… 7월부터 삭제 대상 확대",네이버 카카오 구글 불법촬영 영상 사진 모두 차단해야 7월부터 삭제 대상 확대,여성신문,여성신문,"Thu, 11 Jun 2026 05:14:24 GMT","네이버·카카오·구글, 불법촬영 영상·사진 모두 차단해야… 7월부터 삭제 대상 확대 여성신문",https://news.google.com/rss/articles/CBMic0FVX3lxTE9YRDUxR2c4akZHM0htVFlPRGV3YlFyWnJFZ1FPODQ1d3N0RkMxclRJNWVOakY0MFBoak80VTd6WkhoeUdJYWZfMW5SSnREUkVFZTU5Zm1VZ3gtNmlGOVIycjhWdGdnM2JUME1rZEoxeUUtc0XSAXNBVV95cUxPWEQ1MUdnOGpGRzNIbVRZT0Rld2JRclpyRWdRTzg0NXdzdEZDMXJUSTVlTmpGNDBQaGpPNFU3elpIaHlHSWFmXzFuUkp0RFJFRWU1OWZtVWd4LTZpRjlSMnI4VnRnZzNiVDBNa2RKMXlFLXNF?oc=5,"google_rss_""방송미디어통신위원회"" when:2d",361.6,67.5,platform_obligation,platform_obligation,"구글,네이버,카카오",,Y,,,,self:platform_obligation,platform_operator_obligation,14.0,published_yesterday,general,global_incident:platform_regulation:kakao:platform_content_moderation_obligation,general,,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,361.6,"policy_legislation,platform_obligation",self:platform_obligation,global_incident:platform_regulation:kakao:platform_content_moderation_obligation:general,global_incident:platform_regulation:kakao:platform_content_moderation_obligation,정부_국회,SELF_INCLUDED_REGULATION,콘텐츠 차단 의무,플랫폼 불법촬영 이미지 차단 의무 확대,"카카오톡, 카카오스토리 등 카카오의 소셜 서비스에 불법 촬영물 차단 의무가 적용되어 콘텐츠 검토 및 삭제 프로세스 강화가 필요.",1,1,1,,,정부의 불법촬영물 차단 의무 확대 조치는 카카오의 플랫폼 서비스 운영에 직접적인 영향을 미치므로 중요도가 높음.,gemini,RESPONSE_RELEVANT,GOV_DIRECT_PLATFORM_OBLIGATION,COMP_DOMESTIC_STRATEGY,mixed,"플랫폼 사업자로서 불법촬영물 유통 방지를 위한 기술적·관리적 보호 조치 강화 의무가 발생하며, 차단 대상 확대에 따른 정책 변경 및 시스템 대응이 요구됨.",카카오가 설명·정책 대응·준수 주체로 포함될 수 있는 이슈,플랫폼 불법촬영 이미지 차단 의무 확대,콘텐츠 차단 의무,,,
159,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,엔비디아가 선택한 네이버…AI 시대 카카오는 왜 밀렸나,엔비디아가 선택한 네이버 ai 시대 카카오는 왜 밀렸나,kmjournal.net,kmjournal.net,"Wed, 10 Jun 2026 22:51:21 GMT",엔비디아가 선택한 네이버…AI 시대 카카오는 왜 밀렸나 kmjournal.net,https://news.google.com/rss/articles/CBMia0FVX3lxTE1KSTMxR09vd0J5MFA4TTdIYmJzcEhER21VVDVmeVR1VGU0YjY0b0pQVGtwQXM0VjFiMkFzY2xlY0hvblR4cmtlTFlEWGpYLW9GTEhXYjI1bUwxNWdSazlNZHNhekc3dnR2MXVR?oc=5,google_rss_카카오 카나나 when:2d,358.8,32.0,ai_infrastructure_security,ai_infrastructure_security,"네이버,카카오",,,,,,,general,14.0,published_yesterday,business_change,event:네이버+카카오:ai_infrastructure_security,review_scheduled,,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,358.8,ai_infrastructure_security,self:ai_strategy,,,자사_및_계열사_이슈,SELF_AFFILIATE_BUSINESS,AI 전략,네이버 엔비디아 협력,네이버의 엔비디아와의 AI 인프라 협력이 카카오의 AI 기술 경쟁력 확보 전략에 대한 시사점을 제공.,2,1,1,,,네이버의 엔비디아와의 AI 협력은 카카오의 AI 전략 수립에 대한 시사점을 제공.,gemini,STRATEGIC_REFERENCE,,COMP_DOMESTIC_AI_PLATFORM,domestic,,"네이버가 엔비디아와 협력하여 AI 시대를 준비하는 반면, 카카오의 AI 전략이 상대적으로 조명받지 못하고 있다는 점은 향후 카카오의 AI 경쟁력 확보 전략에 대한 질문을 제기.",네이버 엔비디아 협력,AI 전략,,,
24,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,샘 올트먼 다시 한국행…삼성·네이버·카카오와 AI 동맹 넓힌다,샘 올트먼 다시 한국행 삼성 네이버 카카오와 ai 동맹 넓힌다,mstoday.co.kr,mstoday.co.kr,"Fri, 12 Jun 2026 01:42:50 GMT",샘 올트먼 다시 한국행…삼성·네이버·카카오와 AI 동맹 넓힌다 mstoday.co.kr,https://news.google.com/rss/articles/CBMibEFVX3lxTE9VZ0NvY2YtbzA2LVNRTWRFcHVFaDhQNU8zdXJoa3VOZm1xbF9tOEg5ME9iSG50aWpxbXNEMFBKQTQ0UkxSQlVtSUZpUFVHVHlEcXhxdlRwOUVySWVTMXRlUS1KdzJyenpsVHVDTA?oc=5,google_rss_카카오 when:2d,351.8,53.0,"ai_infrastructure_security,digital_asset_stablecoin",ai_infrastructure_security,"네이버,카카오",,,,,,,general,24.0,published_today,business_change,event:네이버+카카오:ai_infrastructure_security+digital_asset_stablecoin,general,,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,351.8,"ai_infrastructure_security,digital_asset_stablecoin",self:ai_strategy,,,자사_및_계열사_이슈,SELF_AFFILIATE_BUSINESS,AI 전략,오픈AI CEO 방한 및 AI 동맹,"오픈AI CEO의 방한 및 삼성, 네이버, 카카오와의 AI 동맹 논의는 카카오의 AI 기술 개발 방향 및 파트너십 전략에 영향을 미칠 수 있음.",1,1,1,,,오픈AI CEO의 방한 및 주요 기업과의 AI 동맹 논의는 카카오의 AI 전략 및 파트너십에 중요한 영향을 미치므로 최우선으로 분류.,gemini,STRATEGIC_REFERENCE,GOV_AI_CORE_POLICY,COMP_DOMESTIC_AI_PLATFORM,mixed,AI 기본법 등 정부의 AI 정책 방향과 오픈AI와 같은 글로벌 AI 선도 기업의 전략이 한국 시장에서 어떻게 접목될지 파악하는 것은 AI 정책 대응에 중요.,"샘 올트먼 CEO의 방한은 글로벌 AI 트렌드를 국내 기업들에게 전달하고, 한국 기업들의 AI 전략에 영향을 줄 것으로 예상됨. 네이버와의 AI 협력 또한 주목할 부분.",오픈AI CEO 방한 및 AI 동맹,AI 전략,,,
2254,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"네이버클라우드, '대한민국 국방산업발전대전'서 ‘국방 AX’ 전략 공개 … 소버린 AI 기반 전장 적용 제시",네이버클라우드 대한민국 국방산업발전대전 서 국방 ax 전략 공개 소버린 ai 기반 전장 적용 제시,워크투데이,워크투데이,"Thu, 11 Jun 2026 09:42:19 GMT","네이버클라우드, '대한민국 국방산업발전대전'서 ‘국방 AX’ 전략 공개 … 소버린 AI 기반 전장 적용 제시 워크투데이",https://news.google.com/rss/articles/CBMibEFVX3lxTFB0UnpqU01Xa2h2WmdkVzZha0pTakZodnVPSk1Oc1hwUlhGSWpxQmJRaXVNN3VPYzhPRnliUWlrQXRaNFRVb25teS1aeDhYMjZXNkg1dVF5N0R2dzc2NU9GU2l4dnlWSXIwdTRsbw?oc=5,google_rss_네이버 AI when:2d,351.5,81.5,"ai_infrastructure_security,platform_obligation,policy_legislation",ai_infrastructure_security,네이버,,Y,,,,competitor:platform_obligation,platform_operator_obligation,14.0,published_yesterday,business_change,global_incident:platform_regulation:naver:platform_operator_obligation,action_started,,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,351.5,"policy_legislation,ai_infrastructure_security,platform_obligation",competitor:platform_obligation,global_incident:platform_regulation:naver:platform_operator_obligation:announcement,global_incident:platform_regulation:naver:platform_operator_obligation,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,AI 전략,네이버클라우드 국방 AX 전략,네이버클라우드의 국방 분야 AI 적용 전략은 카카오의 공공 및 국방 시장 AI 사업 확장 가능성에 대한 시사점을 제공.,2,1,1,,,네이버클라우드의 국방 AI 전략은 카카오의 공공 시장 AI 사업에 대한 경쟁 및 협력 가능성을 시사.,gemini,,GOV_AI_CORE_POLICY,COMP_DOMESTIC_AI_PLATFORM,domestic,디지털플랫폼정부 정책과 연계하여 네이버클라우드의 국방 AI 솔루션 제공 사례는 카카오의 공공 시장 진출 전략 수립에 참고가 될 수 있음.,"네이버클라우드가 국방 분야에 특화된 AI 전략을 공개한 것은 공공 부문에서의 경쟁 심화를 예고하며, 카카오 또한 자체적인 공공 AI 솔루션 개발 및 공급 전략을 강화할 필요성을 시사.",네이버클라우드 국방 AX 전략,AI 전략,,,
2164,경쟁사/해외이슈,경쟁사_해외이슈,네이버,‘풀스택 인프라’ SKT vs ‘소버린 AI’ 네이버…엔비디아 협력 同床異色,풀스택 인프라 skt vs 소버린 ai 네이버 엔비디아 협력,대한경제,대한경제,"Thu, 11 Jun 2026 20:40:10 GMT",‘풀스택 인프라’ SKT vs ‘소버린 AI’ 네이버…엔비디아 협력 同床異色 대한경제,https://news.google.com/rss/articles/CBMidEFVX3lxTE9KZlZTUEZkSmY2Umc1UERmT282Uy1rTEFuNi1VcWRZMVBjTlZvVWZBTmRqbW9zaHZJdHZSNTdlTnplUGszYU5mazBBckk4bWV3YlhZRi1uOGpjYS1fMmEyd3lLb2RQd09qRlcyN091SWJ5anZB?oc=5,google_rss_네이버 when:2d,349.5,13.5,ai_infrastructure_security,ai_infrastructure_security,"SKT,네이버",,,,,,,general,24.0,published_today,business_change,event:SKT+네이버:ai_infrastructure_security,general,,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,349.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,AI 전략,KT 금융 AX/AI 인프라 전략,SKT와 앤트로픽의 협력 및 네이버의 AI 전략은 카카오의 AI 기술 및 파트너십 전략에 대한 비교 분석 및 시사점을 제공.,2,1,1,,,SKT와 앤트로픽의 협력 및 네이버의 AI 전략 비교는 카카오의 AI 경쟁 환경 분석에 유용.,gemini,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,"SKT가 앤트로픽과 협력하여 AI 인프라를 구축하고, 네이버가 소버린 AI 전략을 추진하는 것은 국내 AI 생태계의 다양한 전략 방향을 보여주며, 카카오의 차별화된 AI 전략 수립에 대한 고민을 요구.",KT 금융 AX/AI 인프라 전략,AI 전략,,,
2230,경쟁사/해외이슈,경쟁사_해외이슈,네이버,젠슨황·오픈AI에 앤트로픽도 '네이버 AI' 찾는다…16일 개발자 회동,젠슨황 오픈ai에 앤트로픽도 네이버 ai 찾는다 16일 개발자 회동,뉴스1,뉴스1,"Thu, 11 Jun 2026 02:28:02 GMT",젠슨황·오픈AI에 앤트로픽도 '네이버 AI' 찾는다…16일 개발자 회동 뉴스1,https://news.google.com/rss/articles/CBMiaEFVX3lxTE5hWUNLS2w2UlNBOVVuaTk4bll3YjhoeVAwMzhYc1BPaDJtSF9oRDdOMUM2QTNQLXVob3RIdGhTN2JrTTQtZENXOU5jcVA5TEdKT01sWlJQaDlsZDJ2SElaLXZDdWVEa0Zl?oc=5,google_rss_네이버 AI when:2d,348.5,16.0,ai_infrastructure_security,ai_infrastructure_security,"네이버,앤트로픽,오픈AI",,,,,,,general,14.0,published_yesterday,business_change,global_incident:ai_security_policy:naver:anthropic_glasswing_security,general,,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,348.5,ai_infrastructure_security,competitor:ai_strategy,global_incident:ai_security_policy:naver:anthropic_glasswing_security:general,global_incident:ai_security_policy:naver:anthropic_glasswing_security,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,AI 전략,네이버 AI 3대장과 회동,네이버가 글로벌 AI 리더들과의 협력을 강화하는 것은 카카오의 AI 경쟁력에 대한 압박 요인이 될 수 있음.,2,1,1,,,네이버의 글로벌 AI 리더들과의 만남은 카카오의 AI 경쟁 환경에 대한 중요한 정보 제공.,gemini,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,"네이버가 젠슨 황, 오픈AI, 앤트로픽 등 AI 빅3와 모두 만나는 것은 글로벌 AI 생태계에서 네이버의 위상을 보여주며, 카카오의 AI 협력 및 기술 개발 전략에 대한 자극이 됨.",네이버 AI 3대장과 회동,AI 전략,,,
2209,경쟁사/해외이슈,경쟁사_해외이슈,네이버,젠슨황·오픈AI에 앤트로픽도 '네이버 AI' 찾는다…16일 개발자 회동,젠슨황 오픈ai에 앤트로픽도 네이버 ai 찾는다 16일 개발자 회동,하이테크정보,하이테크정보,"Thu, 11 Jun 2026 11:30:27 GMT",젠슨황·오픈AI에 앤트로픽도 '네이버 AI' 찾는다…16일 개발자 회동 하이테크정보,https://news.google.com/rss/articles/CBMibEFVX3lxTE9zcWJCNEVaTk9yLWtyVk1md1BabGloZGtNV1BENlF5WVZrQkNZUUVCUUp2XzN3U2VZcUszRWdieXBWRFpwMEpHYWJ1bUU0ZjliVzUwbDVOWGVYWXVkNGgyejl2Q2hTbXlDVklURdIBbEFVX3lxTE9zcWJCNEVaTk9yLWtyVk1md1BabGloZGtNV1BENlF5WVZrQkNZUUVCUUp2XzN3U2VZcUszRWdieXBWRFpwMEpHYWJ1bUU0ZjliVzUwbDVOWGVYWXVkNGgyejl2Q2hTbXlDVklURQ?oc=5,google_rss_네이버 AI when:2d,347.5,16.0,ai_infrastructure_security,ai_infrastructure_security,"네이버,앤트로픽,오픈AI",,,,,,,general,14.0,published_yesterday,business_change,global_incident:ai_security_policy:naver:anthropic_glasswing_security,general,,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,347.5,ai_infrastructure_security,competitor:ai_strategy,global_incident:ai_security_policy:naver:anthropic_glasswing_security:general,global_incident:ai_security_policy:naver:anthropic_glasswing_security,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,AI 전략,네이버 AI 3대장과 회동,네이버가 글로벌 AI 리더들과의 협력을 강화하는 것은 카카오의 AI 경쟁력에 대한 압박 요인이 될 수 있음.,2,1,1,,,네이버의 글로벌 AI 리더들과의 만남은 카카오의 AI 경쟁 환경에 대한 중요한 정보 제공.,gemini,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,"네이버가 젠슨 황, 오픈AI, 앤트로픽 등 AI 빅3와 모두 만나는 것은 글로벌 AI 생태계에서 네이버의 위상을 보여주며, 카카오의 AI 협력 및 기술 개발 전략에 대한 자극이 됨.",네이버 AI 3대장과 회동,AI 전략,,,
