id,원카테고리,JSON카테고리,검색어,기사제목,기사제목_정규화,언론사,정규언론사,게시일,본문요약,링크,수집채널,랭킹점수,중요도점수,사건태그,사건단계,주요주체,랭킹감점사유,정책규제의무,강제검토,강제검토사유,자사홍보성,이슈패밀리,코드힌트,오늘성점수,오늘성사유,기사유형,v26이벤트키,v26진행단계,v27_event_key,v27_industry_ok,v27_industry_reason,v27_industry_score,v32_competitor_portfolio,v32_actor_group,랭킹원점수,편집신호,스토리버킷,전역사건키,전역사건기본키,Gemini카테고리,Gemini내부카테고리,Gemini이슈패밀리,Gemini이슈그룹,Gemini관련성,Gemini중요도,Gemini대외협력중요도,Gemini관련도,GeminiPR성,Gemini제외,Gemini판단사유,Gemini라벨소스,Gemini자사티어,Gemini정부티어,Gemini경쟁사티어,Gemini경쟁사범위,Gemini정책영향경로,Gemini경쟁시사점,Gemini중복그룹,Gemini이슈유형,v26_2_profile_reason,v36_competitor_block_reason
3523,경쟁사/해외이슈,경쟁사_해외이슈,구글,쿠팡 개인정보 유출 6246억 역대급 철퇴...SKT 3배·메타 7배 과징금에 형평성 논란 예고,쿠팡 개인정보 유출 6246억 역대급 철퇴 skt 3배 메타 7배 과징금에 형평성 논란 예고,테크M,테크M,"Thu, 11 Jun 2026 03:53:03 GMT",쿠팡 개인정보 유출 6246억 역대급 철퇴...SKT 3배·메타 7배 과징금에 형평성 논란 예고 테크M,https://news.google.com/rss/articles/CBMiakFVX3lxTE1yQzBXQmVtYmZ6TkViazRSX0VqWlo5ZmMzNTNtaElycnZHTEl1c09odTIzZjFLLVdlZmpYam9ZSE0zNzk2cVZROUF0X3ZyMkw1UlM5dkNiRFZ5aXg1cVQyTk5uWGVyTWRNTGfSAWpBVV95cUxNckMwV0JlbWJmek5FYms0Ul9FalpaOWZjMzUzbWhJcnJ2R0xJdXNPaHUyM2YxSy1XZWZqWGpvWUhNMzc5NnFWUTlBdF92cjJMNVJTOXZDYkRWeWl4NXFUMk5Oblhlck1kTUxn?oc=5,google_rss_구글 과징금 when:2d,436.5,96.0,"antitrust_platform,legal_regulatory_enforcement,phishing_security,privacy_security_reliability",antitrust_general,"SKT,메타,쿠팡",brand_not_in_title,Y,,,,competitor:platform_obligation,platform_operator_obligation,14.0,published_yesterday,official_action,v27:platform_enforcement:coupang:privacy_data_violation,penalty_or_sanction,platform_enforcement:coupang:privacy_data_violation,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,Y,coupang,436.5,"legal_regulatory_enforcement,privacy_security_reliability",competitor:platform_obligation,global_incident:platform_enforcement:coupang:privacy_data_violation:sanction_penalty,global_incident:platform_enforcement:coupang:privacy_data_violation,정부_국회,COMPETITOR_PLATFORM_RISK,플랫폼 규제/제재,쿠팡 개인정보 유출 과징금 부과,경쟁사에 대한 역대급 개인정보 유출 과징금은 카카오의 개인정보 보호 책임과 규제 준수 중요성을 강조한다.,1,1,1,,Y,국내 주요 경쟁사에 대한 역대급 개인정보 유출 과징금 부과는 카카오의 개인정보보호 리스크 관리 및 규제 준수 노력에 직접적인 영향을 미치는 중요한 정책 집행 사례임. / v23_guardrail_fail:v26_2_government_without_central_public_actor_action:no_public_actor_action_domain,gemini,,GOV_REGULATORY_ENFORCEMENT,COMP_DOMESTIC_DIRECT_RISK,domestic,"플랫폼 사업자의 개인정보 보호 의무 위반 시 정부의 강한 제재 의지를 보여주며, 카카오의 개인정보 보호 정책 및 시스템에 대한 추가적인 점검 및 강화 필요성을 시사한다.","주요 경쟁사의 대규모 과징금은 시장 내 규제 리스크를 높이고, 카카오를 포함한 모든 플랫폼 사업자가 유사한 수준의 개인정보 보호 의무를 가지므로, 잠재적 규제 리스크에 대한 면밀한 대비가 필요함을 시사한다.",쿠팡 개인정보 유출 과징금 부과,플랫폼 규제/제재,,
3572,경쟁사/해외이슈,경쟁사_해외이슈,구글,'SKT의 4.6배' 거액 때린 개인정보위 [쿠팡 역대급 과징금],skt의 4 6배 거액 때린 개인정보위 쿠팡 역대급 과징금,파이낸셜뉴스,파이낸셜뉴스,"Thu, 11 Jun 2026 09:47:30 GMT",'SKT의 4.6배' 거액 때린 개인정보위 [쿠팡 역대급 과징금] 파이낸셜뉴스,https://news.google.com/rss/articles/CBMiWkFVX3lxTE9pOHdEb3MxTDNTT2Q2UG5BOTRDWDBvQ1RmX1hWNk02T0t1TEJNOHVxZGU5ZVA2ZWM4azh5eG1maTR2VDczYmQ0c3NqV09Ya3pZdl9FTW5TMHNCd9IBXkFVX3lxTFBuQVFTV21EaE4tbUZfMk5pLWhrSXRxRlhlMDlNc1h4cDJkSndNNlJheXdRWF9hbTU4TEIwNXRwcUZZYm16cDBuWHNNNktRelBuZElUek5hclF6WnpOeUE?oc=5,google_rss_구글 site:fnnews.com when:2d,433.5,79.0,"antitrust_platform,legal_regulatory_enforcement",antitrust_general,"SKT,쿠팡",brand_not_in_title,Y,,,,competitor:platform_obligation,platform_operator_obligation,14.0,published_yesterday,official_action,v27:platform_enforcement:coupang:privacy_data_violation,penalty_or_sanction,platform_enforcement:coupang:privacy_data_violation,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,Y,coupang,433.5,legal_regulatory_enforcement,competitor:platform_obligation,global_incident:platform_enforcement:coupang:privacy_data_violation:sanction_penalty,global_incident:platform_enforcement:coupang:privacy_data_violation,정부_국회,GOV_PLATFORM_REGULATION,플랫폼 규제/제재,쿠팡 개인정보 유출 과징금 부과,경쟁사에 대한 역대급 개인정보 유출 과징금은 카카오의 개인정보 보호 책임과 규제 준수 중요성을 강조한다.,1,1,1,,,국내 주요 경쟁사에 대한 역대급 개인정보 유출 과징금 부과는 카카오의 개인정보보호 리스크 관리 및 규제 준수 노력에 직접적인 영향을 미치는 중요한 정책 집행 사례임.,gemini,,GOV_REGULATORY_ENFORCEMENT,COMP_DOMESTIC_DIRECT_RISK,domestic,"플랫폼 사업자의 개인정보 보호 의무 위반 시 정부의 강한 제재 의지를 보여주며, 카카오의 개인정보 보호 정책 및 시스템에 대한 추가적인 점검 및 강화 필요성을 시사한다.","주요 경쟁사의 대규모 과징금은 시장 내 규제 리스크를 높이고, 카카오를 포함한 모든 플랫폼 사업자가 유사한 수준의 개인정보 보호 의무를 가지므로, 잠재적 규제 리스크에 대한 면밀한 대비가 필요함을 시사한다.",쿠팡 개인정보 유출 과징금 부과,플랫폼 규제/제재,,
2680,경쟁사/해외이슈,경쟁사_해외이슈,SKT,"SKT, 엔비디아 이어 앤트로픽도 ‘맞손’…“AI 인프라·데이터·보안, ‘날개’ 달았다”",skt 엔비디아 이어 앤트로픽도 맞손 ai 인프라 데이터 보안 날개 달았다,CEO스코어데일리,CEO스코어데일리,"Thu, 11 Jun 2026 22:00:00 GMT","SKT, 엔비디아 이어 앤트로픽도 ‘맞손’…“AI 인프라·데이터·보안, ‘날개’ 달았다” CEO스코어데일리",https://news.google.com/rss/articles/CBMia0FVX3lxTE1ydF9zaS01dVg5ZkxiMU5BWGdLemNIREdZRG84bC1sQ0JpaS1DZFZrRlJIVjRhOERCZDhKd3ZhUXhhZDZ4bzA1bGhVYXJXUGY3bnlqbzgyV1FVWXlkWUVPQWJZSE94YmR0UThN?oc=5,google_rss_SKT when:2d,365.0,25.0,"ai_infrastructure_security,phishing_security,privacy_security_reliability",security_general,"SKT,앤트로픽",,,,,,,general,24.0,published_today,direct_risk,global_incident:ai_security_policy:skt:anthropic_glasswing_security,general,,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,Y,telco,365.0,"privacy_security_reliability,ai_infrastructure_security",competitor:security_reliability,global_incident:ai_security_policy:skt:anthropic_glasswing_security:general,global_incident:ai_security_policy:skt:anthropic_glasswing_security,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,경쟁사 AI 전략,국가 AI 인프라/AIDC/GPU 정책,경쟁사의 AI 인프라 및 기술력 강화는 카카오의 AI 사업 전략 수립 및 시장 경쟁 구도에 영향을 미친다.,2,2,2,,,국내 통신 경쟁사인 SKT가 글로벌 AI 핵심 기업들과의 협력을 통해 AI 인프라 및 기술력을 강화하는 것은 카카오의 AI 전략 및 시장 경쟁력에 대한 중요한 경쟁사 동향임.,gemini,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,"통신 경쟁사인 SKT가 엔비디아, 앤트로픽 등 글로벌 AI 선도 기업들과의 파트너십을 통해 AI 인프라 및 기술 역량을 강화하는 것은 카카오의 AI 사업 확장 및 통신사와의 경쟁 관계에 시사하는 바가 크다.",국가 AI 인프라/AIDC/GPU 정책,경쟁사 AI 전략,,
205,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,엔비디아가 선택한 네이버…AI 시대 카카오는 왜 밀렸나,엔비디아가 선택한 네이버 ai 시대 카카오는 왜 밀렸나,kmjournal.net,kmjournal.net,"Wed, 10 Jun 2026 22:51:21 GMT",엔비디아가 선택한 네이버…AI 시대 카카오는 왜 밀렸나 kmjournal.net,https://news.google.com/rss/articles/CBMia0FVX3lxTE1KSTMxR09vd0J5MFA4TTdIYmJzcEhER21VVDVmeVR1VGU0YjY0b0pQVGtwQXM0VjFiMkFzY2xlY0hvblR4cmtlTFlEWGpYLW9GTEhXYjI1bUwxNWdSazlNZHNhekc3dnR2MXVR?oc=5,google_rss_카카오 카나나 when:2d,354.8,32.0,ai_infrastructure_security,ai_infrastructure_security,"네이버,카카오",,,,,,,general,14.0,published_yesterday,business_change,event:네이버+카카오:ai_infrastructure_security,review_scheduled,,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,Y,naver,354.8,ai_infrastructure_security,self:ai_strategy,,,경쟁사_해외이슈,SELF_AFFILIATE_BUSINESS,경쟁사 AI 전략,국가 AI 인프라/AIDC/GPU 정책,경쟁사의 AI 전략 및 시장 성과에 대한 분석은 카카오의 AI 사업 방향성 및 투자 전략을 재고하는 계기가 된다.,1,2,1,,,"카카오의 AI 전략을 경쟁사 네이버와 비교하며 분석하는 기사로, 카카오의 AI 시장 내 위치 및 경쟁력 강화를 위한 전략적 참고가 필요함.",gemini,STRATEGIC_REFERENCE,,COMP_DOMESTIC_AI_PLATFORM,domestic,,엔비디아가 네이버를 선택한 배경과 카카오의 상대적 위치에 대한 시장의 분석은 카카오가 AI 시대 경쟁 우위를 확보하기 위한 전략적 고민과 방향 설정에 대한 중요한 시사점을 제공한다.,국가 AI 인프라/AIDC/GPU 정책,경쟁사 AI 전략,,
2453,경쟁사/해외이슈,경쟁사_해외이슈,네이버,엔비디아 이어 오픈AI도 네이버 찾는다…AI 거물들 몰리는 이유는,엔비디아 이어 오픈ai도 네이버 찾는다 ai 거물들 몰리는 이유는,네이트,네이트,"Fri, 12 Jun 2026 06:14:00 GMT",엔비디아 이어 오픈AI도 네이버 찾는다…AI 거물들 몰리는 이유는 네이트,https://news.google.com/rss/articles/CBMiU0FVX3lxTFAzMWNzRDV2YnRZWFF1UDczbG83VGlHdVRkY21lQ1hwYnVKUGRPRlI4bm5oeGNQWWZMTXhxc0lHNFU3THV4bk1RR0I4UVducTh0b3I4?oc=5,google_rss_네이버 AI when:2d,352.0,16.0,ai_infrastructure_security,ai_infrastructure_security,"네이버,오픈AI",,,,,,,general,24.0,published_today,business_change,global_incident:ai_security_policy:naver:openai_security_access,general,,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,Y,naver,352.0,ai_infrastructure_security,competitor:ai_strategy,global_incident:ai_security_policy:naver:openai_security_access:general,global_incident:ai_security_policy:naver:openai_security_access,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,경쟁사 AI 전략,국가 AI 인프라/AIDC/GPU 정책,"국내 주요 경쟁사인 네이버가 엔비디아, OpenAI 등 글로벌 AI 선도 기업들과의 협력을 통해 AI 인프라 및 서비스 역량을 강화하는 것은 카카오의 AI 전략 및 시장 경쟁 구도에 직접적인 시사점을 제공한다.",1,2,1,,,"국내 주요 경쟁사인 네이버가 엔비디아, OpenAI 등 글로벌 AI 선도 기업들과의 협력을 통해 AI 인프라 및 서비스 역량을 강화하는 것은 카카오의 AI 전략 및 시장 경쟁 구도에 직접적인 시사점을 제공함.",gemini,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,네이버가 글로벌 AI 거물들과의 파트너십을 통해 AI 기술 및 인프라 경쟁력을 강화하는 것은 카카오의 AI 사업 추진에 있어 경쟁사 대비 우위를 확보하기 위한 전략적 대응 필요성을 시사한다.,국가 AI 인프라/AIDC/GPU 정책,경쟁사 AI 전략,,
2437,경쟁사/해외이슈,경쟁사_해외이슈,네이버,엔비디아 이어 오픈AI도 네이버 찾는다…AI 거물들 몰리는 이유는,엔비디아 이어 오픈ai도 네이버 찾는다 ai 거물들 몰리는 이유는,아시아투데이,아시아투데이,"Fri, 12 Jun 2026 06:13:09 GMT",엔비디아 이어 오픈AI도 네이버 찾는다…AI 거물들 몰리는 이유는 아시아투데이,https://news.google.com/rss/articles/CBMibkFVX3lxTE1ubVh5cHloQ0dwc0o0VHdERGpPbFdjVVh4T2xyUWRZUXlxT1BnTUU2S1dDUVBONmhCQ0lKT0RmRTJMQ2lnOHg3RE1scEQ0OUZYd0dpNFNJRU4wS1JSSk1LaUdHUVBQZGtJTnhrUGtB?oc=5,"google_rss_""네이버"" when:2d",352.0,16.0,ai_infrastructure_security,ai_infrastructure_security,"네이버,오픈AI",,,,,,,general,24.0,published_today,business_change,global_incident:ai_security_policy:naver:openai_security_access,general,,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,Y,naver,352.0,ai_infrastructure_security,competitor:ai_strategy,global_incident:ai_security_policy:naver:openai_security_access:general,global_incident:ai_security_policy:naver:openai_security_access,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,경쟁사 AI 전략,국가 AI 인프라/AIDC/GPU 정책,"국내 주요 경쟁사인 네이버가 엔비디아, OpenAI 등 글로벌 AI 선도 기업들과의 협력을 통해 AI 인프라 및 서비스 역량을 강화하는 것은 카카오의 AI 전략 및 시장 경쟁 구도에 직접적인 시사점을 제공한다.",1,2,1,,,"국내 주요 경쟁사인 네이버가 엔비디아, OpenAI 등 글로벌 AI 선도 기업들과의 협력을 통해 AI 인프라 및 서비스 역량을 강화하는 것은 카카오의 AI 전략 및 시장 경쟁 구도에 직접적인 시사점을 제공함.",gemini,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,네이버가 글로벌 AI 거물들과의 파트너십을 통해 AI 기술 및 인프라 경쟁력을 강화하는 것은 카카오의 AI 사업 추진에 있어 경쟁사 대비 우위를 확보하기 위한 전략적 대응 필요성을 시사한다.,국가 AI 인프라/AIDC/GPU 정책,경쟁사 AI 전략,,
2506,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"엔비디아, 네이버와 AI 인프라 확장... 차세대 AI 인프라 확장 개시",엔비디아 네이버와 ai 인프라 확장 차세대 ai 인프라 확장 개시,인벤,인벤,"Fri, 12 Jun 2026 09:11:04 GMT","엔비디아, 네이버와 AI 인프라 확장... 차세대 AI 인프라 확장 개시 인벤",https://news.google.com/rss/articles/CBMiaEFVX3lxTE1XTWlnVnQ1TFowWmRLY0NkeFprWGR5UWpCUktlNEQ0azY1ck1RNmpQTHJqZElzVVRSZVhEMkdBWFcwUzNSd200Y09BWUxfT2llM2I4czZ4VkdJZXRlWktBSzFadnVieW1M?oc=5,google_rss_네이버 규제 when:2d,351.5,13.5,ai_infrastructure_security,ai_infrastructure_security,네이버,,,,,,,general,24.0,published_today,business_change,event:네이버:ai_infrastructure_security,action_started,,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,Y,naver,351.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,경쟁사 AI 전략,국가 AI 인프라/AIDC/GPU 정책,"국내 주요 경쟁사인 네이버가 엔비디아, OpenAI 등 글로벌 AI 선도 기업들과의 협력을 통해 AI 인프라 및 서비스 역량을 강화하는 것은 카카오의 AI 전략 및 시장 경쟁 구도에 직접적인 시사점을 제공한다.",1,2,1,,,"국내 주요 경쟁사인 네이버가 엔비디아, OpenAI 등 글로벌 AI 선도 기업들과의 협력을 통해 AI 인프라 및 서비스 역량을 강화하는 것은 카카오의 AI 전략 및 시장 경쟁 구도에 직접적인 시사점을 제공함.",gemini,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,네이버가 글로벌 AI 거물들과의 파트너십을 통해 AI 기술 및 인프라 경쟁력을 강화하는 것은 카카오의 AI 사업 추진에 있어 경쟁사 대비 우위를 확보하기 위한 전략적 대응 필요성을 시사한다.,국가 AI 인프라/AIDC/GPU 정책,경쟁사 AI 전략,,
2418,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"[젠슨 황 이펙트⑨] 베일 벗은 엔비디아와 네이버 동맹, 이해진 젠슨 황 손잡고 AI 인프라 영토 확장",젠슨 황 이펙트 베일 벗은 엔비디아와 네이버 동맹 이해진 젠슨 황 손잡고 ai 인프라 영토 확장,비즈니스포스트,비즈니스포스트,"Fri, 12 Jun 2026 07:45:12 GMT","[젠슨 황 이펙트⑨] 베일 벗은 엔비디아와 네이버 동맹, 이해진 젠슨 황 손잡고 AI 인프라 영토 확장 비즈니스포스트",https://news.google.com/rss/articles/CBMic0FVX3lxTFAwUVBkM0hJMlllNzJ6dFlJS0o0VnlJaDlvcnp0ZEFDYjlabXRMeWZyMVlfWVY3YWk0enV5OHpjLVBMaEotMnpBVFVIdng2X2IxYWZVNzk4MTFLRkxqalFEanMzQkpsaDRDU290alJ0SXhwR3M?oc=5,google_rss_네이버 when:2d,349.5,13.5,ai_infrastructure_security,ai_infrastructure_security,네이버,,,,,,,general,24.0,published_today,business_change,event:네이버:ai_infrastructure_security,general,,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,Y,naver,349.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,경쟁사 AI 전략,국가 AI 인프라/AIDC/GPU 정책,"국내 주요 경쟁사인 네이버가 엔비디아, OpenAI 등 글로벌 AI 선도 기업들과의 협력을 통해 AI 인프라 및 서비스 역량을 강화하는 것은 카카오의 AI 전략 및 시장 경쟁 구도에 직접적인 시사점을 제공한다.",1,2,1,,,"국내 주요 경쟁사인 네이버가 엔비디아, OpenAI 등 글로벌 AI 선도 기업들과의 협력을 통해 AI 인프라 및 서비스 역량을 강화하는 것은 카카오의 AI 전략 및 시장 경쟁 구도에 직접적인 시사점을 제공함.",gemini,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,네이버가 글로벌 AI 거물들과의 파트너십을 통해 AI 기술 및 인프라 경쟁력을 강화하는 것은 카카오의 AI 사업 추진에 있어 경쟁사 대비 우위를 확보하기 위한 전략적 대응 필요성을 시사한다.,국가 AI 인프라/AIDC/GPU 정책,경쟁사 AI 전략,,
2393,경쟁사/해외이슈,경쟁사_해외이슈,네이버,앤트로픽도 네이버 1784로... 'AI 3대장' 모두 찾은 K-인프라 저력,앤트로픽도 네이버 1784로 ai 3대장 모두 찾은 k 인프라 저력,마켓잉크,마켓잉크,"Fri, 12 Jun 2026 05:54:33 GMT",앤트로픽도 네이버 1784로... 'AI 3대장' 모두 찾은 K-인프라 저력 마켓잉크,https://news.google.com/rss/articles/CBMibkFVX3lxTE1qWW02azRmRE9WRVA0djNyajZjV0RGQV9RUGV0ck1PYW5oSUlrQ0F2Q2tWODY2RUtxV1otdy1mbEhRbXU3MUV1Wk55Y3B6d2ctWDFEN0szbUt4c1V5OHdmQWF0ZlRmdDZrSlpmdG93?oc=5,google_rss_네이버 when:2d,349.5,13.5,ai_infrastructure_security,ai_infrastructure_security,"네이버,앤트로픽",,,,,,,general,24.0,published_today,business_change,global_incident:ai_security_policy:naver:anthropic_glasswing_security,general,,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,Y,naver,349.5,ai_infrastructure_security,competitor:ai_strategy,global_incident:ai_security_policy:naver:anthropic_glasswing_security:general,global_incident:ai_security_policy:naver:anthropic_glasswing_security,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,경쟁사 AI 전략,국가 AI 인프라/AIDC/GPU 정책,"국내 주요 경쟁사인 네이버가 엔비디아, OpenAI 등 글로벌 AI 선도 기업들과의 협력을 통해 AI 인프라 및 서비스 역량을 강화하는 것은 카카오의 AI 전략 및 시장 경쟁 구도에 직접적인 시사점을 제공한다.",1,2,1,,,"국내 주요 경쟁사인 네이버가 엔비디아, OpenAI 등 글로벌 AI 선도 기업들과의 협력을 통해 AI 인프라 및 서비스 역량을 강화하는 것은 카카오의 AI 전략 및 시장 경쟁 구도에 직접적인 시사점을 제공함.",gemini,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,네이버가 글로벌 AI 거물들과의 파트너십을 통해 AI 기술 및 인프라 경쟁력을 강화하는 것은 카카오의 AI 사업 추진에 있어 경쟁사 대비 우위를 확보하기 위한 전략적 대응 필요성을 시사한다.,국가 AI 인프라/AIDC/GPU 정책,경쟁사 AI 전략,,
30,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,샘 올트먼 다시 한국행…삼성·네이버·카카오와 AI 동맹 넓힌다,샘 올트먼 다시 한국행 삼성 네이버 카카오와 ai 동맹 넓힌다,mstoday.co.kr,mstoday.co.kr,"Fri, 12 Jun 2026 01:42:50 GMT",샘 올트먼 다시 한국행…삼성·네이버·카카오와 AI 동맹 넓힌다 mstoday.co.kr,https://news.google.com/rss/articles/CBMibEFVX3lxTE9VZ0NvY2YtbzA2LVNRTWRFcHVFaDhQNU8zdXJoa3VOZm1xbF9tOEg5ME9iSG50aWpxbXNEMFBKQTQ0UkxSQlVtSUZpUFVHVHlEcXhxdlRwOUVySWVTMXRlUS1KdzJyenpsVHVDTA?oc=5,google_rss_카카오 when:2d,347.8,53.0,"ai_infrastructure_security,digital_asset_stablecoin",ai_infrastructure_security,"네이버,카카오",,,,,,,general,24.0,published_today,business_change,event:네이버+카카오:ai_infrastructure_security+digital_asset_stablecoin,general,,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,Y,naver,347.8,"ai_infrastructure_security,digital_asset_stablecoin",self:ai_strategy,,,자사_및_계열사_이슈,SELF_AFFILIATE_BUSINESS,AI 전략 제휴,샘 올트먼 OpenAI CEO 방한 및 한국 기업 AI 협력 논의 (계획),글로벌 AI 선두주자인 OpenAI CEO와의 잠재적 협력 논의는 카카오의 AI 전략 방향 및 기술 제휴 기회를 모색하는 데 중요한 영향을 미친다.,1,1,1,,,샘 올트먼 OpenAI CEO의 방한 및 카카오와의 회동 계획은 카카오의 AI 전략 및 글로벌 파트너십 기회에 직접적인 영향을 미치는 중요한 이슈임.,gemini,STRATEGIC_REFERENCE,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오 현직자가 사업 방향과 외부 질의 가능성을 참고할 실질 변화,샘 올트먼 OpenAI CEO 방한 및 한국 기업 AI 협력 논의 (계획),AI 전략 제휴,,
