id,원카테고리,JSON카테고리,검색어,기사제목,기사제목_정규화,언론사,정규언론사,게시일,본문요약,링크,수집채널,랭킹점수,중요도점수,사건태그,사건단계,주요주체,랭킹감점사유,정책규제의무,강제검토,강제검토사유,자사홍보성,이슈패밀리,코드힌트,오늘성점수,오늘성사유,기사유형,v26이벤트키,v26진행단계,v27_event_key,v27_industry_ok,v27_industry_reason,v27_industry_score,v32_competitor_portfolio,v32_actor_group,랭킹원점수,편집신호,스토리버킷,전역사건키,전역사건기본키,Gemini카테고리,Gemini내부카테고리,Gemini이슈패밀리,Gemini이슈그룹,Gemini관련성,Gemini중요도,Gemini대외협력중요도,Gemini관련도,GeminiPR성,Gemini제외,Gemini판단사유,Gemini라벨소스,Gemini자사티어,Gemini정부티어,Gemini경쟁사티어,Gemini경쟁사범위,Gemini정책영향경로,Gemini경쟁시사점,Gemini중복그룹,Gemini이슈유형,v26_2_profile_reason,v36_competitor_block_reason,v26가드레일사유,v32_weak_non_digital_gov
1033,경쟁사/해외이슈,경쟁사_해외이슈,SKT,"쿠팡, 개인정보 위반에 6246억 과징금…SKT 4배 넘는 역대 최대",쿠팡 개인정보 위반에 6246억 과징금 skt 4배 넘는 역대 최대,MSN,MSN,"Sat, 13 Jun 2026 08:55:10 GMT","쿠팡, 개인정보 위반에 6246억 과징금…SKT 4배 넘는 역대 최대 MSN",https://news.google.com/rss/articles/CBMi5AJBVV95cUxQYXB0cEJpaDYxTkhQaE52VFMxQVJQRlFzRTJYOE1Jd1pYc3l0ZVB5dFRDRVh0TlVyRVRpd29uZU0wZFBJYjVUWUZBc000UzZickJGRGRRN0tRY1NSYzlfWERtdFRldzh3dDFFZWdOT0xvRnVZX2NBX19nM3hPYjF6NWFvT3E1OFZZOEtLV282al9Vb0VvYXBHVWVmeEFieDFYVkpuY19qbWVmN0tFcFh4OWlodmtOTnQtVFptUThzbUV3QXd2ZVE0RzEyeXdHdjNCLW5uU2tpajRZSEpjRHFVNW5OY0dkbkcyTzVWU0VGN3ktZkVSTENnUmExMXhSSVJ4SGlJSzNVbk5MLURJS0Q1Uy1xTU1IeGxycHEzTG9ZcmU5V0NvNTdFMUlZME1XeklOSXp3OHpIYjd5WUFvTUl4SDRudjl0X1VzV1NMVHZtZnc1b0F1dS1ORUdFWUE3YXF0c0RuUg?oc=5,google_rss_SKT when:2d,443.5,79.0,"antitrust_platform,legal_regulatory_enforcement",antitrust_general,"SKT,쿠팡",,Y,,,,competitor:platform_obligation,platform_operator_obligation,14.0,published_yesterday,official_action,v27:platform_enforcement:coupang:privacy_data_violation,penalty_or_sanction,platform_enforcement:coupang:privacy_data_violation,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,Y,coupang,443.5,legal_regulatory_enforcement,competitor:platform_obligation,global_incident:platform_enforcement:coupang:privacy_data_violation:sanction_penalty,global_incident:platform_enforcement:coupang:privacy_data_violation,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,플랫폼 규제,쿠팡 개인정보 유출 과징금,국내 주요 플랫폼 사업자에게 개인정보 보호 의무 강화 및 위반 시 막대한 과징금 부과 가능성 시사. 카카오의 개인정보 관리 및 규제 준수 노력에 대한 압박으로 작용함.,1,1,1,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,gemini,,,COMP_DOMESTIC_DIRECT_RISK,domestic,,"경쟁사의 역대급 과징금 부과는 모든 플랫폼 사업자의 개인정보 보호 노력을 강화하도록 만들며, 규제 리스크 관리의 중요성을 부각함.",쿠팡 개인정보 유출 과징금,플랫폼 규제,,,,
1020,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"美 정부, 앤트로픽 AI 모델 미토스·페이블 외국인 접근 차단",정부 앤트로픽 ai 모델 미토스 페이블 외국인 접근 차단,뉴스1,뉴스1,"Sat, 13 Jun 2026 03:25:20 GMT","美 정부, 앤트로픽 AI 모델 미토스·페이블 외국인 접근 차단 뉴스1",https://news.google.com/rss/articles/CBMiWEFVX3lxTE9Kbjc1b3R6T2QtenRIbm5hOUc0UHZiVXhrOEZHX0d0SVJQT2hBbXpzZ0hDWGVzSEE4YTNsQjdsMUpRS1l6aWFlMFM1ZUt2eHVmNnpCYm13Q0c?oc=5,google_rss_네이버 site:news1.kr when:2d,374.5,80.0,"ai_infrastructure_security,platform_obligation",ai_infrastructure_security,"앤트로픽,토스",brand_not_in_title,Y,,,,government:platform_obligation,platform_operator_obligation,14.0,published_yesterday,business_change,global_incident:platform_regulation:toss:platform_operator_obligation,general,,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,Y,naver,374.5,"ai_infrastructure_security,platform_obligation",government:platform_obligation,global_incident:platform_regulation:toss:platform_operator_obligation:general,global_incident:platform_regulation:toss:platform_operator_obligation,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,AI 규제,앤트로픽 AI 모델 외국인 접근 차단,글로벌 AI 서비스의 국가별 접근 제한 및 데이터 주권 관련 규제 동향은 카카오 AI 서비스의 해외 진출 및 협력 전략에 영향을 미칠 수 있음.,1,1,1,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,gemini,,,COMP_OVERSEAS_REGULATION_DATA,overseas,,"해외 정부의 AI 모델 접근 제한 조치는 글로벌 AI 시장의 불확실성을 높이고, 카카오의 AI 서비스 개발 및 배포 시 국제 규제 환경을 면밀히 검토해야 함을 시사함.",앤트로픽 AI 모델 외국인 접근 차단,AI 규제,,,,
942,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"교보증권 ""네이버, 엔비디아와 손잡고 20조 시장 승부수…AI 팩토리 폭풍 온다""",교보증권 네이버 엔비디아와 손잡고 20조 시장 승부수 ai 팩토리 폭풍 온다,핀포인트뉴스,핀포인트뉴스,"Sun, 14 Jun 2026 00:53:03 GMT","교보증권 ""네이버, 엔비디아와 손잡고 20조 시장 승부수…AI 팩토리 폭풍 온다"" 핀포인트뉴스",https://news.google.com/rss/articles/CBMic0FVX3lxTE96Tzd1aURLdzQ1YW5BYmxvTm9lMkl6bVk0N096d1pvZFp6MHhyMDg3bXo2RlVocUxxRXNzaFVtYjJuNU9RYkFuOWg3NFlRakIwOF9PeEswNTc1dG13dFl5LWo2eWRaYTl3T3dZcUNfeEJsblU?oc=5,google_rss_네이버 when:2d,351.5,13.5,ai_infrastructure_security,ai_infrastructure_security,네이버,,,,,,,general,24.0,published_today,business_change,event:네이버:ai_infrastructure_security,general,,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,Y,naver,351.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,AI 전략,국가 AI 인프라/AIDC/GPU 정책,국내 주요 경쟁사의 AI 인프라 확장은 카카오의 AI 투자 및 서비스 개발 전략에 경쟁적 압박으로 작용할 수 있음.,1,1,1,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,gemini,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,"네이버의 엔비디아와의 AI 인프라 확장은 국내 AI 시장에서 선두 경쟁을 심화시킬 것이며, 카카오도 AI 기술 및 인프라 확보에 더욱 박차를 가해야 함을 시사함.",국가 AI 인프라/AIDC/GPU 정책,AI 전략,,,,
1014,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"엔비디아, 네이버와 AI 인프라 확장... 차세대 AI 인프라 확장 개시",엔비디아 네이버와 ai 인프라 확장 차세대 ai 인프라 확장 개시,인벤,인벤,"Sat, 13 Jun 2026 19:16:27 GMT","엔비디아, 네이버와 AI 인프라 확장... 차세대 AI 인프라 확장 개시 인벤",https://news.google.com/rss/articles/CBMia0FVX3lxTE84dFpEQktMSk5kOGVrQW1GSGFWRVpNb1UyMmxGZE16QkdMLU5jRnMtd3FmaVdoSjBBZFRMRkFJd2puUHBOYnpLaXgyWm1ob3BrUFpRODItLTY4dGZOWHhmWERoZEtEaWtxSDJR?oc=5,google_rss_네이버 규제 when:2d,349.5,13.5,ai_infrastructure_security,ai_infrastructure_security,네이버,,,,,,,general,24.0,published_today,business_change,event:네이버:ai_infrastructure_security,action_started,,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,Y,naver,349.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,AI 전략,국가 AI 인프라/AIDC/GPU 정책,국내 주요 경쟁사의 AI 인프라 확장은 카카오의 AI 투자 및 서비스 개발 전략에 경쟁적 압박으로 작용할 수 있음.,1,1,1,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,gemini,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,"네이버의 엔비디아와의 AI 인프라 확장은 국내 AI 시장에서 선두 경쟁을 심화시킬 것이며, 카카오도 AI 기술 및 인프라 확보에 더욱 박차를 가해야 함을 시사함.",국가 AI 인프라/AIDC/GPU 정책,AI 전략,,,,
1554,경쟁사/해외이슈,경쟁사_해외이슈,중국 AI,"구글, AI 스캠에 맞서 중국 해킹 조직에 첫 소송…FBI·통신사와 공조",구글 ai 스캠에 맞서 중국 해킹 조직에 첫 소송 fbi 통신사와 공조,네이트,네이트,"Sat, 13 Jun 2026 06:41:00 GMT","구글, AI 스캠에 맞서 중국 해킹 조직에 첫 소송…FBI·통신사와 공조 네이트",https://news.google.com/rss/articles/CBMiU0FVX3lxTE5rdzNoa2lrUTBDUHFidnp5NXE4STRUc0YxX3Rya2JIM3hUWk41bzhtRUU3bTR1LXpfZGtBSmhVTTNTcGNVaGdEQTFpWldfZXlfcVhB?oc=5,google_rss_중국 AI when:2d,347.5,45.5,"ai_infrastructure_security,phishing_security,privacy_security_reliability",security_hacking_incident,구글,,,,,,,general,14.0,published_yesterday,direct_risk,privacy_security:google:data_leak,general,,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,Y,global,347.5,"privacy_security_reliability,ai_infrastructure_security",competitor:security_reliability,global_incident:privacy_security:google:google:data_leak:general,global_incident:privacy_security:google:google,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,AI 보안,구글 AI 스캠 대응 소송,"AI를 활용한 사이버 범죄 및 스캠은 카카오 서비스 사용자에게도 위협이 될 수 있으며, 이에 대한 글로벌 플랫폼의 대응 사례는 카카오의 보안 전략 수립에 참고가 됨.",1,1,2,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,gemini,,,COMP_OVERSEAS_REGULATION_DATA,overseas,,"글로벌 빅테크의 AI 활용 사기 및 해킹에 대한 법적 대응은 AI 시대의 사이버 보안 중요성을 강조하며, 카카오도 선제적인 보안 강화 노력이 필요함을 시사함.",구글 AI 스캠 대응 소송,AI 보안,,,,
1252,경쟁사/해외이슈,경쟁사_해외이슈,구글,"구글, AI 스캠에 맞서 중국 해킹 조직에 첫 소송…FBI·통신사와 공조",구글 ai 스캠에 맞서 중국 해킹 조직에 첫 소송 fbi 통신사와 공조,디지털투데이,디지털투데이,"Sat, 13 Jun 2026 06:40:10 GMT","구글, AI 스캠에 맞서 중국 해킹 조직에 첫 소송…FBI·통신사와 공조 디지털투데이",https://news.google.com/rss/articles/CBMic0FVX3lxTE9OQVBLbEp3Yy0wVnplaERTd2o1czRQbDRBTlRacC1ETGlhaVVWMzZXMFRvSmthUTdrckRLVmpHdDM3X0hReXFPbHcxYUJHTDR6Q0ttME1OS2VvQU94OGtsdEp1eXpJN09uaktvSVdNa2kzSmc?oc=5,google_rss_구글 when:2d,347.5,45.5,"ai_infrastructure_security,phishing_security,privacy_security_reliability",security_hacking_incident,구글,,,,,,,general,14.0,published_yesterday,direct_risk,privacy_security:google:data_leak,general,,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,Y,global,347.5,"privacy_security_reliability,ai_infrastructure_security",competitor:security_reliability,global_incident:privacy_security:google:google:data_leak:general,global_incident:privacy_security:google:google,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,AI 보안,구글 AI 스캠 대응 소송,"AI를 활용한 사이버 범죄 및 스캠은 카카오 서비스 사용자에게도 위협이 될 수 있으며, 이에 대한 글로벌 플랫폼의 대응 사례는 카카오의 보안 전략 수립에 참고가 됨.",1,1,2,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,gemini,,,COMP_OVERSEAS_REGULATION_DATA,overseas,,"글로벌 빅테크의 AI 활용 사기 및 해킹에 대한 법적 대응은 AI 시대의 사이버 보안 중요성을 강조하며, 카카오도 선제적인 보안 강화 노력이 필요함을 시사함.",구글 AI 스캠 대응 소송,AI 보안,,,,
1031,경쟁사/해외이슈,경쟁사_해외이슈,SKT,"SKT, 일본 NTT·대만 중화텔레콤과 AI 펀드 만든다...5억달러 규모",skt 일본 ntt 대만 중화텔레콤과 ai 펀드 만든다 5억달러 규모,MSN,MSN,"Sat, 13 Jun 2026 13:59:45 GMT","SKT, 일본 NTT·대만 중화텔레콤과 AI 펀드 만든다...5억달러 규모 MSN",https://news.google.com/rss/articles/CBMi5AJBVV95cUxNaElyZUdkZ1RiOXhFQjZfRlRlRlozRWFLYkJLUGJtOC1Oemx1VUY5d052Mm9zWEFMbDRiTktZdEg0MGpRbWJjSUlEQmtSNHhHNTFoT1FIMG40SXYtdDI2MDJIX1UteVJkS1pVdWZ5N1BOaFk0MkYtZHFsckYyVlJvMU1aYnlGQ1VxcG54bGVHT3ZKSkxVNlYwcFFiUFhubzhXbWk3MFlFanhvOEVkOTZybHdkS1pFNl8tUWRhQkdOcGFiMC1GdWRPZ2xBa2kzWEhUQnd4MHdoZWxMUVNjY2FLVmYwZGdOT2ZhQzdqU0tZX2czak40WUR4eEZWUlRHbGpqQ2hTc005VkpYVnBwYkM0RUdPVTFqamF5bzhGZ0RNZnZhZFFMckxvMGFNOFpVWjJiOXVlR1JwNEtwS3JUM29odWxGQ3hmUUszV3MxT2tCNXNDajdkaTF1NDEyRlhqbWJnaFNyNg?oc=5,google_rss_SKT when:2d,342.5,11.0,ai_infrastructure_security,ai_infrastructure_security,SKT,,,,,,,general,14.0,published_yesterday,business_change,event:SKT:ai_infrastructure_security,general,,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,Y,telco,342.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,AI 전략,KT 금융 AX/AI 인프라 전략,국내 통신사 경쟁사의 글로벌 AI 투자 및 협력 확대는 카카오의 AI 생태계 구축 및 해외 진출 전략에 대한 시사점을 제공함.,1,1,1,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,gemini,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,"SKT의 글로벌 AI 펀드 조성을 통한 투자 확대는 국내외 AI 시장에서 경쟁 우위 확보를 위한 적극적인 움직임으로, 카카오의 AI 파트너십 및 투자 전략에도 영향을 줄 수 있음.",KT 금융 AX/AI 인프라 전략,AI 전략,,,,
977,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"쿠팡, 개인정보 유출·무단수집 '철퇴'…과징금 6247억 : 네이버 블로그",쿠팡 개인정보 유출 무단수집 철퇴 과징금 6247억 네이버 블로그,Naver Blog,Naver Blog,"Sat, 13 Jun 2026 14:19:32 GMT","쿠팡, 개인정보 유출·무단수집 '철퇴'…과징금 6247억 : 네이버 블로그 Naver Blog",https://news.google.com/rss/articles/CBMijwFBVV95cUxOVW1mWG91YlpSY0RaODY4dFZ4N0xvU1kxMzFFYmwySTc2YXViVEtQLWVWd2lObVdKQ2lzUEZoamJuUkE3dld6M1EzbjRfVmpUZjdsT1RINGpPR0l2Sl9FVHhOYnRvY3pudndPenNYUlVsQlB6SnZUQjVJd1l6MzVIUlY2VTVrNTlmZko1ckNxRQ?oc=5,google_rss_네이버 when:2d,334.5,68.5,"antitrust_platform,legal_regulatory_enforcement,phishing_security,privacy_security_reliability",antitrust_general,"네이버,쿠팡",,Y,,,,competitor:platform_obligation,platform_operator_obligation,14.0,published_yesterday,official_action,v27:platform_enforcement:coupang:privacy_data_violation,penalty_or_sanction,platform_enforcement:coupang:privacy_data_violation,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,Y,naver,334.5,"legal_regulatory_enforcement,privacy_security_reliability",competitor:platform_obligation,global_incident:platform_enforcement:coupang:privacy_data_violation:sanction_penalty,global_incident:platform_enforcement:coupang:privacy_data_violation,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,플랫폼 규제,쿠팡 개인정보 유출 과징금,국내 주요 플랫폼 사업자에게 개인정보 보호 의무 강화 및 위반 시 막대한 과징금 부과 가능성 시사. 카카오의 개인정보 관리 및 규제 준수 노력에 대한 압박으로 작용함.,1,1,1,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,gemini,,,COMP_DOMESTIC_DIRECT_RISK,domestic,,"경쟁사의 역대급 과징금 부과는 모든 플랫폼 사업자의 개인정보 보호 노력을 강화하도록 만들며, 규제 리스크 관리의 중요성을 부각함.",쿠팡 개인정보 유출 과징금,플랫폼 규제,,,,
1007,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"네이버 D2SF, AI 보안 투자...에임인텔리전스와 동맹",네이버 d2sf ai 보안 투자 에임인텔리전스와 동맹,MSN,MSN,"Sat, 13 Jun 2026 04:06:11 GMT","네이버 D2SF, AI 보안 투자...에임인텔리전스와 동맹 MSN",https://news.google.com/rss/articles/CBMiuAJBVV95cUxQM2hjR3JrQm9PV2VmM1hGYlpwdTJISUR6XzVOYVhZakdYY2NvMVdOdlBOWFplNlpBLWZuUVZVR0hCVWI5Mm44a004US1rZ1ZqTmg5X3B2eG9xSl9tZVdtMU9sd2NHT3FVS2ZCYUtjTElBdXlHcTVXM2ZTY3V4UHRBbXU0Q2FDcnBzbVJOeWZmb2x0TXRKTm8xNGVJZ3kzNmUyWmtZM05Sb19rUWVHNF9oVEdpYzRUNkxDU2pocHctcUVoUk9TZTN2YjZweWJ5SG1BRW9kZUIwQ0tCV19ZUFMzSTJaNXJFVXluamc3V3U3SlZNVzdGM3ZUQ1F6bUVFWnRxbnZ1SGR6QXNlckJPSTVzRkV5Z0g5dDlwVDJhWWRHa25sZlhTWHZfRUY5MmZiSmFZREI1T2xHVmM?oc=5,google_rss_네이버 AI when:2d,327.0,27.5,"ai_infrastructure_security,phishing_security,privacy_security_reliability",security_general,네이버,,,,,,,general,14.0,published_yesterday,direct_risk,global_incident:ai_security_policy:naver:ai_security_policy,general,,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,Y,naver,327.0,"privacy_security_reliability,ai_infrastructure_security",competitor:security_reliability,global_incident:ai_security_policy:naver:ai_security_policy:general,global_incident:ai_security_policy:naver:ai_security_policy,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,AI 보안,네이버 AI 보안 스타트업 투자,국내 주요 경쟁사의 AI 보안 기술 투자 동향은 카카오의 AI 보안 강화 및 관련 기술 도입 전략 수립에 참고가 됨.,1,1,1,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,gemini,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,"네이버의 AI 보안 스타트업 투자는 AI 서비스의 신뢰성 확보를 위한 경쟁사의 노력을 보여주며, 카카오도 AI 보안 역량 강화에 집중해야 함을 시사함.",네이버 AI 보안 스타트업 투자,AI 보안,,,,
1023,경쟁사/해외이슈,경쟁사_해외이슈,SKT,AI 거물들 잇는 SKT…글로벌 협력망 확대,ai 거물들 잇는 skt 글로벌 협력망 확대,미디어펜,미디어펜,"Sun, 14 Jun 2026 01:14:29 GMT",AI 거물들 잇는 SKT…글로벌 협력망 확대 미디어펜,https://news.google.com/rss/articles/CBMiWEFVX3lxTE10T2ZHUU1sRVh6OGZPVE1GT1hlVXdTRzFMUF8tYWRaWGY1akx0U2pqd0pQTG1WZ09TeXlrYWdLb1RSSlNQT2M2WHI0Y241cklydDBwYVlCNmnSAVhBVV95cUxNdE9mR1FNbEVYejhmT1RNRk9YZVV3U0cxTFBfLWFkWlhmNWpMdFNqandKUExtVmdPU3l5a2FnS29UUkpTUE9jNlhyNGNuNXJJcnQwcGFZQjZp?oc=5,google_rss_SKT when:2d,314.0,11.0,ai_infrastructure_security,ai_infrastructure_security,SKT,,,,,,,general,24.0,published_today,business_change,event:SKT:ai_infrastructure_security,general,,Y,"industry_basis_pass:actor=True,change=True,bridge=False",2,Y,telco,314.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,AI 전략,KT 금융 AX/AI 인프라 전략,국내 통신사 경쟁사의 AI 사업 확장 및 글로벌 협력 동향은 카카오의 AI 전략 수립 및 파트너십 모색에 대한 시사점을 제공함.,1,1,2,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,gemini,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,"SKT의 AI 글로벌 협력 확대는 국내외 AI 시장에서의 경쟁을 심화시킬 것이며, 카카오도 AI 기술 선도 및 생태계 구축을 위한 노력을 지속해야 함.",KT 금융 AX/AI 인프라 전략,AI 전략,,,,
