검색어,후보제목,후보링크,후보언론사,매칭과거일자,매칭과거제목,매칭과거링크,중복판정이유,공유주체,공유사건태그,종합점수,제목점수,토큰점수,본문점수,제외단계,후보대표점수,원문날짜,날짜검증결과,v20_issue_id,v20_issue_group,매칭대표점수
카카오,KR + IT = 야호~,https://news.google.com/rss/articles/CBMiZEFVX3lxTE9hUk5ERTlHWkVHRjB3NmV6WWI0bk5nUHI3azU3OVM5Q1hkRkhvWEFRbDd4QzZiZm94TG0zNHVYa1dWRFJadzFPU2F3NFVrWnRVR3ZoRlBnMUVjQTJvWE5pc0pwd3k?oc=5,대한민국 정책브리핑,COLLECTION_FILTER,,,collection_relevance:collection_relevance:self_entity_absent_from_title_and_front_summary,,,,,,,,,,,,,
카카오,"[주식민원처리반 3부] '고영, 카카오' 월요일에 선택할 이 종목은? - 머니투데이",https://news.google.com/rss/articles/CBMiaEFVX3lxTFB4VHpUdE1oSXhNbUE1ekxRU2NXVnRxWE5lc0NReWl2d245NHBYRWZpeFZOeGpDWTlvNjhJRWRHR2FxenVka1Ezc20wZXVVOFpRN0N3YXFmZU1pdXRNVVR2WU5Hd3pzXzRE0gFuQVVfeXFMTW5XVnZ0clI3MTdqR3FEMkFDS1JaWWQ0ek5hZ0ZJaDlJVzdrTk0xTE1HYk1ZRUp0TGN2MjJhcVdxMmJEdWZnaHRtWDZPVDRULUItcXF6bFNZa2gxMTJaRjFwamlSczJvclVJV0pheHc?oc=5,머니투데이,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"""AI 없인 다음 없다""…카뱅이 그린 AI뱅크의 청사진[인터뷰]",https://news.google.com/rss/articles/CBMiU0FVX3lxTE9wSlhZVlBFdm9PUU5oQVRFSUdsMnZMbVVMMjduSUg2YzBUNENnc3pQdzZBT3kzQnRyNTN3aThuT0ZPM1A0UkltbWE1NXNLNm8yR2hV?oc=5,네이트,COLLECTION_FILTER,,,collection_relevance:photo_or_caption_title,,,,,,,,,,,,,
카카오,"[주식민원처리반 3부] '고영, 카카오' 월요일에 선택할 이 종목은?",https://news.google.com/rss/articles/CBMiZEFVX3lxTE9jRTJ3cjlOTlA0OUwwMjA3TFppNE0ya0Y1WW8zOEpvZ0NzVDJfUy1IRHdnT2F6U0Z6QjBuR0NyWG5kMW1oTU9SUGRfWG00WVhrODBDNGs5OVJCUDhYOEVMYV9JdHE?oc=5,MTN 머니투데이방송,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,티빙 개인정보 탈탈 털렸는데...카카오·네이버 연동 회원들 괜찮나요?,https://news.google.com/rss/articles/CBMic0FVX3lxTE9Pc20yVEgzTmRoQVUzQzF5OGVRLTJGMEplNHFjWFkxblg4VkY1X0p6ZU5EbGtaM1dkRFZqWTFrQWZEZjd4TU9ta1pfNTU0S3JYT0FkT0dMMFpuamFlSkNqeHhEem10eGF5RVZ4bGMyVVhSM1XSAXNBVV95cUxPT3NtMlRIM05kaEFVM0MxeThlUS0yRjBKZTRxY1hZMW5YOFZGNV9KemVORGxrWjNXZERWalkxa0FmRGY3eE1PbWtaXzU1NEtyWE9BZE9HTDBabmphZUpDanh4RHptdHhheUVWeGxjMlVYUjNV?oc=5,뉴스워커,2026-06-13,티빙 개인정보 탈탈 털렸는데...카카오·네이버 연동 회원들 괜찮나요?,http://www.newsworker.co.kr/news/articleViewAmp.html?idxno=431097,index_same_title_hash,,,1.0,,,,,,,,,,
카카오,최근 5거래일 카카오 주가 41500원 강세 마감,https://news.google.com/rss/articles/CBMickFVX3lxTE1iZ2JVRWlWZ2xJWDRZT2NTdER4ZmxRNGJPdWU3eFQ4OTg4Mk9Tb2Z5UkJLUmZJR1BpbFlnQ2h5MHhtbHZwZy1SbWFjam9HWjNNYVUxR1VCVW5hNHc4SUs2Z3NTTW1raHozNGFQZ01EZ21XUQ?oc=5,TopStarNews,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"[주식민원처리반 3부] '고영, 카카오' 월요일에 선택할 이 종목은?",https://news.google.com/rss/articles/CBMiU0FVX3lxTE01VmtPNThNSGhLcHB4M3kxV0pmWEpOaDg5NGxHbUtXb0hJSjB0Ml9EYUE5NDBtcWQ5Nko2amVCOF9BWDFYSGdRVzlEWklkTUFlRzlB?oc=5,네이트,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,전구 이모지 뭐길래?...카카오뱅크 AI 퀴즈 정답 (6월 14일),https://news.google.com/rss/articles/CBMiVkFVX3lxTE93TmJwMW9sZi1lamZfblNQRHN2a0lGUmpuV2VtZVhvTU5GMFZyOHdSai1nUXFWLWxDcEVRZU84aXlUVlpFb0EzR1NKdTZoMENtb3pSZzl3?oc=5,위키트리,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"춘천시, 자동차세 고지서 카카오톡으로 받는다",https://news.google.com/rss/articles/CBMiYEFVX3lxTE5BWkRBTE5Fd2dsaHF6OVktYy1jc3JSUkdtRFdYMWhUcW1Cb0t2RmRtMEMySEtWM0lxRjFuU09UclZ6WFN1R2hlMUF4SndBam8yMkJJOW5qbF8zeFJCZUZYZQ?oc=5,아시아경제,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"메시지 하나 읽기 어려워진 국민메신저…이용자들은 왜, 카카오톡에 등을 돌리기 시작했나",https://news.google.com/rss/articles/CBMiaEFVX3lxTE1Dd2syVlV0bWdjQ0tfa3ZreW9tQ1J3UEVkeG9rZUJJaWFmOW55aHhSd1hROGRRT1BzaDdWRGJvMkVCTW80d2NraUxNRnRMaUQtdlpzaEFkQ0xBNTRkM3ZyYzhqQ0ZIOEJ3?oc=5,복지TV부울경방송,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"직방 AI중개사, 카카오톡에서 쓴다",https://news.google.com/rss/articles/CBMiTkFVX3lxTFBmTGYxdHI1cHNWTjBIdC1LdEowalpwYlVON2lIOE1qRWFKNXgtV0hrN3RCR2xVV005ZXpJMjBxUUlKVnJFNEdOdDdfamx1Zw?oc=5,전자신문,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"네이버·SKT, 엔비디아와 AI 협력…카카오 첫 파업[뉴스잇(IT)쥬]",https://news.google.com/rss/articles/CBMiYEFVX3lxTE9yU3dHd29SeDQwOVlGMUR1M2w0dzdPaDVvcG8yWDcwUkRjdWd1NUozVkx6R1FQT1kxYjdzY3RWNlAxemJqQTBJV0FwRjFLUEowVjNmMjR1QW02N3ZwVTZabw?oc=5,뉴스1,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
