id,원카테고리,JSON카테고리,검색어,기사제목,기사제목_정규화,언론사,정규언론사,게시일,본문요약,링크,수집채널,랭킹점수,중요도점수,사건태그,사건단계,주요주체,랭킹감점사유,정책규제의무,강제검토,강제검토사유,자사홍보성,이슈패밀리,코드힌트,오늘성점수,오늘성사유,기사유형,v26이벤트키,v26진행단계,v27_industry_ok,v27_industry_reason,v27_industry_score,v32_competitor_basis,v32_competitor_portfolio,v32_actor_group,랭킹원점수,편집신호,스토리버킷,전역사건키,전역사건기본키,Gemini카테고리,Gemini내부카테고리,Gemini이슈패밀리,Gemini이슈그룹,Gemini관련성,Gemini중요도,Gemini대외협력중요도,Gemini관련도,GeminiPR성,Gemini제외,Gemini판단사유,Gemini라벨소스,Gemini자사티어,Gemini정부티어,Gemini경쟁사티어,Gemini경쟁사범위,Gemini정책영향경로,Gemini경쟁시사점,Gemini중복그룹,Gemini이슈유형,v27_event_key,v26_2_profile_reason,v32_weak_non_digital_gov,v26가드레일사유
1898,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"네이버, 로봇 ‘뇌’ 키운다…엔비디아와 ‘맞손’, ‘피지컬 AI’ 승부수",네이버 로봇 뇌 키운다 엔비디아와 맞손 피지컬 ai 승부수,CEO스코어데일리,CEO스코어데일리,"Tue, 23 Jun 2026 08:33:49 GMT","네이버, 로봇 ‘뇌’ 키운다…엔비디아와 ‘맞손’, ‘피지컬 AI’ 승부수 CEO스코어데일리",https://news.google.com/rss/articles/CBMia0FVX3lxTFA3LU92MUIwR3c5SjQ2cGNUQlQ1dTdzOXJpUTlIVFB3OWMyWkhjaE5HOGtOX3c1ZWE4MXhXM0ljT3FtS0pRVGJUb1BlQzlZYXFCdlhaWF8wSE45VkYyUFRySldHNElXSDhlQVVZ?oc=5,google_rss_네이버 AI when:2d,345.0,13.5,ai_infrastructure_security,ai_infrastructure_security,네이버,,,,,,,general,14.0,published_yesterday,business_change,global_incident:leadership_service:naver:leadership_service,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,345.0,ai_infrastructure_security,competitor:ai_strategy,global_incident:leadership_service:naver:leadership_service:general,global_incident:leadership_service:naver:leadership_service,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,global_incident:leadership_service:naver:leadership_service,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:leadership_service:naver:leadership_service,comp_domestic_ai_platform,,,,
1929,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"네이버, 엔비디아 DSX로 ‘AI 팩토리’ 짓는다…55MW로 시작해 기가와트급 소버린 AI로",네이버 엔비디아 dsx로 ai 팩토리 짓는다 55mw로 시작해 기가와트급 소버린 ai로,AI 매터스,AI 매터스,"Tue, 23 Jun 2026 05:49:39 GMT","네이버, 엔비디아 DSX로 ‘AI 팩토리’ 짓는다…55MW로 시작해 기가와트급 소버린 AI로 AI 매터스",https://news.google.com/rss/articles/CBMiVEFVX3lxTE9rVlJ2U01yanpLZHU0UmpSTmtPc0h6bk5YeXdob1ZzUV8xTVBiU2hvVFZRdmZMWVFmOUxJRlBjZi0zQVRHT002SU1OQlJXbUd6Z1VLag?oc=5,google_rss_네이버 AI when:2d,345.0,13.5,ai_infrastructure_security,ai_infrastructure_security,네이버,,,,,,,general,14.0,published_yesterday,business_change,event:네이버:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,345.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:네이버 엔비디아 dsx로 ai 팩토리 짓는다 55mw로 시작해 기가와트급 소버린 ai로,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:네이버 엔비디아 dsx로 ai 팩토리 짓는다 55mw로 시작해 기가와트급 소버린 ai로,comp_domestic_ai_platform,,,,
1992,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"젠슨 황 오피셜, ""엔비디아 ♥ 네이버클라우드""",젠슨 황 오피셜 엔비디아 네이버클라우드,인벤,인벤,"Tue, 23 Jun 2026 03:14:35 GMT","젠슨 황 오피셜, ""엔비디아 ♥ 네이버클라우드"" 인벤",https://news.google.com/rss/articles/CBMid0FVX3lxTE5Sakd6R0s3LUU2MFFOWUttODdoMVhKNVpzSW9WLVpuR2ctWGF4MGlaZkZ5RFlQU0duRlM1V05IdGVvazRCX3RHTmxBSG9NeGRwWE1NTnQyNzljbko4UW0tYzc4a1BKRmFpX1NIcEZJWXBFSmtxMk9j?oc=5,google_rss_네이버 스테이블코인 when:2d,335.0,6.5,,,네이버,,,,,,,general,14.0,published_yesterday,general,,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,335.0,,,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:젠슨 황 오피셜 엔비디아 네이버클라우드,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:젠슨 황 오피셜 엔비디아 네이버클라우드,comp_domestic_ai_platform,,,,
2427,경쟁사/해외이슈,경쟁사_해외이슈,구글,AI 검색 광고 시장 1000억 달러 시대 열린다… ChatGPT·구글이 바꾸는 광고 산업의 새로운 질서,ai 검색 광고 시장 1000억 달러 시대 열린다 chatgpt 구글이 바꾸는 광고 산업의 새로운 질서,aimkt.biz,aimkt.biz,"Wed, 24 Jun 2026 00:51:03 GMT",AI 검색 광고 시장 1000억 달러 시대 열린다… ChatGPT·구글이 바꾸는 광고 산업의 새로운 질서 aimkt.biz,https://news.google.com/rss/articles/CBMiswJBVV95cUxQWTJwNmJnSFVyMC1xb0NfR1ZEa2d0S1BqeFhIMjh2Q200RXBFemFwcDU5SWh0b1VUTE50bVMzaUFwU09vVlAyT3pobUlxeVNXbW1JZWlNaldOYkluWENmR1ZxaFU0a2xxUXdoTS1oM0ViNnJqNFFYOUw0T3hIYTdFRDBlNzFENDZYY2FmV01QeW1PQUliVEhnbU5CVW5uWFJabXlsSHVGMUFwTjRBb1Z4aUdZZlNHV3NXM2ZCbjhvcmJEeExpQU5iSW4wMWw0cTNUSUlETk8yT0laa1ptVzkyWm5oU0FIQ0xoRTN0M3FValdaYXFpMDFkR2dHNEVsQi1Ec0xORG9IZ00wVFp4UTBNdHZGeXlDWE9yMG5nck9xNXRSSUF6UGY0U3kyVWRiLUpIYWlN?oc=5,google_rss_구글 when:2d,325.0,19.0,"ai_infrastructure_security,search_ads",ai_infrastructure_security,"구글,오픈AI",,,,,,,general,24.0,published_today,business_change,event:구글+오픈AI:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,global,325.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:ai 검색 광고 시장 1000억 달러 시대 열린다 chatgpt 구글이 바꾸는 광고 산업의 새로운 질서,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:ai 검색 광고 시장 1000억 달러 시대 열린다 chatgpt 구글이 바꾸는 광고 산업의 새로운 질서,comp_domestic_ai_platform,,,,
2085,경쟁사/해외이슈,경쟁사_해외이슈,KT,"KT, 기업용 AI 전환 플랫폼 AX Harness 공개",kt 기업용 ai 전환 플랫폼 ax harness 공개,2news.co.kr,2news.co.kr,"Tue, 23 Jun 2026 23:13:00 GMT","KT, 기업용 AI 전환 플랫폼 AX Harness 공개 2news.co.kr",https://news.google.com/rss/articles/CBMiaEFVX3lxTFBIVldOZERsdDRpb0ZBMkVhWUdGTE4yVmZHUHQ4LWxMb0hrTUdKZ2VZamlqU2ZxalE0ZjNEbjJReld6cUl1Qi1JUjFrZ3NBaHVtbjBXei1qWlE2cHR0eXlKOE8zdVpra0w0?oc=5,google_rss_KT when:2d,322.0,18.0,"ai_infrastructure_security,market_power_platform",ai_infrastructure_security,KT,,,,,,,general,24.0,published_today,business_change,global_incident:platform_regulation:kt:platform_regulation,rumor_or_report,Y,"industry_basis_pass:actor=True,change=True,bridge=False",2,naver_telco_strategy_or_infra,Y,telco,322.0,"market_power_platform,ai_infrastructure_security",competitor:regulatory_enforcement,global_incident:platform_regulation:kt:platform_regulation:announcement,global_incident:platform_regulation:kt:platform_regulation,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_ai_platform,,,,
2092,경쟁사/해외이슈,경쟁사_해외이슈,KT,[AI 인프라 전쟁]엔비디아 훈풍 못 탄 KT…AI 인프라 경쟁서 존재감 숙제 : 네이버 블로그,ai 인프라 전쟁 엔비디아 훈풍 못 탄 kt ai 인프라 경쟁서 존재감 숙제 네이버 블로그,Naver Blog,Naver Blog,"Tue, 23 Jun 2026 21:23:59 GMT",[AI 인프라 전쟁]엔비디아 훈풍 못 탄 KT…AI 인프라 경쟁서 존재감 숙제 : 네이버 블로그 Naver Blog,https://news.google.com/rss/articles/CBMijwFBVV95cUxNWmYyYkJJaDRRdUdIMGZFNjU4UHFUR0RickNMaHpkbEk3UUdNZnVGeU9Ra21vOTRSZWpFLUppWkY2eUJMbFhEX2t3MjA0MmhFSGN5NXdzbnF2ZXFldllrZm1WaDVQU1lHR3RhN3lXTDliMjUxc0g0ZDZLYVhId1M1RkRrbnE2M1laaFg0WE03cw?oc=5,google_rss_KT when:2d,321.5,-16.5,ai_infrastructure_security,ai_infrastructure_security,"KT,네이버",,,,,,,general,24.0,published_today,business_change,event:KT+네이버:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,321.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,국가 AI 인프라/AIDC/GPU 정책,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,국가 AI 인프라/AIDC/GPU 정책,comp_domestic_ai_platform,,,,
1811,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"네이버클라우드-지멘스, 제조 산업 AI 전환(AX) 가속화",네이버클라우드 지멘스 제조 산업 ai 전환 ax 가속화,2news.co.kr,2news.co.kr,"Wed, 24 Jun 2026 01:57:00 GMT","네이버클라우드-지멘스, 제조 산업 AI 전환(AX) 가속화 2news.co.kr",https://news.google.com/rss/articles/CBMiaEFVX3lxTE5SdUZNeTBXTXZ6VW1YOFVOVlV2UHByUTZTdEN0b1ZhMU9oa3drTm5oR2lPU0dBN3NRREdtR0s5UmdjaHF6X3hzZURKbjh6NS1Qb2cwVHh4ZWVWYUlPZEkwMk9hYkhSS3Br?oc=5,google_rss_네이버 when:2d,314.5,13.5,ai_infrastructure_security,ai_infrastructure_security,네이버,,,,,,,general,24.0,published_today,business_change,event:네이버:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,314.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:네이버클라우드 지멘스 제조 산업 ai 전환 ax 가속화,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:네이버클라우드 지멘스 제조 산업 ai 전환 ax 가속화,comp_domestic_ai_platform,,,,
1828,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"네이버클라우드, 제조 AX 협력 확대한다",네이버클라우드 제조 ax 협력 확대한다,smartbizn.com,smartbizn.com,"Wed, 24 Jun 2026 00:52:58 GMT","네이버클라우드, 제조 AX 협력 확대한다 smartbizn.com",https://news.google.com/rss/articles/CBMibEFVX3lxTE9yVjluaUpwaDBvMy1sT2VZZEFFd1RXUDhqU3BJMDdabzdkR2UwV2Z2dzVHYkgxYnQwVFRKcDRTMjN3OXNFaEtmanBEbGlnNk1fdFQzaXUzczQ4aGY5VVFYbC01bXl5M1RJdVlXWg?oc=5,google_rss_네이버 when:2d,314.5,13.5,kim_beomsoo_trial,kim_beomsoo_trial,네이버,,,,,,,general,24.0,published_today,general,event:네이버:kim_beomsoo_trial,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,314.5,,,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:네이버클라우드 제조 ax 협력 확대한다,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:네이버클라우드 제조 ax 협력 확대한다,comp_domestic_ai_platform,,,,
2093,경쟁사/해외이슈,경쟁사_해외이슈,KT,"KT, 현장 중심 AX 체계 구축…필요한 AI 모델 자유롭게 '활용'",kt 현장 중심 ax 체계 구축 필요한 ai 모델 자유롭게 활용,네이트,네이트,"Tue, 23 Jun 2026 23:02:00 GMT","KT, 현장 중심 AX 체계 구축…필요한 AI 모델 자유롭게 '활용' 네이트",https://news.google.com/rss/articles/CBMieEFVX3lxTE1taVAzRVNLTmdTa1lrMXdPUGdCQmEyRVNnRzVvRllhSjBSSnhranozeDZkMUtzYk0tV0NmS0lFODRPMHhjU0hUR2puMm54QkNDejhUWXFEbEV1N3JhSFc4V3VTMFlLR2VIdW9talJHQzZRZXBCOWN6bQ?oc=5,google_rss_KT when:2d,314.0,11.0,ai_infrastructure_security,ai_infrastructure_security,KT,,,,,,,general,24.0,published_today,business_change,event:KT:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=False",2,naver_telco_strategy_or_infra,Y,telco,314.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_ai_platform,,,,
1797,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"네이버클라우드, 지멘스와 맞손…“한국 제조 현장 AX 가속화”",네이버클라우드 지멘스와 맞손 한국 제조 현장 ax 가속화,전자신문,전자신문,"Wed, 24 Jun 2026 01:14:01 GMT","네이버클라우드, 지멘스와 맞손…“한국 제조 현장 AX 가속화” 전자신문",https://news.google.com/rss/articles/CBMiTkFVX3lxTFBDUlpNRWt6Rng4TmJXNGtreVNKdjNPbFd3MzkzT3dRMWtTb1FwUTB5VGRDTWx2eDNkVGJaaUYwTkdjWVgzX0Z4MG5zSWUxdw?oc=5,google_rss_네이버 when:2d,312.5,6.5,,,네이버,,,,,,,general,24.0,published_today,general,,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,312.5,,,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:네이버클라우드 지멘스와 맞손 한국 제조 현장 ax 가속화,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:네이버클라우드 지멘스와 맞손 한국 제조 현장 ax 가속화,comp_domestic_ai_platform,,,,
