id,원카테고리,JSON카테고리,검색어,기사제목,기사제목_정규화,언론사,정규언론사,게시일,본문요약,링크,수집채널,랭킹점수,중요도점수,사건태그,사건단계,주요주체,랭킹감점사유,정책규제의무,강제검토,강제검토사유,자사홍보성,이슈패밀리,코드힌트,오늘성점수,오늘성사유,기사유형,v26이벤트키,v26진행단계,v27_industry_ok,v27_industry_reason,v27_industry_score,v32_competitor_basis,v32_competitor_portfolio,v32_actor_group,랭킹원점수,편집신호,스토리버킷,전역사건키,전역사건기본키,Gemini카테고리,Gemini내부카테고리,Gemini이슈패밀리,Gemini이슈그룹,Gemini관련성,Gemini중요도,Gemini대외협력중요도,Gemini관련도,GeminiPR성,Gemini제외,Gemini판단사유,Gemini라벨소스,Gemini자사티어,Gemini정부티어,Gemini경쟁사티어,Gemini경쟁사범위,Gemini정책영향경로,Gemini경쟁시사점,Gemini중복그룹,Gemini이슈유형,v26_2_profile_reason
2001,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"네이버 투자에 엔비디아도 찜한 K-AI, 휴머노이드로 비바테크 접수",네이버 투자에 엔비디아도 찜한 k ai 휴머노이드로 비바테크 접수,초이스스탁,초이스스탁,"Wed, 24 Jun 2026 17:06:53 GMT","네이버 투자에 엔비디아도 찜한 K-AI, 휴머노이드로 비바테크 접수 초이스스탁",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE5VVGRWSThPZ29ZNXRLbldlaTBoZnc1bFV2REtVNFltSG1RekVJYTZoZVUyTkduR2toQkdSNERhRVRZVlNLUjloX2JQYmxUcmxKTlZnVEg4Z01pOFlqR0NZal9OQTJkUVE?oc=5,google_rss_네이버 AI when:2d,349.5,13.5,ai_infrastructure_security,ai_infrastructure_security,네이버,,,,,,,general,24.0,published_today,business_change,event:네이버:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,349.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:네이버 투자에 엔비디아도 찜한 k ai 휴머노이드로 비바테크 접수,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:네이버 투자에 엔비디아도 찜한 k ai 휴머노이드로 비바테크 접수,comp_domestic_ai_platform,
2006,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"네이버클라우드, 엔비디아 이어 지멘스까지…AI 동맹 확대",네이버클라우드 엔비디아 이어 지멘스까지 ai 동맹 확대,MTN 머니투데이방송,MTN 머니투데이방송,"Wed, 24 Jun 2026 07:28:47 GMT","네이버클라우드, 엔비디아 이어 지멘스까지…AI 동맹 확대 MTN 머니투데이방송",https://news.google.com/rss/articles/CBMiZEFVX3lxTE80ZWhCSTNuOURod1JXbWRXRDU4UFRoNTcxY2oyUUp3MnUzX3FteXd1Q0dTY0MyWWU2RFBLcExBampBSVVXc3dwbG5rUU9OZmhEVmN3WTU2aE5DRG1BTjFlc09EdTI?oc=5,google_rss_네이버 AI when:2d,349.0,13.5,ai_infrastructure_security,ai_infrastructure_security,네이버,,,,,,,general,14.0,published_yesterday,business_change,event:네이버:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,349.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:네이버클라우드 엔비디아 이어 지멘스까지 ai 동맹 확대,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:네이버클라우드 엔비디아 이어 지멘스까지 ai 동맹 확대,comp_domestic_ai_platform,
1947,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"네이버클라우드 ""엔비디아와 키우는 소버린AI, 글로벌 표준 흐름은 따라야"" |",네이버클라우드 엔비디아와 키우는 소버린ai 글로벌 표준 흐름은 따라야,시사저널e,시사저널e,"Wed, 24 Jun 2026 11:27:44 GMT","네이버클라우드 ""엔비디아와 키우는 소버린AI, 글로벌 표준 흐름은 따라야"" | 시사저널e",https://news.google.com/rss/articles/CBMidkFVX3lxTE9ELVFRc3hiMFRHclQ3cXV5dkdYTjJSemN4b252ekxmdzdFR2w1cTFXSzBRdGhsX2RCMnhWN0Jxa3lialI1Vk42OW9weXVDM3dXblllaEFpbDFxMWkta0hIaG5XYWJKbFp5bmM0QmxkYnhHTnU3SVE?oc=5,google_rss_네이버 when:2d,345.0,13.5,ai_infrastructure_security,ai_infrastructure_security,네이버,,,,,,,general,14.0,published_yesterday,business_change,event:네이버:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,345.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:네이버클라우드 엔비디아와 키우는 소버린ai 글로벌 표준 흐름은 따라야,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:네이버클라우드 엔비디아와 키우는 소버린ai 글로벌 표준 흐름은 따라야,comp_domestic_ai_platform,
1987,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"네이버클라우드, 엔비디아 이어 지멘스까지…AI 동맹 확대",네이버클라우드 엔비디아 이어 지멘스까지 ai 동맹 확대,v.daum.net,v.daum.net,"Wed, 24 Jun 2026 07:30:07 GMT","네이버클라우드, 엔비디아 이어 지멘스까지…AI 동맹 확대 v.daum.net",https://news.google.com/rss/articles/CBMiS0FVX3lxTE9VMWsxUVgxdHZOUXhpYkI3U0JkNTY4OTF6cFlYVjJjWmtDUV9iVTRoUDk5WmRteWZSWjFaZWRZWUtYQldLNGY2bkhNaw?oc=5,google_rss_네이버 when:2d,345.0,13.5,ai_infrastructure_security,ai_infrastructure_security,네이버,,,,,,,general,14.0,published_yesterday,business_change,event:네이버:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,345.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,SELF_AFFILIATE_BUSINESS,self_filler_reference,self_filler_reference:네이버클라우드 엔비디아 이어 지멘스까지 ai 동맹 확대,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,2,5,,,v26: 카카오 직접 주체가 없어 자사 섹션 제외/재분류 / v26.2: overseas structural industry candidate,local_low_confidence,OFF_TOPIC,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,self_filler_reference:네이버클라우드 엔비디아 이어 지멘스까지 ai 동맹 확대,self_filler_reference,
1984,경쟁사/해외이슈,경쟁사_해외이슈,네이버,[데스크칼럼] '소버린 AI' 외치며 엔비디아에 올라탄 네이버의 역설,데스크칼럼 소버린 ai 외치며 엔비디아에 올라탄 네이버의 역설,coxnews.co.kr,coxnews.co.kr,"Wed, 24 Jun 2026 13:17:40 GMT",[데스크칼럼] '소버린 AI' 외치며 엔비디아에 올라탄 네이버의 역설 coxnews.co.kr,https://news.google.com/rss/articles/CBMiakFVX3lxTE41dEl3TkNOMk9WalRFaUdnR29jYlFoZ0trdE9vdnlqTUwzek1Od04xY0QtY1FiREREMjEtNHhTN0FCNEw3NlhTT1BQMmotZ3I0cHZPZUE3UkNkbG5MRjRUZ19zaVRncUlndUE?oc=5,google_rss_네이버 when:2d,343.0,13.5,ai_infrastructure_security,ai_infrastructure_security,네이버,,,,,,,general,14.0,published_yesterday,business_change,event:네이버:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,343.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:데스크칼럼 소버린 ai 외치며 엔비디아에 올라탄 네이버의 역설,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:데스크칼럼 소버린 ai 외치며 엔비디아에 올라탄 네이버의 역설,comp_domestic_ai_platform,
2260,경쟁사/해외이슈,경쟁사_해외이슈,SKT,"'제2의 대박' 될까…SKT 투자 펭귄솔루션스, 엔비디아 파트너 선정",제2의 대박 될까 skt 투자 펭귄솔루션스 엔비디아 파트너 선정,v.daum.net,v.daum.net,"Wed, 24 Jun 2026 06:08:31 GMT","'제2의 대박' 될까…SKT 투자 펭귄솔루션스, 엔비디아 파트너 선정 v.daum.net",https://news.google.com/rss/articles/CBMiVEFVX3lxTE5mTms0VmdGWlVIQzVseXVEZHg4T2VFdV9wdzJDb0RNUlVsc3c2QzI3Z2tzVlZ2TWFFell5WGlkNEZkSWEzSmRnd3JCcjVZYkpVaDhkVg?oc=5,google_rss_SKT when:2d,332.5,4.0,,,SKT,,,,,,,general,14.0,published_yesterday,general,,general,,"weak_form_without_full_basis:actor=True,change=True,bridge=False",2,naver_telco_strategy_or_infra,Y,telco,332.5,,,,,경쟁사_해외이슈,SELF_AFFILIATE_BUSINESS,self_filler_reference,self_filler_reference:제2의 대박 될까 skt 투자 펭귄솔루션스 엔비디아 파트너 선정,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,2,5,,,v26: 카카오 직접 주체가 없어 자사 섹션 제외/재분류 / v26.2: overseas structural industry candidate,local_low_confidence,OFF_TOPIC,,COMP_DOMESTIC_STRATEGY,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,self_filler_reference:제2의 대박 될까 skt 투자 펭귄솔루션스 엔비디아 파트너 선정,self_filler_reference,
1952,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"개인정보 유출 사태서 헤매는 쿠팡... 네이버, 쿠팡 제치고 쇼핑 앱 신규 설치 '독주'",개인정보 유출 사태서 헤매는 쿠팡 네이버 쿠팡 제치고 쇼핑 앱 신규 설치 독주,생생비즈플러스,생생비즈플러스,"Thu, 25 Jun 2026 02:30:35 GMT","개인정보 유출 사태서 헤매는 쿠팡... 네이버, 쿠팡 제치고 쇼핑 앱 신규 설치 '독주' 생생비즈플러스",https://news.google.com/rss/articles/CBMibEFVX3lxTE9NeXUxdlZ4OWpqeDdBaFFuU05MNU81bUpCX0VVZWw3eHEyRXFCWEFPSXJVZjBNMXhsdWhLcnFRNFNWdXZDR1YzdXNESE5rRjRmcVJ1N3loUWswVGNiSHdneW1wSGl0UXZ5QXdrag?oc=5,google_rss_네이버 when:2d,327.5,41.5,"phishing_security,privacy_security_reliability",security_privacy_leak,"네이버,쿠팡",,,,,,,general,24.0,published_today,direct_risk,privacy_security:coupang:data_leak,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,coupang_competitor_enforcement_or_risk,Y,naver,327.5,privacy_security_reliability,competitor:security_reliability,global_incident:platform_regulation:naver:coupang_designation_disclosure:general,global_incident:platform_regulation:naver:coupang_designation_disclosure,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_domestic_direct_risk,global_incident:platform_regulation:naver:coupang_designation_disclosure,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_DIRECT_RISK,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:platform_regulation:naver:coupang_designation_disclosure,comp_domestic_direct_risk,
2103,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"네이버, AI 중심 ‘통합보고서’ 발간…글로벌 커머스 스타트업 신규 투자",네이버 ai 중심 통합보고서 발간 글로벌 커머스 스타트업 신규 투자,네이트뷰,네이트뷰,"Thu, 25 Jun 2026 01:21:00 GMT","네이버, AI 중심 ‘통합보고서’ 발간…글로벌 커머스 스타트업 신규 투자 네이트뷰",https://news.google.com/rss/articles/CBMiUEFVX3lxTFB6aE5XemxZUFpPY25yUFNYa1Q1M09iYnNEak9Pd3dfaEVnVk1VdnpGZTZwcXZ6YU9uZkh2NXY2WVo2eFpneTdwbng5NEZxVGVw0gFWQVVfeXFMTzhXejFVSmVyal9CbktWNk0yRWpLY00zS19IUkpWcEJOZTJpVXllWVNSRjJOaUZKdmh2S0wzT3NoRFg0NnRIN0NxaENlT05SNFRXNUxqRXc?oc=5,google_rss_네이버 스테이블코인 when:2d,326.5,20.5,"ai_infrastructure_security,platform_obligation",ai_infrastructure_security,네이버,,,,,,,general,24.0,published_today,business_change,event:네이버:ai_infrastructure_security+platform_obligation,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,326.5,"ai_infrastructure_security,platform_obligation",competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:네이버 ai 중심 통합보고서 발간 글로벌 커머스 스타트업 신규 투자,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:네이버 ai 중심 통합보고서 발간 글로벌 커머스 스타트업 신규 투자,comp_domestic_ai_platform,
1927,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"네이버, AI 중심 '통합보고서' 발간…글로벌 커머스 스타트업 신규 투자",네이버 ai 중심 통합보고서 발간 글로벌 커머스 스타트업 신규 투자,포인트경제,포인트경제,"Thu, 25 Jun 2026 01:00:09 GMT","네이버, AI 중심 '통합보고서' 발간…글로벌 커머스 스타트업 신규 투자 포인트경제",https://news.google.com/rss/articles/CBMiakFVX3lxTFBXQUpUMVdOR2p1cWhXaUhVWmlIZ09XYjRJMzBrMGQxS0UzSUdoTlRhSVZZYjdlSk5lRTZ5SmFycVBWaTk3dkRGWF9XS012WWZ2ak5uTzBVSGFQelQ4NEVEcHY2ZlZGNEowM3c?oc=5,google_rss_네이버 when:2d,326.5,20.5,"ai_infrastructure_security,platform_obligation",ai_infrastructure_security,네이버,,,,,,,general,24.0,published_today,business_change,event:네이버:ai_infrastructure_security+platform_obligation,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,326.5,"ai_infrastructure_security,platform_obligation",competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:네이버 ai 중심 통합보고서 발간 글로벌 커머스 스타트업 신규 투자,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:네이버 ai 중심 통합보고서 발간 글로벌 커머스 스타트업 신규 투자,comp_domestic_ai_platform,
2009,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"""공공 AI 생태계 풀스택 파트너 되겠다""…네이버클라우드, AX 시장 정조준",공공 ai 생태계 풀스택 파트너 되겠다 네이버클라우드 ax 시장 정조준,디지털데일리,디지털데일리,"Wed, 24 Jun 2026 06:45:19 GMT","""공공 AI 생태계 풀스택 파트너 되겠다""…네이버클라우드, AX 시장 정조준 디지털데일리",https://news.google.com/rss/articles/CBMiZEFVX3lxTFBDbVhPeENRNi1JNDBOenBudWpoNzBXX3N3Y29pVGM2X0JRb2tXajdRYTk5Tkp4bXAyZGFqRXFSN3YxTWNGZGltSXJ1VkJWeVRmV2dPTDAxTXFtSUZGUjdBZFo0M0Y?oc=5,google_rss_네이버 AI when:2d,324.0,20.5,"ai_infrastructure_security,government_ai",ai_infrastructure_security,네이버,,,,,,,general,14.0,published_yesterday,business_change,event:네이버:ai_infrastructure_security+government_ai,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,324.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_domestic_public_infra,comp_domestic_public_infra:공공 ai 생태계 풀스택 파트너 되겠다 네이버클라우드 ax 시장 정조준,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_PUBLIC_INFRA,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_public_infra:공공 ai 생태계 풀스택 파트너 되겠다 네이버클라우드 ax 시장 정조준,comp_domestic_public_infra,
