id,원카테고리,JSON카테고리,검색어,기사제목,기사제목_정규화,언론사,정규언론사,게시일,본문요약,링크,수집채널,랭킹점수,중요도점수,사건태그,사건단계,주요주체,랭킹감점사유,정책규제의무,강제검토,강제검토사유,자사홍보성,이슈패밀리,코드힌트,오늘성점수,오늘성사유,기사유형,v26이벤트키,v26진행단계,v27_industry_ok,v27_industry_reason,v27_industry_score,v32_competitor_basis,v32_competitor_portfolio,v32_actor_group,랭킹원점수,편집신호,스토리버킷,전역사건키,전역사건기본키,Gemini카테고리,Gemini내부카테고리,Gemini이슈패밀리,Gemini이슈그룹,Gemini관련성,Gemini중요도,Gemini대외협력중요도,Gemini관련도,GeminiPR성,Gemini제외,Gemini판단사유,Gemini라벨소스,Gemini자사티어,Gemini정부티어,Gemini경쟁사티어,Gemini경쟁사범위,Gemini정책영향경로,Gemini경쟁시사점,Gemini중복그룹,Gemini이슈유형,v27_event_key,v26_2_profile_reason
2168,경쟁사/해외이슈,경쟁사_해외이슈,SKT,"SKT, 엔비디아 블랙웰 GPU 기반 '해인' 클러스터 CSAP 인증 취득",skt 엔비디아 블랙웰 gpu 기반 해인 클러스터 csap 인증 취득,이지경제,이지경제,"Mon, 06 Jul 2026 02:09:09 GMT","SKT, 엔비디아 블랙웰 GPU 기반 '해인' 클러스터 CSAP 인증 취득 이지경제",https://news.google.com/rss/articles/CBMibkFVX3lxTFBfOXViSU10bzZZSW1iU0t5MExZMm5MS0Fta2Jtb2Y3X2VEWkQtRDFSWEpOdHJTRW11a3VLa3BWcWYzSGh4dmVXM3RpakVBcy1GQUs0MVB5V09MNklmSEVnWnBXSEpTTFJyS3N2bHVB?oc=5,google_rss_SKT when:4d,362.0,21.0,"ai_infrastructure_security,aidc_datacenter",aidc_gpu_npu,SKT,,,,,,,general,24.0,published_today,general,event:SKT:ai_infrastructure_security+aidc_datacenter,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,telco,362.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,국가 AI 인프라/AIDC/GPU 정책,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,국가 AI 인프라/AIDC/GPU 정책,comp_domestic_ai_platform,,
2163,경쟁사/해외이슈,경쟁사_해외이슈,SKT,"SKT, 엔비디아 GPU 기반 '해인' 클러스터 CSAP 인증 취득",skt 엔비디아 gpu 기반 해인 클러스터 csap 인증 취득,디지털투데이,디지털투데이,"Mon, 06 Jul 2026 00:16:00 GMT","SKT, 엔비디아 GPU 기반 '해인' 클러스터 CSAP 인증 취득 디지털투데이",https://news.google.com/rss/articles/CBMic0FVX3lxTFA0VmI2NENad0xPdEg0UmE0VExNc3V5UTBIQ1RQRUFERHc2WnRseUVPNTRMb09CakltRzlSbUEtSHBLWWZndURIdEJRVHBBZ0NmYmhlYjZEc1VWY2ExSjN1dFY4dEhKaHJDSEtiWDlXTTYzOVE?oc=5,google_rss_SKT when:4d,362.0,21.0,"ai_infrastructure_security,aidc_datacenter",aidc_gpu_npu,SKT,,,,,,,general,24.0,published_today,general,event:SKT:ai_infrastructure_security+aidc_datacenter,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,telco,362.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,국가 AI 인프라/AIDC/GPU 정책,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,국가 AI 인프라/AIDC/GPU 정책,comp_domestic_ai_platform,,
2154,경쟁사/해외이슈,경쟁사_해외이슈,SKT,"SKT, 엔비디아 블랙웰 기반 AI 데이터센터 '해인' CSAP 인증… 공공·금융 AI 시장 본격 공략",skt 엔비디아 블랙웰 기반 ai 데이터센터 해인 csap 인증 공공 금융 ai 시장 본격 공략,리드경제,리드경제,"Mon, 06 Jul 2026 00:09:23 GMT","SKT, 엔비디아 블랙웰 기반 AI 데이터센터 '해인' CSAP 인증… 공공·금융 AI 시장 본격 공략 리드경제",https://news.google.com/rss/articles/CBMib0FVX3lxTE94ejBzLW40VUR4U212a3cxRjJLdmhaczFncHJuMmNlWlR5QVdRQ2YxdGRHV3RGWEoyay0zY3kwaThPdVctdXNWS0xpNjVNTUpMS2RkaV9zeF9LS214TzNtUFNZeGFwcWxWUi1mWmRsSQ?oc=5,google_rss_SKT when:4d,362.0,21.0,"ai_infrastructure_security,aidc_datacenter",aidc_general,SKT,,,,,,,general,24.0,published_today,business_change,event:SKT:ai_infrastructure_security+aidc_datacenter,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,telco,362.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_domestic_public_infra,국가 AI 인프라/AIDC/GPU 정책,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_PUBLIC_INFRA,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,국가 AI 인프라/AIDC/GPU 정책,comp_domestic_public_infra,,
2196,경쟁사/해외이슈,경쟁사_해외이슈,SKT,"엔비디아 블랙웰 1000장 품은 SKT 해인, CASP 보안 인증 획득",엔비디아 블랙웰 1000장 품은 skt 해인 casp 보안 인증 획득,네이트,네이트,"Mon, 06 Jul 2026 00:44:00 GMT","엔비디아 블랙웰 1000장 품은 SKT 해인, CASP 보안 인증 획득 네이트",https://news.google.com/rss/articles/CBMiU0FVX3lxTE5GTzV4Q2pwVHB4dUJ5cEg1blFzdVZRZmN1aTdUS3FTTGFRMmEwMUM3Z0xJd2NfR19LOHJTRllFMTZyVlZtdkhFODVBd05nWlJMbmJ3?oc=5,google_rss_SKT when:4d,359.0,18.0,"phishing_security,privacy_security_reliability",security_general,SKT,,,,,,,general,24.0,published_today,direct_risk,event:SKT:phishing_security+privacy_security_reliability,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,telco,359.0,privacy_security_reliability,competitor:security_reliability,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_strategy,comp_domestic_strategy:엔비디아 블랙웰 1000장 품은 skt 해인 casp 보안 인증 획득,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_STRATEGY,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_strategy:엔비디아 블랙웰 1000장 품은 skt 해인 casp 보안 인증 획득,comp_domestic_strategy,,
2259,경쟁사/해외이슈,경쟁사_해외이슈,KT,"KT, 정보보안·AI에 3년간 18조 투자… ‘AX 플랫폼’ 전략 공개",kt 정보보안 ai에 3년간 18조 투자 ax 플랫폼 전략 공개,IT조선,IT조선,"Mon, 06 Jul 2026 01:00:00 GMT","KT, 정보보안·AI에 3년간 18조 투자… ‘AX 플랫폼’ 전략 공개 IT조선",https://news.google.com/rss/articles/CBMicEFVX3lxTE9PdnNMZ21sU2dmYXRha2s3RkFoeUlGTGx0NFRJTXB3SDVYclloMmJDd1RodzJGdVRlMjZyUDRhWVVPa3dMVVFlejhSQ3lkUkFhcjJSc3J2VHMyQ1lfenpSTllPbWNtTG1Bekdkd0JxY1PSAXRBVV95cUxOQVNXZEhyTzlnX0xNeTM2TFE4ZE5LTkdWT25LMjhxZXdFNHI3NC1GTlNXSkx1STJTbVA5dU9tcWQ1TGxVb3B4R2xFU0ZodGItbXVHazhRY053WE81UGlfM2pzM2k4WWpXc1dpLS1TYVkyeWNjcA?oc=5,google_rss_KT when:4d,354.0,39.0,"ai_infrastructure_security,market_power_platform,phishing_security,policy_legislation,privacy_security_reliability",security_general,KT,,,,,,,general,24.0,published_today,direct_risk,global_incident:platform_regulation:kt:platform_regulation,rumor_or_report,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,telco,354.0,"privacy_security_reliability,policy_legislation,market_power_platform,ai_infrastructure_security",competitor:regulatory_enforcement,global_incident:platform_regulation:kt:platform_regulation:announcement,global_incident:platform_regulation:kt:platform_regulation,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_ai_platform,,
2158,경쟁사/해외이슈,경쟁사_해외이슈,SKT,"SKT, 엔비디아 블랙웰 기반 AI 인프라 '해인' CSAP 인증 취득",skt 엔비디아 블랙웰 기반 ai 인프라 해인 csap 인증 취득,이코노미스트,이코노미스트,"Mon, 06 Jul 2026 01:25:00 GMT","SKT, 엔비디아 블랙웰 기반 AI 인프라 '해인' CSAP 인증 취득 이코노미스트",https://news.google.com/rss/articles/CBMiYkFVX3lxTE1sYV9IV0MyUWNkd19tV2d1c3k4Rk15LV9oeTE1Y3pjOEV2SXlCclFrMWw5cjFHeGl4MHYyVjlrZllManI4YzMxLWdNOTN1Q0xYM0JSZWZhZ3pxN1RGOVh4NkF3?oc=5,google_rss_SKT when:4d,349.0,11.0,ai_infrastructure_security,ai_infrastructure_security,SKT,,,,,,,general,24.0,published_today,business_change,event:SKT:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=False",2,naver_telco_strategy_or_infra,Y,telco,349.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,국가 AI 인프라/AIDC/GPU 정책,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,국가 AI 인프라/AIDC/GPU 정책,comp_domestic_ai_platform,,
2211,경쟁사/해외이슈,경쟁사_해외이슈,SKT,"아시아 AI 인프라 허브 노리는 SKT 정재헌號, '1GW급 1기만 70조' 15GW급 데이터센터 구축 '승부수'",아시아 ai 인프라 허브 노리는 skt 정재헌 1gw급 1기만 70조 15gw급 데이터센터 구축 승부수,글로벌경제신문,글로벌경제신문,"Sun, 05 Jul 2026 07:09:54 GMT","아시아 AI 인프라 허브 노리는 SKT 정재헌號, '1GW급 1기만 70조' 15GW급 데이터센터 구축 '승부수' 글로벌경제신문",https://news.google.com/rss/articles/CBMicEFVX3lxTE9VVVpEQkdORE1NM1BGeFQ2djRnczNndjhFTjE2ZnBLd2pybWlib3FnQjVGVEdrVkxHd1BKRkxCWDZpNlM5ZmVEaXU2eTVXYWF4LWVvNlZYWEczQTJTSG5JLVJYa3N3OEZsWVdxMDU2M2_SAXBBVV95cUxPVVVaREJHTkRNTTNQRnhUNnY0Z3MzZ3Y4RU4xNmZwS3dqcm1pYm9xZ0I1RlRHa1ZMR3dQSkZMQlg2aTZTOWZlRGl1Nnk1V2FheC1lbzZWWFhHM0EyU0huSS1SWGtzdzhGbFlXcTA1NjNv?oc=5,google_rss_SKT when:4d,345.5,14.0,ai_infrastructure_security,ai_infrastructure_security,SKT,,,,,,,general,14.0,published_yesterday,business_change,event:SKT:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,telco,345.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,국가 AI 인프라/AIDC/GPU 정책,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,국가 AI 인프라/AIDC/GPU 정책,comp_domestic_ai_platform,,
1967,경쟁사/해외이슈,경쟁사_해외이슈,네이버,AI 메모리 병목의 해답: 메타의 Vistara와 CXL 기술이 여는 새로운 데이터센터 시대,ai 메모리 병목의 해답 메타의 vistara와 cxl 기술이 여는 새로운 데이터센터 시대,네이버 프리미엄콘텐츠,네이버 프리미엄콘텐츠,"Mon, 06 Jul 2026 00:42:00 GMT",AI 메모리 병목의 해답: 메타의 Vistara와 CXL 기술이 여는 새로운 데이터센터 시대 네이버 프리미엄콘텐츠,https://news.google.com/rss/articles/CBMihwFBVV95cUxNcGtLMEhkTXJoQmNsTXhQdWc3d0dpREx6Zko3UmhsVGNuMmR6R28xWTZOOHZEWHM5QkR5azZhRFotR0lqLWtqWmdVTFg4MWtZZU1qZHh2ZDkxRmZqVG9ZalBqUHhjSDNaTFFvNUt6QkpMbVhyMUhaQW9DME9jNlhpMWpNa2Fad3c?oc=5,google_rss_네이버 AI when:4d,344.5,16.5,ai_infrastructure_security,ai_infrastructure_security,"네이버,메타",brand_not_in_title,,,,,,general,24.0,published_today,business_change,event:네이버+메타:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,344.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:ai 메모리 병목의 해답 메타의 vistara와 cxl 기술이 여는 새로운 데이터센터 시대,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:ai 메모리 병목의 해답 메타의 vistara와 cxl 기술이 여는 새로운 데이터센터 시대,comp_domestic_ai_platform,,
2298,경쟁사/해외이슈,경쟁사_해외이슈,KT,"KT, 'AX 플랫폼 컴퍼니' 선언···보안·AI 인프라 투자 확대",kt ax 플랫폼 컴퍼니 선언 보안 ai 인프라 투자 확대,뉴스웨이,뉴스웨이,"Mon, 06 Jul 2026 01:09:48 GMT","KT, 'AX 플랫폼 컴퍼니' 선언···보안·AI 인프라 투자 확대 뉴스웨이",https://news.google.com/rss/articles/CBMiakFVX3lxTE9tdUtqRGlUbjhPb09wbHJFTy1tZmNsM3hYZjlKOU1rQnphR0JOdGZidHVKQi1OYm5SSEtzVy1OcVRjWEkyZHJfMXRsR1VKOERtNjE0UHJzSjlkbHNabGlzVzN4ZkF0eEV5clE?oc=5,google_rss_KT when:4d,344.0,32.0,"ai_infrastructure_security,market_power_platform,phishing_security,privacy_security_reliability",security_general,KT,,,,,,,general,24.0,published_today,direct_risk,global_incident:platform_regulation:kt:platform_regulation,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,telco,344.0,"privacy_security_reliability,market_power_platform,ai_infrastructure_security",competitor:regulatory_enforcement,global_incident:platform_regulation:kt:platform_regulation:general,global_incident:platform_regulation:kt:platform_regulation,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,국가 AI 인프라/AIDC/GPU 정책,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,국가 AI 인프라/AIDC/GPU 정책,comp_domestic_ai_platform,,
2364,경쟁사/해외이슈,경쟁사_해외이슈,LGU+,"법원, 5G 속도 과장 광고 LGU+에 28억 과징금 정당 판결",법원 5g 속도 과장 광고 lgu+에 28억 과징금 정당 판결,글로벌E,글로벌E,"Sat, 04 Jul 2026 00:13:05 GMT","법원, 5G 속도 과장 광고 LGU+에 28억 과징금 정당 판결 글로벌E",https://news.google.com/rss/articles/CBMia0FVX3lxTE9GNnhwMXpkajA1cmF6d0N4dEk2dnVGMTZXRUlRaWVWZTVnSW1ISUJIMXJEYjJXc1Q0TmJOMmNxX1lBVnNQWlBVbXEyazJabmxaQ2VqQXVmSzJpb2V2bm5CR2dQTEt1MDlDdHFZ0gFvQVVfeXFMTkhyM1hNWHFVYWpLaGZ4aTJBRFdXOVg3RldMRVIwdGszVC1pc25qZUZ6NnJETm01WEN0NFB0WTIxNm5HRGxhS1l6dW11Y1AyZ1J2cW9zOXRaR3ByT2MxZFl2Zkc3VzNENm43ODFYWFNv?oc=5,google_rss_LGU+ when:4d,341.0,42.0,"antitrust_platform,legal_regulatory_enforcement,search_ads",antitrust_general,LGU+,,,,,,,general,0.0,,official_action,global_incident:platform_regulation:lguplus:platform_regulation,penalty_or_sanction,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,telco,341.0,legal_regulatory_enforcement,competitor:regulatory_enforcement,global_incident:platform_regulation:lguplus:platform_regulation:sanction_penalty,global_incident:platform_regulation:lguplus:platform_regulation,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_domestic_direct_risk,global_incident:platform_regulation:lguplus:platform_regulation,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_DIRECT_RISK,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:platform_regulation:lguplus:platform_regulation,comp_domestic_direct_risk,,
