id,원카테고리,JSON카테고리,검색어,기사제목,기사제목_정규화,언론사,정규언론사,게시일,본문요약,링크,수집채널,랭킹점수,중요도점수,사건태그,사건단계,주요주체,랭킹감점사유,정책규제의무,강제검토,강제검토사유,자사홍보성,이슈패밀리,코드힌트,오늘성점수,오늘성사유,기사유형,v26이벤트키,v26진행단계,v27_industry_ok,v27_industry_reason,v27_industry_score,v32_competitor_basis,v32_competitor_portfolio,v32_actor_group,랭킹원점수,편집신호,스토리버킷,전역사건키,전역사건기본키,Gemini카테고리,Gemini내부카테고리,Gemini이슈패밀리,Gemini이슈그룹,Gemini관련성,Gemini중요도,Gemini대외협력중요도,Gemini관련도,GeminiPR성,Gemini제외,Gemini판단사유,Gemini라벨소스,Gemini자사티어,Gemini정부티어,Gemini경쟁사티어,Gemini경쟁사범위,Gemini정책영향경로,Gemini경쟁시사점,Gemini중복그룹,Gemini이슈유형,v26_2_profile_reason,v27_event_key,v26가드레일사유
173,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,"티빙 개인정보 유출, 네이버·카카오·KT 제휴 채널 가입자도 털렸다",티빙 개인정보 유출 네이버 카카오 kt 제휴 채널 가입자도 털렸다,글로벌E,글로벌E,"Tue, 14 Jul 2026 09:10:49 GMT","티빙 개인정보 유출, 네이버·카카오·KT 제휴 채널 가입자도 털렸다 글로벌E",https://news.google.com/rss/articles/CBMib0FVX3lxTFBsZU80SWRGQURUX01vRElzb3lZZ0RBOFJkRWt5QXZuODFOX1hRdzZKS3NOSXA5eGp6TUJOVm5uRUNXV1h4RnVHN2hKYnZmaEE4T3Jvc3R4V0VIZWVzbEpBenY4YXhacC01bXVCZlUyVdIBb0FVX3lxTFBsZU80SWRGQURUX01vRElzb3lZZ0RBOFJkRWt5QXZuODFOX1hRdzZKS3NOSXA5eGp6TUJOVm5uRUNXV1h4RnVHN2hKYnZmaEE4T3Jvc3R4V0VIZWVzbEpBenY4YXhacC01bXVCZlUyVQ?oc=5,google_rss_카카오 개인정보 when:2d,372.8,94.0,"phishing_security,privacy_security_reliability",security_privacy_leak,"KT,네이버,카카오",,,Y,must_review:self_strict:privacy_security:privacy_security_reliability,,,direct_self_risk,14.0,published_yesterday,direct_risk,privacy_security:tving:data_leak,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,372.8,privacy_security_reliability,self:privacy_security,global_incident:platform_regulation:kakao:platform_regulation:general,global_incident:platform_regulation:kakao:platform_regulation,자사_및_계열사_이슈,SELF_DIRECT_RISK,self_privacy_security,global_incident:platform_regulation:kakao:platform_regulation,카카오 또는 계열사에 직접 발생한 외부 대응 필요 이슈,5,5,5,,,로컬 보조 라벨 / v26: 오늘 새 직접 사건·진전,local_low_confidence,DIRECT_RISK,,COMP_DOMESTIC_DIRECT_RISK,domestic,,카카오 또는 계열사에 직접 발생한 외부 대응 필요 이슈,global_incident:platform_regulation:kakao:platform_regulation,self_privacy_security,,,
1807,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"엔비디아, 네이버와 AI 인프라 확장... 차세대 AI 인프라 확장 개시",엔비디아 네이버와 ai 인프라 확장 차세대 ai 인프라 확장 개시,인벤,인벤,"Tue, 14 Jul 2026 13:31:57 GMT","엔비디아, 네이버와 AI 인프라 확장... 차세대 AI 인프라 확장 개시 인벤",https://news.google.com/rss/articles/CBMiakFVX3lxTFBqVjdzQ3Z6SmdpRjkxV29QLU52aEN4ejdoVlVRcVFpSngxZldQck9VV2xXcTlRbXpUU05ZMDZGRDZnel92bzhqbFNvamRoRXZTNS1PZmVDX3RYWHhYNHVjczRRWmlFY0l0YVE?oc=5,google_rss_네이버 규제 when:2d,345.0,13.5,ai_infrastructure_security,ai_infrastructure_security,네이버,,,,,,,general,14.0,published_yesterday,business_change,event:네이버:ai_infrastructure_security,action_started,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,345.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,국가 AI 인프라/AIDC/GPU 정책,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,국가 AI 인프라/AIDC/GPU 정책,comp_domestic_ai_platform,,,
1825,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"“불안감 자극 후 개인정보 빼내” 네이버, 피싱 메일 피해 주의 당부… 대응 방법?",불안감 자극 후 개인정보 빼내 네이버 피싱 메일 피해 주의 당부 대응 방법,MSN,MSN,"Tue, 14 Jul 2026 07:46:28 GMT","“불안감 자극 후 개인정보 빼내” 네이버, 피싱 메일 피해 주의 당부… 대응 방법? MSN",https://news.google.com/rss/articles/CBMiygNBVV95cUxQSFNObWxsMTMwb00yeVV4Q3UtZi1wMVAwcDBWNXFPemRfZVZpWTVHbW0zdlVUaVRFQXEwbGs1cU15cUZNX1YzQmk0Tm9lNXlEQVNjVDUzNTBVbHpNVHo5RXdFaXVQLXNQRW1pdmQ1OGFjTENuODd6a09ZWWtIMUNDN3lxZE90MGw0MEdqakJuT0NNaUhkU0FIb2VtWklKbktiUkl5Wm9kaGREeUFQcUQxLWJBYWk3WklvZGhQRkVzRzlRMkhRSzVJemExUURESFlHTXdGakc0RVdweWJQSENUOHJZRmh4cHhWb2hJX1Aybk13SUdwWEROaFVuY1M0bXpWVFd4RExpYXVldmh1QTY2RGJRU0J1Mm4xZENWaDRxV2NLaVpScDJSbUEtNHVLVy0zdFhRclRWeGMyTHJ5ekpROHVrbmo4azhoUkE3RDhTay1sblpLVnFvWkNBQllPZGR1UTlLMjdVaWpScFhlVzc3aHJhNHktN3J1V0hUejFVUGx1VTlnNEVFRHE2MTNNWU5vSWRJc254RGRZVVRpRURtYmk1ZkdsQy1VMmZfY1UwaE13Yk1MVVpka1NTNkVSeEVEem5ONUFVYTNpQQ?oc=5,google_rss_네이버 개인정보 when:2d,341.0,41.5,"phishing_security,privacy_security_reliability",security_phishing_malware,네이버,,,,,,,general,14.0,published_yesterday,direct_risk,privacy_security:naver:data_leak,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,341.0,privacy_security_reliability,competitor:security_reliability,global_incident:platform_regulation:naver:platform_regulation:general,global_incident:platform_regulation:naver:platform_regulation,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_domestic_direct_risk,global_incident:platform_regulation:naver:platform_regulation,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_DIRECT_RISK,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:platform_regulation:naver:platform_regulation,comp_domestic_direct_risk,,,
2046,경쟁사/해외이슈,경쟁사_해외이슈,KT,"KT, 공공 AI 인프라 혁신 짠다…ISP 우선협상자 선정",kt 공공 ai 인프라 혁신 짠다 isp 우선협상자 선정,MSN,MSN,"Tue, 14 Jul 2026 21:04:11 GMT","KT, 공공 AI 인프라 혁신 짠다…ISP 우선협상자 선정 MSN",https://news.google.com/rss/articles/CBMisgJBVV95cUxNWlJxcjdfeTFPSUhzX3E5cWlaLW8tYWN0S3U4MEUtdmdFS0VMMElGWUJhVTBBcU54OFM5N1RZdUJocmlycVBaSDRxTk1lV0JrNXlfRkdlYUowc2NfUHVqV2FBT01hOEI1X29DOG1ZU09uelN0RDhwaWF1Y3hPeXRmVzZfQnFXdlVYSWRJTTk5TzJjZXFVUGZDUkJFRU9kdVRsb1M3dHZOc1hiVnBORXVyek1nR0Q0WUhHRkJ1UWdtNm5FZE1TMk83WDNtQ1lkVFN3eUhZZW9CelVZUlFVZ1FpME5fMFdQNmc5dkZ1b3lvNTVVWlZ0SVhOdGhvMi15YjZucGxtX1BodEV6enBSX0s3MW9VNHBCVHVwcTl2Ym9ESWdzQkFPQVNSR2dONU9CM2VXY1E?oc=5,google_rss_KT when:2d,334.0,25.0,"ai_infrastructure_security,government_ai,strategy_mna_governance",ai_infrastructure_security,KT,,,,,,,general,24.0,published_today,business_change,event:KT:ai_infrastructure_security+government_ai,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,telco,334.0,"strategy_mna_governance,ai_infrastructure_security",competitor:strategy_mna,,,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_domestic_public_infra,국가 AI 인프라/AIDC/GPU 정책,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_PUBLIC_INFRA,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,국가 AI 인프라/AIDC/GPU 정책,comp_domestic_public_infra,,,
2259,경쟁사/해외이슈,경쟁사_해외이슈,쿠팡,"개보위, 개인정보 유출 KT 과징금 내주 결론",개보위 개인정보 유출 kt 과징금 내주 결론,헤럴드경제,헤럴드경제,"Tue, 14 Jul 2026 02:36:15 GMT","개보위, 개인정보 유출 KT 과징금 내주 결론 헤럴드경제",https://news.google.com/rss/articles/CBMiVkFVX3lxTFBxZnZHdUVkVEdPdk54cWNqbmFIbWMzcVFDUnlpMkdjYkJCWUpUdW5mU3FiRFpwcXVucWxBQndURkpQVFJ0a01sXzRPR3ExOWJzQ0NFWUFn?oc=5,google_rss_쿠팡 site:heraldcorp.com when:2d,327.5,121.0,"antitrust_platform,legal_regulatory_enforcement,phishing_security,privacy_security_reliability",antitrust_general,KT,brand_not_in_title,Y,,,,government:platform_obligation,platform_operator_obligation,14.0,published_yesterday,official_action,privacy_security:kt:data_leak,penalty_or_sanction,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,coupang_competitor_enforcement_or_risk,Y,coupang,327.5,"legal_regulatory_enforcement,privacy_security_reliability",government:platform_obligation,global_incident:platform_regulation:kt:platform_data_protection_obligation:sanction_penalty,global_incident:platform_regulation:kt:platform_data_protection_obligation,정부_국회,GOV_PLATFORM_REGULATION,government_platform_regulation,global_incident:platform_regulation:kt:platform_data_protection_obligation,카카오 또는 주요 플랫폼 사업자에게 직접 의무·차단·보고·준수 부담이 생김,5,5,5,,,로컬 보조 라벨,local_low_confidence,,GOV_DIRECT_PLATFORM_OBLIGATION,COMP_DOMESTIC_DIRECT_RISK,domestic,카카오 또는 주요 플랫폼 사업자에게 직접 의무·차단·보고·준수 부담이 생김,카카오 또는 주요 플랫폼 사업자에게 직접 의무·차단·보고·준수 부담이 생김,global_incident:platform_regulation:kt:platform_data_protection_obligation,government_platform_regulation,,,
1979,경쟁사/해외이슈,경쟁사_해외이슈,KT,"[테크스냅] KT, 'AX 테크 커넥트 2026' 개최…AI 전환 전략 공개",테크스냅 kt ax 테크 커넥트 2026 개최 ai 전환 전략 공개,연합뉴스 한민족센터,연합뉴스 한민족센터,"Wed, 15 Jul 2026 01:46:18 GMT","[테크스냅] KT, 'AX 테크 커넥트 2026' 개최…AI 전환 전략 공개 연합뉴스 한민족센터",https://news.google.com/rss/articles/CBMidEFVX3lxTE5wR3Q5T1JHTE9PM2NfWWZnclhublNiTXhJcl8wSm5PcEZQWXNBNEtBNldoTTM1dERVdHFJMXRKWkM0VGtwTHJxYlhJQWcxZHJXM0FBNlZDbFU0dGdnaFF6OE53WHlnVkYxaktKZ2dQRUdBdGlK?oc=5,google_rss_KT when:2d,315.0,18.0,"ai_infrastructure_security,policy_legislation",ai_infrastructure_security,KT,,,,,,,general,24.0,published_today,business_change,event:KT:ai_infrastructure_security+policy_legislation,rumor_or_report,,"weak_form_without_full_basis:actor=True,change=True,bridge=False",2,naver_telco_strategy_or_infra,Y,telco,315.0,"policy_legislation,ai_infrastructure_security",competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_ai_platform,,,
2036,경쟁사/해외이슈,경쟁사_해외이슈,KT,"KT, 'AX 테크 커넥트 2026' 개최…AI·데이터·네트워크 미래 기술 공개",kt ax 테크 커넥트 2026 개최 ai 데이터 네트워크 미래 기술 공개,공감신문,공감신문,"Wed, 15 Jul 2026 01:15:00 GMT","KT, 'AX 테크 커넥트 2026' 개최…AI·데이터·네트워크 미래 기술 공개 공감신문",https://news.google.com/rss/articles/CBMiaEFVX3lxTE53WjdESF9WaVFMeU9JbUVJdGVkTjdEWWplVE5MLUdVek5hdV9GZkMzbkI3MXZPLTk1UHQzd01HQ0x1S3hTemFTRjFsTnN5ZFRCVTA1Z1dXU2R1NUtYUVZaUnBGdkdLSlNo?oc=5,google_rss_KT when:2d,314.0,11.0,ai_infrastructure_security,ai_infrastructure_security,KT,,,,,,,general,24.0,published_today,business_change,event:KT:ai_infrastructure_security,rumor_or_report,Y,"industry_basis_pass:actor=True,change=True,bridge=False",2,naver_telco_strategy_or_infra,Y,telco,314.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_ai_platform,,,
2038,경쟁사/해외이슈,경쟁사_해외이슈,KT,"KT, 'AX 테크 커넥트 2026' 개최? ""AI·데이터·네트워크 미래 기술 공개""",kt ax 테크 커넥트 2026 개최 ai 데이터 네트워크 미래 기술 공개,네이트,네이트,"Wed, 15 Jul 2026 01:04:00 GMT","KT, 'AX 테크 커넥트 2026' 개최? ""AI·데이터·네트워크 미래 기술 공개"" 네이트",https://news.google.com/rss/articles/CBMiU0FVX3lxTFBQSU1uRktwT2lfTDlyeV9sSGJIbzJ5eUFrWFZtZkZIY3ZfZ2NfLXdZRTNJc0stVFRhWXNMSVFtTkpYT1F5YUJYN2RfakkwMHlPb3Bn?oc=5,google_rss_KT when:2d,314.0,11.0,ai_infrastructure_security,ai_infrastructure_security,KT,,,,,,,general,24.0,published_today,business_change,event:KT:ai_infrastructure_security,rumor_or_report,Y,"industry_basis_pass:actor=True,change=True,bridge=False",2,naver_telco_strategy_or_infra,Y,telco,314.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_ai_platform,,,
1916,경쟁사/해외이슈,경쟁사_해외이슈,SKT,"SKT, AI-RAN 선도망 구축 착수",skt ai ran 선도망 구축 착수,더글로벌기빙뉴스,더글로벌기빙뉴스,"Tue, 14 Jul 2026 13:15:00 GMT","SKT, AI-RAN 선도망 구축 착수 더글로벌기빙뉴스",https://news.google.com/rss/articles/CBMiVEFVX3lxTE91WnRMd3Y1dGFtbkJZRGJEbkJPdzZPdEJ0MnZjNW5LaUpYUVFuNDhnYVFkeTJEOTdFTmk0RXB1UWE0cTk0SjY3bjkxZFAtdWFtZG9oaA?oc=5,google_rss_SKT when:2d,307.5,11.0,ai_infrastructure_security,ai_infrastructure_security,SKT,,,,,,,general,14.0,published_yesterday,business_change,event:SKT:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=False",2,naver_telco_strategy_or_infra,Y,telco,307.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_domestic_public_infra,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_PUBLIC_INFRA,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_public_infra,,,
1964,경쟁사/해외이슈,경쟁사_해외이슈,SKT,"[통신 레이더] SKT·LG U+, AI 인프라 혁신으로 산업 DX 대전환",통신 레이더 skt lg u+ ai 인프라 혁신으로 산업 dx 대전환,더밸류뉴스,더밸류뉴스,"Tue, 14 Jul 2026 06:00:02 GMT","[통신 레이더] SKT·LG U+, AI 인프라 혁신으로 산업 DX 대전환 더밸류뉴스",https://news.google.com/rss/articles/CBMiVEFVX3lxTE1hUFE1VWZaMHI1Mk16VUU3cm93bjFUM0NSSUZnbkdOU2tmQTdBRC1sbkF3NXVuZDd0a09NUHRfWWV1SGQ1S1ViU1FhVFVmWF83T2E2Ng?oc=5,google_rss_SKT when:2d,307.5,11.0,ai_infrastructure_security,ai_infrastructure_security,"LGU+,SKT",,,,,,,general,14.0,published_yesterday,business_change,event:LGU++SKT:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=False",2,naver_telco_strategy_or_infra,Y,telco,307.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,국가 AI 인프라/AIDC/GPU 정책,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,국가 AI 인프라/AIDC/GPU 정책,comp_domestic_ai_platform,,,
