검색어,후보제목,후보링크,후보언론사,매칭과거일자,매칭과거제목,매칭과거링크,중복판정이유,공유주체,공유사건태그,종합점수,제목점수,토큰점수,본문점수,후보대표점수,원문날짜,날짜검증결과,제외단계,v20_issue_id,v20_issue_group,매칭대표점수
카카오,"카카오뱅크, 신용대출 비교 고객에 최대 0.5%p 우대금리 제공",https://news.google.com/rss/articles/CBMiYEFVX3lxTE1IR2RBSHZIbGRYeWxaQmFIZ1F0NUR1VHBnUmNLUGE2V1ItZFlDa3drTFJuX1dOSHh1QU5XaS01aFBxMnRZNFJseVlpV2Q1RWZkYWxYRkZfOTBEb1pUS3V1eQ?oc=5,네이트,CURRENT_COLLECTION,canonical_seen,,near_duplicate_same_press:1.00,,,,,,,,,,,,,
카카오,"카카오뱅크, '신용대출 비교' 고객에 최대 0.5%p 우대금리",https://news.google.com/rss/articles/CBMiYEFVX3lxTE5DYjY1QUQybkp6QmRKcUJSdWJ0eXY1SmRqSXJiUFJKbVUyN3NTdFpZNjJCWWxWSk5MMlVBalV6UmFSN21fcldaZFkzUFpLb0JpR1JTaEt0N0ZiRXJWZzlsZg?oc=5,네이트,CURRENT_COLLECTION,canonical_seen,,same_canonical_title_same_press,,,,,,,,,,,,,
카카오,"용인특례시, 조아용 3D 이모티콘 27만명에 무료 배포",https://news.google.com/rss/articles/CBMiZEFVX3lxTE1pMGhhdGpmUTBUelN0aTY1TXZ1SmRfMlNNUk5pMTUtaDl1SlJGdlEwc0hqWmZmV05wR0VKLW0wVWs4V2dhdXNVaUtBa2tnQzJfaFV1S2ZfeU02dk94bWJ5ekhDa0Q?oc=5,매일일보,COLLECTION_FILTER,,,collection_relevance:collection_relevance:self_entity_absent_from_title_and_front_summary,,,,,,,,,,,,,
카카오,"용인시, ′조아용′ 3D 이모티콘 27만명에 무료 배포…7일 카카오톡 공개",https://news.google.com/rss/articles/CBMiWEFVX3lxTE9lbUVkcEl2TVJzbGRxd2NpUU81X3FTQzFhdUljSE1Sb3hFMlI5LUlmTVNhdGhTeWQzRkVBUVNkNmxqNHlDNlJ0Z3RISEJvZk5PN0daLVdEZlLSAVhBVV95cUxPZW1FZHBJdk1Sc2xkcXdjaVFPNV9xU0MxYXVJY0hNUm94RTJSOS1JZk1TYXRoU3lkM0ZFQVFTZDZsajR5QzZSdGd0SEhCb2ZOTzdHWi1XRGZS?oc=5,로컬세계,COLLECTION_FILTER,,,collection_relevance:collection_relevance:private_kakaotalk_or_entertainment_noise,,,,,,,,,,,,,
카카오,카카오 주가 하락 중,https://news.google.com/rss/articles/CBMiXEFVX3lxTE5vX3VPcHNHTHNYa3VGRlRiN3g3UXE0ME1DWUozRExfekFYY2JrYXdscTlMSXZMY1pRVy1RUDVGWC1NWm1GQnlsRkY2MDV5OHl6SXVweVRndnpiQU01?oc=5,아시아뉴스통신,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,카카오게임즈 주가 하락중,https://news.google.com/rss/articles/CBMidEFVX3lxTE9XX2F2SDIzN1QwNV9YOWpBdkFfZXFpNE14NzFGLU05aE9ha3h4UE9kcGt4RTJWMXM5S2E3QVVxem80Qm4zZ2Q5dWpEQzg5QzhnTzB5UHhaalBlTEpveTdNNm9URzlzeFg2bGJuWWpsQTJhR0Q2?oc=5,아시아뉴스통신,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"‘카뱅’ 과반노조 된 카카오지회, 31일 하루 파업 돌입",https://news.google.com/rss/articles/CBMicEFVX3lxTE5aLVo1OW5VeWR5LVZiMGlWeHIxN2U5dHJqbHlXMU1aLW9vNExnSVR2a2hKaXcxdjVleGlmRUljZzhUWGttODV5QXBwUXBhQkxmM25icnJ2QW4zTEVYZTJPTmtGbUplUG5aQkljeThOREM?oc=5,매일노동뉴스,2026-07-28,"‘카뱅’ 과반노조 된 카카오지회, 31일 하루 파업 돌입",https://www.labortoday.co.kr/news/articleView.html?idxno=235925,index_same_title_hash,,,1.0,,,,,,,,,,
카카오,"카카오, IR 앞두고 하락세 지속…투자 심리 위축되나 : 기업주식정보",https://news.google.com/rss/articles/CBMiSkFVX3lxTE1lZGwxZjBRaWNCNmEycXJINk9hSEFRSGF0RlNQTmxfUU9xaXBsT2hpeDJwdUsxUlo4M1A5bXdxWkUwcDUtckNYMHN3?oc=5,재경일보,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"카카오, 삼성라이온즈 X 라이언 협업 대흥행… 워터페스티벌서 팬들과 다시 만난다",https://news.google.com/rss/articles/CBMiVkFVX3lxTE8xa0M4NWhGRDNLZVpPRVp4OE5jUUJIUUQwU0JZcjB3RlAwSzFIQ3VYWG1TRXktR0dwWVVCQ2pzMF9UbXZyWFBIS09BcTBfWnFuNGxBSzln?oc=5,카카오,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오뱅크, '신용대출 비교' 이용고객에 최대 0.5%p 우대금리",https://news.google.com/rss/articles/CBMiYEFVX3lxTE8xNnBfR0VaeFozT1dvQlhqcmozRDBMVnY1RkxqM1E5cWR0WThRNEJUQXRodGFPNWlvOXVCMlRQMFF3bGdNTjRYY3M5Mllab1cwaVJFV3h5RE1IcVlhaWQ0T9IBYEFVX3lxTE8xNnBfR0VaeFozT1dvQlhqcmozRDBMVnY1RkxqM1E5cWR0WThRNEJUQXRodGFPNWlvOXVCMlRQMFF3bGdNTjRYY3M5Mllab1cwaVJFV3h5RE1IcVlhaWQ0Tw?oc=5,연합뉴스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
