검색어,후보제목,후보링크,후보언론사,매칭과거일자,매칭과거제목,매칭과거링크,중복판정이유,공유주체,공유사건태그,종합점수,제목점수,토큰점수,본문점수,후보대표점수,매칭대표점수,제외단계,원문날짜,날짜검증결과,v20_issue_id,v20_issue_group
카카오,"""카카오 본업 개선 긍정적, AI에이전트가 성장 결정…목표가 유지"" - 머니투데이",https://news.google.com/rss/articles/CBMiaEFVX3lxTFBBSTdvcVBoQUZXcjRTZWpSTkRhWHY1aklteERHRFlhUnhWdnVSZFRGa3FrQ1dCNzRKN1lEbEhjLUFCbVJXcTViZWtVckNMN3I5VEVQSEc0Nzc1RkxfZEF4MVhkbkNOR0xi0gFuQVVfeXFMTXNLWDU0cUZkM19hSEQyeEJmaWdGcUgzTy1fbFh2cmV6NUxmc2RCUDJVT2dmQnZ3UUJ5WTBDS0szbEZxVFJ6R2dlRHE3LTVGR2RGZUZXVlhVeGU1OE92YVVqVWFFSE51U0FaYzA2cXc?oc=5,머니투데이,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"카카오, 2분기 최대 실적에도…증권가 ""향후 AI 성과가 관건"" [종목+]",https://news.google.com/rss/articles/CBMiWkFVX3lxTE1VSm9ra2tmQTQxV081djlVOTFfLXJTRWpHNVRQcjJvT0NHUmpSYWh2cU9YcDB2TTMxM0h5Rkc1V2VUSDBGVmJGTHpxVlBkUFhVSmViXzV3Ni1udw?oc=5,한국경제,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"[리포트 브리핑]카카오, '실적 서프라이즈, 주가는 AI 성과가 결정' 목표가 61,000원 - 신한투자증권",https://news.google.com/rss/articles/CBMiXEFVX3lxTE41akxIU3ExUmxFci0zOUtoNnVjektFRUE2bHI0ckVTS3dLMEJ2U3J0TnljRmx2ZEdjTkF6MFVwZnJRT1pSaGpFTndHZ3diY2tURTRUY2JaVHIwWXRG?oc=5,뉴스핌,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"하나증권 ""카카오 목표주가 하향, AI 수익화에 시간 필요""",https://news.google.com/rss/articles/CBMic0FVX3lxTE4ydlFHLUVLelZKRjhQVTl2a3FVZ1NibWpDTGFEUU9xckNSSWtWY2luTTg0NkdkamVwbzlBMW01ZkJEbUQwMnI5bm5NakN1RVhKYkZOUmlvckhhVGZGa1ltc1hsWXhjYkx3WUtwblIwaGhlZlk?oc=5,비즈니스포스트,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"[버핏 리포트] 카카오, 2Q 영업이익 2770억 '기대치 상회'…AI 수익화 시간 필요 - 하나",https://news.google.com/rss/articles/CBMiYkFVX3lxTE4xV09PV0ZmZk5kak5wWHRZUEJOMTlFYlN1NmQtVFQyZzF2cDJ6cDZEZmFEQnJSMzVxdFRseFYxendqWjgwNEd5cTJQak9pQXAwYTdtTGRjZXc2SUdvdDJ3YlNB?oc=5,버핏연구소,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"하나證 “카카오, 실적은 웃었지만 AI 수익화는 아직…목표가 5만8000원” - 조선비즈",https://news.google.com/rss/articles/CBMiiAFBVV95cUxOTlF2MkRTOVJ4ZWhwZFhDMGI1QnZETVJGal9hLUZrb2xtamJGZWhQUkhFN0lLTEhGdEc1b0tjeEhaQXFsMWFWVnV3d1ZhR2JTNHBGVnRUOHIwNzVvMDY3RzdfbWFUaXFUYXZ6MnNERlpvdXFrV29PS1dZcDFZQ0tFRVF2SVdJRlQx0gGcAUFVX3lxTE11bWxjY21CbHQzTGJ0VV9idHJqd19rZHp1YW5SV3pXQ2lrTVJOVzlDblpSS0ZyNVY5VjRBc0d3eUZNTENtZGVXeTZtaEdvekFTalhVb3QwLWozQjJzQ0Q3N0M0Y25xb3JEdzJVV0Fjem9LZGxMNGpJV0x2RFBDeFhicC15dXNyTW8xeEtKbXZrTTk5WHJvZXoyMm5Fbw?oc=5,Chosunbiz,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"[리포트 브리핑]카카오, '확실히 좋아진 이익 체력, AI만 있다면' 목표가 57,000원 - DB증권",https://news.google.com/rss/articles/CBMiXEFVX3lxTE9TWnNNMldDR0FEeEZZTjZnd1FZcm9sQmRjamNXYkJOeUFZZGUtclZMazVzUlhwM0pCaU96TkJkdTVsSDViLUpYX19iV05qbGthUEZJR2pRZUhIcUJ1?oc=5,뉴스핌,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"카카오, 깜짝실적에도 목표주가 하향 ""AI 수익화 멀었다""…CJ ENM, TV 광고 턴어라운드 '청신호' [株토피아]",https://news.google.com/rss/articles/CBMiWkFVX3lxTFBtemdCc1lmZEFrRlg0bDhGb3pZSldIMlBMbXoyakRpZ0ptR1hQU1JidjdjSHJmZ21ZTU5QS1dDVFZFek91cG9oaV9HcktLXzUtZVcwSlVpeUt3QQ?oc=5,파이낸셜뉴스,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"카카오, 분기 사상 최대 실적냈는데..목표주가 일제히 낮춘 증권가",https://news.google.com/rss/articles/CBMiUkFVX3lxTE16WFREakg1N01QLWRMODRTc1NpdFB0T1NqWkZIbUJXQzFaZ2hINF9xMTgzeFEzQU0xSUYwSFVoZzlQdDhvY0JVMmRkNi1xNl9yQ2c?oc=5,한국정경신문,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,‘카톡대화가 주문서’ 카카오의 승부수,https://news.google.com/rss/articles/CBMie0FVX3lxTE1zdWxOdFhjeVZfdFM5TFhjSDNhTHl6OFA4cmU4OVlSR1NTRG4tNU12QVZ3Q0Vib0xRVEtIQTZzX3JJb3hIa0FXMjd6QzVBRTFfYTJpbnRFUHEyZ1E4SE92azNoWlRfQjFFeG1aLVdmMHRwRDlGVjZERy1sUQ?oc=5,서울신문,COLLECTION_FILTER,,,collection_relevance:collection_relevance:private_kakaotalk_or_entertainment_noise,,,,,,,,,,,,,
카카오,"삼성증권 ""카카오, 수익성 개선 가시화…목표가 상향""",https://news.google.com/rss/articles/CBMidEFVX3lxTFBlRGs1RnNsQldBRlE5TGpsWUZsNmdKRHFNM2JkWkhoUlljRDJqSmFtRmRjalpCZ3hXdmRRTWRpQWZRSVdybHRZUk91TldHTHNyZ0Z3Ym91VkVtWS1FVVA4cEVhbm5laE92Q3NkVHBnYVpNS1Ri?oc=5,파이낸셜포스트,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"삼성증권 카카오, 수익성 개선 가시화…목표가 4만9000원",https://news.google.com/rss/articles/CBMiU0FVX3lxTE9HN1lVWmVOS2tiSl9yT2VoSDc4bzJHNi1xTmVlSTVoUHpxOTRib2hoSEp3N3hvbEh0N1h4X04wbnJ2THpGdGpYem9xNFlqR1BZcDln0gFYQVVfeXFMUEVqcVMwaXhmM2IwMENQcE1fLXV4UVFRSEQzRUVYdVJtbTJXN3FOQ0Z5eWNNS2MyNDdvaFJlOXN2RXcxdTBXbDhaeU11REVpVGRvRkZMTnU2OQ?oc=5,SBS Biz,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"카카오, 2분기 호실적에도 목표가 줄하향···AI 수익화는 '시간 필요'",https://news.google.com/rss/articles/CBMiakFVX3lxTE12clhuUW9xSjJvNFNLUGpGc3gzNWRfVC1NV3ZtQXlUYmM2TGRaVEx4RlR0RzlteDVQQkRPenpmZzk0SGhCaFB2WDYxWjRJTmpNOW5sZjlwQktrVmdBLUkybi1HWXV1LS1FRkE?oc=5,뉴스웨이,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"카카오 주가, 8월 7일 장중 39,900원 4.18% 상승",https://news.google.com/rss/articles/CBMickFVX3lxTE5kY0RBWURkVkh2SGt1V1oyZHVITmZaUEZFdTdpNnhTVUZDdHdYc1RCbDdSWHQ3X2xPT3BiU21XWlhvSWtCWnYwaE9lNWtBWG8zZzF1QXFTR2ROa0VKb01yVkZIUU9BLTlLVUxlVDFtcktFUQ?oc=5,톱스타뉴스,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"[모닝 리포트] 카카오, 적자 사업 정리·톡비즈 호조로 분기 최대 영업이익",https://news.google.com/rss/articles/CBMiYEFVX3lxTE4xOXh3ejlHd1FUNE0wZ3VzM2QwWDNzTEEtcmtsWXJ6aDdzXy14VDFlLUFlMFIxZEQ4M1A5OWZZdVpOWEo4YWMxcjlXUTAzSjRTTUxVeHBRZEtHa1VJOTFVbQ?oc=5,네이트,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"카카오, 깜짝실적에도 목표주가 하향 ""AI 수익화 멀었다""…CJ ENM, TV 광고 턴어라운드 '청신호' [株토피아]",https://news.google.com/rss/articles/CBMiYEFVX3lxTE9HLTFMaTNVMVo5bHBVSEl3aHFKMDlvMVNjbkxGUW9wVWhVVDd5N3NFX3lYMlN4TUpLZlkxd245SXo1bXNBX2FQdlZEaUdsN0JoTGJac3ByTlRnZjFMbzRsRA?oc=5,네이트,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,카카오 2분기 영업익 2770억원 '어닝 서프라이즈'…B2C AI 수익화 과제,https://news.google.com/rss/articles/CBMiYEFVX3lxTE5ZZ0ZNZWxxbDVTV1pvdGhoR0d4TlF0ejFPbWZfakJIOHZ0d1V5OFVDejl2bmJNZFFfTy1qa3dKaUVRNXFqWkZsX2ZfYy11S0Fpc2k4Qnl6WEFUbUhUa3RfLQ?oc=5,네이트,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"카카오, AI 청사진은 그렸지만…돈은 톡비즈가 벌었다 [컨콜]",https://news.google.com/rss/articles/CBMiY0FVX3lxTE5fZFNUTGstR2s2UUZtRlo5Z281a3paMFY3QmRvSmpMa2xvRkpPQ3A1bDRiRWE3YkZVVnlvc3pNRFhMblpWdmZCWUR3aXBuMTV0SFZVazhBWXhTYWpSVk4yREFVMA?oc=5,쿠키뉴스,COLLECTION_FILTER,,,collection_relevance:photo_or_caption_title,,,,,,,,,,,,,
카카오,"삼성증권 ""카카오, 수익성 개선 가시화…목표가 상향""",https://news.google.com/rss/articles/CBMiYEFVX3lxTE9RZ0t5eUdDQTYxS3Njay1hVUZIeGk4Q0tuMzZGRElOLVJvNGI5b1JOMkJEclJFTVZTNVlpOEM0TUM2TzBBazdRNFpmc3VaS3ZCeFV4anJmUHlqUHVmWXdRaQ?oc=5,네이트,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"'최대실적' 카카오 ""카톡 AI 1000만 이용자 모은다""",https://news.google.com/rss/articles/CBMiRkFVX3lxTE01dzk0ZmRONFVuazk1VzVfeEJmRnluejRORm5xdl9kYXZhVzFoVTlPVmRHUFBMc2Rvc1FYdlc4bzVQSVVfaEE?oc=5,v.daum.net,CURRENT_COLLECTION,canonical_seen,,same_canonical_title_same_press,,,,,,,,,,,,,
카카오,"실적에 갈린 네카오...네이버 4%대 하락, 카카오 2%대 상승",https://news.google.com/rss/articles/CBMigAFBVV95cUxOeVVBQ2dWTjRxSXJIT0plUVlJSGpucjNKWThVR1pILXVJbnNSanV3ZllzaUhBLTNQaWFBTkd4cDNFVXNweERHMGt5bnU0RllVNUxlWEFWdEU5dFJyTHBGLUdaaTREX3ZwREhGd0RYbW1fMU9xSElpVEt1bTJqLWROOA?oc=5,조선일보,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"모두 뛰어든 데이터센터, 저흰 안합니다…‘청개구리’ 택한 카카오",https://news.google.com/rss/articles/CBMiTkFVX3lxTE04Nm14bEt3TEdzeDRjM2ZndmNLZHR6b2FuNTlQSVRlMXAwRGRSRUVRdnliUVVRd1JLeV9xN1VpUE51cjFhZUo4RGR4bDE0dw?oc=5,매일경제,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오, 펀더멘탈은 매우 건강…자체 AI 서비스 수익 시현 시점이 향후 분기점 -한투",https://news.google.com/rss/articles/CBMidkFVX3lxTE11a0hCR2M4Z0Q0ZFhBQV9vRi1VdGdYR1YtVXJ2OHZCUFhrWDFULS1tNE9tZEVlU29sdnN5M2ZnOVktT2xHb1VhbVpMVTA3VGdUZWpMN0t0TzdSVU5sOHRiWjloUmM5ZFdDSG5mbGhwWWdhT3ZjcXc?oc=5,인포스탁데일리,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오, 2분기 최대 실적에도…증권가 ""향후 AI 성과가 관건"" [종목+]",https://news.google.com/rss/articles/CBMiWkFVX3lxTE1VSm9ra2tmQTQxV081djlVOTFfLXJTRWpHNVRQcjJvT0NHUmpSYWh2cU9YcDB2TTMxM0h5Rkc1V2VUSDBGVmJGTHpxVlBkUFhVSmViXzV3Ni1udw?oc=5,한국경제,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"""카카오 본업 개선 긍정적, AI에이전트가 성장 결정…목표가 유지"" - 머니투데이",https://news.google.com/rss/articles/CBMibkFVX3lxTE1zS1g1NHFGZDNfYUhEMnhCZmlnRnFIM08tX2xYdnJlejVMZnNkQlAyVU9nZkJ2d1FCeVkwQ0tLM2xGcVRSekdnZURxNy01RkdkRmVGV1ZYVXhlNThPdmFValVhRUhOdVNBWmMwNnF30gFuQVVfeXFMTXNLWDU0cUZkM19hSEQyeEJmaWdGcUgzTy1fbFh2cmV6NUxmc2RCUDJVT2dmQnZ3UUJ5WTBDS0szbEZxVFJ6R2dlRHE3LTVGR2RGZUZXVlhVeGU1OE92YVVqVWFFSE51U0FaYzA2cXc?oc=5,머니투데이,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
