id,원카테고리,JSON카테고리,검색어,기사제목,기사제목_정규화,언론사,정규언론사,게시일,본문요약,링크,수집채널,랭킹점수,중요도점수,사건태그,사건단계,주요주체,랭킹감점사유,정책규제의무,강제검토,강제검토사유,자사홍보성,이슈패밀리,코드힌트,오늘성점수,오늘성사유,기사유형,v26이벤트키,v26진행단계,v27_industry_ok,v27_industry_reason,v27_industry_score,v32_competitor_basis,v32_competitor_portfolio,v32_actor_group,랭킹원점수,편집신호,스토리버킷,전역사건키,전역사건기본키,Gemini카테고리,Gemini내부카테고리,Gemini이슈패밀리,Gemini이슈그룹,Gemini관련성,Gemini중요도,Gemini대외협력중요도,Gemini관련도,GeminiPR성,Gemini제외,Gemini판단사유,Gemini라벨소스,Gemini자사티어,Gemini정부티어,Gemini경쟁사티어,Gemini경쟁사범위,Gemini정책영향경로,Gemini경쟁시사점,Gemini중복그룹,Gemini이슈유형,v26_2_profile_reason,v27_event_key,v26가드레일사유,v32_weak_non_digital_gov
2153,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"네이버, 2Q 최대 매출...엔비디아와 AI 인프라 기업 도약(종합)",네이버 2q 최대 매출 엔비디아와 ai 인프라 기업 도약,파이낸셜뉴스,파이낸셜뉴스,"Fri, 07 Aug 2026 02:47:44 GMT","네이버, 2Q 최대 매출...엔비디아와 AI 인프라 기업 도약(종합) 파이낸셜뉴스",https://news.google.com/rss/articles/CBMiWkFVX3lxTE0zajVNZGE4dHR4MTBSR3hhOWdlZ29GWTZVdnZPZjNFc29TYk5ITE4tS1I0bnZPLXdjS2NQVWQ5NFZIbDRoR3VHb1dXRHluckh1LTZrVXhadnF5Zw?oc=5,google_rss_네이버 site:fnnews.com when:4d,376.75,38.5,"ai_infrastructure_security,earnings,financial_performance",ai_infrastructure_security,네이버,,,,,,,general,5.0,exclusive_breaking,business_change,event:네이버:ai_infrastructure_security+financial_performance,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,376.75,"financial_performance,ai_infrastructure_security",competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,국가 AI 인프라/AIDC/GPU 정책,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,국가 AI 인프라/AIDC/GPU 정책,comp_domestic_ai_platform,,,,
2061,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"[IR]네이버 ""엔비디아와 AI 팩토리 구축…내년 상반기 매출 발생 예상""",ir 네이버 엔비디아와 ai 팩토리 구축 내년 상반기 매출 발생 예상,뉴스1,뉴스1,"Fri, 07 Aug 2026 00:18:12 GMT","[IR]네이버 ""엔비디아와 AI 팩토리 구축…내년 상반기 매출 발생 예상"" 뉴스1",https://news.google.com/rss/articles/CBMiaEFVX3lxTFB1V2t5ZlE5NWdERVVFemw2eTFpU3dVOVVYc2hhY0RjaHJlTWtheTMybXNfRTB0bjIxOFJFY2R1anhmcTlPUUo2bjhjaEdva2VqaWU3MUp3UzBGNk9uLThEeWFGOUlsZkFf?oc=5,google_rss_네이버 site:news1.kr when:4d,376.5,38.5,"ai_infrastructure_security,earnings,financial_performance",ai_infrastructure_security,네이버,,,,,,,general,0.0,,business_change,event:네이버:ai_infrastructure_security+financial_performance,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,376.5,"financial_performance,ai_infrastructure_security",competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:ir 네이버 엔비디아와 ai 팩토리 구축 내년 상반기 매출 발생 예상,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:ir 네이버 엔비디아와 ai 팩토리 구축 내년 상반기 매출 발생 예상,comp_domestic_ai_platform,,,,
2162,경쟁사/해외이슈,경쟁사_해외이슈,네이버,최수연 네이버 대표 “글로벌 AI 팩토리 내년 상반기 매출로 성과낸다”,최수연 네이버 대표 글로벌 ai 팩토리 내년 상반기 매출로 성과낸다,헤럴드경제,헤럴드경제,"Fri, 07 Aug 2026 02:27:44 GMT",최수연 네이버 대표 “글로벌 AI 팩토리 내년 상반기 매출로 성과낸다” 헤럴드경제,https://news.google.com/rss/articles/CBMiVkFVX3lxTFBJMjhWdjh3SXRpbVpyUWxMdWN5WUdqQmlqNHNRdUlNZlBfdEdxZU9hbVhNb2ZzTjBHcktka05JZTU4RTJwcWRYblJ5aHBJTWN0TVBhODlB?oc=5,google_rss_네이버 site:heraldcorp.com when:4d,375.5,38.5,"ai_infrastructure_security,earnings,financial_performance",ai_infrastructure_security,네이버,,,,,,,general,0.0,,direct_risk,global_incident:leadership_service:naver:leadership_service,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,375.5,"financial_performance,ai_infrastructure_security",competitor:ai_strategy,global_incident:leadership_service:naver:leadership_service:general,global_incident:leadership_service:naver:leadership_service,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,global_incident:leadership_service:naver:leadership_service,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:leadership_service:naver:leadership_service,comp_domestic_ai_platform,,,,
2167,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"[컨콜] 네이버 ""엔비디아와 'AI 팩토리' 협력⋯내년 상반기 매출 발생 예상""",컨콜 네이버 엔비디아와 ai 팩토리 협력 내년 상반기 매출 발생 예상,아이뉴스24,아이뉴스24,"Fri, 07 Aug 2026 00:32:05 GMT","[컨콜] 네이버 ""엔비디아와 'AI 팩토리' 협력⋯내년 상반기 매출 발생 예상"" 아이뉴스24",https://news.google.com/rss/articles/CBMiS0FVX3lxTE91VlNiTHpEYmdVQWhKTi1telgyRVgxeDhUUHNDWk1id2szc0tsVVJKSWpoVXNTYWk4R3ZsREpTanJjMG5ER2lvdS1yMA?oc=5,google_rss_네이버 site:inews24.com when:4d,375.5,38.5,"ai_infrastructure_security,earnings,financial_performance",ai_infrastructure_security,네이버,,,,,,,general,0.0,,business_change,event:네이버:ai_infrastructure_security+financial_performance,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,375.5,"financial_performance,ai_infrastructure_security",competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:컨콜 네이버 엔비디아와 ai 팩토리 협력 내년 상반기 매출 발생 예상,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:컨콜 네이버 엔비디아와 ai 팩토리 협력 내년 상반기 매출 발생 예상,comp_domestic_ai_platform,,,,
1945,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"네이버, AI 투자로 영업익 성장세 멈춰···“엔비디아 협력 AI팩토리 매출 내년 본격화”",네이버 ai 투자로 영업익 성장세 멈춰 엔비디아 협력 ai팩토리 매출 내년 본격화,시사저널e,시사저널e,"Fri, 07 Aug 2026 01:46:56 GMT","네이버, AI 투자로 영업익 성장세 멈춰···“엔비디아 협력 AI팩토리 매출 내년 본격화” 시사저널e",https://news.google.com/rss/articles/CBMickFVX3lxTE4wV2NvYVZGOFUtYVBSSW5XLTFXM3JxQlk2RGtlQ1daekZYaTh2d0tNeFFkNE1EU19hdU9WYUFXVTQxVE9RakZjVHBpU25xWnpqV3lXT2JuLTdGQXNFYVBiVFJlemd2WE9nMUVuSmI2TzlJZ9IBdkFVX3lxTE5Dd2JjT2I3ZFc3OEVsUjdvcVNHRENrTFhpUVV6LVFuV2Q1dm1FLXFLV25Ob3g1OHJxdUFaS01xOHJGWE95WDdrQ3NveHo3c0JEbHV2M3lmd2NhaXFydVdQRWtoOFJXODM0WjRtR2N4X21CYXZieHc?oc=5,google_rss_네이버 AI when:4d,372.5,38.5,"ai_infrastructure_security,earnings,financial_performance",ai_infrastructure_security,네이버,,,,,,,general,0.0,,business_change,event:네이버:ai_infrastructure_security+financial_performance,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,372.5,"financial_performance,ai_infrastructure_security",competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:네이버 ai 투자로 영업익 성장세 멈춰 엔비디아 협력 ai팩토리 매출 내년 본격화,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:네이버 ai 투자로 영업익 성장세 멈춰 엔비디아 협력 ai팩토리 매출 내년 본격화,comp_domestic_ai_platform,,,,
2117,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"“엔비디아 협력 AI 팩토리, 내년 상반기 첫 매출 예상” [네이버 컨콜]",엔비디아 협력 ai 팩토리 내년 상반기 첫 매출 예상 네이버 컨콜,IT조선,IT조선,"Fri, 07 Aug 2026 01:39:11 GMT","“엔비디아 협력 AI 팩토리, 내년 상반기 첫 매출 예상” [네이버 컨콜] IT조선",https://news.google.com/rss/articles/CBMicEFVX3lxTE44QmVjYmYzcVFLamxXTzk1UDlfallCVF9KMUxWeFJJVE9PM2xNYk9rakFYRjNDUzhMcjVEdmdCbHBfMXZmenE0MHJsLVFBOUpNVVVuS2ViS3pNNWZqWlpEV2xMbHdiWnpoMVRMXzVlUnTSAXRBVV95cUxOQWFEeUJMaURLdFRSNHU3Q0M0dDhQTkptd2hDSzRlVUZ6WXoxZ25NSGdYZVFDeGg3djhfVXBsVURMZEZUR3ZQcTJ1TWxDWnFfWHN3cWR0cFJ4TmxLWFVBemw3M2lLYjVvS1JoRkR3Q25Bckp6cw?oc=5,google_rss_네이버 site:chosun.com when:4d,372.5,38.5,"ai_infrastructure_security,earnings,financial_performance",ai_infrastructure_security,네이버,,,,,,,general,0.0,,business_change,event:네이버:ai_infrastructure_security+financial_performance,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,372.5,"financial_performance,ai_infrastructure_security",competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:엔비디아 협력 ai 팩토리 내년 상반기 첫 매출 예상 네이버 컨콜,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:엔비디아 협력 ai 팩토리 내년 상반기 첫 매출 예상 네이버 컨콜,comp_domestic_ai_platform,,,,
2172,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"[컨콜] 네이버 ""중동·남미 데이터센터 논의⋯GW급 확장에 글로벌 파트너 필요""",컨콜 네이버 중동 남미 데이터센터 논의 gw급 확장에 글로벌 파트너 필요,아이뉴스24,아이뉴스24,"Fri, 07 Aug 2026 01:22:48 GMT","[컨콜] 네이버 ""중동·남미 데이터센터 논의⋯GW급 확장에 글로벌 파트너 필요"" 아이뉴스24",https://news.google.com/rss/articles/CBMiS0FVX3lxTFA0UW9wWDdRYjlYRHEzM3Rpcl9hLXptS19xLWpqWTdwdmZWa01ET2lueVVfQ3FJSW9EblJ6V2JyTllqU0N6NkZXZkdKMA?oc=5,google_rss_네이버 site:inews24.com when:4d,357.5,23.5,"ai_infrastructure_security,financial_performance",ai_infrastructure_security,네이버,,,,,,,general,0.0,,general,event:네이버:ai_infrastructure_security+financial_performance,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,357.5,"financial_performance,ai_infrastructure_security",competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:컨콜 네이버 중동 남미 데이터센터 논의 gw급 확장에 글로벌 파트너 필요,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:컨콜 네이버 중동 남미 데이터센터 논의 gw급 확장에 글로벌 파트너 필요,comp_domestic_ai_platform,,,,
2083,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"[컨콜] 네이버·엔비디아 ""AI팩토리, 내년부터 수익화 자신""",컨콜 네이버 엔비디아 ai팩토리 내년부터 수익화 자신,디지털데일리,디지털데일리,"Fri, 07 Aug 2026 00:27:11 GMT","[컨콜] 네이버·엔비디아 ""AI팩토리, 내년부터 수익화 자신"" 디지털데일리",https://news.google.com/rss/articles/CBMiZEFVX3lxTE42cXNBd0w0WGxMUEkyRGNRemtIRGp2dlUtQ3NzenBpNElWUW9heUh0VkdxVXoteVg3MXg4aWgteDQwc0ZEdG1pT1RvVXFwVFZsT210NDVNZldzUkdiQkhRVzY1am0?oc=5,google_rss_네이버 site:ddaily.co.kr when:4d,355.5,20.5,"ai_infrastructure_security,financial_performance",ai_infrastructure_security,네이버,,,,,,,general,0.0,,business_change,event:네이버:ai_infrastructure_security+financial_performance,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,355.5,"financial_performance,ai_infrastructure_security",competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:컨콜 네이버 엔비디아 ai팩토리 내년부터 수익화 자신,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:컨콜 네이버 엔비디아 ai팩토리 내년부터 수익화 자신,comp_domestic_ai_platform,,,,
1965,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"네이버, AI 수익화 본 궤도…내년 엔비디아와 ‘AI 팩토리’ 띄운다 [컨콜]",네이버 ai 수익화 본 궤도 내년 엔비디아와 ai 팩토리 띄운다 컨콜,쿠키뉴스,쿠키뉴스,"Fri, 07 Aug 2026 14:06:05 GMT","네이버, AI 수익화 본 궤도…내년 엔비디아와 ‘AI 팩토리’ 띄운다 [컨콜] 쿠키뉴스",https://news.google.com/rss/articles/CBMiY0FVX3lxTE9mcnUwS2ZsLWY2Vm15OW50NWdZNmtOcllRZzI4LXJwVk5VTWJsT0VUajk4NU53ZjlPcEhFZmJvMzFRVnlPVXpfWTRGaVNhNENLdlZCOTAxMF84NzBLelp4RUNPRQ?oc=5,google_rss_네이버 AI when:4d,351.5,20.5,"ai_infrastructure_security,financial_performance",ai_infrastructure_security,네이버,,,,,,,general,0.0,,business_change,event:네이버:ai_infrastructure_security+financial_performance,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,351.5,"financial_performance,ai_infrastructure_security",competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:네이버 ai 수익화 본 궤도 내년 엔비디아와 ai 팩토리 띄운다 컨콜,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:네이버 ai 수익화 본 궤도 내년 엔비디아와 ai 팩토리 띄운다 컨콜,comp_domestic_ai_platform,,,,
2028,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"[AI픽] 네이버, 엔비디아 업고 AI 인프라 기업 도약할까",네이버 엔비디아 업고 ai 인프라 기업 도약할까,코인리더스,코인리더스,"Fri, 07 Aug 2026 07:00:01 GMT","[AI픽] 네이버, 엔비디아 업고 AI 인프라 기업 도약할까 코인리더스",https://news.google.com/rss/articles/CBMiSEFVX3lxTE4tRk5yQUFoVlJCVzdfODBOUnNUUUYyZ190dDU3ZnRHUjhGekNDVHNnNWVxYXJkajVNbXdFZTlTeXc5ZEptaVlsYw?oc=5,google_rss_네이버 스테이블코인 when:4d,351.5,20.5,"ai_infrastructure_security,digital_asset_stablecoin",ai_infrastructure_security,네이버,,,,,,,general,0.0,,business_change,event:네이버:ai_infrastructure_security+digital_asset_stablecoin,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,351.5,"ai_infrastructure_security,digital_asset_stablecoin",competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,국가 AI 인프라/AIDC/GPU 정책,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,국가 AI 인프라/AIDC/GPU 정책,comp_domestic_ai_platform,,,,
