id,원카테고리,JSON카테고리,검색어,기사제목,기사제목_정규화,언론사,정규언론사,게시일,본문요약,링크,수집채널,랭킹점수,중요도점수,사건태그,사건단계,주요주체,랭킹감점사유,정책규제의무,강제검토,강제검토사유,자사홍보성,이슈패밀리,코드힌트,오늘성점수,오늘성사유,기사유형,v26이벤트키,v26진행단계,v27_industry_ok,v27_industry_reason,v27_industry_score,v32_competitor_basis,v32_competitor_portfolio,v32_actor_group,랭킹원점수,편집신호,스토리버킷,전역사건키,전역사건기본키,Gemini카테고리,Gemini내부카테고리,Gemini이슈패밀리,Gemini이슈그룹,Gemini관련성,Gemini중요도,Gemini대외협력중요도,Gemini관련도,GeminiPR성,Gemini제외,Gemini판단사유,Gemini라벨소스,Gemini자사티어,Gemini정부티어,Gemini경쟁사티어,Gemini경쟁사범위,Gemini정책영향경로,Gemini경쟁시사점,Gemini중복그룹,Gemini이슈유형,v26_2_profile_reason,v26가드레일사유
2062,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"하나증권 ""네이버 톱픽…엔비디아가 지분 투자하는 전진 기지""",하나증권 네이버 톱픽 엔비디아가 지분 투자하는 전진 기지,연합뉴스,연합뉴스,"Wed, 19 Aug 2026 23:28:47 GMT","하나증권 ""네이버 톱픽…엔비디아가 지분 투자하는 전진 기지"" 연합뉴스",https://news.google.com/rss/articles/CBMiW0FVX3lxTE9YYk5WclUtT3BFN0tkSDRsbkJkTzgxMUFuX1oxSzhKSXpFbnlmbjdabE1YemRrMG5ZeE41UV9WMm1nb3MtUWNUSHptSzItNGdVZDdiM0dxMEdqaXfSAWBBVV95cUxQRUZ4ZG9UeXRMUVpwWTJnRTY0S3dQelcwWXZHR243U1hwbkdEanR6VXZYam83UlNqYy1TYUZUY2planZnbUpCekdkcjQ1QkxvSmo4aFBvYXlqVkM4b1Bqejk?oc=5,google_rss_네이버 site:yna.co.kr when:2d,367.0,31.5,strategy_mna_governance,strategy_mna_governance,네이버,,,,,,,general,14.0,published_yesterday,direct_risk,global_incident:mna_capital:naver:mna_capital,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,367.0,strategy_mna_governance,competitor:strategy_mna,global_incident:mna_capital:naver:mna_capital:general,global_incident:mna_capital:naver:mna_capital,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_strategy,global_incident:mna_capital:naver:mna_capital,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_STRATEGY,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:mna_capital:naver:mna_capital,comp_domestic_strategy,,
1991,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"“엔비디아의 아시아 전진기지 된 네이버, ‘GW급’ AI 팩토리 짓는다”",엔비디아의 아시아 전진기지 된 네이버 gw급 ai 팩토리 짓는다,뉴스퀘스트,뉴스퀘스트,"Thu, 20 Aug 2026 06:16:37 GMT","“엔비디아의 아시아 전진기지 된 네이버, ‘GW급’ AI 팩토리 짓는다” 뉴스퀘스트",https://news.google.com/rss/articles/CBMic0FVX3lxTE8ySFdHbUVPeF9pR29oSnVhRzU4WTg4eDBkdHVadkZKaDg0TFF6eldWQWlMaTFLTkdFcndOOFNFdmhjQ01wNUZMcGQyLWtGaUtSUVJIYU1QaEI1TUNjM3BSeUhrYkdJdVRKbUMyaWRiQUhBYVnSAXNBVV95cUxPMkhXR21FT3hfaUdvaEp1YUc1OFk4OHgwZHR1WnZGSmg4NExRenpXVkFpTGkxS05HRXJ3TjhTRXZoY0NNcDVGTHBkMi1rRmlLUlFSSGFNUGhCNU1DYzNwUnlIa2JHSXVUSm1DMmlkYkFIQWFZ?oc=5,google_rss_네이버 when:2d,345.0,13.5,ai_infrastructure_security,ai_infrastructure_security,네이버,,,,,,,general,14.0,published_yesterday,business_change,event:네이버:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,345.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:엔비디아의 아시아 전진기지 된 네이버 gw급 ai 팩토리 짓는다,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:엔비디아의 아시아 전진기지 된 네이버 gw급 ai 팩토리 짓는다,comp_domestic_ai_platform,,
2020,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"‘엔비디아 투자‧브룩필드 자금 눈앞’...네이버, 글로벌 AI 허브 도약 가속",엔비디아 투자 브룩필드 자금 눈앞 네이버 글로벌 ai 허브 도약 가속,cwn.kr,cwn.kr,"Thu, 20 Aug 2026 01:30:00 GMT","‘엔비디아 투자‧브룩필드 자금 눈앞’...네이버, 글로벌 AI 허브 도약 가속 cwn.kr",https://news.google.com/rss/articles/CBMiYkFVX3lxTE1malpfaWI1TlctenpCaTZ4UGd2aEVjeXJkak9wdk9Qd09renAzWFliTkdHVGpkVEZvTHF4YUZZcnJsRXl5WjYyMHFOY05pSkFkOWFNelhVQllwZ1g2b0tzVzRn?oc=5,google_rss_네이버 AI when:2d,343.0,13.5,ai_infrastructure_security,ai_infrastructure_security,네이버,,,,,,,general,14.0,published_yesterday,business_change,event:네이버:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,343.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:엔비디아 투자 브룩필드 자금 눈앞 네이버 글로벌 ai 허브 도약 가속,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:엔비디아 투자 브룩필드 자금 눈앞 네이버 글로벌 ai 허브 도약 가속,comp_domestic_ai_platform,,
2171,경쟁사/해외이슈,경쟁사_해외이슈,SKT,"하나금융·SKT 지분참여 비트고코리아, 해외기업 첫 가상자산사업자 신고 수리",하나금융 skt 지분참여 비트고코리아 해외기업 첫 가상자산사업자 신고 수리,네이트,네이트,"Thu, 20 Aug 2026 12:01:00 GMT","하나금융·SKT 지분참여 비트고코리아, 해외기업 첫 가상자산사업자 신고 수리 네이트",https://news.google.com/rss/articles/CBMieEFVX3lxTE5SVkduTV9xZEtjWTdjS1lsNDd0Q2RVYTlVR2R5RWIzSXJ1QUs5ZHpNVW9BU0hTMUJFQXphT3NDNHE5cFBxU1lTWXptS09mdGpMM2RlNl8tVUU2dDFTUmlWcTV2X3J5SzZNdFZIdnB1eWtXVEhPNkRxVg?oc=5,google_rss_SKT when:2d,337.5,107.0,"digital_asset_stablecoin,dunamu_stake,platform_obligation,stablecoin,strategy_mna_governance",dunamu_general,SKT,,,,,,,general,14.0,published_yesterday,direct_risk,global_incident:digital_asset_policy:skt:vasp_aml_rulemaking,general,,"insufficient_industry_basis:actor=True,change=False,bridge=False",1,naver_telco_strategy_or_infra,Y,telco,337.5,"strategy_mna_governance,digital_asset_stablecoin,platform_obligation",competitor:strategy_mna,global_incident:digital_asset_policy:skt:vasp_aml_rulemaking:general,global_incident:digital_asset_policy:skt:vasp_aml_rulemaking,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_domestic_finance_commerce,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨,local_low_confidence,,,COMP_DOMESTIC_FINANCE_COMMERCE,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_finance_commerce,,
2126,경쟁사/해외이슈,경쟁사_해외이슈,SKT,"하나금융·SKT 투자한 비트고코리아, 해외 기업 최초 직접 VASP 취득 By 알파경제 alphabiz",하나금융 skt 투자한 비트고코리아 해외 기업 최초 직접 vasp 취득 by 알파경제 alphabiz,Investing.com 한국어,Investing.com 한국어,"Thu, 20 Aug 2026 07:12:00 GMT","하나금융·SKT 투자한 비트고코리아, 해외 기업 최초 직접 VASP 취득 By 알파경제 alphabiz Investing.com 한국어",https://news.google.com/rss/articles/CBMicEFVX3lxTE9vLXV5TThyN1p0V0xGMnZHNGctWUx4N3RqMG1SaGxqcm0xZDlqbnRONXFkNTlramk0cURzTlZzNExSOFpmYnc2UV94SEo3ejRzY3VBLVpRZlF0dXFGSUtVWWxvMW5GUUw2Ynk3Nlo3VVI?oc=5,google_rss_SKT when:2d,327.5,33.0,dunamu_stake,dunamu_general,SKT,,,,,,,general,14.0,published_yesterday,general,event:SKT:dunamu_stake,general,Y,"industry_basis_pass:actor=True,change=True,bridge=False",2,naver_telco_strategy_or_infra,Y,telco,327.5,,,,,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_domestic_finance_commerce,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_FINANCE_COMMERCE,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_finance_commerce,,
2911,경쟁사/해외이슈,경쟁사_해외이슈,메타,"소셜 미디어 제국에서 인공지능(AI) 플랫폼으로, '효율성의 해'를 지나 대규모 인프라 투자의 시대로 - 메타(META)",소셜 미디어 제국에서 인공지능 ai 플랫폼으로 효율성의 해 를 지나 대규모 인프라 투자의 시대로 메타 meta,네이버 프리미엄콘텐츠,네이버 프리미엄콘텐츠,"Wed, 19 Aug 2026 23:53:00 GMT","소셜 미디어 제국에서 인공지능(AI) 플랫폼으로, '효율성의 해'를 지나 대규모 인프라 투자의 시대로 - 메타(META) 네이버 프리미엄콘텐츠",https://news.google.com/rss/articles/CBMihgFBVV95cUxOM1dMZHczM19OX2Z2WWhveTBya2RGWGZNbW43YXIzMDZELXF4TGZMWVNKRmdEck90ZGt0SGE1eWRUQlZjX01KSVJXXzZLUkNyOUdhUTdkdzYzeDlGZG05bDk0X3ZVU1FXRkpFMkJoYWJ3N0pmR3QtcXpLVXo5c3k4UTRWMlZidw?oc=5,google_rss_메타 when:2d,317.0,20.5,"ai_infrastructure_security,market_power_platform",ai_infrastructure_security,"네이버,메타",,,,,,,general,14.0,published_yesterday,business_change,global_incident:platform_regulation:naver:platform_regulation,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,317.0,"market_power_platform,ai_infrastructure_security",competitor:regulatory_enforcement,global_incident:platform_regulation:naver:platform_regulation:general,global_incident:platform_regulation:naver:platform_regulation,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,global_incident:platform_regulation:naver:platform_regulation,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:platform_regulation:naver:platform_regulation,comp_domestic_ai_platform,,
2016,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"[단독분석] AI 검색 확산에 네이버 잡혔다… 구글 MAU 첫 역전, 챗GPT 1,600만 시대",ai 검색 확산에 네이버 잡혔다 구글 mau 첫 역전 챗gpt 1 600만 시대,한국데이터경제신문,한국데이터경제신문,"Wed, 19 Aug 2026 21:00:00 GMT","[단독분석] AI 검색 확산에 네이버 잡혔다… 구글 MAU 첫 역전, 챗GPT 1,600만 시대 한국데이터경제신문",https://news.google.com/rss/articles/CBMicEFVX3lxTFBMaEZFa1FpTUdDaVM4dldJaGhiZDlrVUEzazl0YkdoNFBpVV9BWXlJSjJoSlJna0l5NUFWV2VEMW9YeWh2Nzk2d2htWnNPamEyM1dkTzY4SnVhQ2J6RGtmblViMGVhVjhyZkVjUF9DTkPSAXRBVV95cUxQVWp4Rkk1VDJHeHNZOS1YWFk0T0U4NGpWSk9BaDhkQzhGbjBaYzRZamVRX2luTk9QZmZTWVhmQUtDTGRERVBRUEl5V0psM0hYdnhzQS1JVTZIRTZSX0Z5V2c2MWRhbGFVeEV2SEJqYkJabE04QQ?oc=5,google_rss_네이버 AI when:2d,316.25,21.5,"ai_infrastructure_security,search_ads",ai_infrastructure_security,"구글,네이버,오픈AI",,,,,,,general,7.0,published_yesterday+exclusive_breaking+analysis_without_direct_event,analysis_feature,event:구글+네이버:ai_infrastructure_security,rumor_or_report,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,316.25,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:ai 검색 확산에 네이버 잡혔다 구글 mau 첫 역전 챗gpt 1 600만 시대,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:ai 검색 확산에 네이버 잡혔다 구글 mau 첫 역전 챗gpt 1 600만 시대,comp_domestic_ai_platform,,
2224,경쟁사/해외이슈,경쟁사_해외이슈,KT,"KT, AI 스타트업 16곳과 AX 사업 파트너십 구축",kt ai 스타트업 16곳과 ax 사업 파트너십 구축,dt.co.kr,디지털타임스,"Thu, 20 Aug 2026 09:35:23 GMT","KT, AI 스타트업 16곳과 AX 사업 파트너십 구축 dt.co.kr",https://news.google.com/rss/articles/CBMiTkFVX3lxTE03Z2JPbkdUcmZlQnFfN2FrY2VHakNLVGswQ0FFa2VnTVEtT00wUXUyWHZxRlVXQm0tcHlqR1ZkSFRXM3RyaERsa2haTmdFdw?oc=5,google_rss_KT when:2d,305.5,11.0,ai_infrastructure_security,ai_infrastructure_security,KT,,,,,,,general,14.0,published_yesterday,business_change,event:KT:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=False",2,naver_telco_strategy_or_infra,Y,telco,305.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_ai_platform,,
2253,경쟁사/해외이슈,경쟁사_해외이슈,KT,"KT, AI 스타트업 육성 ‘K-PATH 2026’ 16개사 선정… AX 협력 본격화",kt ai 스타트업 육성 k path 2026 16개사 선정 ax 협력 본격화,매일산업뉴스,매일산업뉴스,"Thu, 20 Aug 2026 06:05:06 GMT","KT, AI 스타트업 육성 ‘K-PATH 2026’ 16개사 선정… AX 협력 본격화 매일산업뉴스",https://news.google.com/rss/articles/CBMiY0FVX3lxTE5fVGJGeHRGaDFuUzFUamQtUEJTVDU3MExHVzEzYWdHQUxyM1VNcGlxWl9OUTY1SjFjQzZMREI3LUpRNEpGNDE0a2xENjdhOVR0eXdpRURoZGpOdWc3ZUt2R05XSQ?oc=5,google_rss_KT when:2d,291.5,11.0,ai_infrastructure_security,ai_infrastructure_security,KT,,,,,,,general,14.0,published_yesterday,business_change,event:KT:ai_infrastructure_security,general,,"insufficient_industry_basis:actor=True,change=False,bridge=False",1,naver_telco_strategy_or_infra,Y,telco,291.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_ai_platform,,
2024,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"엔비디아가 3대 주주로 등극한 네이버, 드디어 오를 때가 된건가?! 탈출 기회인가?! Spotify 20 (HIlEkwaMhY)",엔비디아가 3대 주주로 등극한 네이버 드디어 오를 때가 된건가 탈출 기회인가 spotify 20 hilekwamhy,Mshale,Mshale,"Wed, 19 Aug 2026 20:07:06 GMT","엔비디아가 3대 주주로 등극한 네이버, 드디어 오를 때가 된건가?! 탈출 기회인가?! Spotify 20 (HIlEkwaMhY) Mshale",https://news.google.com/rss/articles/CBMiW0FVX3lxTE5jR3ZtTGdFLUVMVXA1eUlwSTV3ZEVYME1OTkNYLUZxQ2xfelNScDlzeHQ0THdzeTdCWUxiVnpuNnhadHYydUYtLWtiU1BFMUU1c25aN2dfMmtxZXc?oc=5,google_rss_네이버 AI when:2d,282.0,6.5,,,네이버,v43_not_true_competitor,,,,,,general,14.0,published_yesterday,general,,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,282.0,,,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_strategy,comp_domestic_strategy:엔비디아가 3대 주주로 등극한 네이버 드디어 오를 때가 된건가 탈출 기회인가 spotify 20 hilekw,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_STRATEGY,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_strategy:엔비디아가 3대 주주로 등극한 네이버 드디어 오를 때가 된건가 탈출 기회인가 spotify 20 hilekw,comp_domestic_strategy,,
