id,원카테고리,JSON카테고리,검색어,기사제목,기사제목_정규화,언론사,정규언론사,게시일,본문요약,링크,수집채널,랭킹점수,중요도점수,사건태그,사건단계,주요주체,랭킹감점사유,정책규제의무,강제검토,강제검토사유,자사홍보성,이슈패밀리,코드힌트,오늘성점수,오늘성사유,기사유형,v26이벤트키,v26진행단계,v27_industry_ok,v27_industry_reason,v27_industry_score,v32_competitor_basis,v32_competitor_portfolio,v32_actor_group,랭킹원점수,편집신호,스토리버킷,전역사건키,전역사건기본키,Gemini카테고리,Gemini내부카테고리,Gemini이슈패밀리,Gemini이슈그룹,Gemini관련성,Gemini중요도,Gemini대외협력중요도,Gemini관련도,GeminiPR성,Gemini제외,Gemini판단사유,Gemini라벨소스,Gemini자사티어,Gemini정부티어,Gemini경쟁사티어,Gemini경쟁사범위,Gemini정책영향경로,Gemini경쟁시사점,Gemini중복그룹,Gemini이슈유형,v26_2_profile_reason,v26가드레일사유,v32_weak_non_digital_gov
1909,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"네이버·엔비디아, GPU 10만개 '최강' AI팩토리 세운다",네이버 엔비디아 gpu 10만개 최강 ai팩토리 세운다,그린포스트코리아,그린포스트코리아,"Mon, 24 Aug 2026 08:10:48 GMT","네이버·엔비디아, GPU 10만개 '최강' AI팩토리 세운다 그린포스트코리아",https://news.google.com/rss/articles/CBMiekFVX3lxTE5pRlFCTHNQOWRHSWtIbHJuTExPRXZxZHRHMlp4YnNjVy15aFcwdU9GczhLR19BWEJrcXlfY2NGdm51eGhoOTRaUDNzQmRsWFRCblZ0N294WkxNVHdhVmtyZzNTcWdZTW1LY0p0Q2tjR0tnUExlb19GT1BB0gF6QVVfeXFMTmlGUUJMc1A5ZEdJa0hscm5MTE9FdnFkdEcyWnhic2NXLXloVzB1T0ZzOEtHX0FYQmtxeV9jY0Z2bnV4aGg5NFpQM3NCZGxYVEJuVnQ3b3haTE1Ud2FWa3JnM1NxZ1lNbUtjSnRDa2NHS2dQTGVvX0ZPUEE?oc=5,google_rss_네이버 when:2d,358.0,23.5,"ai_infrastructure_security,aidc_datacenter",aidc_gpu_npu,네이버,,,,,,,general,14.0,published_yesterday,business_change,event:네이버:ai_infrastructure_security+aidc_datacenter,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,358.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,국가 AI 인프라/AIDC/GPU 정책,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,국가 AI 인프라/AIDC/GPU 정책,comp_domestic_ai_platform,,,
1913,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"앤트로픽 치솟자, “SKT·네이버·LG CNS 들썩…투자부터 AIDC, AX까지”",앤트로픽 치솟자 skt 네이버 lg cns 들썩 투자부터 aidc ax까지,에너지경제신문,에너지경제신문,"Mon, 24 Aug 2026 04:44:56 GMT","앤트로픽 치솟자, “SKT·네이버·LG CNS 들썩…투자부터 AIDC, AX까지” 에너지경제신문",https://news.google.com/rss/articles/CBMiW0FVX3lxTE5tM1NGTzgzd01qY1RzX0R6OF9YSmVteGlFWXNwMExtOTRfeEtFSElzd0lveXFLUUlHN3FiNzJLbXFVQTdyZi1TZGRNU0JTOEdEMC1JUGhfTDE0cFU?oc=5,google_rss_네이버 when:2d,358.0,23.5,"ai_infrastructure_security,aidc_datacenter",aidc_general,"SKT,네이버,앤트로픽",,,,,,,general,14.0,published_yesterday,business_change,global_incident:ai_security_policy:naver:anthropic_glasswing_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,358.0,ai_infrastructure_security,competitor:ai_strategy,global_incident:ai_security_policy:naver:anthropic_glasswing_security:general,global_incident:ai_security_policy:naver:anthropic_glasswing_security,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,국가 AI 인프라/AIDC/GPU 정책,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,국가 AI 인프라/AIDC/GPU 정책,comp_domestic_ai_platform,,,
2228,경쟁사/해외이슈,경쟁사_해외이슈,LGU+,"“AI 보안 취약점 선제 차단”…LGU+, 글로벌 화이트 해커와 맞손",ai 보안 취약점 선제 차단 lgu+ 글로벌 화이트 해커와 맞손,서울경제TV,서울경제TV,"Mon, 24 Aug 2026 00:25:07 GMT","“AI 보안 취약점 선제 차단”…LGU+, 글로벌 화이트 해커와 맞손 서울경제TV",https://news.google.com/rss/articles/CBMiZEFVX3lxTFB6REZMcjJ4OXJfLUhuS2wwR2pXcFpYTGZScWk3cUdIdW9KNlZLekdfYnlvZHpTYmZlLUVscDJoX2xkNXJERUI2THZmYUVaMWR0OE1rLTNSMHQzWnlzbEhxTEJVUjE?oc=5,google_rss_LGU+ when:2d,329.5,25.0,"ai_infrastructure_security,phishing_security,privacy_security_reliability",security_general,LGU+,,,,,,,general,14.0,published_yesterday,direct_risk,global_incident:ai_security_policy:lguplus:ai_security_policy,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,telco,329.5,"privacy_security_reliability,ai_infrastructure_security",competitor:security_reliability,global_incident:ai_security_policy:lguplus:ai_security_policy:general,global_incident:ai_security_policy:lguplus:ai_security_policy,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,global_incident:ai_security_policy:lguplus:ai_security_policy,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:ai_security_policy:lguplus:ai_security_policy,comp_domestic_ai_platform,,,
2218,경쟁사/해외이슈,경쟁사_해외이슈,LGU+,"LGU+는 '글로벌 보안', SKT는 'AI 인재'…통신업계 미래 기술 체질 개선",lgu+는 글로벌 보안 skt는 ai 인재 통신업계 미래 기술 체질 개선,데일리팝,데일리팝,"Mon, 24 Aug 2026 08:38:00 GMT","LGU+는 '글로벌 보안', SKT는 'AI 인재'…통신업계 미래 기술 체질 개선 데일리팝",https://news.google.com/rss/articles/CBMiakFVX3lxTE9LNHU4S2l2NkRpUWJxQXZCRGVpelpoTnhUNFhPc2RVVElEOUZDbGNTd3NLS0tVMjhrUUphRE5PTnIzRGpCazJRdVUzeGg1aC1TQV93RXNuNC1Kbk56R2tjdjNIekJjQnY5LXc?oc=5,google_rss_LGU+ when:2d,327.5,25.0,"ai_infrastructure_security,phishing_security,privacy_security_reliability",security_general,"LGU+,SKT",,,,,,,general,14.0,published_yesterday,direct_risk,event:LGU++SKT:ai_infrastructure_security+phishing_security,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,telco,327.5,"privacy_security_reliability,ai_infrastructure_security",competitor:security_reliability,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:lgu+는 글로벌 보안 skt는 ai 인재 통신업계 미래 기술 체질 개선,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:lgu+는 글로벌 보안 skt는 ai 인재 통신업계 미래 기술 체질 개선,comp_domestic_ai_platform,,,
2180,경쟁사/해외이슈,경쟁사_해외이슈,KT,"KT, 전사 IT ‘AI 네이티브’ 전환…보안·AX 기반 강화",kt 전사 it ai 네이티브 전환 보안 ax 기반 강화,팍스경제TV,팍스경제TV,"Mon, 24 Aug 2026 01:44:52 GMT","KT, 전사 IT ‘AI 네이티브’ 전환…보안·AX 기반 강화 팍스경제TV",https://news.google.com/rss/articles/CBMiaEFVX3lxTE1CeVFvSlV6alV2WG1YY3lzTVIyZEdlRVQ1ek5vMGRlR1oxS1N5RVNSZkcwRlNocWZheHpFSjV5WVpxdkFqX0I3WlVXbzhKVl9ZS3VLZmtGTHZVUjdITk1aaU9ONFJudEh0?oc=5,google_rss_KT when:2d,327.5,25.0,"ai_infrastructure_security,phishing_security,privacy_security_reliability",security_general,KT,,,,,,,general,14.0,published_yesterday,direct_risk,event:KT:ai_infrastructure_security+phishing_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,telco,327.5,"privacy_security_reliability,ai_infrastructure_security",competitor:security_reliability,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_ai_platform,,,
2019,경쟁사/해외이슈,경쟁사_해외이슈,네이버,[오늘 이 종목] “실리콘투·SK텔레콤·엘앤에프·NAVER…해외 인프라 확장부터 앤트로픽 IPO 낙수효과·LFP 양산·두나무 나스닥 상장 모멘텀 주목” - 머니투데이,오늘 이 종목 실리콘투 sk텔레콤 엘앤에프 naver 해외 인프라 확장부터 앤트로픽 ipo 낙수효과 lfp 양산 두나무 나스닥 상장 모멘텀 주목,머니투데이,머니투데이,"Mon, 24 Aug 2026 03:51:17 GMT",[오늘 이 종목] “실리콘투·SK텔레콤·엘앤에프·NAVER…해외 인프라 확장부터 앤트로픽 IPO 낙수효과·LFP 양산·두나무 나스닥 상장 모멘텀 주목” - 머니투데이 머니투데이,https://news.google.com/rss/articles/CBMiaEFVX3lxTFBNcjBFTlpaVVhXZEFUNC13a1hPQUhWVEtWWDIwM3hveElqVnNpcWJGVzNxRnZKQURUY1FpenJsb0YtejlZY21HeXBRSDdiNzVjZlhRRnVvSkM1R0FRUzg4WlNVcjdTaE0y0gFuQVVfeXFMT1c2RVcwUFBQZHRBS0hPakJQOFM2TzFaRllrTXVlS1FJLXRHOEs0a3NzaG1GYzVxT255M2VZSnBjWUtiQjRyMTI3NThkMF9zTGw1SkYyZUpWN21fOGdkSEd3cXpVUjVWT1EtNVc0YkE?oc=5,google_rss_네이버 site:mt.co.kr when:2d,325.0,33.5,"digital_asset_stablecoin,dunamu_stake,strategy_mna_governance",dunamu_general,"SKT,네이버,두나무,앤트로픽",v43_not_true_competitor,,,,,,general,14.0,published_yesterday,direct_risk,global_incident:ai_security_policy:naver:anthropic_glasswing_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,325.0,"strategy_mna_governance,digital_asset_stablecoin",competitor:strategy_mna,global_incident:ai_security_policy:naver:anthropic_glasswing_security:general,global_incident:ai_security_policy:naver:anthropic_glasswing_security,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_strategy,global_incident:ai_security_policy:naver:anthropic_glasswing_security,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_STRATEGY,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:ai_security_policy:naver:anthropic_glasswing_security,comp_domestic_strategy,,,
2214,경쟁사/해외이슈,경쟁사_해외이슈,LGU+,"LGU+, 보안 검증 무대 글로벌로…240만 화이트해커에 문 연다",lgu+ 보안 검증 무대 글로벌로 240만 화이트해커에 문 연다,디지털데일리,디지털데일리,"Mon, 24 Aug 2026 02:55:13 GMT","LGU+, 보안 검증 무대 글로벌로…240만 화이트해커에 문 연다 디지털데일리",https://news.google.com/rss/articles/CBMiZEFVX3lxTE1nZFY5b2txdDRhYmhuRDN2dFRqR1lHMFlOUmhfaEdRR1ZtRWI5T25qdU5MeEFpUHd2Q3JLZEFOVm9udzQ0Mi1iUE1xb0Z4U09uUUt3OXBnZm9IMk4zSFZDSFRCWTg?oc=5,google_rss_LGU+ when:2d,321.5,18.0,"phishing_security,privacy_security_reliability",security_general,LGU+,,,,,,,general,14.0,published_yesterday,direct_risk,event:LGU+:phishing_security+privacy_security_reliability,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,telco,321.5,privacy_security_reliability,competitor:security_reliability,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_strategy,comp_domestic_strategy:lgu+ 보안 검증 무대 글로벌로 240만 화이트해커에 문 연다,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_STRATEGY,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_strategy:lgu+ 보안 검증 무대 글로벌로 240만 화이트해커에 문 연다,comp_domestic_strategy,,,
2215,경쟁사/해외이슈,경쟁사_해외이슈,LGU+,"LGU+, 글로벌 화이트해커와 보안 취약점 찾는다",lgu+ 글로벌 화이트해커와 보안 취약점 찾는다,연합뉴스,연합뉴스,"Mon, 24 Aug 2026 00:35:06 GMT","LGU+, 글로벌 화이트해커와 보안 취약점 찾는다 연합뉴스",https://news.google.com/rss/articles/CBMiYEFVX3lxTFBUNTU2UUJfc1JDc0hNSlZDTmJiTW5KSnlTWnR2bl84MVowYkFkQnVXanBfcGRoTEQxYTcwelA5d3J6YjVfSEhBZlljY2w4ZVMzQWJ6VjlpVU1OMi14Ui11etIBYEFVX3lxTFBUNTU2UUJfc1JDc0hNSlZDTmJiTW5KSnlTWnR2bl84MVowYkFkQnVXanBfcGRoTEQxYTcwelA5d3J6YjVfSEhBZlljY2w4ZVMzQWJ6VjlpVU1OMi14Ui11eg?oc=5,google_rss_LGU+ when:2d,321.5,18.0,"phishing_security,privacy_security_reliability",security_general,LGU+,,,,,,,general,14.0,published_yesterday,direct_risk,event:LGU+:phishing_security+privacy_security_reliability,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,telco,321.5,privacy_security_reliability,competitor:security_reliability,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_strategy,comp_domestic_strategy:lgu+ 글로벌 화이트해커와 보안 취약점 찾는다,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_STRATEGY,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_strategy:lgu+ 글로벌 화이트해커와 보안 취약점 찾는다,comp_domestic_strategy,,,
2216,경쟁사/해외이슈,경쟁사_해외이슈,LGU+,"LGU+, 글로벌 화이트해커 맞손…보안 취약점 검증 고도화",lgu+ 글로벌 화이트해커 맞손 보안 취약점 검증 고도화,신아일보,신아일보,"Mon, 24 Aug 2026 02:22:56 GMT","LGU+, 글로벌 화이트해커 맞손…보안 취약점 검증 고도화 신아일보",https://news.google.com/rss/articles/CBMicEFVX3lxTE5wU09lUno2cll2SmJGVlJCdng3UTZsZ2dMT3ItSkFFSDhRLU9ydUNlZFI1OXdKYk1qQnRsWWpHVG1VNHYxanBPQ3dybzRsREZZMEFrdWZDZUJhUU1KSXhFY2FrZ25LdlVuMUpfU3RGblA?oc=5,google_rss_LGU+ when:2d,317.5,18.0,"phishing_security,privacy_security_reliability",security_general,LGU+,,,,,,,general,14.0,published_yesterday,direct_risk,event:LGU+:phishing_security+privacy_security_reliability,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,telco,317.5,privacy_security_reliability,competitor:security_reliability,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_strategy,comp_domestic_strategy:lgu+ 글로벌 화이트해커 맞손 보안 취약점 검증 고도화,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_STRATEGY,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_strategy:lgu+ 글로벌 화이트해커 맞손 보안 취약점 검증 고도화,comp_domestic_strategy,,,
2225,경쟁사/해외이슈,경쟁사_해외이슈,LGU+,"LGU+, 해커원과 글로벌 버그바운티 운영…전 서비스 보안 검증",lgu+ 해커원과 글로벌 버그바운티 운영 전 서비스 보안 검증,v.daum.net,v.daum.net,"Mon, 24 Aug 2026 01:25:07 GMT","LGU+, 해커원과 글로벌 버그바운티 운영…전 서비스 보안 검증 v.daum.net",https://news.google.com/rss/articles/CBMiS0FVX3lxTE9oSEVDTUNiWGVoU0Z6NkRWa2JiZW1DV08wRHh4YU9vMnVMZDdSbzlfS2FRc200VGFSeHc5dXkxalRFRVpuczNqa09vOA?oc=5,google_rss_LGU+ when:2d,317.5,18.0,"phishing_security,privacy_security_reliability",security_general,LGU+,,,,,,,general,14.0,published_yesterday,direct_risk,event:LGU+:phishing_security+privacy_security_reliability,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,telco,317.5,privacy_security_reliability,competitor:security_reliability,,,경쟁사_해외이슈,SELF_AFFILIATE_BUSINESS,self_filler_reference,self_filler_reference:lgu+ 해커원과 글로벌 버그바운티 운영 전 서비스 보안 검증,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,2,5,,,v26: 카카오 직접 주체가 없어 자사 섹션 제외/재분류 / v26.2: overseas structural industry candidate,local_low_confidence,OFF_TOPIC,,COMP_DOMESTIC_STRATEGY,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,self_filler_reference:lgu+ 해커원과 글로벌 버그바운티 운영 전 서비스 보안 검증,self_filler_reference,,,
