검색어,후보제목,후보링크,후보언론사,매칭과거일자,매칭과거제목,매칭과거링크,중복판정이유,공유주체,공유사건태그,종합점수,제목점수,토큰점수,본문점수,후보대표점수,매칭대표점수,제외단계
카카오,카카오 분할 뒤 주가 셈법 바뀐다…AI 프리미엄 vs X 할인,https://news.google.com/rss/articles/CBMic0FVX3lxTE1GUmVjTVpoSHN5MW52cEdqWWxyUG9TVXRHMG9IUDREMVdXZlVsQ2JOa2Z2UVJaeERRRG1MckhrczFLd3Fod2IwTF8wNWJLY09tNkxGMnFpY3dEMXdmV29EWEN3cmFCZHRyYzBaMGluR3RicW8?oc=5,디지털투데이,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,
카카오,"카카오페이증권, 담보비율 오안내로 투자자 15억 주식 강제처분 논란",https://news.google.com/rss/articles/CBMibkFVX3lxTFAyUjYwa1NWSlE0V0FldHc4SWlwNGtXMlM5c3p0emUzRzVtYXp1Mm9WXzg3VS1vWm82SjNxNjhKS1Y2Y19wckVUS0pMdkNqV25Zal94MGx3eU9lSlNfSFBOSmtmVFd1aGlsS0I1VFVR?oc=5,알파경제,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,
카카오,"“카카오, 회사 쪼개자 목표가 뚝”…그래도 ‘사라’, 이유는?",https://news.google.com/rss/articles/CBMiUkFVX3lxTE45eUhHNU5FSWxidkJEOUtTc1RWdUZxMzVYcFlQRU9EdDZHYUZWUTZROGlXSWJISU1fSXVqWGVyejZheGNuMzM5QS1udHpHeUhQaEE?oc=5,매일경제,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,
카카오,"[주간 리포트] 카카오, 다시 던진 승부수",https://news.google.com/rss/articles/CBMiT0FVX3lxTE1wTkdaWk9mLW1Fc2w2S3ZzWjhleFhZM2x5OXE0dTRQWHVzWVVobVp0bXBqRmVZTHY4RGtQV3hBQmtQNjZJVkJqZXRIckVfRVU?oc=5,바이라인네트워크,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,
카카오,[헬로티 HelloT] [헬로스톡] 8/24 주목할 종목 : 한화에어로스페이스·카카오·로보티즈·한진,https://news.google.com/rss/articles/CBMiX0FVX3lxTE5vdWZMR2liLS1ERDdMdm9pSG1fWVhmMHBFbmtGX3JJcTZkcG1RTFdZTGs5QVZMVW1xakZzTGEwUjNab2lVZ0JTU1Z6NER5el9oMXFCc3pPNWVYMDczV1NB?oc=5,헬로티,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,
카카오,"카카오 인적분할, 증권가도 설왕설래…성장 그림 명확 VS 분할 실익 의문",https://news.google.com/rss/articles/CBMiWEFVX3lxTE1PQ1U5LW9IQXVWZlNnclpEMUh0aHJGM2d0SHZTWW9DNldFR2syOUNSRUlweEh1TWYtOTFpc2hFeHpZc1ByX28wcEdoVEE1dEhNLUg4eHBXeWzSAVhBVV95cUxNT0NVOS1vSEF1VmZTZ3JaRDFIdGhyRjNndEh2U1lvQzZXRUdrMjlDUkVJcHhIdU1mLTkxaXNoRXh6WXNQcl9vMHBHaFRBNXRITS1IOHhwV3ls?oc=5,아주경제,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,
카카오,"카카오 인적분할, 증권가도 설왕설래…""성장 그림 명확"" VS ""분할 실익 의문""",https://news.google.com/rss/articles/CBMiRkFVX3lxTE1sMmxUMHdvb29FbE5EaFpSOEV4WmRCb0tGbWo4ZVZMWHRnUElDV2dicml6Si1LLWhYRmZQWVRpVWFDY0ZEYkE?oc=5,v.daum.net,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,
카카오,"카카오 인적분할, 증권가도 설왕설래…""성장 그림 명확"" VS ""분할 실익 의문""",https://news.google.com/rss/articles/CBMiVEFVX3lxTE5hVkxtejQwSlRicWtkd29FeXZUaHRtZ1c2LVE3cXZ0bmtSa2lqTFRoYlRDSHhLQzdadmNSLWlFSGFZVzNRQVhmSUpDRVVxV2gxLTdTeQ?oc=5,v.daum.net,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,
카카오,"“분할만으로 재평가 어려워”....카카오, 인적분할에 목표주가 ‘뚝’",https://news.google.com/rss/articles/CBMiVEFVX3lxTE9yQ3lBcUtjQmtBcmZ5S3JIZW1YWkFmaTBtQnhvMTRROTlxd1JpOGI1VWQ1Q3E3UHNkY1dvYll1THlaaTVkZG1NaHpFT3kwZzhCanRKWg?oc=5,v.daum.net,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,
카카오,"남궁훈, 카카오게임즈 지분 1% 매입…""게임산업 다시 성장""",https://news.google.com/rss/articles/CBMiYEFVX3lxTE43VGZGVG5rclVLdTZ6aW5iNGV2eFEtRHlCWXlKRWRJZ3REUjNNSWx2WlhCSnZvZGEwRU05VWJWWC15bXRFbmY3WHRaS1NBbm9YVFhnMzdLVkFhbG92cnZybw?oc=5,아시아경제,2026-08-24,"남궁훈, 이번엔 카카오게임즈 지분 1% 매입…”게임산업 다시 성장할 것”",https://www.suwonilbo.kr/news/articleView.html?idxno=317617,same_issue_signature:strategy_mna_governance,"카카오,카카오게임즈",strategy_mna_governance,0.5575,0.8923,0.2308,0.2727,,,
