id,원카테고리,JSON카테고리,검색어,기사제목,기사제목_정규화,언론사,정규언론사,게시일,본문요약,링크,수집채널,랭킹점수,중요도점수,사건태그,사건단계,주요주체,랭킹감점사유,정책규제의무,강제검토,강제검토사유,자사홍보성,이슈패밀리,코드힌트,오늘성점수,오늘성사유,기사유형,v26이벤트키,v26진행단계,v27_industry_ok,v27_industry_reason,v27_industry_score,v32_competitor_basis,v32_competitor_portfolio,v32_actor_group,랭킹원점수,편집신호,스토리버킷,전역사건키,전역사건기본키,Gemini카테고리,Gemini내부카테고리,Gemini이슈패밀리,Gemini이슈그룹,Gemini관련성,Gemini중요도,Gemini대외협력중요도,Gemini관련도,GeminiPR성,Gemini제외,Gemini판단사유,Gemini라벨소스,Gemini자사티어,Gemini정부티어,Gemini경쟁사티어,Gemini경쟁사범위,Gemini정책영향경로,Gemini경쟁시사점,Gemini중복그룹,Gemini이슈유형,v27_event_key
1876,경쟁사/해외이슈,경쟁사_해외이슈,SKT,"SKT, 3G 접고 앤트로픽 지분 늘렸다∙∙∙ AI 피벗 전략 가속",skt 3g 접고 앤트로픽 지분 늘렸다 ai 피벗 전략 가속,동행일보,동행일보,"Wed, 26 Aug 2026 00:44:14 GMT","SKT, 3G 접고 앤트로픽 지분 늘렸다∙∙∙ AI 피벗 전략 가속 동행일보",https://news.google.com/rss/articles/CBMiaEFVX3lxTE1YTW5fenVHMkdaV3dVMjE3MmM1aWFUWVZrNzJ6NVJEOEJLamkwTi1nZTZmLVlvV1RpYy1aNXdBbmhLZDJjVUs3RWFjSEhUUFlhbktEY2YzX1VGWk1oLVFPa0huaGJ6cWRM?oc=5,google_rss_SKT when:2d,387.0,43.0,"ai_infrastructure_security,policy_legislation,strategy_mna_governance",ai_infrastructure_security,"SKT,앤트로픽",,,,,,,general,24.0,published_today,direct_risk,global_incident:ai_security_policy:skt:anthropic_glasswing_security,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,telco,387.0,"policy_legislation,strategy_mna_governance,ai_infrastructure_security",competitor:strategy_mna,global_incident:ai_security_policy:skt:anthropic_glasswing_security:general,global_incident:ai_security_policy:skt:anthropic_glasswing_security,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_ai_platform,
46,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,[IT라운지] 포지 '투자유치'·마키나락스 '삼성D AI 설비제어'·AICX 'ISO 27001 인증·'네이버 현대카드 에디션3''·'카카오 AI 돛' 캠프·카카오페이지 '초신작'·피처링 '포브스 유망기업'·'무선청소기 무게차이',it라운지 포지 투자유치 마키나락스 삼성d ai 설비제어 aicx iso 27001 인증 네이버 현대카드 에디션3 카카오 ai 돛 캠프 카카오페이지 초신작 피처링 포브스 유망기업 무선청소기 무게차이,뉴스웍스,뉴스웍스,"Wed, 26 Aug 2026 00:36:51 GMT",[IT라운지] 포지 '투자유치'·마키나락스 '삼성D AI 설비제어'·AICX 'ISO 27001 인증·'네이버 현대카드 에디션3''·'카카오 AI 돛' 캠프·카카오페이지 '초신작'·피처링 '포브스 유망기업'·'무선청소기 무게차이' 뉴스웍스,https://news.google.com/rss/articles/CBMib0FVX3lxTE9zeDVRWVM1R0Zna0xKa1hPMWFZekdteUdXSWVOMl85S1phYXRBbnFXVFBaNXdOQ3Jhc0FkMlFobHVfZHZsdzdMREpKd1F2d0pFak4xeHpYcGc2WGN3RUdjNExSMGVGQVVNZzhYTlhQNNIBc0FVX3lxTFA0dlJQcWtpTk9sMzJlVU5relZDOVhQSjNOaGkwM1hzekxFTmFHTk00VjVGUVN1S0hpcnhiMkZHV3UxSFBOekhJNHFxc285TlVKaUNnejBuRXlLd2dyQXRsYUx0TnhkeElRb0YxQmxQRVZNb00?oc=5,google_rss_카카오 when:2d,371.8,83.5,"ai_infrastructure_security,strategy_mna_governance",ai_infrastructure_security,"네이버,카카오,카카오페이",,,Y,must_review:self_strict:strategy_mna:strategy_mna_governance,,,direct_self_risk,24.0,published_today,business_change,global_incident:mna_capital:kakao:mna_capital,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,371.8,"strategy_mna_governance,ai_infrastructure_security",self:strategy_mna,global_incident:mna_capital:kakao:mna_capital:general,global_incident:mna_capital:kakao:mna_capital,자사_및_계열사_이슈,SELF_AFFILIATE_BUSINESS,self_strategic_reference,global_incident:mna_capital:kakao:mna_capital,"카카오·계열사의 사업 확장, 제휴, MOU, 신규 서비스 참고 이슈",4,3,4,,,v40: 직접 리스크는 아니지만 자사 사업 확장·제휴성 이슈로 2순위 반영,local_low_confidence,STRATEGIC_REFERENCE,,COMP_DOMESTIC_PUBLIC_INFRA,domestic,,카카오 현직자가 사업 방향과 외부 질의 가능성을 참고할 실질 변화,global_incident:mna_capital:kakao:mna_capital,self_strategic_reference,
1900,경쟁사/해외이슈,경쟁사_해외이슈,SKT,"정재헌 SKT 대표, 빅테크 AI 동맹 강화...앤트로픽 지분 가치만 7조",정재헌 skt 대표 빅테크 ai 동맹 강화 앤트로픽 지분 가치만 7조,인사이트코리아,인사이트코리아,"Tue, 25 Aug 2026 06:45:11 GMT","정재헌 SKT 대표, 빅테크 AI 동맹 강화...앤트로픽 지분 가치만 7조 인사이트코리아",https://news.google.com/rss/articles/CBMic0FVX3lxTE0xbERVV0VLcDZtQXJFbm9zYXJDSDV6a2thTl9CdnhyWjllR0l6V0R4ckRxRVVFX3ZRVWNmU3cyWWgwM1p4N3o5bkU2MDBiLUJxMklvWDBYTFJMT2tXa2c1YkNCekxzQ1B2UDJCdXN6Y2xreFXSAXdBVV95cUxPSm1nQlg1c1Z1SUtRZVVRZWpCQUZCdk0zWkxNNGhZdTlhQnYtYkV2T0hLbHlPbHZhemZVSHNNX3dlTkR1SnB1emhWblg4SmJUemtabE1uVHFmSG5lek5RdGUwSjNjV0tvVnlzWjd3eFJGb0gybjRibw?oc=5,google_rss_SKT when:2d,370.5,36.0,"ai_infrastructure_security,strategy_mna_governance",ai_infrastructure_security,"SKT,앤트로픽",,,,,,,general,14.0,published_yesterday,direct_risk,global_incident:ai_security_policy:skt:anthropic_glasswing_security,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,telco,370.5,"strategy_mna_governance,ai_infrastructure_security",competitor:strategy_mna,global_incident:ai_security_policy:skt:anthropic_glasswing_security:general,global_incident:ai_security_policy:skt:anthropic_glasswing_security,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_ai_platform,
1824,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"디에스앤지, 네이버클라우드에 엔비디아 B300 GPU 서버 389대 공급",디에스앤지 네이버클라우드에 엔비디아 b300 gpu 서버 389대 공급,전자신문,전자신문,"Tue, 25 Aug 2026 23:28:19 GMT","디에스앤지, 네이버클라우드에 엔비디아 B300 GPU 서버 389대 공급 전자신문",https://news.google.com/rss/articles/CBMiTkFVX3lxTE1mcGplYUxCbTNmZlRQQ3FDdGwyZ3VvYlBPV2wzNGtEdFpVWEhJZDN0ZnNsbExhR1d1X1EtZENFNG05RDZDR0JNZld0djNhdw?oc=5,"google_rss_""네이버"" when:2d",370.5,23.5,"ai_infrastructure_security,aidc_datacenter",aidc_gpu_npu,네이버,,,,,,,general,24.0,published_today,general,event:네이버:ai_infrastructure_security+aidc_datacenter,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,370.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,국가 AI 인프라/AIDC/GPU 정책,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,국가 AI 인프라/AIDC/GPU 정책,comp_domestic_ai_platform,
1868,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"디에스앤지, 네이버클라우드에 엔비디아 B300 GPU서버 389대 공급 계약",디에스앤지 네이버클라우드에 엔비디아 b300 gpu서버 389대 공급 계약,지디넷코리아,지디넷코리아,"Tue, 25 Aug 2026 10:03:48 GMT","디에스앤지, 네이버클라우드에 엔비디아 B300 GPU서버 389대 공급 계약 지디넷코리아",https://news.google.com/rss/articles/CBMiVkFVX3lxTE1CNjYyakdhX29nMjBjTE00am1yVE85TklnUVNTUTl4TGlMcktZdE9jZEw2ek5TREdCNndPMm95TjhFZTRQSHl1dTNGS3V2aXpjSHE5NUtB?oc=5,google_rss_네이버 site:zdnet.co.kr when:2d,362.0,23.5,"ai_infrastructure_security,aidc_datacenter",aidc_gpu_npu,네이버,,,,,,,general,14.0,published_yesterday,general,event:네이버:ai_infrastructure_security+aidc_datacenter,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,362.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,국가 AI 인프라/AIDC/GPU 정책,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,국가 AI 인프라/AIDC/GPU 정책,comp_domestic_ai_platform,
1790,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"디에스앤지, 네이버클라우드에 엔비디아 B300 GPU 서버 공급 - 머니투데이",디에스앤지 네이버클라우드에 엔비디아 b300 gpu 서버 공급,머니투데이,머니투데이,"Tue, 25 Aug 2026 08:28:12 GMT","디에스앤지, 네이버클라우드에 엔비디아 B300 GPU 서버 공급 - 머니투데이 머니투데이",https://news.google.com/rss/articles/CBMickFVX3lxTFA0ZlVta09QenlUTVZsX01yTC1YQ1U3NWhKa0VDcjhxQzhINk94Y3NIRERsZDE5bDRGbnc5aWxha2FPZTVQaVdMMHlZQzlORklwMjlmN0RFODdyQU1YWHJDRUdsWG5BbklHT3pmVUVfNWJad9IBckFVX3lxTFA0ZlVta09QenlUTVZsX01yTC1YQ1U3NWhKa0VDcjhxQzhINk94Y3NIRERsZDE5bDRGbnc5aWxha2FPZTVQaVdMMHlZQzlORklwMjlmN0RFODdyQU1YWHJDRUdsWG5BbklHT3pmVUVfNWJadw?oc=5,google_rss_네이버 when:2d,362.0,23.5,"ai_infrastructure_security,aidc_datacenter",aidc_gpu_npu,네이버,,,,,,,general,14.0,published_yesterday,general,event:네이버:ai_infrastructure_security+aidc_datacenter,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,362.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,국가 AI 인프라/AIDC/GPU 정책,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,국가 AI 인프라/AIDC/GPU 정책,comp_domestic_ai_platform,
1792,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"디에스앤지, 네이버클라우드에엔비디아 B300 GPU서버 389대 공급",디에스앤지 네이버클라우드에엔비디아 b300 gpu서버 389대 공급,v.daum.net,v.daum.net,"Tue, 25 Aug 2026 10:05:47 GMT","디에스앤지, 네이버클라우드에엔비디아 B300 GPU서버 389대 공급 v.daum.net",https://news.google.com/rss/articles/CBMiT0FVX3lxTE1JU01vbEh2Wk1adGExQVk0Wk5VelNIS2JBUFBRWGhqdkh5QlVLQlluRHIxSzdqcnhONjdFZGxFRnZOMFFoTG1mODIxYm56VDA?oc=5,google_rss_네이버 when:2d,358.0,23.5,"ai_infrastructure_security,aidc_datacenter",aidc_gpu_npu,네이버,,,,,,,general,14.0,published_yesterday,general,event:네이버:ai_infrastructure_security+aidc_datacenter,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,358.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,SELF_AFFILIATE_BUSINESS,self_filler_reference,국가 AI 인프라/AIDC/GPU 정책,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,2,5,,,v26: 카카오 직접 주체가 없어 자사 섹션 제외/재분류 / v26.2: overseas structural industry candidate,local_low_confidence,OFF_TOPIC,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,국가 AI 인프라/AIDC/GPU 정책,self_filler_reference,
1878,경쟁사/해외이슈,경쟁사_해외이슈,SKT,"SKT, AI 품은 준플래그십 '갤럭시 퀀텀7' 출시",skt ai 품은 준플래그십 갤럭시 퀀텀7 출시,글로벌이코노믹,글로벌이코노믹,"Tue, 25 Aug 2026 06:21:49 GMT","SKT, AI 품은 준플래그십 '갤럭시 퀀텀7' 출시 글로벌이코노믹",https://news.google.com/rss/articles/CBMihgFBVV95cUxOdmlnb3RTRkNQczROMFY5X1lpeW0wRHZiNjRHZmJWd3NHTXRmcGZNcTIyNXh4Y0h4eDQ0UmZlTVJwNEFIR3h3QnU4dlVCajAxTjhLZmI5OVRoa1FIbFloYzdNNUlrNEk3aEwyYi1Qbk12ei03Ukg1dXo5V3FlTlVRWHZBRVZhdw?oc=5,google_rss_SKT when:2d,291.5,11.0,ai_infrastructure_security,ai_infrastructure_security,SKT,,,,,,,general,14.0,published_yesterday,business_change,event:SKT:ai_infrastructure_security,general,,"weak_form_without_full_basis:actor=True,change=True,bridge=False",2,naver_telco_strategy_or_infra,Y,telco,291.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_ai_platform,
1877,경쟁사/해외이슈,경쟁사_해외이슈,SKT,앤트로픽·솔리다임 가치 상승…SKT·SK하이닉스 평가익 영향은?,앤트로픽 솔리다임 가치 상승 skt sk하이닉스 평가익 영향은,뉴스포스트,뉴스포스트,"Wed, 26 Aug 2026 00:22:58 GMT",앤트로픽·솔리다임 가치 상승…SKT·SK하이닉스 평가익 영향은? 뉴스포스트,https://news.google.com/rss/articles/CBMiaEFVX3lxTE1KT0gzeEJ3bXFqRVBiaUVGUXNGa3FFNklfZWlZTjVHYmhnYkxCOFhPZTdiR1JkZHgwOThLczd0bXJhVHZERzVmaGtPZ0syNkxGakkzS1BudGEySXp4OFdmek5RQ2lkaHJr?oc=5,google_rss_SKT when:2d,289.0,4.0,,,"SKT,앤트로픽",v43_not_true_competitor,,,,,,general,24.0,published_today,general,global_incident:ai_security_policy:skt:anthropic_glasswing_security,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,telco,289.0,,,global_incident:ai_security_policy:skt:anthropic_glasswing_security:general,global_incident:ai_security_policy:skt:anthropic_glasswing_security,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_strategy,global_incident:ai_security_policy:skt:anthropic_glasswing_security,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_STRATEGY,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:ai_security_policy:skt:anthropic_glasswing_security,comp_domestic_strategy,
1850,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"LG CNS, AIDC 핵심 승부처 '액체냉각' 시장 본격 진출…네이버클라우드와 삼송데이터센터에 DTC 적용",lg cns aidc 핵심 승부처 액체냉각 시장 본격 진출 네이버클라우드와 삼송데이터센터에 dtc 적용,전자신문,전자신문,"Wed, 26 Aug 2026 01:00:00 GMT","LG CNS, AIDC 핵심 승부처 '액체냉각' 시장 본격 진출…네이버클라우드와 삼송데이터센터에 DTC 적용 전자신문",https://news.google.com/rss/articles/CBMiTkFVX3lxTE1nYkN3UVFhNm9OaEpJbTRwUEszVXVBQmh4bEE3VzhiUUdBeWphUjNvYkt0Q0dfamdrRGF5ZW96NWpqWWtoS3FPSXgxNUlhQQ?oc=5,google_rss_네이버 해킹 when:2d,284.0,87.5,"ai_infrastructure_security,aidc_datacenter,platform_obligation",aidc_general,네이버,,Y,,,,competitor:platform_obligation,platform_operator_obligation,24.0,published_today,business_change,global_incident:platform_regulation:naver:platform_data_protection_obligation,action_started,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,284.0,"ai_infrastructure_security,platform_obligation",competitor:platform_obligation,global_incident:platform_regulation:naver:platform_data_protection_obligation:general,global_incident:platform_regulation:naver:platform_data_protection_obligation,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,국가 AI 인프라/AIDC/GPU 정책,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,국가 AI 인프라/AIDC/GPU 정책,comp_domestic_ai_platform,
