id,원카테고리,JSON카테고리,검색어,기사제목,기사제목_정규화,언론사,정규언론사,게시일,본문요약,링크,수집채널,랭킹점수,중요도점수,사건태그,사건단계,주요주체,랭킹감점사유,정책규제의무,강제검토,강제검토사유,자사홍보성,이슈패밀리,코드힌트,오늘성점수,오늘성사유,기사유형,v26이벤트키,v26진행단계,v27_industry_ok,v27_industry_reason,v27_industry_score,v32_competitor_basis,v32_competitor_portfolio,v32_actor_group,랭킹원점수,편집신호,스토리버킷,전역사건키,전역사건기본키,Gemini카테고리,Gemini내부카테고리,Gemini이슈패밀리,Gemini이슈그룹,Gemini관련성,Gemini중요도,Gemini대외협력중요도,Gemini관련도,GeminiPR성,Gemini제외,Gemini판단사유,Gemini라벨소스,Gemini자사티어,Gemini정부티어,Gemini경쟁사티어,Gemini경쟁사범위,Gemini정책영향경로,Gemini경쟁시사점,Gemini중복그룹,Gemini이슈유형,v27_event_key,v26가드레일사유,v26_2_profile_reason
2383,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"네이버·구글·MS 다 품었다… 인천시교육청, AI 학습 포털 'AIEP' 가동",네이버 구글 ms 다 품었다 인천시교육청 ai 학습 포털 aiep 가동,아이뉴스24,아이뉴스24,"Sat, 12 Sep 2026 05:45:34 GMT","네이버·구글·MS 다 품었다… 인천시교육청, AI 학습 포털 'AIEP' 가동 아이뉴스24",https://news.google.com/rss/articles/CBMiTEFVX3lxTE1IY1FrX0daN1ViemFfeG9tdlZPLTRWX1liZV9GeXdnZnc0c1VGanNiVnRHM3luZ2tNQk5HVFdLLWxpLS0tZEE2QkY0V1E?oc=5,google_rss_네이버 site:inews24.com when:4d,322.0,23.0,"ai_infrastructure_security,copyright_ai",ai_infrastructure_security,"구글,네이버",,,,,,,general,0.0,,business_change,event:구글+네이버:ai_infrastructure_security+copyright_ai,action_started,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,322.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:네이버 구글 ms 다 품었다 인천시교육청 ai 학습 포털 aiep 가동,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:네이버 구글 ms 다 품었다 인천시교육청 ai 학습 포털 aiep 가동,comp_domestic_ai_platform,,,
2264,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"네이버·구글·MS 다 품었다… 인천시교육청, AI 학습 포털 'AIEP' 가동",네이버 구글 ms 다 품었다 인천시교육청 ai 학습 포털 aiep 가동,v.daum.net,v.daum.net,"Sat, 12 Sep 2026 05:47:28 GMT","네이버·구글·MS 다 품었다… 인천시교육청, AI 학습 포털 'AIEP' 가동 v.daum.net",https://news.google.com/rss/articles/CBMiT0FVX3lxTE5ZS2MwZndHblBkSmU3ejM5dXRFSFpSa05mRUY5eWpNMDRTamM5NkJFNUdQdlVmVWRXckFPXzhRZldqcEZmTFpxYXZwR0tqUnc?oc=5,google_rss_네이버 AI when:4d,319.0,23.0,"ai_infrastructure_security,copyright_ai",ai_infrastructure_security,"구글,네이버",,,,,,,general,0.0,,business_change,event:구글+네이버:ai_infrastructure_security+copyright_ai,action_started,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,319.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,SELF_AFFILIATE_BUSINESS,self_filler_reference,self_filler_reference:네이버 구글 ms 다 품었다 인천시교육청 ai 학습 포털 aiep 가동,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,2,5,,,v26: 카카오 직접 주체가 없어 자사 섹션 제외/재분류 / v26.2: overseas structural industry candidate,local_low_confidence,OFF_TOPIC,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,self_filler_reference:네이버 구글 ms 다 품었다 인천시교육청 ai 학습 포털 aiep 가동,self_filler_reference,,,
2386,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"나스닥 상장 네이버 웹툰엔터, 구글 출신 재무통 영입...""투자자 신뢰 제고""",나스닥 상장 네이버 웹툰엔터 구글 출신 재무통 영입 투자자 신뢰 제고,아이뉴스24,아이뉴스24,"Fri, 11 Sep 2026 08:17:34 GMT","나스닥 상장 네이버 웹툰엔터, 구글 출신 재무통 영입...""투자자 신뢰 제고"" 아이뉴스24",https://news.google.com/rss/articles/CBMiS0FVX3lxTE5KbmNQV0RiWmVURVNDMHdySFZHS0dzR0ZIOTRXbzFic01DQ1ptNVNWY2tsMG5oN3BOTzV6VEViZGtLQ202OXBOMllpRQ?oc=5,google_rss_네이버 site:inews24.com when:4d,315.0,19.0,strategy_mna_governance,strategy_mna_governance,"구글,네이버",,,,,,,general,0.0,,direct_risk,global_incident:mna_capital:naver:mna_capital,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,315.0,strategy_mna_governance,competitor:strategy_mna,global_incident:mna_capital:naver:mna_capital:executive_or_org_change,global_incident:mna_capital:naver:mna_capital,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_strategy,global_incident:mna_capital:naver:mna_capital,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_STRATEGY,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:mna_capital:naver:mna_capital,comp_domestic_strategy,,,
2479,경쟁사/해외이슈,경쟁사_해외이슈,KT,"KT, 금융·공공 AX 도입 현황 분석…금융 59.5%·공공 30% 실행 단계",kt 금융 공공 ax 도입 현황 분석 금융 59 5 공공 30 실행 단계,전자신문,전자신문,"Mon, 14 Sep 2026 00:44:46 GMT","KT, 금융·공공 AX 도입 현황 분석…금융 59.5%·공공 30% 실행 단계 전자신문",https://news.google.com/rss/articles/CBMiTkFVX3lxTFBnTEtwNF9NbnFXN25TSnlFdWFZdU5POGMxR25uYkRrMHQxUlJNdFJNbld4SUNTbkdKWU1Ha1BkZElveU81aGt0TGRZZ0VYUQ?oc=5,google_rss_KT when:4d,307.0,4.0,,,KT,,,,,,,general,12.0,published_today+analysis_without_direct_event,analysis_feature,,rumor_or_report,Y,"industry_basis_pass:actor=True,change=True,bridge=False",2,naver_telco_strategy_or_infra,Y,telco,307.0,,,,,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_domestic_public_infra,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_PUBLIC_INFRA,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_public_infra,,,
2177,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"네이버페이·시대인재, ‘DX 동맹’…“얼굴로 출석하고 간편결제로 학원비 낸다”",네이버페이 시대인재 dx 동맹 얼굴로 출석하고 간편결제로 학원비 낸다,v.daum.net,v.daum.net,"Mon, 14 Sep 2026 01:10:43 GMT","네이버페이·시대인재, ‘DX 동맹’…“얼굴로 출석하고 간편결제로 학원비 낸다” v.daum.net",https://news.google.com/rss/articles/CBMiT0FVX3lxTE4ydUNOV2tJcl80d0lMN3VCcHNfaHdZUGFReGtYOUw0UnJIbXZnQ2ZsczgyYjZZN1NFenNHRUxBb1RwRFNUYU9hUlpBc2dETms?oc=5,google_rss_네이버 when:4d,306.5,6.5,,,네이버,,,,,,,general,24.0,published_today,general,,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,306.5,,,,,경쟁사_해외이슈,SELF_AFFILIATE_BUSINESS,self_filler_reference,self_filler_reference:네이버페이 시대인재 dx 동맹 얼굴로 출석하고 간편결제로 학원비 낸다,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,2,5,,,v26: 카카오 직접 주체가 없어 자사 섹션 제외/재분류 / v26.2: overseas structural industry candidate,local_low_confidence,OFF_TOPIC,,COMP_DOMESTIC_FINANCE_COMMERCE,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,self_filler_reference:네이버페이 시대인재 dx 동맹 얼굴로 출석하고 간편결제로 학원비 낸다,self_filler_reference,,,
2382,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"네이버페이·시대인재, ‘DX 동맹’…“얼굴로 출석하고 간편결제로 학원비 낸다”",네이버페이 시대인재 dx 동맹 얼굴로 출석하고 간편결제로 학원비 낸다,dt.co.kr,디지털타임스,"Mon, 14 Sep 2026 01:09:01 GMT","네이버페이·시대인재, ‘DX 동맹’…“얼굴로 출석하고 간편결제로 학원비 낸다” dt.co.kr",https://news.google.com/rss/articles/CBMiTkFVX3lxTFBKNU5KMDFCVDBiOXE4YVBBX0h6TkYxWlAydFVGQkZCNlpGSU92UUtnMUFDQm5SeUp6YkRGN3huVUN0b0VkN2FRTG9HQms2Zw?oc=5,google_rss_네이버 site:dt.co.kr when:4d,304.5,6.5,,,네이버,,,,,,,general,24.0,published_today,general,,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,304.5,,,,,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_domestic_finance_commerce,comp_domestic_finance_commerce:네이버페이 시대인재 dx 동맹 얼굴로 출석하고 간편결제로 학원비 낸다,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_FINANCE_COMMERCE,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_finance_commerce:네이버페이 시대인재 dx 동맹 얼굴로 출석하고 간편결제로 학원비 낸다,comp_domestic_finance_commerce,,,
3475,경쟁사/해외이슈,경쟁사_해외이슈,애플,"KT, 아이폰 18 프로·애플워치 시리즈 12·애플워치 울트라 4·에어팟 5 등 출시",kt 아이폰 18 프로 애플워치 시리즈 12 애플워치 울트라 4 에어팟 5 등 출시,연합뉴스,연합뉴스,"Fri, 11 Sep 2026 05:06:26 GMT","KT, 아이폰 18 프로·애플워치 시리즈 12·애플워치 울트라 4·에어팟 5 등 출시 연합뉴스",https://news.google.com/rss/articles/CBMiYEFVX3lxTE1BWDNqMW40eG5ueVpRRFlyWXFJMXlnWnMzb2lnMjJIU2ZRQ01rZzVwZFM4a1V6eU1pZlljWTFDOFN1aVdZMWxUY2tQS2YwaHdNLTF5UnFhSjZuVHFVRldsV9IBYEFVX3lxTE1BWDNqMW40eG5ueVpRRFlyWXFJMXlnWnMzb2lnMjJIU2ZRQ01rZzVwZFM4a1V6eU1pZlljWTFDOFN1aVdZMWxUY2tQS2YwaHdNLTF5UnFhSjZuVHFVRldsVw?oc=5,google_rss_애플 when:4d,298.0,4.0,,,"KT,애플",,,,,,,general,-12.0,analysis_without_direct_event,analysis_feature,,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,telco,298.0,,,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_strategy,comp_domestic_strategy:kt 아이폰 18 프로 애플워치 시리즈 12 애플워치 울트라 4 에어팟 5 등 출시,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_STRATEGY,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_strategy:kt 아이폰 18 프로 애플워치 시리즈 12 애플워치 울트라 4 에어팟 5 등 출시,comp_domestic_strategy,,,
2517,경쟁사/해외이슈,경쟁사_해외이슈,KT,"KT, 세계 미디어 전시회서 협력사 글로벌 판로 연다",kt 세계 미디어 전시회서 협력사 글로벌 판로 연다,연합뉴스,연합뉴스,"Sun, 13 Sep 2026 00:38:53 GMT","KT, 세계 미디어 전시회서 협력사 글로벌 판로 연다 연합뉴스",https://news.google.com/rss/articles/CBMiYEFVX3lxTE9NR200VWR2eGFNX20zb2gwTHlnamVYYkU4Y3pzTEdsYnJNM2xNSjNxekFzdzJQa0RHNXZTaHVMV3lGY1poQjhVZ0VvcUg4RXkzbmFwRXA3Vzc5YzZYUUZzUNIBYEFVX3lxTE9NR200VWR2eGFNX20zb2gwTHlnamVYYkU4Y3pzTEdsYnJNM2xNSjNxekFzdzJQa0RHNXZTaHVMV3lGY1poQjhVZ0VvcUg4RXkzbmFwRXA3Vzc5YzZYUUZzUA?oc=5,google_rss_KT when:4d,294.5,7.0,self_pr_promo,,KT,,,,,,,general,14.0,published_yesterday,general,,general,,"insufficient_industry_basis:actor=True,change=False,bridge=False",1,naver_telco_strategy_or_infra,Y,telco,294.5,,,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_strategy,comp_domestic_strategy:kt 세계 미디어 전시회서 협력사 글로벌 판로 연다,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨,local_low_confidence,,,COMP_DOMESTIC_STRATEGY,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_strategy:kt 세계 미디어 전시회서 협력사 글로벌 판로 연다,comp_domestic_strategy,,,
3471,경쟁사/해외이슈,경쟁사_해외이슈,애플,"KT, 아이폰18 프로 사전예약 시작…애플 신제품 라인업 순차 출시",kt 아이폰18 프로 사전예약 시작 애플 신제품 라인업 순차 출시,더글로벌기빙뉴스,더글로벌기빙뉴스,"Sat, 12 Sep 2026 08:22:00 GMT","KT, 아이폰18 프로 사전예약 시작…애플 신제품 라인업 순차 출시 더글로벌기빙뉴스",https://news.google.com/rss/articles/CBMiVEFVX3lxTE4xdG40eF9vTC1tOHVxRXhYTllldnFUMDZySzlQNVpKUEVvU0tRWHhIVDY2NjNhWkVDakhoazNUSkxIZUM0VTloRk50ZklqbGN2djlxcA?oc=5,google_rss_애플 when:4d,294.0,4.0,,,"KT,애플",,,,,,,general,0.0,,general,,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,telco,294.0,,,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_strategy,comp_domestic_strategy:kt 아이폰18 프로 사전예약 시작 애플 신제품 라인업 순차 출시,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_STRATEGY,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_strategy:kt 아이폰18 프로 사전예약 시작 애플 신제품 라인업 순차 출시,comp_domestic_strategy,,,
2167,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"18년 네이버 보안 맡은 ‘카티스’, 1GW AI 팩토리 보안 정조준",18년 네이버 보안 맡은 카티스 1gw ai 팩토리 보안 정조준,서울경제TV,서울경제TV,"Mon, 14 Sep 2026 00:41:50 GMT","18년 네이버 보안 맡은 ‘카티스’, 1GW AI 팩토리 보안 정조준 서울경제TV",https://news.google.com/rss/articles/CBMiZEFVX3lxTE9qN0ZKbU9WbU9TX3BaaV9pUjdSWlZYQ3hRYjNaTm00em03cDNOTl8zMzAtbC1waU5aNjdOLXd0RW5OQklXa2NPQmY0ZXJTdXY1X3lRTUhlNm9qUWd4blhtS05xT3k?oc=5,google_rss_네이버 when:4d,261.5,27.5,"ai_infrastructure_security,phishing_security,privacy_security_reliability",security_general,네이버,,,,,,,general,24.0,published_today,direct_risk,event:네이버:ai_infrastructure_security+phishing_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,261.5,"privacy_security_reliability,ai_infrastructure_security",competitor:security_reliability,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:18년 네이버 보안 맡은 카티스 1gw ai 팩토리 보안 정조준,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:18년 네이버 보안 맡은 카티스 1gw ai 팩토리 보안 정조준,comp_domestic_ai_platform,,,
