카테고리,카테고리명,검색어,기사제목,언론사,정규언론사,게시일,RSS게시일,RSS요약,본문전문,본문글자수,본문추출방식,본문품질점수,본문품질사유,중요도점수,본문사용가능,본문정제적용,원래RSS링크,링크,랭킹점수,사건태그,사건단계,원문날짜,원문날짜출처,날짜검증결과,날짜후보수,대표선택점수,개인정보보안사건키,개인정보보안대표보너스,전역사건키,전역사건기본키,전역사건대표보너스,이슈패밀리,정책규제의무,자사홍보성,제외단계,v20_issue_id,v20_issue_group,수집검색어,수집원카테고리,수집JSON카테고리,Gemini판단카테고리,최종카테고리,최종카테고리명,본문상태,최종카테고리검증결과
자사_및_계열사_이슈,자사 및 계열사 이슈,카카오,"글로벌 AI 공세 앞에 선 네이버·카카오, ‘수익화’라는 차가운 벽 [데스크칼럼]",sportsseoul.com,sportsseoul.com,"Sun, 20 Sep 2026 20:00:00 GMT","Sun, 20 Sep 2026 20:00:00 GMT","글로벌 AI 공세 앞에 선 네이버·카카오, ‘수익화’라는 차가운 벽 [데스크칼럼] sportsseoul.com",Google 뉴스가 전세계 매체로부터 종합한 최신 뉴스,30,meta_description_short,-103.0,meta_description_not_full_body,37.5,False,False,https://news.google.com/rss/articles/CBMiWEFVX3lxTFBtYk0wVFoxTlhLX3E1b2tHMjFxZm5YSUtyRXRFeTJJWF9Za3o3R1F5bXozRUhxWGRWRFFramdJWFJvUTg1S19BQ2JrcjN3dzBNTHB5bnB1QWQ?oc=5,https://news.google.com/rss/articles/CBMiWEFVX3lxTFBtYk0wVFoxTlhLX3E1b2tHMjFxZm5YSUtyRXRFeTJJWF9Za3o3R1F5bXozRUhxWGRWRFFramdJWFJvUTg1S19BQ2JrcjN3dzBNTHB5bnB1QWQ?oc=5&hl=ko&gl=KR&ceid=KR%3Ako,321.8,ai_infrastructure_security,ai_infrastructure_security,,no_original_date_found,no_original_date_found_kept,0.0,-141.45,,0.0,,,0.0,,,,issue_representative_attempt,I005,self_strategic_reference:글로벌 ai 공세 앞에 선 네이버 카카오 수익화라는 차가운 벽 데스크칼럼,카카오,자사 및 계열사 이슈,자사_및_계열사_이슈,자사_및_계열사_이슈,자사_및_계열사_이슈,자사 및 계열사 이슈,,
자사_및_계열사_이슈,자사 및 계열사 이슈,쿠팡,구글 제재 앞둔 韓…김종철·주병기도 美 '입국제한법' 영향받나,v.daum.net,v.daum.net,"Mon, 21 Sep 2026 21:29:00 GMT","Mon, 21 Sep 2026 21:29:00 GMT",구글 제재 앞둔 韓…김종철·주병기도 美 '입국제한법' 영향받나 v.daum.net,Google 뉴스가 전세계 매체로부터 종합한 최신 뉴스,30,meta_description_short,-103.0,meta_description_not_full_body,-42.5,False,False,https://news.google.com/rss/articles/CBMiRkFVX3lxTE16Q3FsUDhnNzVFZzhnWE8xRFlFalNKd0U1UVBHYVR4dnNFaVBxelpWSk80TTNwR3ZJZG5zRzZBTWxWLXRTM3c?oc=5,https://news.google.com/rss/articles/CBMiRkFVX3lxTE16Q3FsUDhnNzVFZzhnWE8xRFlFalNKd0U1UVBHYVR4dnNFaVBxelpWSk80TTNwR3ZJZG5zRzZBTWxWLXRTM3c?oc=5&hl=ko&gl=KR&ceid=KR%3Ako,297.0,"legal_regulatory_enforcement,platform_obligation",legal_regulatory_enforcement,,no_original_date_found,no_original_date_found_kept,0.0,-194.45,,0.0,global_incident:platform_regulation:google:platform_operator_obligation:sanction_penalty,global_incident:platform_regulation:google:platform_operator_obligation,48.0,competitor:platform_obligation,Y,,issue_representative_attempt,I020,global_incident:platform_regulation:google:platform_operator_obligation,쿠팡,경쟁사/해외이슈,경쟁사_해외이슈,경쟁사_해외이슈,자사_및_계열사_이슈,자사 및 계열사 이슈,,
자사_및_계열사_이슈,자사 및 계열사 이슈,카카오뱅크,구글 제재 앞둔 韓…김종철·주병기도 美 '입국제한법' 영향받나,뉴스1,뉴스1,"Mon, 21 Sep 2026 21:28:10 GMT","Mon, 21 Sep 2026 21:28:10 GMT",구글 제재 앞둔 韓…김종철·주병기도 美 '입국제한법' 영향받나 뉴스1,Google 뉴스가 전세계 매체로부터 종합한 최신 뉴스,30,meta_description_short,-103.0,meta_description_not_full_body,-42.5,False,False,https://news.google.com/rss/articles/CBMiaEFVX3lxTE1zVlBPMWFSRDkweXhTdU5yOUpVVDJkdktsbjNwYk8zdjUzaFBaUko2NlBpZjlLY3A0dDBxMkIzWGFmQUg5UW85UnpEbmZVT2hhVGVNcEUtNWlpaHVXd1lmakotVmh1NXdf0gFuQVVfeXFMT2FiYjlHTkttaFhpQUNqT1ZvTVlSdHdUZWpTUDRTai1aX184YnBYZUdWNmJ2SVdJdlRxMHNJNzdlYkhRWmxFN3Y4aHhmTW45V2JLRnowWXdWdEVuTkdOZklXdGNGRDF2aTdLaG1RS1E?oc=5,https://news.google.com/rss/articles/CBMiaEFVX3lxTE1zVlBPMWFSRDkweXhTdU5yOUpVVDJkdktsbjNwYk8zdjUzaFBaUko2NlBpZjlLY3A0dDBxMkIzWGFmQUg5UW85UnpEbmZVT2hhVGVNcEUtNWlpaHVXd1lmakotVmh1NXdf0gFuQVVfeXFMT2FiYjlHTkttaFhpQUNqT1ZvTVlSdHdUZWpTUDRTai1aX184YnBYZUdWNmJ2SVdJdlRxMHNJNzdlYkhRWmxFN3Y4aHhmTW45V2JLRnowWXdWdEVuTkdOZklXdGNGRDF2aTdLaG1RS1E?oc=5&hl=ko&gl=KR&ceid=KR%3Ako,83.3,"legal_regulatory_enforcement,platform_obligation",legal_regulatory_enforcement,,no_original_date_found,no_original_date_found_kept,0.0,-180.45,,0.0,global_incident:platform_regulation:google:platform_operator_obligation:sanction_penalty,global_incident:platform_regulation:google:platform_operator_obligation,48.0,competitor:platform_obligation,Y,,issue_representative_attempt,I020,global_incident:platform_regulation:google:platform_operator_obligation,카카오뱅크,자사 및 계열사 이슈,자사_및_계열사_이슈,자사_및_계열사_이슈,자사_및_계열사_이슈,자사 및 계열사 이슈,,
정부_국회,정부/국회,KT,"KT, 글로벌 무대서 AI 보안·디지털 신뢰 기준 수립 나선다",시장경제신문,시장경제신문,"Tue, 22 Sep 2026 00:40:42 GMT","Tue, 22 Sep 2026 00:40:42 GMT","KT, 글로벌 무대서 AI 보안·디지털 신뢰 기준 수립 나선다 시장경제신문",Google 뉴스가 전세계 매체로부터 종합한 최신 뉴스,30,meta_description_short,-103.0,meta_description_not_full_body,-24.5,False,False,https://news.google.com/rss/articles/CBMicEFVX3lxTE5tWVA3XzZqcXhwOEEyNU0tTXJNNWo3QkVOQmZfcVFRWFM2V2lUdFhhS1M2YU5MX2FqcFhRX2pRUGpzZTlXVTRoal8teVNtOVM5UG1PNEVVdUloRGpFSjJoNkEyeWFiMnhoSTlBbmdwa1g?oc=5,https://news.google.com/rss/articles/CBMicEFVX3lxTE5tWVA3XzZqcXhwOEEyNU0tTXJNNWo3QkVOQmZfcVFRWFM2V2lUdFhhS1M2YU5MX2FqcFhRX2pRUGpzZTlXVTRoal8teVNtOVM5UG1PNEVVdUloRGpFSjJoNkEyeWFiMnhoSTlBbmdwa1g?oc=5&hl=ko&gl=KR&ceid=KR%3Ako,334.0,"ai_infrastructure_security,phishing_security,privacy_security_reliability",security_general,,no_original_date_found,no_original_date_found_kept,0.0,-181.85,,0.0,global_incident:ai_security_policy:google:ai_security_policy:general,global_incident:ai_security_policy:google:ai_security_policy,0.0,,,,issue_representative_attempt,I008,국가 AI 인프라/AIDC/GPU 정책,KT,경쟁사/해외이슈,경쟁사_해외이슈,경쟁사_해외이슈,정부_국회,정부/국회,,
정부_국회,정부/국회,KT,"AI 데이터센터·해저케이블 품은 KT…""주가 재평가 기대”",한국경제,한국경제,"Mon, 21 Sep 2026 06:57:16 GMT","Mon, 21 Sep 2026 06:57:16 GMT","AI 데이터센터·해저케이블 품은 KT…""주가 재평가 기대” 한국경제",Google 뉴스가 전세계 매체로부터 종합한 최신 뉴스,30,meta_description_short,-103.0,meta_description_not_full_body,-101.5,False,False,https://news.google.com/rss/articles/CBMiWkFVX3lxTFBya0xVa0pYR3pwMXdEWGZ3cjRJSGNNdnViaDNDVjBDLWJObHJZeGZFQU1zNmc4dzN6aFdVT01Ha3lRNm5DUVdJTWFZQVhRNFVMUmFjWktvMFhBQQ?oc=5,https://news.google.com/rss/articles/CBMiWkFVX3lxTFBya0xVa0pYR3pwMXdEWGZ3cjRJSGNNdnViaDNDVjBDLWJObHJZeGZFQU1zNmc4dzN6aFdVT01Ha3lRNm5DUVdJTWFZQVhRNFVMUmFjWktvMFhBQQ?oc=5&hl=ko&gl=KR&ceid=KR%3Ako,255.5,"ai_infrastructure_security,aidc_datacenter,financial_performance",aidc_general,,no_original_date_found,no_original_date_found_kept,0.0,-224.75,,0.0,,,0.0,,,,issue_representative_attempt,I008,국가 AI 인프라/AIDC/GPU 정책,KT,경쟁사/해외이슈,경쟁사_해외이슈,경쟁사_해외이슈,정부_국회,정부/국회,,
정부_국회,정부/국회,MS,"구광모의 ‘AIDC 승부수’… LG, MS 동맹 맺고 엔비디아 규격 넘었다",아시아타임즈,아시아타임즈,"Tue, 22 Sep 2026 00:40:00 GMT","Tue, 22 Sep 2026 00:40:00 GMT","구광모의 ‘AIDC 승부수’… LG, MS 동맹 맺고 엔비디아 규격 넘었다 아시아타임즈",Google 뉴스가 전세계 매체로부터 종합한 최신 뉴스,30,meta_description_short,-103.0,meta_description_not_full_body,-28.5,False,False,https://news.google.com/rss/articles/CBMiXkFVX3lxTE5GVFdUei1Nd25fck9UcnNDWldPQ1hvSWFYS0JwTGVQWmNwN2VobnAzOExIOUx1NGFhb2lRdFFkS1N1UzBtdS1SaVBlcGVQUTFZV1Nid2pRVkRjSkhMX3c?oc=5,https://news.google.com/rss/articles/CBMiXkFVX3lxTE5GVFdUei1Nd25fck9UcnNDWldPQ1hvSWFYS0JwTGVQWmNwN2VobnAzOExIOUx1NGFhb2lRdFFkS1N1UzBtdS1SaVBlcGVQUTFZV1Nid2pRVkRjSkhMX3c?oc=5&hl=ko&gl=KR&ceid=KR%3Ako,219.0,"ai_infrastructure_security,aidc_datacenter",aidc_general,,no_original_date_found,no_original_date_found_kept,0.0,-184.65,,0.0,,,0.0,,,,issue_representative_attempt,I008,국가 AI 인프라/AIDC/GPU 정책,MS,경쟁사/해외이슈,경쟁사_해외이슈,경쟁사_해외이슈,정부_국회,정부/국회,,
정부_국회,정부/국회,KT,"KT, ITU 국제표준회의서 AI 보안 표준화 주도",지디넷코리아,지디넷코리아,"Mon, 21 Sep 2026 08:07:05 GMT","Mon, 21 Sep 2026 08:07:05 GMT","KT, ITU 국제표준회의서 AI 보안 표준화 주도 지디넷코리아",Google 뉴스가 전세계 매체로부터 종합한 최신 뉴스,30,meta_description_short,-103.0,meta_description_not_full_body,-24.5,False,False,https://news.google.com/rss/articles/CBMiVkFVX3lxTE5CajljNk5JM3ZZMURJam45RktPVldCQlVUQ0FidnNpVXA1bU5nSEtrLXJFUHJkSl9hdU9hRmhUemZHR0xZMUEyRzJrNlMzWWtpWlJ1ajBn?oc=5,https://news.google.com/rss/articles/CBMiVkFVX3lxTE5CajljNk5JM3ZZMURJam45RktPVldCQlVUQ0FidnNpVXA1bU5nSEtrLXJFUHJkSl9hdU9hRmhUemZHR0xZMUEyRzJrNlMzWWtpWlJ1ajBn?oc=5&hl=ko&gl=KR&ceid=KR%3Ako,216.5,"ai_infrastructure_security,phishing_security,privacy_security_reliability",security_general,,no_original_date_found,no_original_date_found_kept,0.0,-169.85,,0.0,global_incident:ai_security_policy:google:ai_security_policy:general,global_incident:ai_security_policy:google:ai_security_policy,0.0,,,,issue_representative_attempt,I008,국가 AI 인프라/AIDC/GPU 정책,KT,경쟁사/해외이슈,경쟁사_해외이슈,경쟁사_해외이슈,정부_국회,정부/국회,,
정부_국회,정부/국회,KT,"KT, AI·신뢰 보안 국제표준화 주도⋯ITU-T 개발지침 제안",현대경제신문,현대경제신문,"Mon, 21 Sep 2026 23:59:36 GMT","Mon, 21 Sep 2026 23:59:36 GMT","KT, AI·신뢰 보안 국제표준화 주도⋯ITU-T 개발지침 제안 현대경제신문",Google 뉴스가 전세계 매체로부터 종합한 최신 뉴스,30,meta_description_short,-103.0,meta_description_not_full_body,-24.5,False,False,https://news.google.com/rss/articles/CBMia0FVX3lxTE1QSW42YUo1blo3UkEzQzRqeTJZc0Zrb3RWSWo3emVKdXVFTkhZU3N1ZVliUUZlVnJ0cC1PXzJoaFdYV0NGdjNiZEZ1WGtwZW1CN2FkQ1I3X0hqalA1V1F1WjRwanVpN0poZm5R0gFrQVVfeXFMTVBJbjZhSjVuWjdSQTNDNGp5MllzRmtvdFZJajd6ZUp1dUVOSFlTc3VlWWJRRmVWcnRwLU9fMmhoV1hXQ0Z2M2JkRnVYa3BlbUI3YWRDUjdfSGpqUDVXUXVaNHBqdWk3SmhmblE?oc=5,https://news.google.com/rss/articles/CBMia0FVX3lxTE1QSW42YUo1blo3UkEzQzRqeTJZc0Zrb3RWSWo3emVKdXVFTkhZU3N1ZVliUUZlVnJ0cC1PXzJoaFdYV0NGdjNiZEZ1WGtwZW1CN2FkQ1I3X0hqalA1V1F1WjRwanVpN0poZm5R0gFrQVVfeXFMTVBJbjZhSjVuWjdSQTNDNGp5MllzRmtvdFZJajd6ZUp1dUVOSFlTc3VlWWJRRmVWcnRwLU9fMmhoV1hXQ0Z2M2JkRnVYa3BlbUI3YWRDUjdfSGpqUDVXUXVaNHBqdWk3SmhmblE?oc=5&hl=ko&gl=KR&ceid=KR%3Ako,219.0,"ai_infrastructure_security,phishing_security,privacy_security_reliability",security_general,,no_original_date_found,no_original_date_found_kept,0.0,-181.85,,0.0,,,0.0,,,,issue_representative_attempt,I008,국가 AI 인프라/AIDC/GPU 정책,KT,경쟁사/해외이슈,경쟁사_해외이슈,경쟁사_해외이슈,정부_국회,정부/국회,,
정부_국회,정부/국회,MS,"LG그룹, AI 데이터센터 '원 LG' 체제로 총출동…엔비디아·MS 잇따라 협력",팝콘뉴스,팝콘뉴스,"Tue, 22 Sep 2026 00:50:39 GMT","Tue, 22 Sep 2026 00:50:39 GMT","LG그룹, AI 데이터센터 '원 LG' 체제로 총출동…엔비디아·MS 잇따라 협력 팝콘뉴스",Google 뉴스가 전세계 매체로부터 종합한 최신 뉴스,30,meta_description_short,-103.0,meta_description_not_full_body,-28.5,False,False,https://news.google.com/rss/articles/CBMibkFVX3lxTE44TXFMd2J1Tzhsck90aGlPaFdOcHRpaFdVYVNOU29OUkNYem03ZXZuLTVsYlpWbnZoa1N6a2FSNm1CU3FqLTdDOG5WaWoxLWNxSWt1X0JSaVVjdm9COG96bXY4b3ljdVRDZjRmMzZ30gFyQVVfeXFMTS1hNDRrLUpqLXY5S2RLc1hVaEZNNEJvWUNrUDNvWmloS19LQlNEazFsTGp1SDBYWlBCeTNuOU51bVBlR25FejdsbFJSRWtmaFE3SlpQMmRKWHBtOG81cTZhVFRXdGIwRGVUSUstQUFFUjZn?oc=5,https://news.google.com/rss/articles/CBMibkFVX3lxTE44TXFMd2J1Tzhsck90aGlPaFdOcHRpaFdVYVNOU29OUkNYem03ZXZuLTVsYlpWbnZoa1N6a2FSNm1CU3FqLTdDOG5WaWoxLWNxSWt1X0JSaVVjdm9COG96bXY4b3ljdVRDZjRmMzZ30gFyQVVfeXFMTS1hNDRrLUpqLXY5S2RLc1hVaEZNNEJvWUNrUDNvWmloS19LQlNEazFsTGp1SDBYWlBCeTNuOU51bVBlR25FejdsbFJSRWtmaFE3SlpQMmRKWHBtOG81cTZhVFRXdGIwRGVUSUstQUFFUjZn?oc=5&hl=ko&gl=KR&ceid=KR%3Ako,219.0,"ai_infrastructure_security,aidc_datacenter",aidc_general,,no_original_date_found,no_original_date_found_kept,0.0,-184.65,,0.0,,,0.0,,,,issue_representative_attempt,I008,국가 AI 인프라/AIDC/GPU 정책,MS,경쟁사/해외이슈,경쟁사_해외이슈,경쟁사_해외이슈,정부_국회,정부/국회,,
정부_국회,정부/국회,메타,"메타, 대규모 AI 인프라 투자와 광고 매출 급증의 갈림길에 서다",글로벌이코노믹,글로벌이코노믹,"Mon, 21 Sep 2026 22:08:15 GMT","Mon, 21 Sep 2026 22:08:15 GMT","메타, 대규모 AI 인프라 투자와 광고 매출 급증의 갈림길에 서다 글로벌이코노믹",Google 뉴스가 전세계 매체로부터 종합한 최신 뉴스,30,meta_description_short,-103.0,meta_description_not_full_body,-90.5,False,False,https://news.google.com/rss/articles/CBMiiAFBVV95cUxPZkU1MDhNUUFaWFJoaWVLdV91QmtZb2dMSnI3UThISzdJSmpfb3MwVnVSVUZLWHV4aWx2SWE5ZHZQS2N0MDNrWHBVT1pVSmhKZ0tyUko4ZjlGNXV2bkNfWjYwMElLdkFvaWFKNm8zWXlPZUhsQXpGdl9zemZiY3dQb0VMNGNUUFpZ?oc=5,https://news.google.com/rss/articles/CBMiiAFBVV95cUxPZkU1MDhNUUFaWFJoaWVLdV91QmtZb2dMSnI3UThISzdJSmpfb3MwVnVSVUZLWHV4aWx2SWE5ZHZQS2N0MDNrWHBVT1pVSmhKZ0tyUko4ZjlGNXV2bkNfWjYwMElLdkFvaWFKNm8zWXlPZUhsQXpGdl9zemZiY3dQb0VMNGNUUFpZ?oc=5&hl=ko&gl=KR&ceid=KR%3Ako,208.0,"ai_infrastructure_security,earnings,financial_performance,search_ads",labor_mediation_meeting,,no_original_date_found,no_original_date_found_kept,0.0,-228.05,,0.0,,,0.0,,,,issue_representative_attempt,I008,국가 AI 인프라/AIDC/GPU 정책,메타,경쟁사/해외이슈,경쟁사_해외이슈,경쟁사_해외이슈,정부_국회,정부/국회,,
