id,원카테고리,JSON카테고리,검색어,기사제목,기사제목_정규화,언론사,정규언론사,게시일,본문요약,링크,수집채널,랭킹점수,중요도점수,사건태그,사건단계,주요주체,랭킹감점사유,정책규제의무,강제검토,강제검토사유,자사홍보성,이슈패밀리,코드힌트,오늘성점수,오늘성사유,기사유형,v26이벤트키,v26진행단계,v27_event_key,v27_industry_ok,v27_industry_reason,v27_industry_score,v32_competitor_basis,v32_competitor_portfolio,v32_actor_group,랭킹원점수,편집신호,스토리버킷,전역사건키,전역사건기본키,Gemini카테고리,Gemini내부카테고리,Gemini이슈패밀리,Gemini이슈그룹,Gemini관련성,Gemini중요도,Gemini대외협력중요도,Gemini관련도,GeminiPR성,Gemini제외,Gemini판단사유,Gemini라벨소스,Gemini자사티어,Gemini정부티어,Gemini경쟁사티어,Gemini경쟁사범위,Gemini정책영향경로,Gemini경쟁시사점,Gemini중복그룹,Gemini이슈유형,v26_2_profile_reason,v32_weak_non_digital_gov,v26가드레일사유
2075,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"구글(GOOGL.O), EU 개인정보 규정 위반…약 6,500억원 '역대급 과징금'",구글 googl o eu 개인정보 규정 위반 약 6 500억원 역대급 과징금,alphabiz.co.kr,alphabiz.co.kr,"Mon, 21 Sep 2026 22:15:52 GMT","구글(GOOGL.O), EU 개인정보 규정 위반…약 6,500억원 '역대급 과징금' alphabiz.co.kr",https://news.google.com/rss/articles/CBMibkFVX3lxTFBVQ3lrRTVtRk5fbFM0UW5NTUlIZUV4SXdrcjJXUHN1VGRSYWphM19GXzg2ck1jV09HWTVmVmhjUDdXTU11TmhDczg5SHBjRnROYTZmMG9BSVZlMWF3X2xXZEVwQi1mMGpaSHNsTWJn?oc=5,google_rss_네이버 개인정보 when:2d,343.0,81.5,"antitrust_platform,legal_regulatory_enforcement",antitrust_inapp,구글,brand_not_in_title,Y,,,,competitor:platform_obligation,platform_operator_obligation,24.0,published_today,official_action,v27:platform_enforcement:google:privacy_data_violation,penalty_or_sanction,platform_enforcement:google:privacy_data_violation,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,343.0,legal_regulatory_enforcement,competitor:platform_obligation,global_incident:platform_enforcement:google:privacy_data_violation:sanction_penalty,global_incident:platform_enforcement:google:privacy_data_violation,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_domestic_direct_risk,global_incident:platform_enforcement:google:privacy_data_violation,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_DIRECT_RISK,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:platform_enforcement:google:privacy_data_violation,comp_domestic_direct_risk,,,
2265,경쟁사/해외이슈,경쟁사_해외이슈,KT,"KT, 글로벌 무대서 AI 보안·디지털 신뢰 기준 수립 나선다",kt 글로벌 무대서 ai 보안 디지털 신뢰 기준 수립 나선다,시장경제신문,시장경제신문,"Tue, 22 Sep 2026 00:40:42 GMT","KT, 글로벌 무대서 AI 보안·디지털 신뢰 기준 수립 나선다 시장경제신문",https://news.google.com/rss/articles/CBMicEFVX3lxTE5tWVA3XzZqcXhwOEEyNU0tTXJNNWo3QkVOQmZfcVFRWFM2V2lUdFhhS1M2YU5MX2FqcFhRX2pRUGpzZTlXVTRoal8teVNtOVM5UG1PNEVVdUloRGpFSjJoNkEyeWFiMnhoSTlBbmdwa1g?oc=5,google_rss_KT when:2d,334.0,25.0,"ai_infrastructure_security,phishing_security,privacy_security_reliability",security_general,KT,,,,,,,general,24.0,published_today,direct_risk,global_incident:ai_security_policy:kt:ai_security_policy,general,,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,telco,334.0,"privacy_security_reliability,ai_infrastructure_security",competitor:security_reliability,global_incident:ai_security_policy:kt:ai_security_policy:general,global_incident:ai_security_policy:kt:ai_security_policy,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_ai_platform,,,
3165,경쟁사/해외이슈,경쟁사_해외이슈,애플,"KT, 펨토셀 과징금 행정소송 본격 검토...개인정보위 의결서 수령",kt 펨토셀 과징금 행정소송 본격 검토 개인정보위 의결서 수령,전자신문,전자신문,"Mon, 21 Sep 2026 05:05:04 GMT","KT, 펨토셀 과징금 행정소송 본격 검토...개인정보위 의결서 수령 전자신문",https://news.google.com/rss/articles/CBMiTkFVX3lxTE90czlGR0FuRmRUZ1RkdmZXNFhGRzdQaENzY21Gb0lnQ0ZsamVMOU1yNnBEWVN2ZE9lZl9IRmswa1RNS1NncnJmTGk2RXA0UQ?oc=5,google_rss_애플 site:etnews.com when:2d,331.5,89.0,"antitrust_platform,legal_regulatory_enforcement,policy_legislation",antitrust_general,KT,brand_not_in_title,Y,,,,competitor:platform_obligation,platform_operator_obligation,14.0,published_yesterday,official_action,privacy_security:kt:data_leak,litigation,,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,telco,331.5,"legal_regulatory_enforcement,policy_legislation",competitor:platform_obligation,global_incident:platform_regulation:kt:platform_data_protection_obligation:litigation,global_incident:platform_regulation:kt:platform_data_protection_obligation,정부_국회,GOV_PLATFORM_REGULATION,government_platform_regulation,global_incident:platform_regulation:kt:platform_data_protection_obligation,카카오 또는 주요 플랫폼 사업자에게 직접 의무·차단·보고·준수 부담이 생김,5,5,5,,,로컬 보조 라벨,local_low_confidence,,GOV_DIRECT_PLATFORM_OBLIGATION,COMP_DOMESTIC_DIRECT_RISK,mixed,카카오 또는 주요 플랫폼 사업자에게 직접 의무·차단·보고·준수 부담이 생김,카카오 또는 주요 플랫폼 사업자에게 직접 의무·차단·보고·준수 부담이 생김,global_incident:platform_regulation:kt:platform_data_protection_obligation,government_platform_regulation,,,
141,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,"글로벌 AI 공세 앞에 선 네이버·카카오, ‘수익화’라는 차가운 벽 [데스크칼럼]",글로벌 ai 공세 앞에 선 네이버 카카오 수익화라는 차가운 벽 데스크칼럼,sportsseoul.com,sportsseoul.com,"Sun, 20 Sep 2026 20:00:00 GMT","글로벌 AI 공세 앞에 선 네이버·카카오, ‘수익화’라는 차가운 벽 [데스크칼럼] sportsseoul.com",https://news.google.com/rss/articles/CBMiWEFVX3lxTFBtYk0wVFoxTlhLX3E1b2tHMjFxZm5YSUtyRXRFeTJJWF9Za3o3R1F5bXozRUhxWGRWRFFramdJWFJvUTg1S19BQ2JrcjN3dzBNTHB5bnB1QWQ?oc=5,google_rss_카카오 AI when:2d,321.8,32.0,ai_infrastructure_security,ai_infrastructure_security,"네이버,카카오",,,,,,,general,14.0,published_yesterday,business_change,event:네이버+카카오:ai_infrastructure_security,general,,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,321.8,ai_infrastructure_security,self:ai_strategy,,,자사_및_계열사_이슈,SELF_AFFILIATE_BUSINESS,self_strategic_reference,self_strategic_reference:글로벌 ai 공세 앞에 선 네이버 카카오 수익화라는 차가운 벽 데스크칼럼,"카카오·계열사의 사업 확장, 제휴, MOU, 신규 서비스 참고 이슈",4,3,4,,,v40: 직접 리스크는 아니지만 자사 사업 확장·제휴성 이슈로 2순위 반영,local_low_confidence,STRATEGIC_REFERENCE,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오 현직자가 사업 방향과 외부 질의 가능성을 참고할 실질 변화,self_strategic_reference:글로벌 ai 공세 앞에 선 네이버 카카오 수익화라는 차가운 벽 데스크칼럼,self_strategic_reference,,,
2027,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"네이버클라우드, 데이터 연결로 국방 AX 조준",네이버클라우드 데이터 연결로 국방 ax 조준,한국경제,한국경제,"Mon, 21 Sep 2026 07:01:29 GMT","네이버클라우드, 데이터 연결로 국방 AX 조준 한국경제",https://news.google.com/rss/articles/CBMiWkFVX3lxTE9ZV3JJRE9VbHpEdHc2VmFVekNpS216QlR4ZDlCTkk0ekE0d0YyeGU0Rm1WYUNEcDBuNEtBRi1YaE92MHlkWEN5YUhFbjN4c0RvYm43elVSRVRZZw?oc=5,google_rss_네이버 AI when:2d,305.0,6.5,,,네이버,,,,,,,general,14.0,published_yesterday,general,,general,,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,305.0,,,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:네이버클라우드 데이터 연결로 국방 ax 조준,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:네이버클라우드 데이터 연결로 국방 ax 조준,comp_domestic_ai_platform,,,
2413,경쟁사/해외이슈,경쟁사_해외이슈,쿠팡,구글 제재 앞둔 韓…김종철·주병기도 美 '입국제한법' 영향받나,구글 제재 앞둔 김종철 주병기도 입국제한법 영향받나,v.daum.net,v.daum.net,"Mon, 21 Sep 2026 21:29:00 GMT",구글 제재 앞둔 韓…김종철·주병기도 美 '입국제한법' 영향받나 v.daum.net,https://news.google.com/rss/articles/CBMiRkFVX3lxTE16Q3FsUDhnNzVFZzhnWE8xRFlFalNKd0U1UVBHYVR4dnNFaVBxelpWSk80TTNwR3ZJZG5zRzZBTWxWLXRTM3c?oc=5,google_rss_쿠팡 법안 when:2d,297.0,78.5,"legal_regulatory_enforcement,platform_obligation",legal_regulatory_enforcement,구글,brand_not_in_title,Y,,,,competitor:platform_obligation,platform_operator_obligation,24.0,published_today,official_action,global_incident:platform_regulation:google:platform_operator_obligation,penalty_or_sanction,,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,coupang_competitor_enforcement_or_risk,Y,coupang,297.0,"legal_regulatory_enforcement,platform_obligation",competitor:platform_obligation,global_incident:platform_regulation:google:platform_operator_obligation:sanction_penalty,global_incident:platform_regulation:google:platform_operator_obligation,경쟁사_해외이슈,SELF_AFFILIATE_BUSINESS,self_filler_reference,global_incident:platform_regulation:google:platform_operator_obligation,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,2,5,,,v26: 카카오 직접 주체가 없어 자사 섹션 제외/재분류 / v26.2: overseas structural industry candidate,local_low_confidence,OFF_TOPIC,,COMP_DOMESTIC_DIRECT_RISK,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:platform_regulation:google:platform_operator_obligation,self_filler_reference,,,
2066,경쟁사/해외이슈,경쟁사_해외이슈,네이버,중국 당국 부자들 해외 투자내역 뒤진다. (feat. 비트코인),중국 당국 부자들 해외 투자내역 뒤진다 feat 비트코인,네이버 프리미엄콘텐츠,네이버 프리미엄콘텐츠,"Mon, 21 Sep 2026 01:15:00 GMT",중국 당국 부자들 해외 투자내역 뒤진다. (feat. 비트코인) 네이버 프리미엄콘텐츠,https://news.google.com/rss/articles/CBMijAFBVV95cUxPOFBoLXJyUkR1YVBOXzhNRnk2MzJHal93Q1hTSUp0bWVuRkt5enA0TnoyS0s3WnlxTDg2ZVVTdVFZMW8tYXVPQkZQb3lYMFhoOEpJYWVNSXFSQzQxN1JTdy1qTzdCdUg0NDZzMXJxaUxITkw4QVduSWdlVmRhckJiSE40ckk5Si1GWWtKYw?oc=5,google_rss_네이버 조사 when:2d,297.0,13.5,digital_asset_stablecoin,digital_asset_stablecoin,네이버,brand_not_in_title,,,,,,general,14.0,published_yesterday,general,event:네이버:digital_asset_stablecoin,general,,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,297.0,digital_asset_stablecoin,competitor:general,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_strategy,comp_domestic_strategy:중국 당국 부자들 해외 투자내역 뒤진다 feat 비트코인,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_STRATEGY,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_strategy:중국 당국 부자들 해외 투자내역 뒤진다 feat 비트코인,comp_domestic_strategy,,,
2305,경쟁사/해외이슈,경쟁사_해외이슈,LGU+,"LGU+, 소도몰과 소상공인 AX 협력...상권·판매데이터 결합",lgu+ 소도몰과 소상공인 ax 협력 상권 판매데이터 결합,디지털투데이,디지털투데이,"Tue, 22 Sep 2026 00:00:00 GMT","LGU+, 소도몰과 소상공인 AX 협력...상권·판매데이터 결합 디지털투데이",https://news.google.com/rss/articles/CBMic0FVX3lxTE4ydGw0N2FtWHB2VDJWTFNaLUV1R1RtaWk1NTVaaGo4NEVNWHgxeENTVDg4czUyOWdkUUN0dGR4bzk0MXVuWEpXMEZkX1p6Y1hubjdkdy1OcXB2VzdQWTBEa21Pd3pHTW5OV0JtbG13c05YMDA?oc=5,google_rss_LGU+ when:2d,288.0,4.0,,,LGU+,,,,,,,general,24.0,published_today,general,,general,,,"insufficient_industry_basis:actor=True,change=False,bridge=False",1,naver_telco_strategy_or_infra,Y,telco,288.0,,,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:lgu+ 소도몰과 소상공인 ax 협력 상권 판매데이터 결합,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:lgu+ 소도몰과 소상공인 ax 협력 상권 판매데이터 결합,comp_domestic_ai_platform,,,
2030,경쟁사/해외이슈,경쟁사_해외이슈,네이버,네이버클라우드 “군이 AI 통제권 확보”…국방 AX 협력 모델 제시 : 네이버 블로그,네이버클라우드 군이 ai 통제권 확보 국방 ax 협력 모델 제시 네이버 블로그,Naver Blog,Naver Blog,"Sun, 20 Sep 2026 23:50:12 GMT",네이버클라우드 “군이 AI 통제권 확보”…국방 AX 협력 모델 제시 : 네이버 블로그 Naver Blog,https://news.google.com/rss/articles/CBMijwFBVV95cUxNWl9yNWZrQWdfMXlvekJyQWVsdUNVMnBKa3NfY2txV09WeUttRzhEVS1nMXJ4OHAwWmxsVUJtMHBhczdoSTRXUlhVWDROd19qdVp6VDVnY2VZeTFvVDFjYjZEbDJfMGNrUTk3cEtsVVNEVmUzY3gtZlp2TnpndURrbFB3Zl8yVFJfaWxDNXFaUQ?oc=5,google_rss_네이버 AI when:2d,277.0,-16.5,ai_infrastructure_security,ai_infrastructure_security,네이버,,,,,,,general,14.0,published_yesterday,business_change,event:네이버:ai_infrastructure_security,general,,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,277.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:네이버클라우드 군이 ai 통제권 확보 국방 ax 협력 모델 제시 네이버 블로그,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:네이버클라우드 군이 ai 통제권 확보 국방 ax 협력 모델 제시 네이버 블로그,comp_domestic_ai_platform,,,
1974,경쟁사/해외이슈,경쟁사_해외이슈,네이버,카드업계 ‘네이버 X 현대카드 더 식스’ 개최·10억 규모 소상공인 상생 이벤트 진행·EMV 오픈루프 서비스 구축 MOU,카드업계 네이버 x 현대카드 더 식스 개최 10억 규모 소상공인 상생 이벤트 진행 emv 오픈루프 서비스 구축 mou,여성소비자신문,여성소비자신문,"Tue, 22 Sep 2026 02:09:50 GMT",카드업계 ‘네이버 X 현대카드 더 식스’ 개최·10억 규모 소상공인 상생 이벤트 진행·EMV 오픈루프 서비스 구축 MOU 여성소비자신문,https://news.google.com/rss/articles/CBMiZkFVX3lxTE56THlGSjRDV04zbGJDNncwQ3FfOS1RSXdyNjRiUHNTYXpwYkhEU2JpcnVSOWJmQ2RxaEw5eHZIWjZLMUV0dU45Um8tRXM3cFF5bzlrQXFId3FKcWhidk5uUDVaeXh1QQ?oc=5,google_rss_네이버 when:2d,275.5,-5.5,self_pr_promo,,네이버,low_value:이벤트,,,,,,general,24.0,published_today,general,,general,,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,275.5,,,,,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,competitor_general_low_relevance,competitor_general_low_relevance:카드업계 네이버 x 현대카드 더 식스 개최 10억 규모 소상공인 상생 이벤트 진행 emv 오픈루프 서비스 구,카카오 대외협력 관점 간접 참고,4,2,2,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_GENERAL_LOW_RELEVANCE,domestic,,카카오 대외협력 관점 간접 참고,competitor_general_low_relevance:카드업계 네이버 x 현대카드 더 식스 개최 10억 규모 소상공인 상생 이벤트 진행 emv 오픈루프 서비스 구,competitor_general_low_relevance,,,
