id,원카테고리,JSON카테고리,검색어,기사제목,기사제목_정규화,언론사,정규언론사,게시일,본문요약,링크,수집채널,랭킹점수,중요도점수,사건태그,사건단계,주요주체,랭킹감점사유,정책규제의무,강제검토,강제검토사유,자사홍보성,이슈패밀리,코드힌트,오늘성점수,오늘성사유,기사유형,v26이벤트키,v26진행단계,v27_industry_ok,v27_industry_reason,v27_industry_score,v32_competitor_basis,v32_competitor_portfolio,v32_actor_group,랭킹원점수,편집신호,스토리버킷,전역사건키,전역사건기본키,Gemini카테고리,Gemini내부카테고리,Gemini이슈패밀리,Gemini이슈그룹,Gemini관련성,Gemini중요도,Gemini대외협력중요도,Gemini관련도,GeminiPR성,Gemini제외,Gemini판단사유,Gemini라벨소스,Gemini자사티어,Gemini정부티어,Gemini경쟁사티어,Gemini경쟁사범위,Gemini정책영향경로,Gemini경쟁시사점,Gemini중복그룹,Gemini이슈유형,v27_event_key,v26_2_profile_reason,v26가드레일사유,v32_weak_non_digital_gov
2326,경쟁사/해외이슈,경쟁사_해외이슈,KT,앤트로픽 'AI 수출 제재'에 韓 통신사 빌미 제공했나…KT·LG유플 “관련 없다”,앤트로픽 ai 수출 제재 에 통신사 빌미 제공했나 kt lg유플 관련 없다,전자신문,전자신문,"Tue, 16 Jun 2026 07:16:09 GMT",앤트로픽 'AI 수출 제재'에 韓 통신사 빌미 제공했나…KT·LG유플 “관련 없다” 전자신문,https://news.google.com/rss/articles/CBMiTkFVX3lxTE0ydG5ydG5FVVBNcS1PdDZZdVRGckw3RHZYV2JPRW5sa3BTQzVjM3ltZFhobzExdkFaT0ZxZC00aHVhZTd2SEgzTHMzc0E0QQ?oc=5,google_rss_KT when:2d,383.0,36.0,"ai_infrastructure_security,legal_regulatory_enforcement",ai_infrastructure_security,"KT,앤트로픽",,,,,,,general,24.0,published_today,official_action,global_incident:ai_security_policy:kt:anthropic_glasswing_security,penalty_or_sanction,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,telco,383.0,"legal_regulatory_enforcement,ai_infrastructure_security",competitor:regulatory_enforcement,global_incident:ai_security_policy:kt:anthropic_glasswing_security:sanction_penalty,global_incident:ai_security_policy:kt:anthropic_glasswing_security,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,AI 규제,KT 금융 AX/AI 인프라 전략,카카오도 해외 AI 기업과 협력 시 유사한 규제 리스크에 대한 사전 검토 및 대응 전략이 필요함.,1,1,1,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,gemini,,,COMP_DOMESTIC_DIRECT_RISK,mixed,,국내 통신사의 해외 AI 기술 협력에 대한 잠재적 규제 리스크는 카카오 AI 사업의 해외 파트너십 전략 수립에 중요한 시사점을 제공함.,KT 금융 AX/AI 인프라 전략,AI 규제,,,,
2938,경쟁사/해외이슈,경쟁사_해외이슈,오픈AI,"미국, 앤트로픽 최신 모델 외국인 접근 금지령",미국 앤트로픽 최신 모델 외국인 접근 금지령,네이버 프리미엄콘텐츠,네이버 프리미엄콘텐츠,"Sun, 14 Jun 2026 21:00:00 GMT","미국, 앤트로픽 최신 모델 외국인 접근 금지령 네이버 프리미엄콘텐츠",https://news.google.com/rss/articles/CBMigAFBVV95cUxQRlRLcUMzSnhYd2pwdThDdzJ1Y21PWVMyT2tQc3E4TkpRYm9VbTJRdG1Gcm11ckNMRndsSmJfN05JREVBdGJlTDRTWlp1YVlwTm9BN0ljQ3FfN3FScVhNRXhPdlN0eFFjMUtnWUxQaFg3ZEtCMzBZLVZyMXotWVlidg?oc=5,google_rss_오픈AI 해킹 when:2d,363.5,53.5,platform_obligation,platform_obligation,"네이버,앤트로픽",brand_not_in_title,Y,,,,competitor:platform_obligation,platform_operator_obligation,14.0,published_yesterday,business_change,global_incident:platform_regulation:naver:platform_content_moderation_obligation,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,363.5,"ai_infrastructure_security,platform_obligation",competitor:platform_obligation,global_incident:platform_regulation:naver:platform_content_moderation_obligation:general,global_incident:platform_regulation:naver:platform_content_moderation_obligation,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,AI 규제,앤트로픽 AI 수출 제재,카카오의 해외 AI 협력 및 AI 서비스 해외 진출 시 예상되는 규제 환경 변화를 예측하고 대응 전략을 수립해야 함.,1,1,1,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,gemini,,,COMP_OVERSEAS_REGULATION_DATA,overseas,,주요 해외국의 AI 기술 통제 정책은 카카오 AI 서비스의 글로벌 확장 및 해외 기업과의 협력 방향 설정에 영향을 미침.,앤트로픽 AI 수출 제재,AI 규제,,,,
2235,경쟁사/해외이슈,경쟁사_해외이슈,SKT,"SKT, AI 협업 환경 구축 위한 ‘AX 혁신 2.0’ 시행",skt ai 협업 환경 구축 위한 ax 혁신 2 0 시행,이슈투데이,이슈투데이,"Tue, 16 Jun 2026 06:14:37 GMT","SKT, AI 협업 환경 구축 위한 ‘AX 혁신 2.0’ 시행 이슈투데이",https://news.google.com/rss/articles/CBMiZkFVX3lxTE1RY2NuVEloel9fNkd4VE1zcUMtT2ZybkJkekVHNGtNR3MtWVRxTUZSeHlFZmRUc1BqOHFlbFFjZ1NPRjJyQnFua2ZnaG44LWZyUktGMm44OTkwanFJWnd1ejBRSjZ6dw?oc=5,google_rss_SKT when:2d,352.0,65.0,ai_infrastructure_security,ai_infrastructure_security,SKT,,Y,,,,competitor:platform_obligation,platform_operator_obligation,24.0,published_today,business_change,global_incident:platform_regulation:skt:platform_operator_obligation,action_started,Y,"industry_basis_pass:actor=True,change=True,bridge=False",2,naver_telco_strategy_or_infra,Y,telco,352.0,ai_infrastructure_security,competitor:platform_obligation,global_incident:platform_regulation:skt:platform_operator_obligation:policy_change,global_incident:platform_regulation:skt:platform_operator_obligation,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,경쟁사 AI 전략,KT 금융 AX/AI 인프라 전략,SKT의 전사적 AI 도입 및 활용 전략은 카카오의 AI 전환 전략 수립에 참고할 만한 경쟁사 동향으로 볼 수 있음.,1,1,1,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,gemini,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,경쟁사의 AI 기반 업무 혁신 사례는 카카오의 사내 AI 도입 및 조직 문화 변화 전략 수립에 벤치마킹 요소로 활용 가능함.,KT 금융 AX/AI 인프라 전략,경쟁사 AI 전략,,,,
1997,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"네이버클라우드, 글로벌 해킹대회 상위 1%…보안 경쟁력 입증",네이버클라우드 글로벌 해킹대회 상위 1 보안 경쟁력 입증,전자신문,전자신문,"Tue, 16 Jun 2026 05:56:15 GMT","네이버클라우드, 글로벌 해킹대회 상위 1%…보안 경쟁력 입증 전자신문",https://news.google.com/rss/articles/CBMiTkFVX3lxTE9HY1NJYm5OOXRxSXN5YkJvUklBb2JJQWNNNy03RzBrVUZYRDJSYmcwRG13QWluRHRPZ1IxZ2x4Q2pnenNFdFV3Z1ZIYXpxZw?oc=5,google_rss_네이버 when:2d,350.5,38.5,"phishing_security,privacy_security_reliability",security_hacking_incident,네이버,,,,,,,general,24.0,published_today,direct_risk,privacy_security:naver:data_leak,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,350.5,privacy_security_reliability,competitor:security_reliability,global_incident:privacy_security:naver:naver:data_leak:general,global_incident:privacy_security:naver:naver,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_domestic_direct_risk,global_incident:privacy_security:naver:naver,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,Y,"단순 홍보성 기사로, 카카오 대외협력팀에 직접적인 영향 경로가 약함.",gemini,,,COMP_DOMESTIC_DIRECT_RISK,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:privacy_security:naver:naver,comp_domestic_direct_risk,,,,
2250,경쟁사/해외이슈,경쟁사_해외이슈,SKT,"[AI 인프라 전쟁] SKT, 엔비디아와 5GW 'AI 팩토리'…아직은 갈 길 멀어",ai 인프라 전쟁 skt 엔비디아와 5gw ai 팩토리 아직은 갈 길 멀어,딜사이트,딜사이트,"Mon, 15 Jun 2026 22:00:00 GMT","[AI 인프라 전쟁] SKT, 엔비디아와 5GW 'AI 팩토리'…아직은 갈 길 멀어 딜사이트",https://news.google.com/rss/articles/CBMiT0FVX3lxTE8wTHBpQ1psUW9UTFAyWXdCOTRscTJ5b1B2R2dCbnJINXBVWFh3NHJCZWRydWdiMnN0UnpuZ0dVRXNkV1R4S0oxUU9NQzlSSU0?oc=5,google_rss_SKT when:2d,347.0,11.0,ai_infrastructure_security,ai_infrastructure_security,SKT,,,,,,,general,24.0,published_today,business_change,event:SKT:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=False",2,naver_telco_strategy_or_infra,Y,telco,347.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,경쟁사 AI 전략,국가 AI 인프라/AIDC/GPU 정책,SKT의 AI 인프라 구축 및 해외 파트너십 전략은 카카오의 AI 인프라 투자 및 전략 수립에 참고할 수 있음.,1,1,1,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,gemini,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,국내 경쟁사의 대규모 AI 인프라 투자 동향은 카카오의 AI 개발 로드맵 및 비용 효율성 전략에 중요한 시사점을 제공함.,국가 AI 인프라/AIDC/GPU 정책,경쟁사 AI 전략,,,,
683,정부/국회,정부_국회,방송미디어통신위원회,"김종철 방미통위원장 ""쿠팡 납치광고 조사 마쳐…구글 인앱결제 과징금 곧 발표""",김종철 방미통위원장 쿠팡 납치광고 조사 마쳐 구글 인앱결제 과징금 곧 발표,뉴스웍스,뉴스웍스,"Mon, 15 Jun 2026 03:47:05 GMT","김종철 방미통위원장 ""쿠팡 납치광고 조사 마쳐…구글 인앱결제 과징금 곧 발표"" 뉴스웍스",https://news.google.com/rss/articles/CBMib0FVX3lxTE5CS3lNNGpPN3RsRVVrNFp6SllRSFhiX002SElGTEJUdVd4c1ZiYzlwWEZUOWFYR1Nubzc5Qy1CdnMwVjRpazRYTjBuczZEazJDaE5QbkRBMG1RTUdrLVVvVmFoMmI1ekZvRjEtTGhLMA?oc=5,google_rss_방송미디어통신위원회 when:2d,332.6,141.0,"antitrust_platform,legal_regulatory_enforcement,search_ads",antitrust_inapp,"구글,방미통위,쿠팡",,Y,,,,government:platform_obligation,platform_operator_obligation,14.0,published_yesterday,official_action,v27:platform_enforcement:coupang:app_market_payment_fee,penalty_or_sanction,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,coupang_competitor_enforcement_or_risk,Y,coupang,332.6,"legal_regulatory_enforcement,policy_legislation",government:platform_obligation,global_incident:platform_enforcement:coupang:app_market_payment_fee:sanction_penalty,global_incident:platform_enforcement:coupang:app_market_payment_fee,정부_국회,GOV_PLATFORM_REGULATION,방통위 플랫폼 규제,방미통위 플랫폼/인앱결제 규제,방송미디어통신위원회의 플랫폼 규제 및 인앱결제 과징금 부과는 카카오의 유사 서비스 운영에 대한 규제 리스크를 높일 수 있음.,1,1,1,,,로컬 보조 라벨,gemini,,GOV_REGULATORY_ENFORCEMENT,COMP_DOMESTIC_DIRECT_RISK,mixed,"방미통위의 규제 강화 기조는 카카오톡, 카카오게임즈 등 플랫폼/앱 사업자에 대한 잠재적 규제 부담을 증가시키므로 선제적 대응 및 소통이 필요함.",카카오 또는 주요 플랫폼 사업자에게 직접 의무·차단·보고·준수 부담이 생김,방미통위 플랫폼/인앱결제 규제,방통위 플랫폼 규제,platform_enforcement:coupang:app_market_payment_fee,,,
679,정부/국회,정부_국회,방송미디어통신위원회,[현장] ‘구글·쿠팡’ 정조준 방미통위···인앱결제 과징금 발표 ‘임박’,현장 구글 쿠팡 정조준 방미통위 인앱결제 과징금 발표 임박,이뉴스투데이,이뉴스투데이,"Mon, 15 Jun 2026 05:22:41 GMT",[현장] ‘구글·쿠팡’ 정조준 방미통위···인앱결제 과징금 발표 ‘임박’ 이뉴스투데이,https://news.google.com/rss/articles/CBMidEFVX3lxTE9PTmxlZ0tjZ01pT01wejFWV2ZkLUlleGowTm9tUGl6WWoyS3hJeWJvTktPTTdfZldfLWdRLVZuMFZVOXB3VHBreUNaSEd3MmFHZUs4eVYtaVVZM25hRHJKM0FBWmVMSzR4eU9QNE9hZjFCeW160gF0QVVfeXFMT09ObGVnS2NnTWlPTXB6MVZXZmQtSWV4ajBOb21QaXpZajJLeEl5Ym9OS09NN19mV18tZ1EtVm4wVlU5cHdUcGt5Q1pIR3cyYUdlSzh5Vi1pVVkzbmFEckozQUFaZUxLNHh5T1A0T2FmMUJ5bXo?oc=5,google_rss_방송미디어통신위원회 when:2d,329.6,135.0,"antitrust_platform,legal_regulatory_enforcement",antitrust_inapp,"구글,방미통위,쿠팡",,Y,,,,government:platform_obligation,platform_operator_obligation,14.0,published_yesterday,official_action,v27:platform_enforcement:coupang:app_market_payment_fee,penalty_or_sanction,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,coupang_competitor_enforcement_or_risk,Y,coupang,329.6,"legal_regulatory_enforcement,policy_legislation",government:platform_obligation,global_incident:platform_enforcement:coupang:app_market_payment_fee:sanction_penalty,global_incident:platform_enforcement:coupang:app_market_payment_fee,정부_국회,GOV_PLATFORM_REGULATION,방통위 플랫폼 규제,방미통위 플랫폼/인앱결제 규제,방송미디어통신위원회의 플랫폼 규제 및 인앱결제 과징금 부과는 카카오의 유사 서비스 운영에 대한 규제 리스크를 높일 수 있음.,1,1,1,,,로컬 보조 라벨,gemini,,GOV_REGULATORY_ENFORCEMENT,COMP_DOMESTIC_DIRECT_RISK,mixed,"방미통위의 규제 강화 기조는 카카오톡, 카카오게임즈 등 플랫폼/앱 사업자에 대한 잠재적 규제 부담을 증가시키므로 선제적 대응 및 소통이 필요함.",카카오 또는 주요 플랫폼 사업자에게 직접 의무·차단·보고·준수 부담이 생김,방미통위 플랫폼/인앱결제 규제,방통위 플랫폼 규제,platform_enforcement:coupang:app_market_payment_fee,,,
2091,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"[AI 인프라 전쟁]SKT, 엔비디아와 5GW 'AI 팩토리'…아직은 갈 길 멀어 : 네이버 블로그",ai 인프라 전쟁 skt 엔비디아와 5gw ai 팩토리 아직은 갈 길 멀어 네이버 블로그,Naver Blog,Naver Blog,"Tue, 16 Jun 2026 07:55:43 GMT","[AI 인프라 전쟁]SKT, 엔비디아와 5GW 'AI 팩토리'…아직은 갈 길 멀어 : 네이버 블로그 Naver Blog",https://news.google.com/rss/articles/CBMijwFBVV95cUxNaDNiUThnMFF3d1ZHejBJN0g3RFlfSl96UHk5RzFLVGdwcFZhUlBEYWVXSmRxaW5hUU1WY2tWMzM0c2R1Vm43bFpfRzJzdWRIMGR2UjJzNjM4NGVvcFJQbjVGYWdOTndmQ1pKeUpEVVN2Mm5mbHh1Z0N5V1B0UDc1NE1iMWdtN3pGNmJsb1o5VQ?oc=5,google_rss_네이버 AI when:2d,321.5,-16.5,ai_infrastructure_security,ai_infrastructure_security,"SKT,네이버",,,,,,,general,24.0,published_today,business_change,event:SKT+네이버:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,321.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,국가 AI 인프라/AIDC/GPU 정책,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,Y,"2250번 기사와 동일한 내용의 네이버 블로그 게시물로, 중복 제외.",gemini,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,국가 AI 인프라/AIDC/GPU 정책,comp_domestic_ai_platform,,,,
2135,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"2030년 전군 AX 목표…네이버클라우드, 국방 AI 풀스택 전략",2030년 전군 ax 목표 네이버클라우드 국방 ai 풀스택 전략,뉴시스,뉴시스,"Mon, 15 Jun 2026 00:22:57 GMT","2030년 전군 AX 목표…네이버클라우드, 국방 AI 풀스택 전략 뉴시스",https://news.google.com/rss/articles/CBMiYEFVX3lxTFA4RHBJU1VhaXRwV2VYNXZnM1JuVXFhRXBtZHl5X01PaE11MjBXQ3JIZlRFc3JQYWN4Zk0yUWpLejlUMUcwSWEtVWZ0ZklDdzBSLUVvdTBCZ2FiWWIzTTBOZNIBeEFVX3lxTE94WFllbFVYY2YxY0pTWDVmczZmblFHYU11ZEUxWmM5RnFBX0t5MDlmRzRseG42cmIxTlVMazhzNmJKSFNEV19UeU9PZVRIYTZxMmtWN1ozR0otT3VueVpYVHVQZlp5SlI1SlBEa1ZTemo2STlQX3MyNg?oc=5,google_rss_네이버 AI when:2d,321.0,20.5,"ai_infrastructure_security,policy_legislation",ai_infrastructure_security,네이버,,,,,,,general,14.0,published_yesterday,business_change,event:네이버:ai_infrastructure_security+policy_legislation,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,321.0,"policy_legislation,ai_infrastructure_security",competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,경쟁사 AI 전략,네이버클라우드 국방 AI 전략,네이버클라우드의 국방 AI 시장 진출 및 풀스택 전략은 카카오의 공공/기업용 AI 서비스 확장 전략 수립에 경쟁 환경 참고가 될 수 있음.,1,1,1,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,gemini,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,경쟁사의 공공 부문 특화 AI 전략은 카카오의 B2G/B2B AI 사업 확장 가능성과 경쟁 구도를 이해하는 데 중요함.,네이버클라우드 국방 AI 전략,경쟁사 AI 전략,,,,
2208,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"2030년 전군 AX 목표…네이버클라우드, 국방 AI 풀스택 전략",2030년 전군 ax 목표 네이버클라우드 국방 ai 풀스택 전략,파이낸셜뉴스,파이낸셜뉴스,"Mon, 15 Jun 2026 00:23:45 GMT","2030년 전군 AX 목표…네이버클라우드, 국방 AI 풀스택 전략 파이낸셜뉴스",https://news.google.com/rss/articles/CBMiWkFVX3lxTE9NSnpYLUIwTlN1WlBlMmw1SDFHVXI0ZlBfYlpVdDA0dEFxSExmX2ZsMkpmUHQ0enlZcVA1dmxERVAwNGZfM2RVZTN1bzBpNmdtY1p6V1BzV253Zw?oc=5,google_rss_네이버 site:fnnews.com when:2d,320.0,20.5,"ai_infrastructure_security,policy_legislation",ai_infrastructure_security,네이버,,,,,,,general,14.0,published_yesterday,business_change,event:네이버:ai_infrastructure_security+policy_legislation,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,320.0,"policy_legislation,ai_infrastructure_security",competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:2030년 전군 ax 목표 네이버클라우드 국방 ai 풀스택 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,Y,"2135번 기사와 동일한 내용으로, 중복 제외.",gemini,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:2030년 전군 ax 목표 네이버클라우드 국방 ai 풀스택 전략,comp_domestic_ai_platform,,,,
