검색어,후보제목,후보링크,후보언론사,매칭과거일자,매칭과거제목,매칭과거링크,중복판정이유,공유주체,공유사건태그,종합점수,제목점수,토큰점수,본문점수,후보대표점수,원문날짜,날짜검증결과,제외단계,v20_issue_id,v20_issue_group,매칭대표점수
카카오,카카오톡 대화방서 챗GPT 호출… 질문·이미지 생성 지원,https://news.google.com/rss/articles/CBMidEFVX3lxTE1xZTM5V0FtOUxaeExfVnZ1S0pkMlpzdVlCN0FwSlNGbXdHQ1JLckNsWlVraERhd3ZOSVJfQ2gwTlNQSmFTUEswU2JKSDV1c1J1bS1rYWxSM0NhejQtWkNrX0dmM3pJMzR0b0JWOTRjTm5DTC1P0gF0QVVfeXFMTXFlMzlXQW05TFp4TF9WdnVLSmQyWnN1WUI3QXBKU0Ztd0dDUktyQ2xaVWtoRGF3dk5JUl9DaDBOU1BKYVNQSzBTYkpINXVzUnVtLWthbFIzQ2F6NC1aQ2tfR2YzekkzNHRvQlY5NGNObkNMLU8?oc=5,IT조선,COLLECTION_FILTER,,,collection_relevance:collection_relevance:private_kakaotalk_or_entertainment_noise,,,,,,,,,,,,,
카카오,“카카오톡 대화방에서 챗GPT에게 바로 묻는다”…챗GPT 챗봇 출시,https://news.google.com/rss/articles/CBMiUEFVX3lxTFB0U0o2ZjhHbk00OWV6aDFQUHg3cHUxbEFTVDBvYkR1RkxRYWFtNmxxT0hQVHVvSS14dTNMX3hBb3cyN2lkOG1GVV91eGJ3NnVM?oc=5,문화일보,COLLECTION_FILTER,,,collection_relevance:collection_relevance:private_kakaotalk_or_entertainment_noise,,,,,,,,,,,,,
카카오,"카카오, 채팅방 챗봇 기능 도입…“카톡방서 챗GPT 바로 호출”",https://news.google.com/rss/articles/CBMiZ0FVX3lxTFA1cWZrNW5xY3FickdKOFgtTjVvMjEtUS13YzNkMDRSLWJoZWtjOHBFT1BXdTN4Nmp0TkhfZ1dkSjM1VGFsTnczcVM2Ukd5MUtSaHZxRS1lSnloM0VZSFlNNG1SUUx6OUE?oc=5,CEO스코어데일리,COLLECTION_FILTER,,,collection_relevance:collection_relevance:private_kakaotalk_or_entertainment_noise,,,,,,,,,,,,,
카카오,"""카톡방서 쓰는 챗GPT""...카카오, 채팅방 챗봇 기능 출시",https://news.google.com/rss/articles/CBMicEFVX3lxTE4wZUZGbTFQOURQYkZ6THplQm5qaEQxcWZFYk9sd0Mtb1FIWnZDSlY2aVlSbVlsd2E5VkdkOE16MGRzT19xWTNWbGRyMHZfQXVIbDNNV2JiY0dXVnJBMF92c3BkbVZUQnNWNHZOLVVZX1TSAXBBVV95cUxOMGVGRm0xUDlEUGJGekx6ZUJuamhEMXFmRWJPbHdDLW9RSFp2Q0pWNmlZUm1ZbHdhOVZHZDhNejBkc09fcVkzVmxkcjB2X0F1SGwzTVdiYmNHV1ZyQTBfdnNwZG1WVEJzVjR2Ti1VWV9U?oc=5,글로벌경제신문,COLLECTION_FILTER,,,collection_relevance:collection_relevance:private_kakaotalk_or_entertainment_noise,,,,,,,,,,,,,
카카오,"(단독)경찰, '카카오페이 개인정보 유출' 수사 석달째 '제자리'",https://news.google.com/rss/articles/CBMiYEFVX3lxTE5qaGNsRS1qT1BXaUNvTXdLV01oVFFxaFVXRHNEYlFjeEhHdjYwUTZLTGEtSzdjamlHZDFoSElzejJ4ZkhYaHpVUzc4OE9UQmpkVk80d244RmI0MHlMc084MQ?oc=5,뉴스토마토,2026-06-12,"""알리페이에 고객정보 넘겨""…法, 카카오페이 과징금 60억 적법 판결",https://news.nate.com/view/20260611n29164,v40_same_official_enforcement_base:platform_enforcement:kakao:privacy_data_violation:litigation->general,,platform_enforcement:kakao:privacy_data_violation,0.98,,,,,,,,,,
카카오,카톡 대화방이 곧 AI 플랫폼..카카오 '챗GPT 챗봇' 출시,https://news.google.com/rss/articles/CBMiZEFVX3lxTFBpZzdoMVpfWk9HVzUtUWhVR01GdmJ2SnZEeXNobEtCM2c1OXJoWnVYWlBvV25OSzd5X3ZEQ2EwZ1VjdXljUjhjR091LUNySXFtdDk2QlpXWXUzN3piQlBCcWF6cTY?oc=5,포쓰저널,COLLECTION_FILTER,,,collection_relevance:collection_relevance:private_kakaotalk_or_entertainment_noise,,,,,,,,,,,,,
카카오,"카카오프렌즈, 후렌즈문방구 서울 성수동 팝업",https://news.google.com/rss/articles/CBMicEFVX3lxTE9EMmRUVUZkOVdvZ01IX1lnMUtqblgxNTl5Vm92M1pUYVVOUmRielFVaVRIdmRQbi1RM1lJdWVPTHUtUk5fc3hadmpWTHBnVDhyRUlHYkhXcmo1WElfcTBBQUNvM1M2X0ZvOERDcmU4d1A?oc=5,코리아리포트,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,카카오·올원뱅크로 국립공원 예약한다,https://news.google.com/rss/articles/CBMibkFVX3lxTE9sd200b0kyWUZWN3dLZDU0T2tUXzNWNVEzQ2tnb2FkT2h3dWlhUnFrc0hmaVNEV0szVUgtTWpGbmtLYUh6RU5OSFExRTZUYU1ON2NDVk91eWw5Q3lHQ3FkRG9tbXFES1ZNM1gwRkln?oc=5,더리포트,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"카카오, 카톡 채팅방서 '챗GPT' 바로 호출 기능 업데이트",https://news.google.com/rss/articles/CBMiakFVX3lxTFAxd2d1ZzEybTNfbTZKWnQtZDBuaU5sM3MxU1lObmIzVWJsME5WTnI0M1F2NDc5TzFvVEs0cVJoblFJTmtHbmFqNVFGRUhLc1JISmxNOUFCMVRXYnM3TzJvaGl4Mzd1eVF1bEE?oc=5,AI타임스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오, 카톡 예약·카카오맵에 국립공원 시설예약 서비스 신설",https://news.google.com/rss/articles/CBMibEFVX3lxTE5NVTNQdzJSOFJrVmppSXhvRTBhclFDTkFVaTVqdkJxbFV4TlVGaGZsdTE2clNlMzg0OFBLWUdJdVRWMFNTWUtHbFRvWUduTUVKT1h2QTVXS29Hb1RaQTdlaDcyc3dNU3hNZ2xGbQ?oc=5,중소기업신문,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
