검색어,후보제목,후보링크,후보언론사,매칭과거일자,매칭과거제목,매칭과거링크,중복판정이유,공유주체,공유사건태그,종합점수,제목점수,토큰점수,본문점수
카카오,"[테크스냅] 토스, '휴면예금 되찾기' 서비스 출시",https://news.google.com/rss/articles/CBMiYEFVX3lxTE9VT0lFbmRvb1pLWU42Y2ZkUlQ0d0VjZG1aVFdqbm4zZlF3NThFZFFJeWpCaTZJVEFKYldCcVBRUnFUQTFDOWI2SGVaa0lndUlqT3ZjVkVGalhpbnNSYnRSZ9IBYEFVX3lxTE9VT0lFbmRvb1pLWU42Y2ZkUlQ0d0VjZG1aVFdqbm4zZlF3NThFZFFJeWpCaTZJVEFKYldCcVBRUnFUQTFDOWI2SGVaa0lndUlqT3ZjVkVGalhpbnNSYnRSZw?oc=5,연합뉴스,COLLECTION_FILTER,,,collection_relevance:collection_relevance:self_entity_absent_from_title_and_front_summary,,,,,,
카카오,"카카오페이, 세계 환경의 날 맞아 사용자와 함께 제주 곶자왈 공유화 기금 1천만원 전달",https://news.google.com/rss/articles/CBMicEFVX3lxTE9OeVNMMUFzMHdJcUpxdUQ2X2xvMTd6SXhhQVdHeXA0Rm9nbWJyWF9TSG5KcF93WU1lTTZ2TjVYejE3VlBEcnl3SzlWQy05N1hCc2xQWEMzQkFMZEZhWDlwTGcxSGtrclI3elBYYlNVMUs?oc=5,코리아리포트,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,
카카오,"카카오, 초중고생 공략…서울 성수에 후렌즈문방구 차려",https://news.google.com/rss/articles/CBMicEFVX3lxTE5BQXQwYVhjeHBFNFQwRGNmTElUNG5nOUtrcXNxdFoyUWZqR1FSQUM2VlE1Q295eE9CUGhDSTkzekhmUU9KWk9YMGNwc2tiYjFWcThMQ2tZNFFJTGhVaG4xQ3oybElWcnE4Wi1ZVmNlWnY?oc=5,코리아리포트,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,
카카오,5억 완판·밤샘 오픈런 신화…'괴담출근' 웹툰 오늘 밤 베일 벗는다 - 머니투데이,https://news.google.com/rss/articles/CBMibEFVX3lxTFBWT2l3TGh1TFE1Nkx6UHF6M1BmMnRrTi1OU01IQTRGaHZFV2RGRGxidVNBTW5VYk1JcDVIcjZGZHZCd0JMXzh0ZEdRRV9NamVOa2lQeFBvUHR6dnVEWDNmZFhJZmlfd1I2N2NsctIBbEFVX3lxTFBWT2l3TGh1TFE1Nkx6UHF6M1BmMnRrTi1OU01IQTRGaHZFV2RGRGxidVNBTW5VYk1JcDVIcjZGZHZCd0JMXzh0ZEdRRV9NamVOa2lQeFBvUHR6dnVEWDNmZFhJZmlfd1I2N2Nscg?oc=5,머니투데이,COLLECTION_FILTER,,,collection_relevance:collection_relevance:self_entity_absent_from_title_and_front_summary,,,,,,
카카오,"챗GPT, 카톡방 안으로 쏙…카카오 ""기능 준비 중”",https://news.google.com/rss/articles/CBMiT0FVX3lxTFBvbDBTZTQ2M0tLenZrWGFCWjhyeVNkaGpSMzJPYkh3TVlPMUNsRDNmUmNWenh4Q3FwU1FGM2FiQjBqM0hmUGdWRXYwa2dBVkE?oc=5,v.daum.net,COLLECTION_FILTER,,,collection_relevance:collection_relevance:private_kakaotalk_or_entertainment_noise,,,,,,
카카오,"세계 환경의 날 맞은 토종 플랫폼, 이용자와 함께하는 환경 보호 캠페인 '앞장'",https://news.google.com/rss/articles/CBMiZkFVX3lxTE9JTnVDN2hFT29aLS1WcWpKbElNMkV0enA1b09CSUxfZE0zX2d2Mm5aSWoxeGhWQUZiaEZIc0FXNzdmZEVtMUd4TW5SZy0tbkRsSThKdERKM3lvOWFuN202OS1kN0o2Zw?oc=5,테크M,COLLECTION_FILTER,,,collection_relevance:collection_relevance:self_entity_absent_from_title_and_front_summary,,,,,,
카카오,"카카오게임즈, 이사진 전면 개편…라인야후 '새판짜기' 본격화",https://news.google.com/rss/articles/CBMiT0FVX3lxTE1Xbk5pbEZCaXBMQVlBVnFpemFRUWVlOUxZNE5oTy16cXpPN1NTU3cyTjJpQy10YnE1a3lzMjFpMldsc2FtSndJNFUxeWhaaUE?oc=5,딜사이트,COLLECTION_FILTER,,,collection_relevance:photo_or_caption_title,,,,,,
카카오,"주인 바뀌는 카카오게임즈, 라인게임즈 출신 사내이사 영입",https://news.google.com/rss/articles/CBMiRkFVX3lxTE5EUzEwMGpBWUMydzlaSWVMMVBEdHJxOEtJTHhYdnl3aXZ1TWduamZiOUxQLTUwb1lFVzVfQWNLU3NPaTgtMHc?oc=5,v.daum.net,CURRENT_COLLECTION,canonical_seen,,same_canonical_title_same_press,,,,,,
카카오,"폐현수막을 재난대응 모래주머니로…카카오, 친환경 캠페인",https://news.google.com/rss/articles/CBMiYEFVX3lxTE14MUtncVRvNFNIcEFoS2NoUFRuckM2am9kbzd3WnpaQnhFRVBlRFFiaDZtUUJqUlFnenBTRVJzZEt3LVFHWXN3TTEyZ045ZUFwcy1DdnRsRE1aTU9kbDRhNdIBYEFVX3lxTE14MUtncVRvNFNIcEFoS2NoUFRuckM2am9kbzd3WnpaQnhFRVBlRFFiaDZtUUJqUlFnenBTRVJzZEt3LVFHWXN3TTEyZ045ZUFwcy1DdnRsRE1aTU9kbDRhNQ?oc=5,연합뉴스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"카카오, 세계 환경의 날 맞아 같이가치 친환경 캠페인 등 다양한 활동 전개",https://news.google.com/rss/articles/CBMiVkFVX3lxTFBidXQ4SEdSTDBwN1A2b00xaVhGWnVZdWVSUEpNbjNGNGVSXzk4WW53UndRUXhwaHlYR2daRWE5UENhVC14aGE3TVM1Mmt2aFVHZm5FOURn?oc=5,kakaocorp.com,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"선거 끝, 현수막 재활용 시작... 카카오 친환경 캠페인",https://news.google.com/rss/articles/CBMiZkFVX3lxTE1lLVJ3Y0RaZXhfajM0MlFrekl6SVEwbFBKYnZCc3JKVEtrdmhxTTh1d2tRMXJJekpGSWttWGpvVzVLckMtZmpKdDJKN0ZjUGNRU3NqVG9YRzdlT0s1SVktNTdBS1N0Zw?oc=5,디일렉,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
카카오,"카카오페이, 세계 환경의 날에 제주 곶자왈 보전 기금 1000만원 전달 By Economic Review",https://news.google.com/rss/articles/CBMiakFVX3lxTFBkb2JrVlFUQ0laZkM1M3VoZmVpdDlrVk55Rl9kdTdfQl9yNkVhdDNaU3o0ZUgyM2JQY3gwT2FjMXl6VzNWRWs1MTNybTFPelpwWmpQZGpOV0FOelRMbkdYenVQY3FpVk1ERVE?oc=5,Investing.com 한국어,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,
