id,원카테고리,JSON카테고리,검색어,기사제목,기사제목_정규화,언론사,정규언론사,게시일,본문요약,링크,수집채널,랭킹점수,중요도점수,사건태그,사건단계,주요주체,랭킹감점사유,정책규제의무,강제검토,강제검토사유,자사홍보성,이슈패밀리,코드힌트,랭킹원점수,편집신호,스토리버킷,전역사건키,전역사건기본키,Gemini카테고리,Gemini내부카테고리,Gemini이슈패밀리,Gemini이슈그룹,Gemini관련성,Gemini중요도,Gemini대외협력중요도,Gemini관련도,GeminiPR성,Gemini제외,Gemini판단사유,Gemini라벨소스,Gemini자사티어,Gemini정부티어,Gemini경쟁사티어,Gemini경쟁사범위,Gemini정책영향경로,Gemini경쟁시사점,Gemini중복그룹,Gemini이슈유형
15,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,"카카오 파업 D-2 '카톡 먹통' 될라…과기정통부, 긴급 점검 회의 - 머니투데이",카카오 파업 d 2 카톡 먹통 될라 과기정통부 긴급 점검 회의,머니투데이,머니투데이,"Mon, 08 Jun 2026 05:30:00 GMT","카카오 파업 D-2 '카톡 먹통' 될라…과기정통부, 긴급 점검 회의 - 머니투데이 머니투데이",https://news.google.com/rss/articles/CBMibEFVX3lxTE04X0ttVGNPWDA1ZzB2T2xGaFc0bmxEbmw4QmxpUTQ0enVQcnViZUFZVFNhMXZydzd4WkxJRWc1V0E5aUFDX0VRRmxIYWpIaWVnNkgzY3psS1JjRXQzNS1BSWJUSFp0UVk0SjM3MdIBbEFVX3lxTE04X0ttVGNPWDA1ZzB2T2xGaFc0bmxEbmw4QmxpUTQ0enVQcnViZUFZVFNhMXZydzd4WkxJRWc1V0E5aUFDX0VRRmxIYWpIaWVnNkgzY3psS1JjRXQzNS1BSWJUSFp0UVk0SjM3MQ?oc=5,google_rss_카카오 when:1d,104.0,130.0,"labor_dispute,labor_negotiation,privacy_security_reliability",labor_general,"과기정통부,카카오,카카오서비스,카카오톡",,,Y,must_review:self_strict:labor_strike:labor_negotiation+privacy_security_reliability,,,direct_self_risk,104.0,"labor_negotiation,privacy_security_reliability",self:labor_strike,global_incident:privacy_security:kakao:kakao:service_outage:general,global_incident:privacy_security:kakao:kakao,자사_및_계열사_이슈,SELF_DIRECT_RISK,노조 파업,카카오 노조 임단협/파업 및 내부 갈등,카카오 노조의 부분 파업 예고로 카카오 서비스 중단 가능성에 대한 정부의 긴급 점검 회의가 진행됨.,1,1,1,,,"카카오 노조 파업이 임박했으며, 이에 대한 정부(과기정통부)의 긴급 점검 회의가 진행되는 등 직접적인 리스크 요인으로 판단됨.",gemini,DIRECT_RISK,,,other,,,카카오 노조 임단협/파업 및 내부 갈등,노조 파업
164,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,카카오 파업 예고에 정부 촉각…비상대응체계 점검,카카오 파업 예고에 정부 촉각 비상대응체계 점검,연합뉴스,연합뉴스,"Mon, 08 Jun 2026 05:30:01 GMT",카카오 파업 예고에 정부 촉각…비상대응체계 점검 연합뉴스,https://news.google.com/rss/articles/CBMiYEFVX3lxTE5hRm9NQlhETW85RUFka1I0aVU1WmRITVB1Sjl2TWREdWwtTlVDUkNUQVUtUlBPRjZiTlFOaHJSazBHTThvN3Buamhldjk5cGw5ZG1lbEhUbGNncnZ1S0N6b9IBYEFVX3lxTE5hRm9NQlhETW85RUFka1I0aVU1WmRITVB1Sjl2TWREdWwtTlVDUkNUQVUtUlBPRjZiTlFOaHJSazBHTThvN3Buamhldjk5cGw5ZG1lbEhUbGNncnZ1S0N6bw?oc=5,google_rss_카카오 장애 when:1d,104.0,86.5,"labor_dispute,labor_negotiation",labor_strike_action,카카오,,,Y,must_review:self_strict:labor_strike:labor_negotiation,,,direct_self_risk,104.0,labor_negotiation,self:labor_strike,global_incident:labor_ir:kakao:strike_negotiation:conflict_escalation,global_incident:labor_ir:kakao:strike_negotiation,자사_및_계열사_이슈,GOV_PLATFORM_REGULATION,노조 파업,카카오 노조 임단협/파업 및 내부 갈등,카카오 노조의 파업 예고에 따라 정부가 비상대응체계를 점검하며 카카오 서비스 안정성 확보에 촉각을 세우고 있음.,1,1,1,,,"카카오 노조 파업과 관련된 정부의 대응 현황을 보여주는 기사로, 직접적인 리스크 및 정부와의 커뮤니케이션 필요성을 내포하고 있음.",gemini,DIRECT_RISK,GOV_DIRECT_PLATFORM_OBLIGATION,,other,정부가 서비스 안정성 확보를 위한 비상 대응 체계를 점검하며 카카오에 대한 관리 감독 강화 움직임을 보이고 있음.,,카카오 노조 임단협/파업 및 내부 갈등,노조 파업
11,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,"과기정통부-카카오, 노조 파업 대비 서비스 점검 논의",과기정통부 카카오 노조 파업 대비 서비스 점검 논의,전자신문,전자신문,"Mon, 08 Jun 2026 06:16:51 GMT","과기정통부-카카오, 노조 파업 대비 서비스 점검 논의 전자신문",https://news.google.com/rss/articles/CBMiTEFVX3lxTE9nZ19XOVNkaUIyblJiMkJkX2VEX0RfNlM5ODBkTzFIeXp0YW5taHlhdXlFbjJZZk51d0hyWFRjN3lWMFBqNEhMNjlpSTQ?oc=5,google_rss_카카오 when:1d,103.0,95.0,"labor_dispute,labor_negotiation",labor_general,"과기정통부,카카오",,,Y,must_review:self_strict:labor_strike:labor_negotiation,,,direct_self_risk,103.0,labor_negotiation,self:labor_strike,global_incident:labor_ir:kakao:strike_negotiation:conflict_escalation,global_incident:labor_ir:kakao:strike_negotiation,자사_및_계열사_이슈,SELF_DIRECT_RISK,노조 파업,카카오 노조 임단협/파업 및 내부 갈등,"카카오 노조의 파업을 앞두고 과기정통부와 카카오가 서비스 점검 논의를 진행하며, 서비스 중단 사태를 방지하기 위한 협력 방안을 모색하고 있음.",1,1,1,,,"카카오 노조 파업과 정부(과기정통부)의 직접적인 논의 및 점검 내용을 다루고 있어, 직접적인 리스크 및 대외협력 관점에서 중요함.",gemini,DIRECT_RISK,GOV_DIRECT_PLATFORM_OBLIGATION,,other,"정부가 카카오의 파업 관련 서비스 점검에 직접적으로 관여하며, 서비스 안정성 확보를 위한 협력 논의를 진행하고 있음.",,카카오 노조 임단협/파업 및 내부 갈등,노조 파업
109,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,"과기부, 카카오 파업 예고에 긴급 점검…“서비스 안정성 확보 당부”",과기부 카카오 파업 예고에 긴급 점검 서비스 안정성 확보 당부,이데일리,이데일리,"Mon, 08 Jun 2026 05:30:03 GMT","과기부, 카카오 파업 예고에 긴급 점검…“서비스 안정성 확보 당부” 이데일리",https://news.google.com/rss/articles/CBMigAFBVV95cUxOQ1RMMmRYQ1JHdzU2R3d5cWdkbUZsNFN3RkZkaENBRXQ1Mm9yNzB6LVhFQW95dVNYUzJMeHlyR19YQjJ0RnVieVRxZVFSYUQ0LXdGa2FVVzZQaFgyNjNxNUdmVlZfckZiMi1JbnplamNlRWxZWFlrNjZYWVdqQjVMaw?oc=5,google_rss_카카오 성과급 when:1d,102.0,89.0,"labor_dispute,labor_negotiation",labor_strike_action,"과기정통부,카카오",,,Y,must_review:self_strict:labor_strike:labor_negotiation,,,direct_self_risk,102.0,labor_negotiation,self:labor_strike,global_incident:labor_ir:kakao:strike_negotiation:conflict_escalation,global_incident:labor_ir:kakao:strike_negotiation,자사_및_계열사_이슈,SELF_DIRECT_RISK,노조 파업,카카오 노조 임단협/파업 및 내부 갈등,"과기정통부가 카카오 노조 파업 예고에 따라 긴급 점검을 실시하며, 서비스 안정성 확보를 카카오 측에 당부함.",1,1,1,,,"카카오 노조 파업에 대한 정부(과기정통부)의 긴급 점검 및 서비스 안정성 확보 당부 내용을 담고 있어, 직접적인 리스크 및 대외협력 측면에서 중요함.",gemini,DIRECT_RISK,GOV_DIRECT_PLATFORM_OBLIGATION,,other,"정부가 카카오의 서비스 안정성 확보를 위한 조치를 요구하며, 규제 및 관리 감독 차원의 움직임을 보이고 있음.",,카카오 노조 임단협/파업 및 내부 갈등,노조 파업
31,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,"""카톡·카맵 문제 안 멈추게""…과기정통부, 카카오 노조 파업 대비 점검회의",카톡 카맵 문제 안 멈추게 과기정통부 카카오 노조 파업 대비 점검회의,뉴시스,뉴시스,"Mon, 08 Jun 2026 05:30:00 GMT","""카톡·카맵 문제 안 멈추게""…과기정통부, 카카오 노조 파업 대비 점검회의 뉴시스",https://news.google.com/rss/articles/CBMiYEFVX3lxTE9LUWNYSUJkX2twckFxN2xHR1JlanZvOVJYbzFEOHlYcWVINElreDFHZUpIRkFteFN2ZkxGUU1GRmFrU0VEUEJycF9Ea0F2RFluV1VyQnRXVFVtbHREbG56NNIBeEFVX3lxTE1GWEt2RVFJX0t4SUpWX0hscGh2SU1zTi1pNjQ1U0dGdzBBX2ZMV3dDLVN2czdjN0dKeTBYX0ZiZW1kRWhMRjNXalRtZEhxQm8wdFRSQXFTYUhUOGF0WWJTRC1BMFBzMFphZWNSSDhfbWxDMG9FM3BCYg?oc=5,google_rss_카카오 when:1d,101.0,95.0,"labor_dispute,labor_negotiation",labor_general,"과기정통부,카카오,카카오서비스,카카오톡",,,Y,must_review:self_strict:labor_strike:labor_negotiation,,,direct_self_risk,101.0,labor_negotiation,self:labor_strike,global_incident:labor_ir:kakao:strike_negotiation:conflict_escalation,global_incident:labor_ir:kakao:strike_negotiation,자사_및_계열사_이슈,SELF_DIRECT_RISK,노조 파업,카카오 노조 임단협/파업 및 내부 갈등,과기정통부가 카카오 노조의 파업에 대비하여 카카오톡 및 카카오맵 등 주요 서비스의 중단을 막기 위한 점검 회의를 진행함.,1,1,1,,,"카카오 노조 파업으로 인한 카카오톡, 카카오맵 서비스 중단 가능성과 정부(과기정통부)의 점검 회의를 다루고 있어, 직접적인 리스크 및 대외협력 관점에서 중요함.",gemini,DIRECT_RISK,GOV_DIRECT_PLATFORM_OBLIGATION,,other,정부가 카카오의 주요 서비스의 안정적 운영을 위해 파업 상황에 대한 점검 및 대응을 강화하고 있음.,,카카오 노조 임단협/파업 및 내부 갈등,노조 파업
30,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,"노조 파업에 카톡 멈출까...정부, 서비스 안정성 점검",노조 파업에 카톡 멈출까 정부 서비스 안정성 점검,지디넷코리아,지디넷코리아,"Mon, 08 Jun 2026 05:31:52 GMT","노조 파업에 카톡 멈출까...정부, 서비스 안정성 점검 지디넷코리아",https://news.google.com/rss/articles/CBMiVkFVX3lxTE5jV3hwV29RWFFDTEdxUFBmLVJ5enNCNlpMTlFYZnB5ZHFlWldyekdfOWtOelF4YmtNVWRuVWlOYkZSQXlOR2lIZG1HRVNEXzZuMjRibi1n?oc=5,google_rss_카카오 when:1d,101.0,89.5,"labor_dispute,labor_negotiation",labor_general,"카카오,카카오서비스,카카오톡",,,Y,must_review:self_strict:labor_strike:labor_negotiation,,,direct_self_risk,101.0,labor_negotiation,self:labor_strike,,,자사_및_계열사_이슈,SELF_DIRECT_RISK,노조 파업,카카오 노조 임단협/파업 및 내부 갈등,카카오 노조의 파업으로 카카오톡 서비스가 중단될 가능성에 대해 정부가 서비스 안정성을 점검하고 있음.,1,1,1,,,"카카오 노조 파업으로 인한 카카오톡 서비스 중단 우려와 정부의 점검 내용을 다루고 있어, 직접적인 리스크 및 대외협력 측면에서 중요함.",gemini,DIRECT_RISK,GOV_DIRECT_PLATFORM_OBLIGATION,,other,정부가 카카오톡 등 핵심 서비스의 안정적 운영을 위해 파업 상황에 대한 점검 및 관리 감독을 진행함.,,카카오 노조 임단협/파업 및 내부 갈등,노조 파업
10,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,"국민 메신저 '카톡' 멈추나…과기부, 카카오 파업 앞두고 긴급 점검회의",국민 메신저 카톡 멈추나 과기부 카카오 파업 앞두고 긴급 점검회의,MTN 머니투데이방송,MTN 머니투데이방송,"Mon, 08 Jun 2026 05:30:01 GMT","국민 메신저 '카톡' 멈추나…과기부, 카카오 파업 앞두고 긴급 점검회의 MTN 머니투데이방송",https://news.google.com/rss/articles/CBMiZEFVX3lxTFBibEl0eWd1Yjk0ZW5kYjI2dWJfRl9Cc3pId2ZRYS0xLUFTR0hkcEpKenp3TVJfQ3U0X2RDNk9heWxjeFcyMmtIc0lVTU1WZnpDZjBPajY4UE5IRFR4NXViMXdsR1E?oc=5,google_rss_카카오 when:1d,101.0,89.0,"labor_dispute,labor_negotiation",labor_general,"과기정통부,카카오,카카오서비스,카카오톡",,,Y,must_review:self_strict:labor_strike:labor_negotiation,,,direct_self_risk,101.0,labor_negotiation,self:labor_strike,global_incident:labor_ir:kakao:strike_negotiation:general,global_incident:labor_ir:kakao:strike_negotiation,자사_및_계열사_이슈,SELF_DIRECT_RISK,노조 파업,카카오 노조 임단협/파업 및 내부 갈등,"카카오 노조의 파업으로 인해 국민 메신저인 카카오톡 서비스가 중단될 가능성이 제기되며, 이에 과기정통부가 긴급 점검 회의를 개최함.",1,1,1,,,"카카오 노조 파업으로 인한 카카오톡 서비스 중단 우려와 정부(과기정통부)의 긴급 점검 회의를 다루고 있어, 직접적인 리스크 및 대외협력 관점에서 중요함.",gemini,DIRECT_RISK,GOV_DIRECT_PLATFORM_OBLIGATION,,other,"정부가 카카오톡 서비스의 안정적인 운영을 위해 파업 상황에 대한 점검을 강화하고, 잠재적 위기 관리에 집중하고 있음.",,카카오 노조 임단협/파업 및 내부 갈등,노조 파업
7,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,카카오 파업 예고에 정부도 대응 나서…카톡·카카오맵 안정 운영 점검,카카오 파업 예고에 정부도 대응 나서 카톡 카카오맵 안정 운영 점검,디지털데일리,디지털데일리,"Mon, 08 Jun 2026 05:56:05 GMT",카카오 파업 예고에 정부도 대응 나서…카톡·카카오맵 안정 운영 점검 디지털데일리,https://news.google.com/rss/articles/CBMiZEFVX3lxTE04RllfNFNMWUtpZUppWXpjS1c5M2J3ZFVKVzFqaUxkMUZYc05oZWd6a3VsdWhjWVRod0Z4M01IaHJyVmRkVHd3UTFhQmtTQ016YkFhTGxZYXZFZ21ITVBYQ2c0UHk?oc=5,google_rss_카카오 when:1d,101.0,86.5,"labor_dispute,labor_negotiation",labor_strike_action,"카카오,카카오서비스,카카오톡",,,Y,must_review:self_strict:labor_strike:labor_negotiation,,,direct_self_risk,101.0,labor_negotiation,self:labor_strike,global_incident:labor_ir:kakao:strike_negotiation:conflict_escalation,global_incident:labor_ir:kakao:strike_negotiation,자사_및_계열사_이슈,SELF_DIRECT_RISK,노조 파업,카카오 노조 임단협/파업 및 내부 갈등,"카카오 노조의 파업 예고에 정부가 대응에 나서, 카카오톡과 카카오맵 등 주요 서비스의 안정적인 운영을 점검하고 있음.",1,1,1,,,"카카오 노조 파업에 대한 정부(과기정통부)의 대응 및 서비스 안정성 점검 내용을 다루고 있어, 직접적인 리스크 및 대외협력 관점에서 중요함.",gemini,DIRECT_RISK,GOV_DIRECT_PLATFORM_OBLIGATION,,other,"정부가 카카오의 주요 서비스 안정성을 점검하며, 공공재 성격의 서비스에 대한 관리 감독을 강화하고 있음.",,카카오 노조 임단협/파업 및 내부 갈등,노조 파업
23,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,"카톡 멈춤 없게…정부, 카카오 파업 대비 점검",카톡 멈춤 없게 정부 카카오 파업 대비 점검,뉴스1,뉴스1,"Mon, 08 Jun 2026 05:30:00 GMT","카톡 멈춤 없게…정부, 카카오 파업 대비 점검 뉴스1",https://news.google.com/rss/articles/CBMiZkFVX3lxTE5Cd0R1Q21PRlFJVmdIS2hYa0dhdjlZbEpfdnFYT04tQ3ZDNW9TWGdnMXRSVnJvWTJfNHM2MV9jRHBGeHBDNWlGOHZUdGpEV1FETVNqQUdaNU54MWl1cnhPTHNSeGtHZw?oc=5,google_rss_카카오 when:1d,101.0,86.5,"labor_dispute,labor_negotiation",labor_general,"카카오,카카오서비스,카카오톡",,,Y,must_review:self_strict:labor_strike:labor_negotiation,,,direct_self_risk,101.0,labor_negotiation,self:labor_strike,global_incident:labor_ir:kakao:strike_negotiation:general,global_incident:labor_ir:kakao:strike_negotiation,자사_및_계열사_이슈,SELF_DIRECT_RISK,노조 파업,카카오 노조 임단협/파업 및 내부 갈등,과기정통부가 카카오 파업으로 인한 카카오톡 서비스 중단을 막기 위해 사전 점검에 나섬.,1,1,1,,,"카카오 노조 파업과 카카오톡 서비스 중단 가능성에 대한 정부(과기정통부)의 사전 점검을 다루고 있어, 직접적인 리스크 및 대외협력 관점에서 중요함.",gemini,DIRECT_RISK,GOV_DIRECT_PLATFORM_OBLIGATION,,other,정부가 카카오톡 서비스의 연속성 및 안정성 확보를 위해 파업 상황에 대한 정부 차원의 점검을 진행함.,,카카오 노조 임단협/파업 및 내부 갈등,노조 파업
87,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,"카카오 파업 D-2 '카톡 먹통' 될라…과기정통부, 긴급 점검 회의",카카오 파업 d 2 카톡 먹통 될라 과기정통부 긴급 점검 회의,네이트,네이트,"Mon, 08 Jun 2026 05:30:00 GMT","카카오 파업 D-2 '카톡 먹통' 될라…과기정통부, 긴급 점검 회의 네이트",https://news.google.com/rss/articles/CBMiU0FVX3lxTFA5Wkh3dGpsOGZ1dWpnbVZJY1U5aTZRYlM0dWlIZVZLc2hWZVd5eWJ4YTlIekpSZFJFXzMyUGdDazgzR1Y1Tng1SzAtQ2dKcXpaN05j?oc=5,google_rss_카카오 when:1d,100.0,130.0,"labor_dispute,labor_negotiation,privacy_security_reliability",labor_general,"과기정통부,카카오,카카오서비스,카카오톡",,,Y,must_review:self_strict:labor_strike:labor_negotiation+privacy_security_reliability,,,direct_self_risk,100.0,"labor_negotiation,privacy_security_reliability",self:labor_strike,global_incident:privacy_security:kakao:kakao:service_outage:general,global_incident:privacy_security:kakao:kakao,자사_및_계열사_이슈,SELF_DIRECT_RISK,노조 파업,카카오 노조 임단협/파업 및 내부 갈등,"카카오 노조의 부분 파업을 앞두고, 과기정통부가 카카오 서비스 중단 가능성에 대비해 긴급 점검 회의를 진행함.",1,1,1,,,"카카오 노조 파업과 관련하여 정부(과기정통부)가 긴급 점검 회의를 진행한다는 내용을 담고 있어, 직접적인 리스크 및 대외협력 관점에서 중요함.",gemini,DIRECT_RISK,GOV_DIRECT_PLATFORM_OBLIGATION,,other,"정부가 카카오 서비스의 안정적인 운영을 위해 파업 관련 긴급 점검을 실시하며, 서비스 연속성 확보를 독려함.",,카카오 노조 임단협/파업 및 내부 갈등,노조 파업
