id,원카테고리,JSON카테고리,검색어,기사제목,기사제목_정규화,언론사,정규언론사,게시일,본문요약,링크,수집채널,랭킹점수,중요도점수,사건태그,사건단계,주요주체,랭킹감점사유,랭킹원점수,편집신호,스토리버킷,강제검토,강제검토사유
23,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,논란의 '카톡 개편' 주도했던 임원 퇴사에…날 세운 카카오 노조,논란의 카톡 개편 주도했던 임원 퇴사에 날 세운 카카오 노조,한국경제,한국경제,"Tue, 02 Jun 2026 12:00:03 GMT",논란의 '카톡 개편' 주도했던 임원 퇴사에…날 세운 카카오 노조 한국경제,https://news.google.com/rss/articles/CBMiVEFVX3lxTE9nVjdTZkhXV1lFY1hUMXZ4dnhwZ1B1Y3Nmd1pOd28xdHJ6MnhuaDJFQXE2OUdoSy1EcmwzTGU0STlpUVp2ZFVJcDhabWVKdjRjbWRkM9IBVEFVX3lxTE9nVjdTZkhXV1lFY1hUMXZ4dnhwZ1B1Y3Nmd1pOd28xdHJ6MnhuaDJFQXE2OUdoSy1EcmwzTGU0STlpUVp2ZFVJcDhabWVKdjRjbWRkMw?oc=5,google_rss_카카오 when:1d,99.0,143.5,"labor_dispute,labor_negotiation,leadership_change,service_reform_backlash",labor_general,"카카오,카카오서비스,카카오톡",below_absolute_quality_floor,36.0,"leadership_change,service_reform_backlash,labor_negotiation",self:labor_strike,Y,must_review:self_strict:labor_strike:labor_negotiation+leadership_change+service_reform_backlash
38,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,논란의 '카톡 개편' 주도했던 임원 퇴사에…날 세운 카카오 노조,논란의 카톡 개편 주도했던 임원 퇴사에 날 세운 카카오 노조,네이트,네이트,"Tue, 02 Jun 2026 12:01:00 GMT",논란의 '카톡 개편' 주도했던 임원 퇴사에…날 세운 카카오 노조 네이트,https://news.google.com/rss/articles/CBMiYEFVX3lxTFBEUkxfZlo0UFFIVzlWU0s0Y3FMUW9zLTRMT0N4U0RkbENrMk5idEg1c3dJbUdfYUhqTi1teEZKdUNsUEg3SWZ5NHM2UjhJVk44TXFJZ2FLcFRxaklNYWhwMg?oc=5,google_rss_카카오 when:1d,94.0,143.5,"labor_dispute,labor_negotiation,leadership_change,service_reform_backlash",labor_general,"카카오,카카오서비스,카카오톡",below_absolute_quality_floor,31.0,"leadership_change,service_reform_backlash,labor_negotiation",self:labor_strike,Y,must_review:self_strict:labor_strike:labor_negotiation+leadership_change+service_reform_backlash
32,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,논란의 '카톡 개편' 주도했던 임원 퇴사에…날 세운 카카오 노조,논란의 카톡 개편 주도했던 임원 퇴사에 날 세운 카카오 노조,모바일한경,모바일한경,"Tue, 02 Jun 2026 12:00:03 GMT",논란의 '카톡 개편' 주도했던 임원 퇴사에…날 세운 카카오 노조 모바일한경,https://news.google.com/rss/articles/CBMif0FVX3lxTE9xZWpldXJyZ1BOa3lfcC1iWWljdDFOSVcyLVh3b1M4QU5Dd3c3WmdGTTc5Y0hLTGtTWXRMLVlaTWRBZVZKNDduaTY0bzNHcVFxTVp6Y0xOSDZTSjZINmtsQVZWV3J4R0duVGoya25LaURBOFBMcG50S3l4cXZyeU0?oc=5,google_rss_카카오 when:1d,94.0,143.5,"labor_dispute,labor_negotiation,leadership_change,service_reform_backlash",labor_general,"카카오,카카오서비스,카카오톡",below_absolute_quality_floor,31.0,"leadership_change,service_reform_backlash,labor_negotiation",self:labor_strike,Y,must_review:self_strict:labor_strike:labor_negotiation+leadership_change+service_reform_backlash
44,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,"[정정보도] ""'매출 뻥튀기' 혐의 카카오모빌 前 CFO, 과징금·면직권고 소송서 승소"" 관련",정정보도 매출 뻥튀기 혐의 카카오모빌 cfo 과징금 면직권고 소송서 승소 관련,생생비즈플러스,생생비즈플러스,"Tue, 02 Jun 2026 10:26:22 GMT","[정정보도] ""'매출 뻥튀기' 혐의 카카오모빌 前 CFO, 과징금·면직권고 소송서 승소"" 관련 생생비즈플러스",https://news.google.com/rss/articles/CBMibEFVX3lxTE13LWQ3ZzNHZm1rbmVnQU1mb0xSZlZkV3FncnJQWXlaMl8tZE9ZaloydkNpeGZBNUZ0eGpSR1J6VGo5eXFpNlQ2SEJIeWVqZDd6SUZFeWZDbnRFbFdoTUtRTDQ0Z2RDWUg2RV96Ug?oc=5,google_rss_카카오 when:1d,90.16,112.5,"antitrust_platform,earnings,financial_performance,legal_regulatory_enforcement",antitrust_general,카카오,below_absolute_quality_floor,31.0,"legal_regulatory_enforcement,financial_performance",self:legal_regulatory,Y,must_review:self_strict:legal_regulatory:legal_regulatory_enforcement
39,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,"""카톡 무리한 개편 이후 CPO 퇴사는 회피"" 카카오 노조, 'N%룰' 넘어 책임경영 요구",카톡 무리한 개편 이후 cpo 퇴사는 회피 카카오 노조 n 룰 넘어 책임경영 요구,네이트,네이트,"Tue, 02 Jun 2026 19:33:00 GMT","""카톡 무리한 개편 이후 CPO 퇴사는 회피"" 카카오 노조, 'N%룰' 넘어 책임경영 요구 네이트",https://news.google.com/rss/articles/CBMieEFVX3lxTE15Yklqd3FzbFh6MWtqMmZ5ZWp6S19Bc2pJU1loMGpNUWR4OERjNC1pNVFCODFyZzB2c2xEMV9nVXloOHAwRG9ZOHQ0a2RKVXExSHZ1cENzckNLNTNXbmt6SFc0c2FGUE9KM3VGbEQ2bFRmUlZ5NzBHUg?oc=5,google_rss_카카오 when:1d,88.7,108.5,"labor_dispute,labor_negotiation,leadership_change",labor_general,"카카오,카카오서비스,카카오톡",below_absolute_quality_floor,28.0,"leadership_change,labor_negotiation",self:labor_strike,Y,must_review:self_strict:labor_strike:labor_negotiation+leadership_change
10,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,"“카톡 무리한 개편 이후 CPO 퇴사는 회피” 카카오 노조, ‘N%룰’ 넘어 책임경영 요구",카톡 무리한 개편 이후 cpo 퇴사는 회피 카카오 노조 n 룰 넘어 책임경영 요구,동아일보,동아일보,"Tue, 02 Jun 2026 19:30:00 GMT","“카톡 무리한 개편 이후 CPO 퇴사는 회피” 카카오 노조, ‘N%룰’ 넘어 책임경영 요구 동아일보",https://news.google.com/rss/articles/CBMidkFVX3lxTE9aMFd6Z0toal9KbHUwWUdGckVsRXdHXzd6Q3JvOUZzUFVsckl2aGIyV1RsZE14ZjZJY3NCOFBhZjFVZExjM0ZNR1JJUDA2TjJvQ3NmTXBKbjhFbHdIb0JhZEFnQWtCNHkyMmVTb2w3d0lZVE9meEHSAWZBVV95cUxOODQ0eUFkaGNhdEg5OEtfYjZlVDNTZm1EMjQ0dndkN21UR2dLbF9aQTVQUTRMTnE0Zm9yWjJLcms0Wm1jUHZQSl9HVHI4ckJzeC0zcTBoYWF5RGdhNFhJV1RVT3lnaHc?oc=5,google_rss_카카오 when:1d,88.7,108.5,"labor_dispute,labor_negotiation,leadership_change",labor_general,"카카오,카카오서비스,카카오톡",below_absolute_quality_floor,28.0,"leadership_change,labor_negotiation",self:labor_strike,Y,must_review:self_strict:labor_strike:labor_negotiation+leadership_change
1,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,[기자의 눈] 카카오 성과급 갈등이 삼성전자와 다른 점,기자의 눈 카카오 성과급 갈등이 삼성전자와 다른 점,에너지경제신문,에너지경제신문,"Wed, 03 Jun 2026 07:30:00 GMT",[기자의 눈] 카카오 성과급 갈등이 삼성전자와 다른 점 에너지경제신문,https://news.google.com/rss/articles/CBMiY0FVX3lxTE9pTTVtVWNOMG9ralhkTHNaY3c5d3hkRENnN2RnRXdZaHliQmhUNGZYUkU4dUV1WUZldHhqVFBSUVI0T282V3F0MFd2T1BMWjdScFAybXlOWHVKVG9kVmV4czlYOA?oc=5,google_rss_카카오 when:1d,81.78,86.5,"labor_dispute,labor_negotiation",labor_pay_dispute,카카오,below_absolute_quality_floor,29.0,labor_negotiation,self:labor_compensation,Y,must_review:self_strict:labor_compensation:labor_negotiation
16,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,"카카오 노조, 10일 4시간 부분파업…고용안정·보상체계 개선 요구",카카오 노조 10일 4시간 부분파업 고용안정 보상체계 개선 요구,CBC뉴스,CBC뉴스,"Tue, 02 Jun 2026 21:25:01 GMT","카카오 노조, 10일 4시간 부분파업…고용안정·보상체계 개선 요구 CBC뉴스",https://news.google.com/rss/articles/CBMiaEFVX3lxTE9KNVBnWE8wWTh2Y3FHSkN6dW1pM0ttbl9NU3NJNHFtN09CbUJHSlk5aFFibEhFczV0dUNKeGFmWjZnTnNreGg3ZUlVQzlCd2FBQ3Zjc3RnZ2VWSHdwVE1sQm5jSUdrR2ox?oc=5,google_rss_카카오 when:1d,78.05,89.5,"labor_dispute,labor_negotiation",labor_pay_dispute,카카오,below_absolute_quality_floor,25.0,labor_negotiation,self:labor_compensation,Y,must_review:self_strict:labor_compensation:labor_negotiation
52,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,"[이슈] 카카오노조, '엑스엘게임즈' 희망퇴직에 반발하며 파업 예고",이슈 카카오노조 엑스엘게임즈 희망퇴직에 반발하며 파업 예고,인벤,인벤,"Tue, 02 Jun 2026 12:38:04 GMT","[이슈] 카카오노조, '엑스엘게임즈' 희망퇴직에 반발하며 파업 예고 인벤",https://news.google.com/rss/articles/CBMibkFVX3lxTFB1MUhnOVRaQ09sYWgxNUNrbEU2dHoteVd2aW1heURIamJOcUpyajBqNHNFNmVoSWFMVnpDLVAyZXFzQlhSNmtDcksxczc5d3l6cU1fMFRwLVdMQ1BxYlZKNXh3OXhFY3lHZzFCQTJB?oc=5,google_rss_카카오 when:1d,78.05,89.5,"labor_dispute,labor_negotiation",labor_strike_action,카카오,below_absolute_quality_floor,25.0,labor_negotiation,self:labor_strike,Y,must_review:self_strict:labor_strike:labor_negotiation
45,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,[뉴스'함'] '아..삼전 말고 카카오?'... 파업 터졌는데 국민 '싸늘',뉴스 함 아 삼전 말고 카카오 파업 터졌는데 국민 싸늘,MSN,MSN,"Tue, 02 Jun 2026 17:34:10 GMT",[뉴스'함'] '아..삼전 말고 카카오?'... 파업 터졌는데 국민 '싸늘' MSN,https://news.google.com/rss/articles/CBMi9gJBVV95cUxQMjRnNlFwR1NXWlZkS3FMSmxUX0syTVNMMEJ5bHNYem9oX2xWN01CMUJvMXMxUHh3NENuTHpYWDBCdTNRUFpDMXl5aHdrWkZPNm5kckNpTTN2NnFmTC1fcEFXdGw5WFNOdi1hd1BpdlhMWWJFV3JWRVZZaGk0QWRnOTdfQjQ1OFU4LW8yS1ZBVGx5WFlpVXFFNUp5bnNHNXF3bUM2N1lNeHFJRG13R1lkRFJJUnoxc3R0US1oSWtRVjZCM1ZxeC1WbUFQdi02UC1KZ0RPdkNLckxodmJqdGFYR1BwbTFfT25vaXQ0aWxVTTRPM2hINUR2aUJNM0VBMDBZODFPcS01RERhSEVyazFzbXFnVjdZd2xvTHVwN3VWOTN0a3docHJvSFdtQ2dCcGdwX1VsVHBJNHZaMXhVMXRGcjVEYVdUM0RwXzV4YU9BemY3VWg0bnJTcTQ0R0hYZk0yMUxRell4dmtOU3VxcVdMS3RUOThMdw?oc=5,google_rss_카카오 when:1d,77.62,86.5,"labor_dispute,labor_negotiation",labor_general,카카오,below_absolute_quality_floor,25.0,labor_negotiation,self:labor_strike,Y,must_review:self_strict:labor_strike:labor_negotiation
