검색어,기사제목,발행기관,기사 전체 내용,발행일시,링크
카카오,"카카오페이, 신규 가맹점에 결제 수수료 면제 혜택 - 연합뉴스",연합뉴스,"<a href=""https://news.google.com/rss/articles/CBMiYEFVX3lxTFByS3Z3RDNzMFFERGo5MjZZdGYwcGEwa0ZRdzB1NkI5RDRfd2kzdXpVdE9tUkhCWnpZcTZIR3lRSjlObXJPTHNYY0ZWempYUVJRZmpvLVhWUW82aVp0OWtHTtIBYEFVX3lxTFByS3Z3RDNzMFFERGo5MjZZdGYwcGEwa0ZRdzB1NkI5RDRfd2kzdXpVdE9tUkhCWnpZcTZIR3lRSjlObXJPTHNYY0ZWempYUVJRZmpvLVhWUW82aVp0OWtHTg?oc=5"" target=""_blank"">카카오페이, 신규 가맹점에 결제 수수료 면제 혜택</a>&nbsp;&nbsp;<font color=""#6f6f6f"">연합뉴스</font>",2026-05-22 05:12,https://news.google.com/rss/articles/CBMiYEFVX3lxTFByS3Z3RDNzMFFERGo5MjZZdGYwcGEwa0ZRdzB1NkI5RDRfd2kzdXpVdE9tUkhCWnpZcTZIR3lRSjlObXJPTHNYY0ZWempYUVJRZmpvLVhWUW82aVp0OWtHTtIBYEFVX3lxTFByS3Z3RDNzMFFERGo5MjZZdGYwcGEwa0ZRdzB1NkI5RDRfd2kzdXpVdE9tUkhCWnpZcTZIR3lRSjlObXJPTHNYY0ZWempYUVJRZmpvLVhWUW82aVp0OWtHTg?oc=5
카카오,"카카오페이, 오프라인 신규 가맹점에 결제수수료 일부 면제 프로모션 - 디일렉",디일렉,"<a href=""https://news.google.com/rss/articles/CBMiZkFVX3lxTE5TVEVKYlJ6Z1ItYmVEMzRfb1o2cU1BTHV2X2FxaVc2dnNjSzd1M1V2eERrN1hFQkRxOWlRVXFYdHZwaVczTk9vQWdTTGhQeDhMQkxPeVl3RF8yUkw1cnZlbmF3Q1NtUQ?oc=5"" target=""_blank"">카카오페이, 오프라인 신규 가맹점에 결제수수료 일부 면제 프로모션</a>&nbsp;&nbsp;<font color=""#6f6f6f"">디일렉</font>",2026-05-22 05:14,https://news.google.com/rss/articles/CBMiZkFVX3lxTE5TVEVKYlJ6Z1ItYmVEMzRfb1o2cU1BTHV2X2FxaVc2dnNjSzd1M1V2eERrN1hFQkRxOWlRVXFYdHZwaVczTk9vQWdTTGhQeDhMQkxPeVl3RF8yUkw1cnZlbmF3Q1NtUQ?oc=5
카카오,카카오도 ‘성과급 전쟁’… 페이 이어 뱅크도 참전 가능성 - 조선비즈 - Chosunbiz,Chosunbiz,"<a href=""https://news.google.com/rss/articles/CBMigAFBVV95cUxPSjhOc3JYM3FVS081cmEzbmxIT1IzbktTNTZaMlVJdEM0clJMRHh5TVdhQVF6VFlwQXFQeWtGYjdyM19IUlNEOG8zbnZqMDNoRGFoVUQ3NWdoWEwxekdIMmFyV2VYS3JSS3VvUlVqWHhWTWJBUDViY1k4eGQzbGJCQ9IBlAFBVV95cUxNQ0ZDX3huU003em9BOUZqMjdjbWp4Sl9rMjlINm03THI4NnJNTTVFb2oyQ3lxVkNMeXNnYk1aMUpUOFVERVdoS2dscWVMbDJWbzMwa242TG5pdXVxMm14UFN1dUlHLXJOblFRV2xJRmtGN1c1aWdFcXJRdTR1cG0tZUwyLTRJNFFvX2NUS3pORnNRejN2?oc=5"" target=""_blank"">카카오도 ‘성과급 전쟁’… 페이 이어 뱅크도 참전 가능성 - 조선비즈</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Chosunbiz</font>",2026-05-22 04:15,https://news.google.com/rss/articles/CBMigAFBVV95cUxPSjhOc3JYM3FVS081cmEzbmxIT1IzbktTNTZaMlVJdEM0clJMRHh5TVdhQVF6VFlwQXFQeWtGYjdyM19IUlNEOG8zbnZqMDNoRGFoVUQ3NWdoWEwxekdIMmFyV2VYS3JSS3VvUlVqWHhWTWJBUDViY1k4eGQzbGJCQ9IBlAFBVV95cUxNQ0ZDX3huU003em9BOUZqMjdjbWp4Sl9rMjlINm03THI4NnJNTTVFb2oyQ3lxVkNMeXNnYk1aMUpUOFVERVdoS2dscWVMbDJWbzMwa242TG5pdXVxMm14UFN1dUlHLXJOblFRV2xJRmtGN1c1aWdFcXJRdTR1cG0tZUwyLTRJNFFvX2NUS3pORnNRejN2?oc=5
카카오,"카카오엔터, 6월 웹소설 신작 라인업 공개 - 중소기업신문",중소기업신문,"<a href=""https://news.google.com/rss/articles/CBMibkFVX3lxTFA2NjlPLWxTTnhjNUI0NFVRM0VLdEUzanNXdWtWUEJCUUxxTUtNZE5OR3QwRVdiUGtnNGV0VjNNc1JLMEdCUWlIWDhHUXBwMWFYVDR2SU1iRlNPWk1RWjdZVkI4Y0RfVUlvVU5MQk5n?oc=5"" target=""_blank"">카카오엔터, 6월 웹소설 신작 라인업 공개</a>&nbsp;&nbsp;<font color=""#6f6f6f"">중소기업신문</font>",2026-05-22 04:16,https://news.google.com/rss/articles/CBMibkFVX3lxTFA2NjlPLWxTTnhjNUI0NFVRM0VLdEUzanNXdWtWUEJCUUxxTUtNZE5OR3QwRVdiUGtnNGV0VjNNc1JLMEdCUWlIWDhHUXBwMWFYVDR2SU1iRlNPWk1RWjdZVkI4Y0RfVUlvVU5MQk5n?oc=5
카카오,"갈등 골 깊어진 카카오 노사, 사상 첫 파업 돌입 가능성에 '긴장감' - v.daum.net",v.daum.net,"<a href=""https://news.google.com/rss/articles/CBMiT0FVX3lxTE1GTDljWkVXXy1nVHh2UEd2bGx6a0lIbUlpMnl0UnJnYVN5bE5kNlBXLTdYMkxBWWtmclpEX2d6QzhGMWhjYVFWbnZ5S2VVWGM?oc=5"" target=""_blank"">갈등 골 깊어진 카카오 노사, 사상 첫 파업 돌입 가능성에 '긴장감'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">v.daum.net</font>",2026-05-22 04:46,https://news.google.com/rss/articles/CBMiT0FVX3lxTE1GTDljWkVXXy1nVHh2UEd2bGx6a0lIbUlpMnl0UnJnYVN5bE5kNlBXLTdYMkxBWWtmclpEX2d6QzhGMWhjYVFWbnZ5S2VVWGM?oc=5
카카오,"카카오페이, 신규 가맹점에 결제 수수료 전액 면제 - 시사저널",시사저널,"<a href=""https://news.google.com/rss/articles/CBMic0FVX3lxTFBmeUtqaF9NeW9aQ2tBZFI4SnRMZGM1RFhIZ1I4RDZ6aDFxdmhIYl9YdTdzNGpWVmJidHkwZVZRb1QzUGU1WldLb0VCYWYwQ1J5cDNSeVJUejVIbThiQ0xqV01ma2VpSnVZdURISnQ0RDNscmvSAXNBVV95cUxQZnlLamhfTXlvWkNrQWRSOEp0TGRjNURYSGdSOEQ2emgxcXZoSGJfWHU3czRqVlZiYnR5MGVWUW9UM1BlNVpXS29FQmFmMENSeXAzUnlSVHo1SG04YkNMaldNZmtlaUp1WXVESEp0NEQzbHJr?oc=5"" target=""_blank"">카카오페이, 신규 가맹점에 결제 수수료 전액 면제</a>&nbsp;&nbsp;<font color=""#6f6f6f"">시사저널</font>",2026-05-22 06:48,https://news.google.com/rss/articles/CBMic0FVX3lxTFBmeUtqaF9NeW9aQ2tBZFI4SnRMZGM1RFhIZ1I4RDZ6aDFxdmhIYl9YdTdzNGpWVmJidHkwZVZRb1QzUGU1WldLb0VCYWYwQ1J5cDNSeVJUejVIbThiQ0xqV01ma2VpSnVZdURISnQ0RDNscmvSAXNBVV95cUxQZnlLamhfTXlvWkNrQWRSOEp0TGRjNURYSGdSOEQ2emgxcXZoSGJfWHU3czRqVlZiYnR5MGVWUW9UM1BlNVpXS29FQmFmMENSeXAzUnlSVHo1SG04YkNMaldNZmtlaUp1WXVESEp0NEQzbHJr?oc=5
카카오,"HD현대사이트솔루션, 카카오모빌리티와 물류 자동화 시장 공략 - 철강금속신문",철강금속신문,"<a href=""https://news.google.com/rss/articles/CBMiakFVX3lxTE9nVFJPUWJvbVFvMU03RVVaT2JhN3lZclJwbUJiQ0NTMm8tREVFM2VkUlZ3S3lScHFERVFWVXRpcHZXalZiMU8tTlNhVzhSdnFCM1I4UWVmWURWczZPNHBzQ3l0M2ZEVlg3REE?oc=5"" target=""_blank"">HD현대사이트솔루션, 카카오모빌리티와 물류 자동화 시장 공략</a>&nbsp;&nbsp;<font color=""#6f6f6f"">철강금속신문</font>",2026-05-22 06:19,https://news.google.com/rss/articles/CBMiakFVX3lxTE9nVFJPUWJvbVFvMU03RVVaT2JhN3lZclJwbUJiQ0NTMm8tREVFM2VkUlZ3S3lScHFERVFWVXRpcHZXalZiMU8tTlNhVzhSdnFCM1I4UWVmWURWczZPNHBzQ3l0M2ZEVlg3REE?oc=5
카카오,"카카오페이, 소상공인 결제 수수료 면제…마케팅·외국인 결제 지원 확대 - 라이센스뉴스",라이센스뉴스,"<a href=""https://news.google.com/rss/articles/CBMia0FVX3lxTE15VlRIZkJnQ3ZCRGNNamRwal9BWjRIOUhWT0lqNDZGR0hhR3hHQllQUnNPV2pPZnAyR2VyX1FFT05BekdoVnZRS3ZNUXlZeXc1d0FGSFN3M01XWnF4aWRPelhDZ0pnOWNIZ3lJ?oc=5"" target=""_blank"">카카오페이, 소상공인 결제 수수료 면제…마케팅·외국인 결제 지원 확대</a>&nbsp;&nbsp;<font color=""#6f6f6f"">라이센스뉴스</font>",2026-05-22 05:27,https://news.google.com/rss/articles/CBMia0FVX3lxTE15VlRIZkJnQ3ZCRGNNamRwal9BWjRIOUhWT0lqNDZGR0hhR3hHQllQUnNPV2pPZnAyR2VyX1FFT05BekdoVnZRS3ZNUXlZeXc1d0FGSFN3M01XWnF4aWRPelhDZ0pnOWNIZ3lJ?oc=5
카카오,카카오페이지 6월 초신작 공개…정통 무협·로판 인기 작가 복귀 - 뉴스1,뉴스1,"<a href=""https://news.google.com/rss/articles/CBMiX0FVX3lxTFBGQ2hNeWpvY2lpdV9QYVMyb29iQXB1NUM4Z2o4dXpnM05vZWNmSkdYdVVHR0RmbjZwOGxVU0RSSngzNmtxV2d2M1I2MENYbFJud0hlYjdPdVh6NGxTUndF?oc=5"" target=""_blank"">카카오페이지 6월 초신작 공개…정통 무협·로판 인기 작가 복귀</a>&nbsp;&nbsp;<font color=""#6f6f6f"">뉴스1</font>",2026-05-22 04:42,https://news.google.com/rss/articles/CBMiX0FVX3lxTFBGQ2hNeWpvY2lpdV9QYVMyb29iQXB1NUM4Z2o4dXpnM05vZWNmSkdYdVVHR0RmbjZwOGxVU0RSSngzNmtxV2d2M1I2MENYbFJud0hlYjdPdVh6NGxTUndF?oc=5
카카오,"카카오페이, 연매출 5억 이하 신규 가맹점 수수료 면제 - 전자신문",전자신문,"<a href=""https://news.google.com/rss/articles/CBMiTkFVX3lxTE82WUtWTDgtZlZ0cUl3Z3lqMVp6b0VibldZVDB5dGRJajZZZlFMSzdLbXFLOW13M2Zya3VXbk5OeGZzYVZmS2lreW5aYXBwdw?oc=5"" target=""_blank"">카카오페이, 연매출 5억 이하 신규 가맹점 수수료 면제</a>&nbsp;&nbsp;<font color=""#6f6f6f"">전자신문</font>",2026-05-22 04:18,https://news.google.com/rss/articles/CBMiTkFVX3lxTE82WUtWTDgtZlZ0cUl3Z3lqMVp6b0VibldZVDB5dGRJajZZZlFMSzdLbXFLOW13M2Zya3VXbk5OeGZzYVZmS2lreW5aYXBwdw?oc=5
