카테고리,언론사,검색어,기사제목,본문전문,링크
자사_및_계열사_이슈,시사저널e,카카오,카카오 파업 숨은 배경으로 떠오른 'AI 전략 혼선' - 시사저널e,카카오 파업 숨은 배경으로 떠오른 'AI 전략 혼선' 시사저널e,https://news.google.com/rss/articles/CBMickFVX3lxTE40cFo0Q3BBN0g1NXZjelhQX0xVUUd3bmRPUFdEbm5PbkpZME8xZWNQczZrUUlFbzQ5SWdCR0czSkZwQ1gtZ2pqS0l5QjdsclhLN1ZIUE9TVC1IOGZvVFJZSDdleUNmX2xhSE13LW1ScVNKUdIBdkFVX3lxTE95LUkyaEZ4Nmh4YUppUzl5ZXctSnBQZzF3bUItRUlYcU45V1JUUE8yb1k1TTgtUUxDRkpKM2d6ZUo1bG1jS1I4R0JzUG15VFYyZm52T1MtZW1XOWxrOFBUWnp3V0RXY1lENVFWV1JzY0lhbVpDelE?oc=5&hl=ko&gl=KR&ceid=KR:ko
자사_및_계열사_이슈,한국경제,정신아,깜짝 실적에도 내리막 '카카오'…'본업부활' vs '성장한계' 엇갈린 시선 - 한국경제,깜짝 실적에도 내리막 '카카오'…'본업부활' vs '성장한계' 엇갈린 시선 한국경제,https://news.google.com/rss/articles/CBMiVEFVX3lxTE94Z3dNS043OGxTZ1FUbUV5SnU0WS1Jb25KYmxyclVCT0xvZm52RzhoYzdGQ3BsZjRkbHVzZEU2YVJMbWcwczg1OVhrXzA0RWFUc0ZCRtIBVEFVX3lxTE94Z3dNS043OGxTZ1FUbUV5SnU0WS1Jb25KYmxyclVCT0xvZm52RzhoYzdGQ3BsZjRkbHVzZEU2YVJMbWcwczg1OVhrXzA0RWFUc0ZCRg?oc=5&hl=ko&gl=KR&ceid=KR:ko
자사_및_계열사_이슈,jabon.co.kr,카카오모빌리티,"카카오, 다음 팔고 게임즈 넘기고 모빌리티 검토…AI 올인 본격화 - jabon.co.kr","카카오, 다음 팔고 게임즈 넘기고 모빌리티 검토…AI 올인 본격화 jabon.co.kr",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE1KOTMtaUhFNllKbWlna1lQTktaYVJzb3JmOUhfaF9QMHVRbDA0RDdPTWVoVm1RVGFPaUZaSl91d0FzUllsRnVld2lNeUI2VEVSNmVRX0EwZHJKNmRvNWVFcGhHSE1MekE?oc=5&hl=ko&gl=KR&ceid=KR:ko
자사_및_계열사_이슈,동아경제,카카오페이,˝네이버·카카오페이 묵은 돈 꿀꺽 못 한다˝... '서민금융지원법' 입법예고:동아경제신문 & daenews.co.kr - 동아경제,˝네이버·카카오페이 묵은 돈 꿀꺽 못 한다˝... '서민금융지원법' 입법예고:동아경제신문 & daenews.co.kr 동아경제,https://news.google.com/rss/articles/CBMiRkFVX3lxTE9UZTlCUlBuUFk5VTJpb28xOUR1WFNnWGNndGk0SHp3MEx0aEFmd3VQWF9iX20yZzNySTJ4MHc1cGdOSFVsSHfSAWJBVV95cUxNM0V0c3U2WjlJTVM4TUNqR3gtYlQ1LUVWQlE1Wnh1Q0R3eTVMakpTNVFWb2xLOWg4WTZCVUtVRDNuNnNrUDdmZDdOMml6ZWt6STk2UVk4ZXNweUtONUVBQ1RXUQ?oc=5&hl=ko&gl=KR&ceid=KR:ko
정부_국회,v.daum.net,과학기술정보통신위원회,"방미통위, 가짜뉴스에 딥페이크도 잡는다…망법·AI기본법 '투트랙' - v.daum.net","방미통위, 가짜뉴스에 딥페이크도 잡는다…망법·AI기본법 '투트랙' v.daum.net",https://news.google.com/rss/articles/CBMiT0FVX3lxTFBQcjUzWlRER3QyWmJSREQ2NFBfa2RVNmRoMEoza250cWxmYVVSTWp2MWVhUHg0QUZMOTVXU3FQSURnVnNweVVNaTBIVFNRNWs?oc=5&hl=ko&gl=KR&ceid=KR:ko
정부_국회,법률신문,과학기술정보통신위원회,‘인공지능 데이터센터 산업 진흥에 관한 특별법’ 제정 - 법률신문,‘인공지능 데이터센터 산업 진흥에 관한 특별법’ 제정 법률신문,https://news.google.com/rss/articles/CBMibkFVX3lxTE1HUVI2NXp3a2JSNzhYUzVlbEUyRGdNZVBjS1NoSnNhd1k5V1NHemNta0RLSGRGaDBUNGNnQU5jdG9fWURfdVlPaFFCeFhqWnRiT21IZ0RUSnFBRDE3czJOaVF6Ukx3QmtkQ1BwVnNR0gFyQVVfeXFMTm8tVHV4Mm5OSDFPV3VsX2ZuRnBDVzBZZFc0eGh6UnBJel9TWnZmcXFQQS1vTEEwdEV5c0VobzU4RlNMRlphYWVGRHBaQVp4WlUxTGxfYXdhSGhCU0RNZHNuM1pOQm9Pc084RVJFRGtRVGlB?oc=5&hl=ko&gl=KR&ceid=KR:ko
정부_국회,법률신문,정무위원회,｢개인정보 보호법」 개정안 국회 정무위원회 통과 - 인공지능기술 개발을 위한 개인정보 처리의 특례 신설 - 법률신문,｢개인정보 보호법」 개정안 국회 정무위원회 통과 - 인공지능기술 개발을 위한 개인정보 처리의 특례 신설 법률신문,https://news.google.com/rss/articles/CBMibkFVX3lxTE5jeWZMX0ZCYVIteUJIaE85RjE5b1h3M3QxWkt4SmI2ak1GbTg1alZ2MndqSHF0am9lN0NLYUlQTHVEUXJYcl81bERxOV8tY0J2Z0pZOEJzamdiWVA5SGNOSi1rclA5Y0FwenRYRmR30gFyQVVfeXFMUHBOaEF6eXNXNE1XRVQwYXAtb3hlekI4MG5YcG42VUZ5R2htWk1xei12ZkNlU0lmcGViY1ZBdm95Ny0yQktvLTdtbm1NaHlheldraURjSDRYSnBabWRkdjlwcFd3NktjUnJOcDNuRW9jRjlR?oc=5&hl=ko&gl=KR&ceid=KR:ko
정부_국회,인공지능신문,금융위원회,"‘미토스 쇼크’에 금융 AX 전환 가속… 금융위, 금융권 망분리 규제 대폭 완화 - 인공지능신문","‘미토스 쇼크’에 금융 AX 전환 가속… 금융위, 금융권 망분리 규제 대폭 완화 인공지능신문",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE9QVUxZUWh2Q21lU2JKUTJSa2VrSFJoYi1VbHNVeUVkWmI5Zm55dkUzRHV2NUpBbmY5TENhVTNkRkdlcHkyM1JUaEtYM2hUaFNDOThyNlhGUGV4cHY3VWk5ZzdseDRVNU0?oc=5&hl=ko&gl=KR&ceid=KR:ko
정부_국회,법률신문,공정거래위원회,"공정거래위원회, 반복 담합 제재 강화 추진 - 법률신문","공정거래위원회, 반복 담합 제재 강화 추진 법률신문",https://news.google.com/rss/articles/CBMibkFVX3lxTE5aZGpKYzFVNUVra2dZblUwdFZraFJHU1I4QmhjdzlmaVRjWld0RjZzVmFKZ20tTjZsZ3FuRHVGMTZKbnRaazl5Q0dMNUpVU3hjVHB4QTZQWmdtbmt0SE9nYjJTa01rajIwYURSRDRn0gFyQVVfeXFMT09PcnI4Q2pNc0ZRNy1yOS1Od1ExWUNQdEsyYWNpZEZVLXYxYUpTSnY1eDZTS2ZFQUczZnJHNl9SWkt1czNKSUlJMlJuZWFXN2xOQzNpMXpUOC1qNEpWX0RNa2hvNVlFa2xlMC10ejd6cV9n?oc=5&hl=ko&gl=KR&ceid=KR:ko
경쟁사_해외이슈,필드뉴스,KT,"박윤영 KT 대표, 전임자 ‘김영섭표 AICT’와 결별…AI 서비스도 ‘자체 기술’에 무게 - 필드뉴스","박윤영 KT 대표, 전임자 ‘김영섭표 AICT’와 결별…AI 서비스도 ‘자체 기술’에 무게 필드뉴스",https://news.google.com/rss/articles/CBMibEFVX3lxTE9XeWJrZGJRUVB4QmtBTnAtUF84U19kMzRjVldwWTAtQjN4Rko4SlRWSUFlZ29zNnkzV1I1T0NMMlZCSDVKMTdyUjN1eGJlU1NJaFVyeW5lY2pLY2J4Y242TnNkcFZfR010UER2M9IBbEFVX3lxTE9XeWJrZGJRUVB4QmtBTnAtUF84U19kMzRjVldwWTAtQjN4Rko4SlRWSUFlZ29zNnkzV1I1T0NMMlZCSDVKMTdyUjN1eGJlU1NJaFVyeW5lY2pLY2J4Y242TnNkcFZfR010UER2Mw?oc=5&hl=ko&gl=KR&ceid=KR:ko
