검색어,기사제목,요약,발행일시,링크
카카오,“호캉스 대신 템캉스”…2030·외국인 몰려 전국 템플스테이 '완판',카카오도 ‘붓다춘 콜라보’를 통해 목탁 피규어 키링과 스님 캐릭터 상품 등을 판매하고 있다. 전문가들은 템플스테이 열풍이 단순한 종교 체험을 넘어 나를 치유하고 돌보려는 욕구와 소비문화가 결합한 결과라고... ,2026-05-22 16:07,https://www.hankyung.com/article/202605224467i
카카오,"""청년의 시각으로""…'안심전세 꼼꼼이' 2기 출범","※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : 카카오톡 : @노컷뉴스사이트 : https://url.kr/b71afn",2026-05-22 16:06,https://www.nocutnews.co.kr/news/6521644?utm_source=naver&utm_medium=article&utm_campaign=20260522040512
카카오,"[위클리오늘] 경기도, 하남 아파트 카톡 집값담합·중개사 영업방해 6명...","경기도는 카카오톡 비공개 오픈채팅방을 악용해 조직적으로 아파트 매매 가격을 담합하고, 공인중개사의 영업을 방해한 혐의로 하남시 소재 A아파트단지 소유자 6명을 공인중개사법 위반 혐의로 검찰에 송치했다.... ",2026-05-22 16:06,http://www.weeklytoday.com/news/articleView.html?idxno=776955
카카오,'체리피킹' 저격당한 인뱅 3사…1분기 중저신용자 대출 비중 30%대,22일 금융권에 따르면 카카오뱅크는 올해 1분기 중·저신용자(개인 및 개인사업자)에게 4500억 원 규모의 신용대출을 공급했다고 밝혔다. 2017년 7월 출범 이후 카카오뱅크가 취급한 중·저신용 대출은 누적 16조 원에... ,2026-05-22 16:05,https://www.news1.kr/finance/general-finance/6175502
카카오,충북 소비자심리지수 반등…전달比 10.7p ↑,"※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : 카카오톡 : @노컷뉴스사이트 : https://url.kr/b71afn",2026-05-22 16:04,https://www.nocutnews.co.kr/news/6521639?utm_source=naver&utm_medium=article&utm_campaign=20260522040312
카카오,"""영화 악프다2 효과에 '스카프' 검색25배↑"" 지그재그 '오피스룩' 거래액...",카카오스타일이 운영하는 패션플랫폼 '지그재그'가 지난달 29일부터 이달 12일까지 2주간의 검색·거래... [사진 카카오스타일] 카카오스타일이 운영하는 패션플랫폼 '지그재그'가 지난달 29일부터 이달 12일까지... ,2026-05-22 16:04,https://www.catchnews.kr/news/articleView.html?idxno=124230
카카오,"원헌드레드 차가원 대표, 압수수색 위법 주장…법원에 준항고",차 대표 측 현동엽 변호사는 “경찰이 압수영장 범위를 벗어나 카카오톡 대화 내역 등을 불법 압수했다”며 “이후 포렌식 선별 절차에서도 변호인의 참여권이 충분히 보장되지 않았다”고 밝혔습니다. 반면 경찰은... ,2026-05-22 16:04,https://www.tjb.co.kr/news05/bodo/view/id/98556
카카오,"인터넷은행 3사, 중·저신용 대출 목표 넘겼다…신용개선 성과도 주목","22일 금융권에 따르면 카카오뱅크·케이뱅크·토스뱅크 등 인터넷은행 3사는 올해 1분기 중·저신용자 대출... 카카오뱅크는 중·저신용 대출 잔액 비중 32.3%, 신규 취급 비중 45.6%를 기록해 인터넷은행 가운데 가장 높은... ",2026-05-22 16:04,https://www.news2day.co.kr/article/20260522500224
카카오,"진보 노정현 후보, 차기 총선 불출마 선언…부산 연제구청장 선거에 배...","※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : 카카오톡 : @노컷뉴스사이트 : https://url.kr/b71afn",2026-05-22 16:03,https://www.nocutnews.co.kr/news/6521642?utm_source=naver&utm_medium=article&utm_campaign=20260522040213
카카오,"괴산군, '청정괴산 자연울림' 농특산물 공동브랜드 2년 연속 대상","※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : 카카오톡 : @노컷뉴스사이트 : https://url.kr/b71afn",2026-05-22 16:03,https://www.nocutnews.co.kr/news/6521637?utm_source=naver&utm_medium=article&utm_campaign=20260522040212
