검색어,후보제목,후보링크,후보언론사,매칭과거일자,매칭과거제목,매칭과거링크,중복판정이유,공유주체,공유사건태그,종합점수,제목점수,토큰점수,본문점수,후보대표점수,매칭대표점수,제외단계
카카오,"[포토] 카카오, '카나나 스칼라 콜로키움’ 진행",https://news.google.com/rss/articles/CBMiaEFVX3lxTE9CeWViSGpZQ2hHQ21id2g4RzZwV1Z1Q01ialcwOTJ6cGg2MGlfTVJsWm00TDRFZjhIQ2k2TFlGd2NGT2kxczNMa2xQNUo0aTNGcUU2ZnE1SXFKak1hMUIxNmtGMHNiaEk2?oc=5,fetv.co.kr,COLLECTION_FILTER,,,collection_relevance:photo_or_caption_title,,,,,,,,,
카카오,카카오 노사 2차 조정 시작…부결되면 첫 파업,https://news.google.com/rss/articles/CBMiZkFVX3lxTFBXZklPOE02SWh5Q2FVYUYzRzRldGRGcDF5TzZmWkNLSDZqNDB2c1VOWW5VOGhkcU5qcmFFUU1ySlJtaTRuVzl4TExxYWNLeVhaYjZXTE5xTGV6aFE0OHdTYll0dnlGUQ?oc=5,KBS 뉴스,CURRENT_COLLECTION,canonical_seen,,same_canonical_title_same_press,,,,,,,,,
카카오,'인프라 투자' 대 '서비스 고도화'…네카오 R&D 엇갈린 행보,https://news.google.com/rss/articles/CBMiYEFVX3lxTE5UQ2EwM3hUWmJNeW9EWHVETVZNcGlnMkFKU2stWEpMcUVWeFJ6S3Y4QXlnSXZ1U2ZiOWVCRHgyN2RQT2RlekY4dmJaVWhDWFRqZ0cybmUzb1dsWGJwUVg2Sg?oc=5,뉴스토마토,COLLECTION_FILTER,,,collection_relevance:brand_keyword_absent_from_title_and_front_summary,,,,,,,,,
카카오,[단독] ‘카톡 개편 논란’ 홍민택 카카오 CPO 퇴사한다,https://news.google.com/rss/articles/CBMigwFBVV95cUxQMGpvR1MySmEzRVd2ek9IUVNoREpfS2J1SWczNWpVS3VLME41bzNiRlVjTGtWNFRBQVBzbDk3aVNNeGFIZE1rWUs4eHpBZ3F5QkJfeUlxSlY2WkhfdTJtOUNGeng4ZlRkU2d6ZXRxN3pxaHlablRlRXduRnJyc3RBM0o0Yw?oc=5,조선일보,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,
카카오,카카오 노사 2차 조정 시작…부결되면 첫 파업,https://news.google.com/rss/articles/CBMiZkFVX3lxTE1kdjk4aXpvWktiOFVESTZSNW9ZSHdsVS1aQ1FDUk9iMVNuaUVuWjNhRURsMFdZSGdSbV9SRUVlcXItWU1TZjE5TWNaQVhyOVdMX0UxTHFrVGw2SFUxY1FZcVNhMUczdw?oc=5,KBS 뉴스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,
카카오,삼성·카카오 노사 분쟁과 스페이스X 상장 영향 등 이시각 주요뉴스,https://news.google.com/rss/articles/CBMidEFVX3lxTE1ObVVRaGZNZEtzQ2s2N0xFSDhtd3RGdzI4cXBXamVDZHVhVGI3a2lIcFlaelVIREg1LWFjM2sxcUw0SXpEWEdBQ0x4VGFFOUFlN1BEQ1ZqanlYT0lGcVVNMW5SUWVkMm9xWFVoSlkzY19fQXRv0gF0QVVfeXFMTU5tVVFoZk1kS3NDazY3TEVIOG13dEZ3MjhxcFdqZUNkdWFUYjdraUhwWVp6VUhESDUtYWMzazFxTDRJekRYR0FDTHhUYUU5QWU3UERDVmpqeVhPSUZxVU0xblJRZWQyb3FYVWhKWTNjX19BdG8?oc=5,연합인포맥스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,
카카오,소상공인 성장 이끄는 카카오페이의 상생 경영…올해는 100개사와 함께한다,https://news.google.com/rss/articles/CBMiT0FVX3lxTE9ONWMtYkIzTktfUmp1OHVDcjdfSmJINUI5UE5JNUFFVWdONl9rRHNqaTd4Uk9GOWRWR1Y4aGVnMmJWTG5RYW0xMEZ4cUtCY2c?oc=5,v.daum.net,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,
카카오,"카톡 인스타처럼 바꾼 카카오 홍민택 CPO, 퇴사한다",https://news.google.com/rss/articles/CBMiTkFVX3lxTE5ndFhKQlhKVGZkSk1jZEkyeTVnQmJPaHpUdWdMSVNzaEI0MGdvRTBaZEFxdENCbi1CdjMzRWJ5TXJ5T2hPbGxmUzltR0E0QQ?oc=5,전자신문,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,
카카오,"[포토] 카카오, '카나나 스칼라 콜로키움’ 진행",https://news.google.com/rss/articles/CBMiaEFVX3lxTE9CeWViSGpZQ2hHQ21id2g4RzZwV1Z1Q01ialcwOTJ6cGg2MGlfTVJsWm00TDRFZjhIQ2k2TFlGd2NGT2kxczNMa2xQNUo0aTNGcUU2ZnE1SXFKak1hMUIxNmtGMHNiaEk2?oc=5,fetv.co.kr,COLLECTION_FILTER,,,collection_relevance:photo_or_caption_title,,,,,,,,,
카카오,"카카오, AI 연구 교류 행사 ‘카나나 스칼라 콜로키움’ 성료",https://news.google.com/rss/articles/CBMibkFVX3lxTFBZTlN6ckJYWlB3QmE3QV9iUE45eGs0Uk1sTkw2QjZfQ29nRlRhU29OZ0E0WFdJdGdic3RILVEtRWlsYXRwSzRkOWdMQktzcWVVNWpkYjBtQ1VTRmkyM2ZCV2NQbEpOZ091Zk80UE9B?oc=5,중소기업신문,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,
